country_code,civil_liberties
AFG,6
ALB,3
DZA,5
AGO,5
ATG,2
ARG,2
ARM,4
AUT,1
AZE,6
BHS,1
BHR,6
BGD,4
BLR,6
BEL,1
BLZ,2
BEN,2
BOL,3
BIH,3
BRA,2
BRN,5
BGR,2
BFA,3
BDI,5
KHM,5
CMR,6
CAN,1
CPV,1
CAF,7
TCD,6
CHL,1
CHN,6
COL,4
COG,5
COD,6
CRI,1
CIV,4
HRV,2
CUB,6
CYP,1
CZE,1
DNK,1
DJI,5
DOM,3
ECU,3
EGY,5
SLV,3
ERI,7
EST,1
SWZ,5
ETH,6
FJI,4
FIN,1
FRA,1
GAB,5
GEO,3
DEU,1
GHA,2
GRC,2
GRD,2
GTM,4
GIN,5
GNB,5
GUY,3
HTI,5
HND,4
HUN,2
ISL,1
IND,3
IDN,4
IRN,6
IRQ,6
IRL,1
ISR,2
ITA,1
JAM,3
JPN,1
JOR,5
KAZ,5
KEN,4
KWT,5
KGZ,5
LAO,6
LVA,2
LBN,4
LSO,3
LBR,4
LBY,6
LIE,1
LTU,1
LUX,1
MKD,3
MDG,4
MWI,4
MYS,4
MLI,4
MLT,1
MRT,5
MEX,3
FSM,1
MCO,1
MNG,2
MNE,2
MAR,4
MOZ,3
MMR,6
NAM,2
NRU,2
NPL,4
NLD,1
NZL,1
NIC,3
NER,4
NGA,5
PRK,7
NOR,1
OMN,5
PAK,5
PAN,2
PNG,3
PRY,3
PER,3
PHL,3
POL,1
PRT,1
QAT,5
ROU,2
RUS,6
RWA,6
WSM,2
SAU,7
SEN,2
SRB,2
SLE,3
SGP,4
SVK,1
SVN,1
SLB,3
SOM,7
ZAF,2
KOR,2
SSD,6
ESP,1
LKA,5
LCA,1
SDN,7
SUR,2
SWE,1
CHE,1
SYR,7
TJK,6
TZA,3
THA,5
GMB,6
TLS,3
TGO,4
TTO,2
TUN,3
TUR,4
TKM,7
UGA,5
UKR,3
ARE,6
GBR,1
USA,1
URY,1
UZB,7
VUT,2
VEN,5
VNM,5
YEM,6
ZMB,4
ZWE,6
