"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-130502793.296089","-184748603.351955","36983240.2234637","17932960.8938547","73184357.5418994","5530726.25698324","-84134078.2122905","-197597765.363128","-82178770.9497207","-469329608.938547","130558659.217877","263240223.463687","-338659217.877095","-163016759.776536","97541899.4413408","198934471.098667","-233138804.458988","510558659.217877","-16089385.4748603","12122905.027933","-184022346.368715","-485027932.960894","317486033.519553","-221951574.301676","-241753769.273743","39290644.1340782","-20488564.2458101","","",
"Afghanistan","AFG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-40353040","-56107246.5","-190774431.98","-52173421","-56823660","-48311346","-42975262.5","-170481690.268359","-108365378.357565","-64185103.9263813","",
"Angola","AGO","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-278000000","-234000000","-119000000","-131000000","-200000000","335700000","-664500000","-287956000","-302100000","-170300000","-472427000","-180559000","-411660000","-1113970000","-2471460000","-878620000","-2145470000","-1643393000","-3481071780","-1413991820","1523198987.12","228299945.92","1805123607.46","890672963.88","-2198545055.42","4567640566.41","5116413413.75765","9638709259.41868","13164177545.6443","2331384328.74073","-8235471070.50788","452522618.92","8749300466.08991","",
"Albania","ALB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-20000000","-58000000","-53000000","-70000000","-90100000","-47500000","-45010000","-41200000","-143000000","-207300000","-135000000","-178036400.666667","-327681210.171408","-258417488.710474","-314638316.803697","-647365283.80649","-881427944.327421","-949619127.054106","-1043720019.68681","-846139201.642643","-835079436.59221","-1225801579.46264","-1073931004.54416","-910000289.950418","-1037129565.03832","-1128223055.19664","",
"Andorra","AND","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","-145000000","-273000000","-265000000","-788000000","-944000000","-257000000","-183000000","-268000000","-919000000","-574000000","19000000","-1147000000","-1028000000","-1836000000","-2439000000","-3265063223.08014","-2088015410.09827","-2622087878.26435","-4112274403.56467","-5347787686.64725","-5507454052.4446","-4965180132.08156","-22257413389.6428","-9517286139.80497","-2005260142.26883","-2776050000","-878230000","-3448720000","-3954190000","-3098627065.63234","-4968924800.78457","-8334618540.64712","-3305612521.13841","-10367957946.0427","-9351930944.6815","-14269084338.7678","-8931688999.43165","-3144794108.85981","-10883760783.9318","-1473633407.02589","-10361231244.2599","",
"Armenia","ARM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-800000","-8000000","-25320000","-17570000","-51940000","-220829000","-122034000","-104188500","-69868500","-110723793.820445","-122493745.66533","-247541435.828399","-287177717.855502","-444595432.339303","-653884496.999808","-925045079.741517","-709641619.556072","-521376646.886911","-437333958.760894","-480833942.04967","-319518381.222896","-387861894.388178","-161524903.881975","-271911637.037154","-227506285.697245","",
"American Samoa","ASM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","-2200000","6900000","-8500000","-19600000","-22400000","-23000000","-5000000","-4400000","-15600000","-22600000","-38596296.2962963","-32951851.8518518","-43107407.4074074","-60607407.4074074","-54792592.5925926","-19648148.1481481","-15240740.7407407","-24788888.8888889","-31485185.1851852","-19351851.8518519","-22944444.4444444","-22774074.0740741","-51792533.3333333","-43115925.9259259","-98452222.2222222","-65865064.8148148","-166321143.703704","-80366585.1851852","-220963374.074074","-358820163.703704","-338204733.333333","-158783774.444444","-80646652.5925926","-96679207.7777778","-65160596.2962963","-129367138.888889","-134288999.62963","-41642170.1529907","-94066681.0662585","-67291805.4058011","-98258068.6965693","",
"Australia","AUS","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5000323944.05513","-7824698719.19629","-3782555745.93944","-1106562011.23958","-2767984260.36539","-2630684042.12361","-9222498128.51398","441654791.3511","-2007441432.30132","-2932190620.71574","-1898249310.4422","-10797958704.9726","2663165109.34216","-7681971734.88822","9612586773.251","-33123390586.6106","-7620252751.31983","-6470053660.8773","-30020094088.5358","-13272117217.3587","-17218512630.0947","-17142068311.1791","-57304251200.4141","-51785739222.1873","-54767994546.3688","-40630459095.9235","-38225918290.8143","-45159927515.3412","-38084789677.1636","",
"Austria","AUT","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193822310.152097","5581271418.72904","10177102306.7627","21598079155.754","1264455427.76338","7680910616.9579","15145339303.6947","13230033894.0706","10578469480.8629","-2586684528.94206","5837277052.77135","1968126200.05761","-5937553.79597568","",
"Azerbaijan","AZE","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-330050000","-627277000","-1114834000","-1022947000","-510317000","-129177000","-226513000","-1066821000","-2351747000","-2351283000","-459151000","1289475000","5034521000","540824000","-147181000","-331155000","-932582000","-812407000","-1141550000","-2443393000","-838252000","-1926065000","-303106351.9","",
"Burundi","BDI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-538566.543006104","-1524028.63247118","-1367714.12346925","-1196623.81138929","-516806.722689075","-1249595.51157749","-864953.807151113","-600088.333002617","-337754.345497982","98946.2227279474","-1381339.89970271","","","","236530.997005656","-11683240.6730743","2288.18254076578","","-4618.42567105725","-44690.7076028704","-584701.692574561","-31593.7781888499","-465213.14733302","-3251690.82159558","-348404.534569828","-780582.003631939","-3354999.1805922","-604919.651526489","-116560393.846233","-81719783.795899","-49470693.0791751","-18977.0905017849","-306525.819016746","",
"Belgium","BEL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9178389075.04427","4499239641.29803","-9733217983.88196","-1139201856.61215","-8688143201.93193","-13095644187.1029","32847748784.7198","-61786380961.7673","-53443937320.0579","-31908772417.3895","27171589994.4718","4855245258.85766","9755460259.8032","16338968915.7905","-30148298063.1477","31081213583.4526","",
"Benin","BEN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","","","","","","","","","","","","","","","2343120.32888629","-1889760.24940719","-2452390.82596359","-3126021.57196208","-753359.561873316","-3370602.00190833","-4316555.84568939","-2060858.2287554","541681.71949866","532716.067056893","462288.40481404","","","","","-62096190.0734221","-62376777.1352233","-120780806.62353","-77571726.5958987","-1403787.18368037","-13648839.8950778","-13329502.1175034","-13595869.3350258","-13876006.4920732","-32748439.5045158","-37820420.3818671","-56153556.566138","-41553069.4584524","-12158024.9939515","-44416700.0330169","-65154248.9841459","-53428819.1287954","-54929323.5272258","-261336701.291484","-173827794.634795","-103099138.948255","-194717291.130986","-101441761.911935","-241229097.024233","-301668020.207758","-387942352.65048","-116967795.514923","-114318623.930014","","",
