"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.05267546429388","-1.74900704735252","-2.33284862544039","0.283261805159932","1.5031237019132","-0.630811517861432","-0.640739779224387","2.28247071623154","-1.94743593413573","-1.28044038464162","","","",
"Angola","AGO","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2833315240813","26.2898742250407","6.89257260535699","1.3667642875929","-10.9469950613121","9.74893803222741","0.686789873049251","19.3980562321575","13.5712052829066","6.86063194206014","-11.7848098303585","0.846039331721313","10.6576249734867","6.00022912242937","-4.11898335447696","-10.388973976998","-6.11651500633573","-5.617845561783","-6.78213176271806","",
"Albania","ALB","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.02646542892144","-10.5515810850015","-12.6652304089049","-10.1610664470128","","","","-6.81203579501682","-2.9044418344552","-3.0997216073617","","","","","","","-3.90093447452915","-3.90690803122123","-5.32580498691533","-3.14403302503754","-3.02836282608953","-2.52610640494397","-1.46453113750784","",
"Andorra","AND","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.332391212709645","0.0309448246579877","0.0593307236413587","","","","","","","","","","","","0.0756228204385561","-0.190892657534723","0.228260493065395","-0.0858737278755249","-0.00687213863368971","0.121473123001117","0.185833561984397","",
"Argentina","ARG","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.107803024709003","-0.229466322749109","0.264562866283836","0.483203369491258","-0.32605655686762","-1.71796687810705","-2.33400912549065","-1.65752119620705","-1.58616081545886","-2.92441883021836","-2.77220128165093","-3.31954145332982","-5.70628319150298","-2.82936804297577","-0.425276316786123","","","","","","","","","","-2.90614606577065","-3.39011034719535","-5.3594481988466","-5.57281324374997","",
"Armenia","ARM","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.848435545377766","-1.00431858662669","-0.300422797422082","-0.566883682178301","-0.542749555115262","-7.60081536696469","-4.96766177398105","-2.76440681102449","-1.30435990207808","-1.56792778161334","-1.77055543483641","-4.70036885380563","-5.48154131539845","-4.05560457268332","",
"American Samoa","ASM","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.0280431051289","-9.43525083857648","-10.0797405501516","-5.44617584106607","-4.33157992341879","-4.50625525338811","-6.87437594086516","-5.65745284479985","-5.98002841165097","-10.8426855755277","-1.36272279675243","-4.30060851005083","-1.33091019285188","-4.48139914597307","-2.70577282535226","","","","",
"Australia","AUS","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","1.90452634182538","0.601186287322811","1.75083392800836","0.0969904836873252","-1.82303245887061","-1.23269130661114","-1.86189736207373","-1.76200678149092","-0.939802068606295","-0.0749482265540252","0.24776442444609","-1.71857648987362","-3.21809445681472","-2.50303301194049","-1.92000922526955","-0.785497008880597","0.532187463342656","1.67522688197785","1.65893438036907","0.0933567167383527","-2.73909369163359","-3.8302268093322","-3.65030424569826","-3.23151362707176","-1.73844150576479","-0.403932352586302","1.99473896313023","0.553726115317658","2.01465062895413","0.836305951195148","-0.430669161992352","0.84858386166859","0.826770051673128","1.25456937196641","1.72990572641478","1.6331458007916","1.91063137419338","-2.43423279943924","-4.02408167632607","-3.66103128299082","-3.02030999465526","-1.46054259714893","-2.16747212641373","-2.64499162454268","-2.36749248615935","-2.04522192663918","",
"Austria","AUT","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","0.411822513096155","-0.830594941680759","-0.495622937257302","-3.24070526353982","-3.63189512885777","-2.99205674194211","-3.0019664516282","-2.61026999406213","-2.28045172588491","-2.25138567784381","-3.74138548017239","-4.5828294808431","-3.49332464913218","-3.71548996446231","-4.69116744963252","-4.97816008768804","-4.31012186461111","-3.61827504419","-3.29315934809737","-3.37677700831259","-2.53392628915319","-4.27426221046142","-4.21572674908265","-5.5045404035757","-4.46860999026629","-3.05414644133839","-2.8948246165289","-2.55820709462784","-2.24071853999935","-0.853639867175198","-1.34777473036611","-1.77460378881515","-4.65818075194763","-2.42907774132704","-2.16317815643792","-1.19909653555168","-1.27938302144073","-4.21308867998718","-3.12041731869615","-2.07703796224445","-1.96697323207712","-1.87406880055028","-2.68337827883537","-1.09823367470536","-1.2224533403801","","",
"Azerbaijan","AZE","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.1666399786496","-3.13139938138532","-2.36305350215912","-3.96760282430421","-4.9416671510783","-4.66621281555455","","","","","","","","","19.5663872915898","7.57046753648021","15.4463675968445","12.8562651203871","5.9727420689504","4.87745350795779","4.62279353578213","-2.72361162191982","","","",
"Burundi","BDI","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.65505101511104","-6.98005331834317","-5.5840281265961","-5.80606781921919","-4.91305315089299","-4.18776130748765","-7.14089848308051","-5.56834832583708","-5.47797540623628","","","","","","","","","","","-2.79990739878139","-2.89789021873827","-2.73137818236918","-2.08996721311475","","","","","",
"Belgium","BEL","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.87286771592669","-3.71372180729676","-2.13423363501228","-1.37072177188242","-0.992646155609968","-0.0618847348405635","-0.499419839240539","0.22845500937778","-1.77475308390813","-0.18057599524356","-2.90255450737253","0.117093473653662","-0.445414657141821","-1.20486045111941","-4.55578011537896","-3.16994909620776","-3.6207259019436","-3.63736680326018","-2.6487498846663","-2.53835440025756","-1.14923450579528","-2.72439324913362","","",
"Benin","BEN","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.60427974648954","-0.063554386660404","-1.670255845493","0.823535001255966","-0.559963828439498","2.22571465290639","8.29341377154841","2.37819079665634","-0.963175459775603","1.94308689212676","2.55548599641435","1.57624562380666","2.72319356336067","","","","","",
"Burkina Faso","BFA","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.57973826085594","-2.02936382455206","-4.43562535389982","-5.39665840300131","-5.88535636891044","-5.41986661345758","-3.94763531802174","-4.67935088868414","-4.5439409511394","-2.29426111618984","-3.11254402623734","-3.99472552018397","-1.95475507277707","-2.37681485538311","-3.63399619714554","-7.41783588431069","",
"Bangladesh","BGD","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.570927482606054","-0.151864704257727","-0.104760791937993","-0.631122062959504","-0.970706746206338","-1.2407973930308","-1.14512894423187","-0.829757737693226","-1.44315774648766","-0.813674182832758","-0.822744381919415","-0.137399019195394","0.0690736503748045","-0.769287559545676","-1.33807311151329","-1.46353097897648","","",
"Bulgaria","BGR","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.04950364172318","-3.35298452468681","-4.89442231075697","-11.344931415189","-5.03557838660578","-7.17083095065056","-9.15373922713372","0.531123372933473","1.21113738490431","-0.152688025028451","-1.53998882833592","0.55717537641052","-1.85389662251303","-0.539831722901144","1.38116097284183","1.40346830721742","1.62977765501484","1.20402275305685","1.95881846008365","-3.21615818945851","-3.10168072509104","-1.94485196696344","-0.567871438949591","-0.746781634889167","-5.40691651941353","-0.661680696176808","-0.115770742590035","","",
"Bahrain","BHR","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.33903420523139","-1.29630696548943","-3.99686520376176","-3.31406945225797","-6.42495431236485","-3.12812599473156","0.278952198010382","1.88916341100141","-6.08145886198443","-2.53866248397921","7.49196000883893","3.97326964329253","-0.792447659039206","1.77467910427743","4.51818556544071","6.54815868156398","3.98841604507107","3.36368353295033","5.48261198329625","-4.37704425741208","-4.77948819789433","-0.539590559149723","","-3.49282011169714","","","","","",
"Bahamas, The","BHS","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","-0.357728424504397","-0.47438330170778","-1.59342502515934","-2.16477184239215","-2.28611500701262","-0.744834214320038","0.175469365198336","0.149779075863102","-0.119172800560813","-1.76138883608946","-1.40235457063712","0.00489931899465974","-1.05571599326565","-2.15166835187058","","-2.5586429610703","-3.9745264532985","","-2.51031769500765","-1.83017047282084","-1.63324708926261","0.135010739490641","0.326625838436862","-0.919922416181768","-1.57588955776361","-0.671733092158602","-0.199495826972606","0.240637308130904","-0.42919848085378","-1.45562066216575","-1.86807574669479","-1.92742584721196","-1.10915800817389","-0.431424426467334","-0.756624858499539","-0.827968839065172","-2.45301523949204","-2.55548864077593","-2.87195706249472","-3.15416258570029","-4.16718732357258","-3.62467031111679","-2.45992724065704","-2.55748859681725","-5.30631342449084","",
"Bosnia and Herzegovina","BIH","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.00801617277719","2.74571925688586","0.916556038557812","-1.60507993353666","-4.18193249379399","-2.18914483933043","-1.14359244972659","-1.61231762697296","-2.07741518070631","-4.02825886794626","0.364814776752008","1.07592117525713","","",
"Belarus","BLR","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.78260869565217","-3.58375634517766","-1.82656100713764","-2.65265273510539","-1.83560172853278","-1.0693236649129","-0.944384549982127","-1.90498945164412","0.0690840613983227","-0.826928004099411","1.13151964741395","-1.05605448409399","-0.135392204321509","0.224817150295618","1.46858342059117","0.431508710414111","2.37262158951174","0.212768009019553","-1.41231791197071","1.66977493531221","0.0855708016209148","-0.829264256059258","0.422890999136626","2.25366355247553","1.53978458861789","2.32092191427675","",
"Belize","BLZ","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.616011525680767","-5.60733898744324","-7.45881582458753","-7.86967058179459","-6.60318418933736","-3.49541813434506","-1.98391353196012","-0.981714675828216","-1.0619129425874","-3.4884497729628","-5.74006506284399","-10.5481312035433","-6.90245802418386","-5.27492617562021","-9.562549540552","-3.23854896420553","-4.09058450949805","0.869595504619356","-0.272244010713964","-1.39044762370176","-0.767360152275487","-1.66404780855858","-1.16994619964084","-1.65812615641787","-3.66483294084916","","","","",
"Bermuda","BMU","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0420622655603765","0.750754299841137","-0.678358243487113","-1.44399997920262","-1.65445671138297","-0.430689152821892","-2.60743092374918","-2.64606410842583","-3.57210805974249","-2.78826730127151","-2.583342087001","-3.08496814392785","-2.85697041193554","-3.21018021053375","-3.99761271711876","-6.61152329488534","-8.71141038378292","-7.56543064617213","-5.38892642190151","-3.69020121123055","12.1637589541525","1.24212165587277","","","","","","","","","","","",
"Brazil","BRA","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","2.4226774826401","4.48394007347602","4.1550393531623","","3.13397070941551","1.19346935376331","-5.23783826113277","","","-13.4550506549179","-3.38547730208384","1.50796355561216","-2.1126021034285","-6.9301095294061","-2.66277280613003","","","-0.00698463970312876","-3.58592402604533","-2.47260169802398","-1.80412598077017","-2.05803259834183","-1.15821325965486","-4.29288943457265","-1.83968514743579","-3.5554404046006","-2.83731564059804","-1.83020911144056","-1.17851834413568","-3.37248643644126","-2.26560061094524","-2.39963161250965","-1.31522564404725","-2.47007956445699","-4.9782664220606","-7.53129620259274","-6.63439686980876","-7.47137610710061","",
"Barbados","BRB","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.35325282073988","-1.73289512996713","-2.34534130256844","-1.79244866993896","-7.61106159976457","-4.31342589920535","-5.87576064465005","-7.81245327711429","-4.29061346521058","-9.16452545448688","-11.3488827642276","-8.43173433007476","-8.96675108798796","","","",
"Brunei Darussalam","BRN","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.0847022623664","16.908070131418","15.8255124086924","13.9380703262451","3.56199604708516","4.99382348904241","9.76177326573544","","","","","","","","","","12.5007568913146","5.21618943802149","-6.54767261680813","-12.1245076284953","-7.54225274512629","-0.407220979659485","1.15574049482791","5.43440478007558","3.59867624589188","-3.13864665700543","0.336692538203918","-1.05319225597392","",
"Central African Republic","CAF","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.30059231635514","-6.40034617423758","-9.21552612613203","-6.79049344786564","","","","","","","",
"Canada","CAN","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.53840348515217","-5.04595618467136","-5.02165445330361","-5.52048863294512","-4.71294111388499","-3.99192736072224","-2.38056621584252","0.398826421448343","0.672573736123632","0.968384876988141","2.19978591774161","1.64655130841162","1.48034557090156","1.10988031016184","1.49694481128745","0.745433400045729","1.53651604636622","1.79144752060969","0.779649142761036","-1.20724910917368","-2.22659946779165","-0.913204084699778","-0.518101741927839","-0.072146345885076","0.951119999196053","0.890766555500471","0.135445437154201","0.0971464851525302","",
"Central Europe and the Baltics","CEB","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.68905092347684","-5.39567700161773","-4.61213471247551","-4.07417487290206","-3.89026792411361","-3.10060963963436","-3.41460352323689","-4.09141072835455","-4.42485160496069","-4.35392760787066","-3.27258791587768","-2.96064358102793","-2.83351128899112","-1.72588855853376","-2.80868523625293","-5.9408230241213","-5.4721124169935","-4.25076573690565","-3.28925092894565","-3.57233154381663","-3.01438395303864","-2.06360027557616","-2.04257671850477","","",
"Switzerland","CHE","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","0.0356028448163313","0.658146793407391","0.315244836932957","0.20243096313585","0.325540494913737","","","","","","0.628739838325755","-0.390092801248599","-1.30321401451134","-2.13150113824805","-1.78811123120351","-1.14544416454189","-1.41431553863591","-1.67976251589132","-0.962564006903392","-1.86683847319484","0.141054064383816","0.171540042748786","-1.79999143922378","-0.819622963079313","-0.96868446590036","-0.49526934781375","0.343829895512344","0.637992098803811","1.21801317151276","0.171597860136344","0.245231836888555","0.534403792086131","0.636613064502502","0.467092246434136","0.337208954661731","0.648961956108375","0.260012007582658","0.979851489300477","",
"Channel Islands","CHI","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","-12.1674533601234","-5.8068333653677","-4.47472568786836","0.801601338687061","1.69677234148756","-0.196169230996895","0.470131534973228","5.15644343605938","5.81756947219293","3.29968696869813","-3.75540618204872","-4.0552521159989","-3.60789917631073","-1.89627638938341","-1.326327613225","0.527538168174345","-0.574127429217932","0.492229637565308","0.325461754697979","1.2010444523084","2.03447239813444","1.65603655367457","1.42282225783244","2.09532140313634","2.00025645803537","1.86301065045935","0.402484465116297","-1.30115041637078","-0.635826127068291","-0.516441902385696","-1.19643300024997","-0.440670158631062","2.05792094252117","4.38896578438543","7.29164713575706","8.32505907213293","4.51128146864429","-4.21784754594541","-0.422144719096682","1.28499109619345","0.541515647835565","-0.602888609445228","-1.55377768722567","-2.13246771773437","-2.72582460796359","-2.55158315510068","",
"China","CHN","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.17771189953133","-0.472295409028556","-0.421855240523524","7.13459950956412","","",
"Cote d'Ivoire","CIV","Net lending (+) / net borrowing (-) (% of GDP)","GC.NLD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.19194663070825","-1.29095553578657","-1.32493615283593","-0.360553628162204","0.0133332936753316","0.319965634345006","1.63127317137","-0.648485162709133","-3.44943227173673","-2.81275925680453","-2.26162404838765","-1.86142709950454","-3.35454212776695","-4.44792050068197","","",
