,country,country_code,adolescent_fertility_rate
0,Aruba,ABW,24.261
1,Afghanistan,AFG,73.1264
2,Angola,AGO,157.3554
3,Albania,ALB,20.6922
4,Andorra,AND,
5,Arab World,ARB,48.114552474609994
6,United Arab Emirates,ARE,28.0758
7,Argentina,ARG,63.2644
8,Armenia,ARM,24.785
9,American Samoa,ASM,
10,Antigua and Barbuda,ATG,45.813
11,Australia,AUS,13.6616
12,Austria,AUT,7.522
13,Azerbaijan,AZE,51.7
14,Burundi,BDI,28.0212
15,Belgium,BEL,5.3384
16,Benin,BEN,90.2036
17,Burkina Faso,BFA,108.7606
18,Bangladesh,BGD,85.3076
19,Bulgaria,BGR,41.0864
20,Bahrain,BHR,13.618
21,"Bahamas, The",BHS,29.1548
22,Bosnia and Herzegovina,BIH,10.8342
23,Belarus,BLR,18.7992
24,Belize,BLZ,65.9792
25,Bermuda,BMU,
26,Bolivia,BOL,69.9186
27,Brazil,BRA,63.7578
28,Barbados,BRB,41.1162
29,Brunei Darussalam,BRN,11.6092
30,Bhutan,BTN,23.8214
31,Botswana,BWA,33.4544
32,Central African Republic,CAF,107.7732
33,Canada,CAN,10.1748
34,Central Europe and the Baltics,CEB,19.782576896413
35,Switzerland,CHE,3.1946
36,Channel Islands,CHI,7.3012
37,Chile,CHL,47.526
38,China,CHN,6.5968
39,Cote d'Ivoire,CIV,134.061
40,Cameroon,CMR,111.8636
41,"Congo, Dem. Rep.",COD,126.2696
42,"Congo, Rep.",COG,116.3622
43,Colombia,COL,51.537
44,Comoros,COM,68.98899999999999
45,Cabo Verde,CPV,75.7158
46,Costa Rica,CRI,55.701
47,Caribbean small states,CSS,54.0576074506489
48,Cuba,CUB,46.4086
49,Curacao,CUW,32.8964
50,Cayman Islands,CYM,
51,Cyprus,CYP,4.8136
52,Czech Republic,CZE,10.4158
53,Germany,DEU,7.1462
54,Djibouti,DJI,19.9894
55,Dominica,DMA,
56,Denmark,DNK,4.2482
57,Dominican Republic,DOM,97.2322
58,Algeria,DZA,10.7052
59,East Asia & Pacific (excluding high income),EAP,22.6248548083786
60,Early-demographic dividend,EAR,42.1096288147001
61,East Asia & Pacific,EAS,21.054604459416197
62,Europe & Central Asia (excluding high income),ECA,26.5603317909763
63,Europe & Central Asia,ECS,17.812768465102398
64,Ecuador,ECU,75.2802
65,"Egypt, Arab Rep.",EGY,51.8828
66,Euro area,EMU,7.88299837633059
67,Eritrea,ERI,55.3706
68,Spain,ESP,8.758
69,Estonia,EST,14.0274
70,Ethiopia,ETH,67.2518
71,European Union,EUU,10.883009302583101
72,Fragile and conflict affected situations,FCS,88.80094744331079
73,Finland,FIN,7.0306
74,Fiji,FJI,43.5248
75,France,FRA,8.9614
76,Faroe Islands,FRO,
77,"Micronesia, Fed. Sts.",FSM,15.7768
78,Gabon,GAB,101.667
79,United Kingdom,GBR,14.5964
80,Georgia,GEO,48.201
81,Ghana,GHA,68.67699999999999
82,Gibraltar,GIB,
83,Guinea,GIN,139.5256
84,"Gambia, The",GMB,84.68700000000001
85,Guinea-Bissau,GNB,89.9284
86,Equatorial Guinea,GNQ,160.0836
87,Greece,GRC,7.7494
88,Grenada,GRD,31.6494
89,Greenland,GRL,
90,Guatemala,GTM,73.9864
91,Guam,GUM,34.325
92,Guyana,GUY,87.5268
93,High income,HIC,16.511953976057
94,"Hong Kong SAR, China",HKG,2.8314
95,Honduras,HND,73.5778
96,Heavily indebted poor countries (HIPC),HPC,102.35401928030501
97,Croatia,HRV,9.8238
98,Haiti,HTI,38.976
99,Hungary,HUN,19.9328
100,IBRD only,IBD,32.611251981249396
101,IDA & IBRD total,IBT,49.324305085755704
102,IDA total,IDA,85.64376467993641
103,IDA blend,IDB,74.6341136455968
104,Indonesia,IDN,48.6144
105,IDA only,IDX,90.8150494351911
106,Isle of Man,IMN,
107,India,IND,25.9968
108,Not classified,INX,
109,Ireland,IRL,10.6084
110,"Iran, Islamic Rep.",IRN,26.4394
111,Iraq,IRQ,79.462
112,Iceland,ISL,7.827000000000001
113,Israel,ISR,10.1468
114,Italy,ITA,6.2124
115,Jamaica,JAM,55.9558
116,Jordan,JOR,24.131
117,Japan,JPN,4.2384
118,Kazakhstan,KAZ,29.3336
119,Kenya,KEN,83.0942
120,Kyrgyz Republic,KGZ,39.508
121,Cambodia,KHM,49.6326
122,Kiribati,KIR,18.1598
123,St. Kitts and Nevis,KNA,
124,"Korea, Rep.",KOR,1.6922
125,Kuwait,KWT,9.7994
126,Latin America & Caribbean (excluding high income),LAC,64.0554050916952
127,Lao PDR,LAO,63.9566
128,Lebanon,LBN,12.5314
129,Liberia,LBR,130.0688
130,Libya,LBY,5.7966
131,St. Lucia,LCA,41.9872
132,Latin America & Caribbean,LCN,63.491427371717904
133,Least developed countries: UN classification,LDC,94.20348198140871
134,Low income,LIC,96.6042457861003
135,Liechtenstein,LIE,
136,Sri Lanka,LKA,15.5636
137,Lower middle income,LMC,47.7745221776424
138,Low & middle income,LMY,49.1883537975631
139,Lesotho,LSO,89.9072
140,Late-demographic dividend,LTE,21.548136074005498
141,Lithuania,LTU,12.100999999999999
142,Luxembourg,LUX,5.6798
143,Latvia,LVA,14.1934
144,"Macao SAR, China",MAC,2.727
145,St. Martin (French part),MAF,
146,Morocco,MAR,32.2602
147,Monaco,MCO,
148,Moldova,MDA,23.4344
149,Madagascar,MDG,113.7668
150,Maldives,MDV,7.1988
151,Middle East & North Africa,MEA,38.613142725928505
152,Mexico,MEX,62.5464
153,Marshall Islands,MHL,
154,Middle income,MIC,40.8756887417611
155,"Macedonia, FYR",MKD,16.9288
156,Mali,MLI,173.0382
157,Malta,MLT,16.9792
158,Myanmar,MMR,29.401999999999997
159,Middle East & North Africa (excluding high income),MNA,42.051530303239396
160,Montenegro,MNE,12.4102
161,Mongolia,MNG,24.8272
162,Northern Mariana Islands,MNP,
163,Mozambique,MOZ,142.6462
164,Mauritania,MRT,81.7854
165,Mauritius,MUS,27.2926
166,Malawi,MWI,141.779
167,Malaysia,MYS,13.308
168,North America,NAC,21.3467514210055
169,Namibia,NAM,76.1964
170,New Caledonia,NCL,19.875999999999998
171,Niger,NER,196.03400000000002
172,Nigeria,NGA,111.21799999999999
173,Nicaragua,NIC,88.3512
174,Netherlands,NLD,4.175
175,Norway,NOR,5.7708
176,Nepal,NPL,63.6844
177,Nauru,NRU,
178,New Zealand,NZL,21.1848
179,OECD members,OED,22.331458636479397
