,country,country_code,adolescent_fertility_rate_resid
0,Aruba,ABW,8.973118792984204
1,Afghanistan,AFG,-10.225604135731857
2,Angola,AGO,97.74672228676009
3,Albania,ALB,-22.67627296628625
4,United Arab Emirates,ARE,20.802007456844642
5,Argentina,ARG,31.240831744291114
6,Armenia,ARM,-27.766443451632302
7,Antigua and Barbuda,ATG,15.21864360795685
8,Australia,AUS,1.9479677067890435
9,Austria,AUT,-3.2820873680955387
10,Azerbaijan,AZE,15.790097242853072
11,Burundi,BDI,-61.0081206905757
12,Belgium,BEL,-6.599044278596599
13,Benin,BEN,7.801540725873011
14,Burkina Faso,BFA,24.347930894315795
15,Bangladesh,BGD,8.697110875175511
16,Bulgaria,BGR,5.793163978609613
17,Bahrain,BHR,2.054002214659457
18,"Bahamas, The",BHS,7.592236718169957
19,Bosnia and Herzegovina,BIH,-32.55174289915969
20,Belarus,BLR,-16.26017487610828
21,Belize,BLZ,12.612893559631495
22,Bolivia,BOL,9.751703620038107
23,Brazil,BRA,24.80302131741604
24,Barbados,BRB,4.814668092340959
25,Brunei Darussalam,BRN,4.783694915223569
26,Bhutan,BTN,-30.745287897011377
27,Botswana,BWA,-5.043730489131882
28,Central African Republic,CAF,18.261534646504117
29,Canada,CAN,-1.9891918788977616
30,Switzerland,CHE,-4.944151689841094
31,Chile,CHL,18.672911194210744
32,China,CHN,-33.6648736629879
33,Cote d'Ivoire,CIV,57.99445428250452
34,Cameroon,CMR,36.03337594203519
35,"Congo, Dem. Rep.",COD,37.765739679620765
36,"Congo, Rep.",COG,51.51497926061964
37,Colombia,COL,10.614499061214033
38,Comoros,COM,-10.830848859510567
39,Cabo Verde,CPV,12.641420297065807
40,Costa Rica,CRI,16.7957464288096
41,Cyprus,CYP,-15.606750269005449
42,Czech Republic,CZE,-8.374409817401432
43,Germany,DEU,-4.151346265898029
44,Denmark,DNK,-6.838641406608571
45,Dominican Republic,DOM,56.80765996408253
46,Algeria,DZA,-29.40850271530985
47,East Asia & Pacific,EAS,-17.300975387059104
48,Ecuador,ECU,31.574668422477927
49,"Egypt, Arab Rep.",EGY,6.683051620157997
50,Spain,ESP,-8.937854563777567
51,Estonia,EST,-8.89993311435817
52,Ethiopia,ETH,-17.487921562800963
53,Finland,FIN,-6.055839273795719
54,Fiji,FJI,-7.780179490257069
55,France,FRA,-4.819862805059044
56,"Micronesia, Fed. Sts.",FSM,-60.14203166230724
57,Gabon,GAB,65.98138863654653
58,United Kingdom,GBR,1.3001980207377706
59,Georgia,GEO,-0.7275197932465289
60,Ghana,GHA,-4.507200765042057
61,Guinea,GIN,55.94853879445091
62,"Gambia, The",GMB,0.09981629125456948
63,Guinea-Bissau,GNB,4.739812836590602
