,Applied during year,Country / territory of asylum/residence,Origin,Otherwise closed,RSD procedure type / level,Rejected,Tota pending start-year,Total decisions,Total pending end-year,Year,of which UNHCR-assisted,statistics.filter.decisions_other,statistics.filter.decisions_recognized
108035,298,United States of America,Afghanistan,39,G / IN,1,311,171,464,2015,,,131
108036,40,United States of America,Afghanistan,14,G / EO,16,102,43,145,2015,,,13
108037,0,South Africa,Afghanistan,,G / FI,1,2,1,1,2015,0,,
108038,0,South Africa,Afghanistan,,G / AR,,4,,4,2015,0,,
108039,2252,Pakistan,Afghanistan,4,U / AR,1501,2235,1622,2865,2015,2865,,117
108040,6487,Pakistan,Afghanistan,1168,U / FI,2729,3225,6219,3493,2015,3493,,2322
108041,,Panama,Afghanistan,,G / FI,,8,,8,2015,8,,
108042,1,Philippines,Afghanistan,,G / FI,,,,1,2015,0,,
108043,1,Papua New Guinea,Afghanistan,,G / FI,0,7,49,7,2015,,,49
108044,15,Poland,Afghanistan,12,G / FI,4,4,31,9,2015,,7,8
108045,4,Poland,Afghanistan,,G / RA,,,,,2015,,,
108046,4,Portugal,Afghanistan,4,G / FI,0,2,5,1,2015,0,1,0
108047,1,Paraguay,Afghanistan,,G / FI,,,,1,2015,0,,
108048,,Romania,Afghanistan,,G / JR,16,16,31,,2015,,14,1
108049,6,Romania,Afghanistan,,G / RA,,,,,2015,,,
108050,96,Romania,Afghanistan,2,G / FI,85,23,102,41,2015,41,5,10
108051,553,Russian Federation,Afghanistan,0,G / TA,269,71,489,135,2015,135,220,0
108052,360,Russian Federation,Afghanistan,0,G / FI,313,124,328,156,2015,156,0,15
108053,0,Rwanda,Afghanistan,,G / FI,,1,1,0,2015,0,,1
108054,,Saudi Arabia,Afghanistan,6,U / FI,,7,6,1,2015,1,,
108055,6,Sudan,Afghanistan,0,U / FI,0,0,6,0,2015,0,0,6
108056,,Senegal,Afghanistan,,G / FA,,9,,9,2015,9,,
108057,160831,Serbia and Kosovo (S/RES/1244 (1999)),Afghanistan,160854,G / FI,,58,160854,35,2015,35,,
108058,27,Slovakia,Afghanistan,52,G / FI,10,,65,,2015,,3,
108059,10,Slovakia,Afghanistan,,G / RA,,,,,2015,,,
108060,2,Slovenia,Afghanistan,,G / RA,,,,,2015,,,
108061,47,Slovenia,Afghanistan,20,G / FI,24,11,44,16,2015,0,,
108062,289,Sweden,Afghanistan,41,G / RA,27,88,134,303,2015,0,19,47
108063,637,Sweden,Afghanistan,45,G / AR,552,237,684,200,2015,0,47,40
108064,41285,Sweden,Afghanistan,1567,G / FI,349,1938,2938,40111,2015,0,689,333
108065,119,Syrian Arab Rep.,Afghanistan,,U / AR,35,19,35,103,2015,103,,
108066,1,Syrian Arab Rep.,Afghanistan,1,U / RA,6,58,18,41,2015,41,,11
108067,145,Syrian Arab Rep.,Afghanistan,,U / FI,143,174,189,130,2015,130,,46
108068,,Thailand,Afghanistan,,U / AR,,4,,4,2015,4,,
108069,15,Thailand,Afghanistan,1,U / FI,,40,12,43,2015,43,,11
108070,59,Tajikistan,Afghanistan,,U / FI,40,4,62,1,2015,1,,22
108071,1,Tajikistan,Afghanistan,,U / AR,1,,1,0,2015,,,
108072,541,Tajikistan,Afghanistan,,G / FA,125,118,373,286,2015,60,,248
108073,51,Turkey,Afghanistan,17,U / RA,,14,32,33,2015,33,,15
108074,63443,Turkey,Afghanistan,5890,U / FI,1,32685,6208,89920,2015,89920,,317
108075,1,Turkey,Afghanistan,38,U / AR,28,409,207,203,2015,203,,141
108076,60,Ukraine,Afghanistan,19,U / FI,2,33,51,42,2015,42,,30
108077,2,Ukraine,Afghanistan,,U / AR,10,24,10,16,2015,16,,0
108078,607,Ukraine,Afghanistan,117,G / FI,141,1070,294,1383,2015,944,18,18
108079,190,Ukraine,Afghanistan,14,G / JR,36,1270,80,1380,2015,923,,30
108080,25220,Austria,Afghanistan,2306,G / FA,2478,6964,8130,24267,2015,0,1263,2083
108081,343,Austria,Afghanistan,,G / RA,,,,,2015,,,
108082,108,Azerbaijan,Afghanistan,5,G / FI,114,22,119,11,2015,11,0,0
108083,129,Azerbaijan,Afghanistan,30,U / FI,60,160,166,123,2015,123,,76
108084,576,Belgium,Afghanistan,238,G / RA,,,238,,2015,,,
108085,7732,Belgium,Afghanistan,10,G / FI,249,652,1249,1569,2015,0,407,583
108086,256,Belgium,Afghanistan,23,G / JR,196,,225,74,2015,0,5,1
108087,31,Bulgaria,Afghanistan,,G / RA,,,,,2015,,,
108088,6163,Bulgaria,Afghanistan,7351,G / FI,92,2633,7450,3241,2015,3241,5,2
108089,6,Bosnia and Herzegovina,Afghanistan,13,G / FI,,7,13,0,2015,0,,
108090,41,Belarus,Afghanistan,27,G / FI,13,8,45,4,2015,0,0,5
108091,12,Belarus,Afghanistan,1,G / JR,22,12,23,1,2015,0,0,0
108092,49,Brazil,Afghanistan,,G / FI,0,18,24,43,2015,43,,24
108093,463,Canada,Afghanistan,26,G / FI,38,179,356,362,2015,,,292
108094,22,Canada,Afghanistan,,G / AR,16,11,25,6,2015,,,9
108095,7800,Switzerland,Afghanistan,82,G / FI,1021,811,1902,7243,2015,0,622,177
108096,2,China,Afghanistan,1,U / FI,,,1,1,2015,1,,
108097,,Côte d'Ivoire,Afghanistan,,J / FA,,1,1,0,2015,0,,1
108098,6,Colombia,Afghanistan,0,G / FI,,0,1,5,2015,5,,1
108099,1,Costa Rica,Afghanistan,,G / FI,,0,1,0,2015,0,,1
108100,34,Cuba,Afghanistan,3,U / FA,5,6,17,23,2015,23,,9
108101,,Cayman Islands,Afghanistan,,G / FI,,1,1,0,2015,,,1
108102,10,Cyprus,Afghanistan,4,G / FI,1,9,5,14,2015,16,,
