,Unnamed: 0,asylum_seekers,country_code,country,asylum_seekers_resid
0,0,82.0,AFG,Afghanistan,-708.1282831119232
1,1,830.0,ALB,Albania,-311.478531228722
2,2,6593.0,DZA,Algeria,5411.802175816217
3,3,30143.0,AGO,Angola,29184.334964804235
4,5,0.0,ATG,Antigua and Barbuda,-1340.3858945228371
5,6,1077.0,ARG,Argentina,-138.4860040194576
6,7,66.0,ARM,Armenia,-956.8713077284768
7,8,0.0,ABW,Aruba,-3577.189458898933
8,9,20677.0,AUS,Australia,17346.57945859412
9,10,80075.0,AUT,Austria,77000.01688251137
10,11,220.0,AZE,Azerbaijan,-960.1356967249014
11,12,21.0,BHS,"Bahamas, The",-2989.514391992377
12,13,113.0,BHR,Bahrain,-3180.588484302221
13,14,0.0,BGD,Bangladesh,-832.3292320664747
14,15,279.0,BLR,Belarus,-892.3966643482197
15,16,36009.0,BEL,Belgium,32622.166779834835
16,17,720.0,BLZ,Belize,-295.1453891351737
17,18,178.0,BEN,Benin,-617.9545064418
18,19,0.0,BOL,Bolivia,-953.8824126497574
19,20,23.0,BIH,Bosnia and Herzegovina,-1117.8892593639957
20,22,20815.0,BRA,Brazil,19630.474065179344
21,23,0.0,BRN,Brunei Darussalam,-1756.6087036565432
22,24,9499.0,BGR,Bulgaria,8324.87785373645
23,25,143.0,BFA,Burkina Faso,-640.6499941386991
24,26,2931.0,BDI,Burundi,2175.3014933694562
25,27,0.0,CPV,Cabo Verde,-929.7271501759451
26,28,27.0,KHM,Cambodia,-810.457181519102
27,29,5373.0,CMR,Cameroon,4535.604149981431
28,30,19642.0,CAN,Canada,16201.289775258298
29,31,4.0,CYM,Cayman Islands,-2778.4585822062622
30,32,334.0,CAF,Central African Republic,-418.79836007983204
31,33,2898.0,TCD,Chad,2099.527899348202
32,34,1064.0,CHL,Chile,-500.57775043822267
33,35,677.0,CHN,China,-505.3787835287378
34,36,2315.0,HKG,"Hong Kong SAR, China",-328.9610219366655
35,37,7.0,MAC,"Macao SAR, China",-827.0140553263351
36,38,115.0,COL,Colombia,-1069.1710125317643
37,39,4342.0,COG,"Congo, Rep.",3426.3780484980302
38,40,3283.0,CRI,Costa Rica,2098.15411369473
39,41,53.0,HRV,Croatia,-1545.4805043534182
40,42,649.0,CIV,Cote d'Ivoire,-186.85597348480042
41,43,25.0,CUB,Cuba,
42,45,2252.0,CYP,Cyprus,-935.4944038057042
43,46,659.0,CZE,Czech Republic,-2689.7526981762735
44,47,0.0,PRK,"Korea, Dem. People’s Rep.",
45,48,983.0,COD,"Congo, Dem. Rep.",224.13793812171252
46,49,2948.0,DNK,Denmark,-214.71998087936436
47,50,2641.0,DJI,Djibouti,
48,51,758.0,DOM,Dominican Republic,-425.9893876526953
49,52,11583.0,ECU,Ecuador,10453.024954584458
50,53,38171.0,EGY,"Egypt, Arab Rep.",37071.691400783624
51,54,1.0,SLV,El Salvador,-972.6398994197967
52,55,1.0,ERI,Eritrea,
53,56,86.0,EST,Estonia,-2667.330358708794
54,57,2131.0,ETH,Ethiopia,1349.3426228213716
55,58,8.0,FJI,Fiji,-1026.7892517873254
56,59,24366.0,FIN,Finland,20781.377062079082
57,60,63057.0,FRA,France,59421.88278020868
58,61,1941.0,GAB,Gabon,762.4494203681816
59,62,0.0,GMB,"Gambia, The",-782.5864651014522
60,63,733.0,GEO,Georgia,-324.7226508655476
61,64,420625.0,DEU,Germany,417401.30710891547
62,65,1859.0,GHA,Ghana,1004.0132479348641
63,66,26141.0,GRC,Greece,23774.68918640173
64,67,0.0,GRD,Grenada,-1184.666183759179
65,68,125.0,GTM,Guatemala,-859.9002554732372
66,69,198.0,GIN,Guinea,-590.7515009419112
67,70,123.0,GNB,Guinea-Bissau,-655.9260711077977
68,71,1.0,GUY,Guyana,-974.9929034414237
69,72,11.0,HTI,Haiti,-774.3793298364513
