country,country_code,biodiversity_protected_areas
Aruba,ABW,0.527983104540655
Afghanistan,AFG,0.104707040342723
Angola,AGO,5.00471334206571
Albania,ALB,13.147749461773401
Andorra,AND,21.1909302818394
,,
United Arab Emirates,ARE,9.235667522336971
Argentina,ARG,7.52859334896618
Armenia,ARM,23.1090030789546
American Samoa,ASM,8.708521752632379
Antigua and Barbuda,ATG,0.271690243750207
Australia,AUS,28.591841723667603
Austria,AUT,28.4439825865815
Azerbaijan,AZE,5.51874580872895
Burundi,BDI,7.592545634286259
Belgium,BEL,24.5781622457406
Benin,BEN,28.8719449693959
Burkina Faso,BFA,15.084819776291
Bangladesh,BGD,4.88867647961894
Bulgaria,BGR,28.287131953660303
Bahrain,BHR,1.6947726480522098
"Bahamas, The",BHS,1.24025812422249
Bosnia and Herzegovina,BIH,1.4524101418832902
Belarus,BLR,9.51125836698787
Belize,BLZ,20.5917919778095
Bermuda,BMU,0.0338708242033383
Bolivia,BOL,30.8655154573011
Brazil,BRA,20.737284229240302
Barbados,BRB,0.00916620431253737
Brunei Darussalam,BRN,8.98923250400346
Bhutan,BTN,48.0073121564601
Botswana,BWA,29.1432918377963
Central African Republic,CAF,18.064806394179698
Canada,CAN,6.47711948156826
,,
Switzerland,CHE,9.65051637879546
Channel Islands,CHI,
Chile,CHL,13.5939050071834
China,CHN,15.939280308649302
Cote d'Ivoire,CIV,14.8914750759545
Cameroon,CMR,10.3820772995156
"Congo, Dem. Rep.",COD,12.634311054253399
"Congo, Rep.",COG,36.7093039291158
Colombia,COL,9.44644364805646
Comoros,COM,0.126191492899187
Cabo Verde,CPV,2.60303687635575
Costa Rica,CRI,3.0354619374100698
,,
Cuba,CUB,7.18434684613918
Curacao,CUW,0.258181114051507
Cayman Islands,CYM,0.10342400170816402
Cyprus,CYP,1.68711670729969
Czech Republic,CZE,21.685924363007302
Germany,DEU,38.7268950286066
Djibouti,DJI,1.32295288625376
Dominica,DMA,0.5861346957859289
Denmark,DNK,17.757068324276602
Dominican Republic,DOM,11.2019393392716
Algeria,DZA,7.105499859870889
,,
,,
East Asia & Pacific,EAS,17.8969254141744
,,
,,
Ecuador,ECU,14.3964327518509
"Egypt, Arab Rep.",EGY,11.551153494537001
,,
Eritrea,ERI,4.8721871655296
Spain,ESP,15.195632639702499
Estonia,EST,19.4868332703463
Ethiopia,ETH,18.474952026951602
,,
,,
Finland,FIN,14.2109185358442
Fiji,FJI,0.9897959113686079
France,FRA,26.0807183526812
Faroe Islands,FRO,0.0234924730862025
"Micronesia, Fed. Sts.",FSM,0.0187205363154838
Gabon,GAB,12.0754505026703
United Kingdom,GBR,22.2620645199521
Georgia,GEO,6.44104820465337
Ghana,GHA,7.794238609120411
Gibraltar,GIB,13.127590971902402
Guinea,GIN,21.3673260076547
"Gambia, The",GMB,1.3670254362243799
Guinea-Bissau,GNB,11.6202197089003
Equatorial Guinea,GNQ,1.7653260104995099
Greece,GRC,8.56334528515359
Grenada,GRD,0.172574854343071
Greenland,GRL,22.3599788850636
Guatemala,GTM,15.7067397650122
Guam,GUM,0.0694251938612372
Guyana,GUY,5.30607683828947
,,
"Hong Kong SAR, China",HKG,41.9047619047619
Honduras,HND,12.4289336910491
,,
Croatia,HRV,23.5064099082696
Haiti,HTI,0.27016962271177297
Hungary,HUN,22.6019271546287
,,
,,
,,
,,
Indonesia,IDN,5.06335901930066
,,
Isle of Man,IMN,4.29405702507729
India,IND,3.47930598498439
,,
Ireland,IRL,4.04293371670989
"Iran, Islamic Rep.",IRN,7.66655342395126
Iraq,IRQ,1.54077890873295
Iceland,ISL,2.4217466959144303
Israel,ISR,8.58173027677053
Italy,ITA,13.346444242988401
Jamaica,JAM,1.40556650931052
Jordan,JOR,1.7653577773198899
Japan,JPN,2.09183621347664
Kazakhstan,KAZ,3.18942507887438
Kenya,KEN,10.5050213796236
Kyrgyz Republic,KGZ,6.51440059612817
Cambodia,KHM,20.6492772839727
Kiribati,KIR,11.817304560507697
St. Kitts and Nevis,KNA,0.246826850964049
"Korea, Rep.",KOR,3.88526952835922
Kuwait,KWT,10.998270433278599
,,
Lao PDR,LAO,16.6822252710073
Lebanon,LBN,1.0423413212435202
Liberia,LBR,0.773224088935579
Libya,LBY,0.288612427087619
St. Lucia,LCA,0.93310098500859
,,
,,
,,
Liechtenstein,LIE,42.4895272292041
Sri Lanka,LKA,3.37879848480939
,,
,,
Lesotho,LSO,0.259058862108542
,,
Lithuania,LTU,17.33919590185
Luxembourg,LUX,32.2692174714763
Latvia,LVA,17.5098922163384
"Macao SAR, China",MAC,
St. Martin (French part),MAF,92.35132500221572
Morocco,MAR,18.5463660614773
Monaco,MCO,99.7200839748076
Moldova,MDA,4.15147892756405
Madagascar,MDG,1.9728487537235302
Maldives,MDV,0.0490018209813872
,,
Mexico,MEX,6.752147570321929
Marshall Islands,MHL,0.27044158292221804
,,
"Macedonia, FYR",MKD,9.652911791409071
Mali,MLI,8.2315834186173
Malta,MLT,6.36539055401746
Myanmar,MMR,4.08911261867793
,,
Montenegro,MNE,2.63765558413277
Mongolia,MNG,17.4032333072051
Northern Mariana Islands,MNP,33.2114779574643
Mozambique,MOZ,13.4487105924863
