,country,country_code,biodiversity_protected_areas_resid
0,Aruba,ABW,-11.027088582782767
1,Afghanistan,AFG,-10.02664086030007
2,Angola,AGO,-3.6176718741981375
3,Albania,ALB,5.172222203792866
4,United Arab Emirates,ARE,-2.4952824271547644
5,Argentina,ARG,-1.3870632462651722
6,Armenia,ARM,14.892734901753434
7,Antigua and Barbuda,ATG,-8.691461457036809
8,Australia,AUS,16.85091905718525
9,Austria,AUT,16.808785028718816
10,Azerbaijan,AZE,-3.128626799639912
11,Burundi,BDI,-2.9398951506761524
12,Belgium,BEL,12.821116342683537
13,Benin,BEN,18.80584980772631
14,Burkina Faso,BFA,4.8799528988198855
15,Bangladesh,BGD,-4.791350013443235
16,Bulgaria,BGR,19.58800228514926
17,Bahrain,BHR,-10.035859854026704
18,"Bahamas, The",BHS,-8.85303658716235
19,Bosnia and Herzegovina,BIH,-6.522470788666435
20,Belarus,BLR,0.7931135540937664
21,Belize,BLZ,12.330487417247626
22,Bolivia,BOL,22.209832750783832
23,Brazil,BRA,12.410717952791444
24,Barbados,BRB,-8.601102717915742
25,Brunei Darussalam,BRN,-2.185853734237126
26,Bhutan,BTN,39.6786015708395
27,Botswana,BWA,20.771572223188706
28,Central African Republic,CAF,7.497462205749693
29,Canada,CAN,-5.294059366637971
30,Switzerland,CHE,-1.7646912854157328
31,Chile,CHL,4.586955680411409
32,China,CHN,7.768347107352353
33,Cote d'Ivoire,CIV,5.246806453021875
34,Cameroon,CMR,0.7527294254312409
35,"Congo, Dem. Rep.",COD,2.139751132312478
36,"Congo, Rep.",COG,27.770227321716945
37,Colombia,COL,1.3506383829222717
38,Comoros,COM,-9.765397040531592
39,Cabo Verde,CPV,-6.227912892606188
40,Costa Rica,CRI,-5.295232666923248
41,Cayman Islands,CYM,-11.302455325187196
42,Cyprus,CYP,-8.694597630434124
43,Czech Republic,CZE,10.903078490695465
44,Germany,DEU,27.019266024839204
45,Dominica,DMA,-7.322274146990206
46,Denmark,DNK,6.075133011254833
47,Dominican Republic,DOM,3.0532068253061944
48,Algeria,DZA,-1.0859763104498956
49,East Asia & Pacific,EAS,9.509747834014403
50,Ecuador,ECU,6.434761990909628
51,"Egypt, Arab Rep.",EGY,3.626801703334431
52,Spain,ESP,4.150177126164619
53,Estonia,EST,9.759126124793259
54,Ethiopia,ETH,8.247278606686615
55,Finland,FIN,2.4311420785929894
56,Fiji,FJI,-7.158832174846143
57,France,FRA,14.333711009263919
58,"Micronesia, Fed. Sts.",FSM,-9.616368918305215
59,Gabon,GAB,3.4084521377781805
60,United Kingdom,GBR,10.487688016405903
61,Georgia,GEO,-1.5837836027342735
62,Ghana,GHA,-1.6651258225615475
63,Guinea,GIN,11.220436100397112
64,"Gambia, The",GMB,-8.850003032961009
65,Guinea-Bissau,GNB,1.3611420395617344
66,Equatorial Guinea,GNQ,-8.114575374363518
67,Greece,GRC,-0.8142041863202891
68,Grenada,GRD,-7.90447450420199
69,Guatemala,GTM,7.259311562283152
70,Guyana,GUY,-3.1993244549246684
71,"Hong Kong SAR, China",HKG,30.614030882463933
72,Honduras,HND,3.123467891257766
73,Croatia,HRV,14.490097223344
74,Haiti,HTI,-9.914976663741248
75,Hungary,HUN,13.291583955696456
76,Indonesia,IDN,-2.87962202152735
77,India,IND,-5.3974798482906055
78,Ireland,IRL,-7.63778674983772
79,"Iran, Islamic Rep.",IRN,-0.9502629774608646
80,Iraq,IRQ,-6.789949900714207
81,Iceland,ISL,-9.293535598639375
82,Israel,ISR,-2.653911376597078
83,Italy,ITA,1.9933586421306302
84,Jamaica,JAM,-6.8341177931312265
85,Jordan,JOR,-6.380110436811121
86,Japan,JPN,-9.660999114851949
87,Kazakhstan,KAZ,-5.991964231664739
88,Kenya,KEN,0.727683784443089
89,Kyrgyz Republic,KGZ,-3.1315642416497775
90,Cambodia,KHM,11.02053813582923
91,Kiribati,KIR,1.738124975715328
92,St. Kitts and Nevis,KNA,-9.220939332333192
93,"Korea, Rep.",KOR,-7.231623286289928
94,Kuwait,KWT,-0.6878289309391032
95,Lao PDR,LAO,7.804973613282639
96,Lebanon,LBN,-7.09410726283964
97,Liberia,LBR,-9.569406436673603
98,Libya,LBY,-8.056534519332459
99,St. Lucia,LCA,-7.080352609798162
100,Sri Lanka,LKA,-4.60312543605076
101,Lesotho,LSO,-9.558526640071964
102,Lithuania,LTU,7.562126188399441
103,Luxembourg,LUX,23.18634778045368
104,Latvia,LVA,8.36070051594281
105,Morocco,MAR,10.100063159528641
106,Moldova,MDA,-5.024012313122867
107,Madagascar,MDG,-8.311495063150762
108,Maldives,MDV,-8.151788374024548
109,Mexico,MEX,-1.8147631692525819
110,Marshall Islands,MHL,-9.238751080086429
111,"Macedonia, FYR",MKD,1.5492592064492356
112,Mali,MLI,-1.8583554469599761
113,Malta,MLT,-4.833150208402064
114,Myanmar,MMR,-4.993454829585209
115,Montenegro,MNE,-5.781222603101286
116,Mongolia,MNG,9.40879946652149
117,Mozambique,MOZ,3.0689488350650134
118,Mauritania,MRT,-8.448641476417636
119,Mauritius,MUS,-8.888608148083593
120,Malawi,MWI,6.503123571461305
121,Malaysia,MYS,-0.45554014136375187
122,Namibia,NAM,15.33524182731914
123,Niger,NER,6.858770685768128
