,country,country_code,central_govt_debt_pct_gdp_resid
0,Albania,ALB,29.576979134974714
1,Australia,AUS,-15.473487333369015
2,"Bahamas, The",BHS,-6.829156548688367
3,Belarus,BLR,-9.463743530201647
4,Brazil,BRA,20.19021043108257
5,Barbados,BRB,98.72441757543656
6,Bhutan,BTN,43.09647942681932
7,Botswana,BWA,-29.179206088190725
8,Switzerland,CHE,-54.136135642209425
9,Colombia,COL,16.635205651892356
10,Spain,ESP,45.63260521372437
11,"Micronesia, Fed. Sts.",FSM,-14.402003361164383
12,United Kingdom,GBR,44.87067801610301
13,Georgia,GEO,-7.912769275855602
14,Guatemala,GTM,-24.988962251595456
15,Hungary,HUN,47.04459462708688
16,Indonesia,IDN,-19.699612404613173
17,Ireland,IRL,10.01623807028497
18,Iraq,IRQ,-21.571286509837464
19,Jamaica,JAM,76.10801184301302
20,Japan,JPN,134.9897714268114
21,Kazakhstan,KAZ,-29.615102291724913
22,Kyrgyz Republic,KGZ,28.02176477432375
23,"Korea, Rep.",KOR,-19.552241901945123
24,Sri Lanka,LKA,27.31176365987743
25,Moldova,MDA,-20.606050057355567
26,Marshall Islands,MHL,3.6734750194279044
27,Malawi,MWI,-2.460367000684812
28,Malaysia,MYS,3.8586035091293738
29,New Zealand,NZL,-18.136280154139136
30,Peru,PER,-27.95108688633379
31,Palau,PLW,12.584815128959654
32,Papua New Guinea,PNG,-13.582341065993699
33,Russian Federation,RUS,-35.191631214433656
34,Singapore,SGP,12.127224271688249
35,Solomon Islands,SLB,-35.62277209857507
36,El Salvador,SLV,4.107682517471879
37,San Marino,SMR,-19.091274522848664
38,Seychelles,SYC,12.986981576542071
39,Thailand,THA,-11.78658698959265
40,Turkey,TUR,-19.55842285371669
41,Ukraine,UKR,22.155037656221417
42,Uruguay,URY,4.312584788660679
43,United States,USA,28.4595070272846
44,Samoa,WSM,11.160903644067055
45,Zambia,ZMB,4.57543925872028
46,Aruba,ABW,
47,Afghanistan,AFG,
48,Angola,AGO,
49,Andorra,AND,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,United Arab Emirates,ARE,
94,Argentina,ARG,
95,Armenia,ARM,
96,American Samoa,ASM,
97,Antigua and Barbuda,ATG,
98,Austria,AUT,
99,Azerbaijan,AZE,
100,Burundi,BDI,
101,Belgium,BEL,
102,Benin,BEN,
103,Burkina Faso,BFA,
104,Bangladesh,BGD,
105,Bulgaria,BGR,
106,Bahrain,BHR,
107,Bosnia and Herzegovina,BIH,
108,Belize,BLZ,
109,Bermuda,BMU,
110,Bolivia,BOL,
111,Brunei Darussalam,BRN,
112,Central African Republic,CAF,
113,Canada,CAN,
114,Channel Islands,CHI,
115,Chile,CHL,
116,China,CHN,
117,Cote d'Ivoire,CIV,
118,Cameroon,CMR,
119,"Congo, Dem. Rep.",COD,
120,"Congo, Rep.",COG,
121,Comoros,COM,
122,Cabo Verde,CPV,
123,Costa Rica,CRI,
124,Cuba,CUB,
125,Curacao,CUW,
126,Cayman Islands,CYM,
127,Cyprus,CYP,
128,Czech Republic,CZE,
129,Germany,DEU,
130,Djibouti,DJI,
131,Dominica,DMA,
132,Denmark,DNK,
133,Dominican Republic,DOM,
134,Algeria,DZA,
135,East Asia & Pacific,EAS,
136,Ecuador,ECU,
137,"Egypt, Arab Rep.",EGY,
138,Eritrea,ERI,
139,Estonia,EST,
140,Ethiopia,ETH,
141,Finland,FIN,
142,Fiji,FJI,
143,France,FRA,
144,Faroe Islands,FRO,
145,Gabon,GAB,
146,Ghana,GHA,
147,Gibraltar,GIB,
148,Guinea,GIN,
149,"Gambia, The",GMB,
150,Guinea-Bissau,GNB,
151,Equatorial Guinea,GNQ,
152,Greece,GRC,
153,Grenada,GRD,
154,Greenland,GRL,
155,Guam,GUM,
156,Guyana,GUY,
157,"Hong Kong SAR, China",HKG,
158,Honduras,HND,
159,Croatia,HRV,
160,Haiti,HTI,
161,Isle of Man,IMN,
162,India,IND,
163,"Iran, Islamic Rep.",IRN,
164,Iceland,ISL,
165,Israel,ISR,
166,Italy,ITA,
167,Jordan,JOR,
168,Kenya,KEN,
169,Cambodia,KHM,
170,Kiribati,KIR,
171,St. Kitts and Nevis,KNA,
172,Kuwait,KWT,
173,Lao PDR,LAO,
174,Lebanon,LBN,
175,Liberia,LBR,
176,Libya,LBY,
177,St. Lucia,LCA,
178,Liechtenstein,LIE,
179,Lesotho,LSO,
180,Lithuania,LTU,
181,Luxembourg,LUX,
182,Latvia,LVA,
183,"Macao SAR, China",MAC,
184,St. Martin (French part),MAF,
185,Morocco,MAR,
186,Monaco,MCO,
187,Madagascar,MDG,
188,Maldives,MDV,
189,Mexico,MEX,
190,"Macedonia, FYR",MKD,
191,Mali,MLI,
192,Malta,MLT,
193,Myanmar,MMR,
194,Montenegro,MNE,
195,Mongolia,MNG,
196,Northern Mariana Islands,MNP,
197,Mozambique,MOZ,
198,Mauritania,MRT,
199,Mauritius,MUS,
200,Namibia,NAM,
201,New Caledonia,NCL,
202,Niger,NER,
203,Nigeria,NGA,
204,Nicaragua,NIC,
205,Netherlands,NLD,
206,Norway,NOR,
207,Nepal,NPL,
208,Nauru,NRU,
209,Oman,OMN,
210,Pakistan,PAK,
211,Panama,PAN,
212,Philippines,PHL,
213,Poland,POL,
214,Puerto Rico,PRI,
215,"Korea, Dem. People’s Rep.",PRK,
216,Portugal,PRT,
217,Paraguay,PRY,
218,West Bank and Gaza,PSE,
219,Pacific island small states,PSS,
220,French Polynesia,PYF,
221,Qatar,QAT,
222,Romania,ROU,
223,Rwanda,RWA,
224,South Asia,SAS,
225,Saudi Arabia,SAU,
226,Sudan,SDN,
227,Senegal,SEN,
228,Sierra Leone,SLE,
229,Somalia,SOM,
230,Serbia,SRB,
231,South Sudan,SSD,
232,Sub-Saharan Africa,SSF,
233,Sao Tome and Principe,STP,
234,Suriname,SUR,
235,Slovak Republic,SVK,
236,Slovenia,SVN,
237,Sweden,SWE,
238,Eswatini,SWZ,
239,Sint Maarten (Dutch part),SXM,
240,Syrian Arab Republic,SYR,
241,Turks and Caicos Islands,TCA,
242,Chad,TCD,
243,Togo,TGO,
244,Tajikistan,TJK,
245,Turkmenistan,TKM,
246,Timor-Leste,TLS,
247,Tonga,TON,
248,Trinidad and Tobago,TTO,
249,Tunisia,TUN,
250,Tuvalu,TUV,
251,Tanzania,TZA,
252,Uganda,UGA,
253,Uzbekistan,UZB,
254,St. Vincent and the Grenadines,VCT,
255,"Venezuela, RB",VEN,
256,British Virgin Islands,VGB,
257,Virgin Islands (U.S.),VIR,
258,Vietnam,VNM,
259,Vanuatu,VUT,
260,Kosovo,XKX,
261,"Yemen, Rep.",YEM,
262,South Africa,ZAF,
263,Zimbabwe,ZWE,
