,country,country_code,central_govt_debt_pct_gdpll_resid
3,Albania,ALB,31.072323061384814
11,Australia,AUS,-19.090727491603765
21,"Bahamas, The",BHS,-5.94377948307536
23,Belarus,BLR,-6.594246702698705
27,Brazil,BRA,22.76949195526752
28,Barbados,BRB,101.57360842925198
30,Bhutan,BTN,43.54112218904686
31,Botswana,BWA,-26.52122357379018
35,Switzerland,CHE,-57.7666575749266
43,Colombia,COL,18.53273070947828
62,Europe & Central Asia (excluding high income),ECA,-21.57502355857363
68,Spain,ESP,45.22907470626082
77,"Micronesia, Fed. Sts.",FSM,-15.357054181181304
79,United Kingdom,GBR,41.82346480071915
80,Georgia,GEO,-7.022156626862454
90,Guatemala,GTM,-24.700366513133805
99,Hungary,HUN,48.97382311103541
104,Indonesia,IDN,-18.364735281386547
109,Ireland,IRL,6.397052070480328
111,Iraq,IRQ,-18.983402120400804
115,Jamaica,JAM,76.67557930723831
117,Japan,JPN,132.2216417433699
118,Kazakhstan,KAZ,-27.384948889361826
120,Kyrgyz Republic,KGZ,27.057468812149637
124,"Korea, Rep.",KOR,-20.108226590222202
136,Sri Lanka,LKA,28.83746918127777
148,Moldova,MDA,-21.136787488921897
153,Marshall Islands,MHL,2.8280758735600813
166,Malawi,MWI,-3.9791520596008993
167,Malaysia,MYS,5.6477293459163675
168,North America,NAC,25.612345585901096
178,New Zealand,NZL,-19.94408742969223
184,Peru,PER,-26.30067244976312
186,Palau,PLW,15.029012930171305
187,Papua New Guinea,PNG,-14.382649965068364
200,Russian Federation,RUS,-32.87941810866942
206,Singapore,SGP,8.889291252132523
207,Solomon Islands,SLB,-36.876272796458785
209,El Salvador,SLV,4.3035852131673735
210,San Marino,SMR,-22.77556152416865
224,Seychelles,SYC,14.824894810611319
229,Europe & Central Asia (IDA & IBRD countries),TEC,-21.2947431233444
231,Thailand,THA,-9.080954285414165
242,Turkey,TUR,-17.274282790158477
246,Ukraine,UKR,22.502560065438708
248,Uruguay,URY,7.21858040587373
249,United States,USA,24.62402658523837
258,Samoa,WSM,10.880165139521274
262,Zambia,ZMB,3.7193037051085938
