,country_code,civil_liberties,country,civil_liberties_resid
0,AFG,6,Afghanistan,1.4470067873994727
1,ALB,3,Albania,-0.456948448057545
2,DZA,5,Algeria,1.7905700504757363
3,AGO,5,Angola,1.1543902803320623
4,ATG,2,Antigua and Barbuda,-0.5350855442763631
5,ARG,2,Argentina,-0.642320522690945
6,ARM,4,Armenia,0.36675179994473783
7,AUT,1,Austria,-0.39829388031323987
8,AZE,6,Azerbaijan,3.0705903863670017
9,BHS,1,"Bahamas, The",-0.8567729279811382
10,BHR,6,Bahrain,4.686920638465891
11,BGD,4,Bangladesh,-0.3560348226713046
12,BLR,6,Belarus,3.1319402370932794
13,BEL,1,Belgium,-0.2944586480220883
14,BLZ,2,Belize,-1.6578673143100762
15,BEN,2,Benin,-2.525540683289628
16,BOL,3,Bolivia,-0.8623706911705962
17,BIH,3,Bosnia and Herzegovina,-0.4572778410578269
18,BRA,2,Brazil,-1.1250420809300574
19,BRN,5,Brunei Darussalam,2.614604217435069
20,BGR,2,Bulgaria,-0.8855084285905201
21,BFA,3,Burkina Faso,-1.583532779581045
22,BDI,5,Burundi,0.2850165661171449
23,KHM,5,Cambodia,0.6673597056519824
24,CMR,6,Cameroon,1.667080932723196
25,CAN,1,Canada,-0.28848126103762306
26,CPV,1,Cabo Verde,-2.949757965281331
27,CAF,7,Central African Republic,2.27141747162543
28,TCD,6,Chad,1.4863119656423098
29,CHL,1,Chile,-1.395794543682801
30,CHN,6,China,2.775399353922946
31,COL,4,Colombia,0.7067540783015014
32,COG,5,"Congo, Rep.",0.9968546365195081
33,COD,6,"Congo, Dem. Rep.",1.2998580241564062
34,CRI,1,Costa Rica,-2.1221300322722976
35,CIV,4,Cote d'Ivoire,-0.33992670295116323
36,HRV,2,Croatia,-0.37458918927216045
37,CUB,6,Cuba,
38,CYP,1,Cyprus,-0.7832611960126121
39,CZE,1,Czech Republic,-0.6740944440492429
40,DNK,1,Denmark,-0.3580115548155449
41,DJI,5,Djibouti,
42,DOM,3,Dominican Republic,-0.24243389560089668
43,ECU,3,Ecuador,-0.46219662042416454
44,EGY,5,"Egypt, Arab Rep.",1.5106019511943827
45,SLV,3,El Salvador,-0.7941367525316134
46,ERI,7,Eritrea,
47,EST,1,Estonia,-0.9461886855849981
48,SWZ,5,Eswatini,1.3075287715790522
49,ETH,6,Ethiopia,1.407074912576845
50,FJI,4,Fiji,0.4044653511750145
51,FIN,1,Finland,-0.3028120179438718
52,FRA,1,France,-0.3353052185626151
53,GAB,5,Gabon,2.085716873647601
54,GEO,3,Georgia,-0.5303102540483073
55,DEU,1,Germany,-0.33454680944136816
56,GHA,2,Ghana,-2.2540950043840207
57,GRC,2,Greece,-0.07272498979991004
58,GRD,2,Grenada,-1.3123095427732245
59,GTM,4,Guatemala,0.24367237139093945
60,GIN,5,Guinea,0.4405167792169076
61,GNB,5,Guinea-Bissau,0.3942036611559745
62,GUY,3,Guyana,-0.7861763424499264
63,HTI,5,Haiti,0.42461946555662156
64,HND,4,Honduras,-0.18118160285231344
65,HUN,2,Hungary,-0.11146503408560582
66,ISL,1,Iceland,-0.32734965884677925
67,IND,3,India,-0.9724304241311432
68,IDN,4,Indonesia,0.5201084692440232
69,IRN,6,"Iran, Islamic Rep.",3.0471465630658585
70,IRQ,6,Iraq,2.877889801391365
71,IRL,1,Ireland,-0.9720376677126863
72,ISR,2,Israel,0.4639986119175967
73,ITA,1,Italy,-0.49827616743141734
74,JAM,3,Jamaica,-0.646094953164627
75,JPN,1,Japan,-0.33103548818757234
76,JOR,5,Jordan,1.4062503122667285
77,KAZ,5,Kazakhstan,2.801764979166036
78,KEN,4,Kenya,-0.39988789624735777
79,KWT,5,Kuwait,2.8972554677587046
80,KGZ,5,Kyrgyz Republic,0.6594811832354353
81,LAO,6,Lao PDR,2.0273394782433543
82,LVA,2,Latvia,-0.2242071174146263
83,LBN,4,Lebanon,0.7453514192640336
84,LSO,3,Lesotho,-1.4178111686351826
85,LBR,4,Liberia,-0.639700483143014
86,LBY,6,Libya,2.8867216865309224
87,LIE,1,Liechtenstein,
88,LTU,1,Lithuania,-0.9345077598824278
89,LUX,1,Luxembourg,-2.3515154315650793
90,MKD,3,"Macedonia, FYR",-0.2855859893248547
91,MDG,4,Madagascar,-0.6161004990980716
92,MWI,4,Malawi,-0.6590058085896295
93,MYS,4,Malaysia,1.9233263688285982
94,MLI,4,Mali,-0.535610821237448
95,MLT,1,Malta,-0.5474837856502912
96,MRT,5,Mauritania,0.713201319995278
97,MEX,3,Mexico,0.013159314635037056
98,FSM,1,"Micronesia, Fed. Sts.",-3.3355471957389806
99,MCO,1,Monaco,
100,MNG,2,Mongolia,-1.435415595255173
101,MNE,2,Montenegro,-1.0715493478443463
102,MAR,4,Morocco,0.24425493268452403
103,MOZ,3,Mozambique,-1.654613088724573
104,MMR,6,Myanmar,1.9265299422382274
105,NAM,2,Namibia,-1.4920378472891151
106,NRU,2,Nauru,-1.364718415744294
107,NPL,4,Nepal,-0.4770715462273545
108,NLD,1,Netherlands,-0.3856838359917465
109,NZL,1,New Zealand,-0.44048717396675974
110,NIC,3,Nicaragua,-1.0880043483694344
111,NER,4,Niger,-0.6858783049091901
112,NGA,5,Nigeria,1.0172221700668733
113,PRK,7,"Korea, Dem. People’s Rep.",
114,NOR,1,Norway,-0.8240252925712928
115,OMN,5,Oman,3.7024650021761327
116,PAK,5,Pakistan,0.8739036544759822
117,PAN,2,Panama,-0.4554459596273208
118,PNG,3,Papua New Guinea,-1.2539188782461776
119,PRY,3,Paraguay,-0.4496972114883788
120,PER,3,Peru,-0.41159466198685113
121,PHL,3,Philippines,-0.8143195184169976
122,POL,1,Poland,-1.0809328105482066
123,PRT,1,Portugal,-0.8952194917792728
124,QAT,5,Qatar,0.7064055763880104
125,ROU,2,Romania,-0.507934712787399
126,RUS,6,Russian Federation,3.7769430775726964
127,RWA,6,Rwanda,1.4370163040634862
128,WSM,2,Samoa,-2.000719071002984
129,SAU,7,Saudi Arabia,5.43550112860987
130,SEN,2,Senegal,-2.387164287207149
131,SRB,2,Serbia,-1.2689287625972403
132,SLE,3,Sierra Leone,-1.6254516248319915
133,SGP,4,Singapore,1.2769464260099417
134,SVK,1,Slovak Republic,-0.8957699202582428
135,SVN,1,Slovenia,-0.7863556683885804
136,SLB,3,Solomon Islands,-1.5015189901381758
137,SOM,7,Somalia,
138,ZAF,2,South Africa,-1.3548483583659068
139,KOR,2,"Korea, Rep.",0.4278681757312326
140,SSD,6,South Sudan,1.4578857976469441
141,ESP,1,Spain,-0.5930962118815555
142,LKA,5,Sri Lanka,1.5480458807005948
143,LCA,1,St. Lucia,-2.3959945223505734
144,SDN,7,Sudan,2.8145487137970733
145,SUR,2,Suriname,-1.1298288717044964
146,SWE,1,Sweden,-0.336516718441799
147,CHE,1,Switzerland,-0.8682196016735444
148,SYR,7,Syrian Arab Republic,
149,TJK,6,Tajikistan,1.5712303587609942
150,TZA,3,Tanzania,-1.450916203003505
151,THA,5,Thailand,1.9205042486971848
152,GMB,6,"Gambia, The",1.4114540425371054
153,TLS,3,Timor-Leste,-0.7417390594963629
154,TGO,4,Togo,-0.605464845489375
155,TTO,2,Trinidad and Tobago,0.33258115030825586
156,TUN,3,Tunisia,-0.46182705719237216
157,TUR,4,Turkey,1.7855442549653278
158,TKM,7,Turkmenistan,3.898560313498059
159,UGA,5,Uganda,0.4268053824883671
160,UKR,3,Ukraine,-0.7326236038000986
161,ARE,6,United Arab Emirates,3.9676091239794395
162,GBR,1,United Kingdom,-0.3111602452119422
163,USA,1,United States,-0.6608393936096115
164,URY,1,Uruguay,-1.5606101124774634
165,UZB,7,Uzbekistan,3.0194759155465087
166,VUT,2,Vanuatu,-2.404191844372753
167,VEN,5,"Venezuela, RB",
168,VNM,5,Vietnam,0.9985775430845356
169,YEM,6,"Yemen, Rep.",1.6333084737069488
170,ZMB,4,Zambia,-0.28302593947809385
171,ZWE,6,Zimbabwe,1.5055401554009542
