,country,country_code,co2_tons_per_capita_resid
0,Aruba,ABW,1.4426875327419522
1,Afghanistan,AFG,-0.013387571461526693
2,Angola,AGO,-0.10768068827799326
3,Albania,ALB,-0.4494721894581428
4,United Arab Emirates,ARE,11.225519836449633
5,Argentina,ARG,0.7456396803387326
6,Armenia,ARM,0.14938891144359823
7,Antigua and Barbuda,ATG,1.2111528602142743
8,Australia,AUS,7.185016930443419
9,Austria,AUT,-1.8710978786080545
10,Azerbaijan,AZE,0.3612827989901235
11,Burundi,BDI,-0.027694293700695698
12,Belgium,BEL,0.26522068244192276
13,Benin,BEN,0.2604280027057885
14,Burkina Faso,BFA,-0.10532101122078968
15,Bangladesh,BGD,-0.14867607113492598
16,Bulgaria,BGR,2.2313495550154707
17,Bahrain,BHR,15.180828798537163
18,"Bahamas, The",BHS,0.6082918110445537
19,Bosnia and Herzegovina,BIH,3.809291172619998
20,Belarus,BLR,3.037687648408618
21,Belize,BLZ,-0.30367804444877944
22,Bolivia,BOL,0.5605877698878194
23,Brazil,BRA,-0.6169993918687675
24,Barbados,BRB,0.9606960066913834
25,Brunei Darussalam,BRN,8.680622533511077
26,Bhutan,BTN,-0.36057398265572993
27,Botswana,BWA,-0.030883360120978143
28,Central African Republic,CAF,0.014546423014615409
29,Canada,CAN,7.170506260202434
30,Switzerland,CHE,-6.589213035432774
31,Chile,CHL,0.28177478572879977
32,China,CHN,4.541325051763211
33,Cote d'Ivoire,CIV,-0.14186343074081725
34,Cameroon,CMR,-0.3276991821673715
35,"Congo, Dem. Rep.",COD,-0.030796038278504453
36,"Congo, Rep.",COG,-0.5123058400801463
37,Colombia,COL,-1.116613476053492
38,Comoros,COM,-0.2633011521421127
39,Cabo Verde,CPV,-0.2984602623898013
40,Costa Rica,CRI,-1.5878159521091435
41,Cayman Islands,CYM,-0.25029014074556066
42,Cyprus,CYP,-0.6652059593678024
43,Czech Republic,CZE,2.92620673106249
44,Germany,DEU,0.46326967081292203
45,Dominica,DMA,-0.29938419103023883
46,Denmark,DNK,-2.6216588946391406
47,Dominican Republic,DOM,-0.9003577185617688
48,Algeria,DZA,0.6861855406256567
49,East Asia & Pacific,EAS,3.0009411976167235
50,Ecuador,ECU,0.38631941364372757
51,"Egypt, Arab Rep.",EGY,-0.007459728180488234
52,Spain,ESP,-1.4215871931449273
53,Estonia,EST,9.397978899275676
54,Ethiopia,ETH,-0.13423807207385155
55,Finland,FIN,1.1030104586319833
56,Fiji,FJI,-0.49788734540576396
57,France,FRA,-2.758022697206842
58,"Micronesia, Fed. Sts.",FSM,0.8067686161324674
59,Gabon,GAB,-0.8263654874619943
60,United Kingdom,GBR,-0.9863431667739988
61,Georgia,GEO,0.4661774400323988
62,Ghana,GHA,-0.2252029042975655
63,Guinea,GIN,-0.09566644718681061
64,"Gambia, The",GMB,0.007806486208351282
65,Guinea-Bissau,GNB,-0.07697531578087916
66,Equatorial Guinea,GNQ,-0.8271360715537082
67,Greece,GRC,1.0782216903942397
68,Grenada,GRD,-0.5682646747153406
69,Guatemala,GTM,-0.3946985231446367
70,Guyana,GUY,1.136064108799786
71,"Hong Kong SAR, China",HKG,-3.439381781366503
72,Honduras,HND,0.20262181873850016
73,Croatia,HRV,-0.47014099791198083
74,Haiti,HTI,-0.008938445585458088
75,Hungary,HUN,-0.7376137006746566
76,Indonesia,IDN,-0.4583700863993161
77,India,IND,0.5340059623467681
78,Ireland,IRL,-4.38971651570823
79,"Iran, Islamic Rep.",IRN,4.74656973170924
80,Iraq,IRQ,1.5930273893440083
81,Iceland,ISL,-2.3191741638970242
82,Israel,ISR,1.2404693968293934
83,Italy,ITA,-1.4673710810282596
84,Jamaica,JAM,0.8618455263772438
