,country,country_code,days_required_to_start_business_resid
0,Afghanistan,AFG,-8.29831976420278
1,Angola,AGO,18.047158016190178
2,Albania,ALB,-13.852518090994543
3,United Arab Emirates,ARE,-1.1149922945723691
4,Argentina,ARG,8.520298290132486
5,Armenia,ARM,-13.848620733641134
6,Antigua and Barbuda,ATG,6.263357858531933
7,Australia,AUS,-7.234648013131245
8,Austria,AUT,12.416783628834686
9,Azerbaijan,AZE,-13.20202103428262
10,Burundi,BDI,-12.521322606399583
11,Belgium,BEL,-5.779321643489572
12,Benin,BEN,-4.3440031395110985
13,Burkina Faso,BFA,-3.7470959756222975
14,Bangladesh,BGD,2.3801161230138668
15,Bulgaria,BGR,8.414098224672202
16,Bahrain,BHR,-0.3052501433613237
17,"Bahamas, The",BHS,15.86608767473607
18,Bosnia and Herzegovina,BIH,64.14740550172522
19,Belarus,BLR,-7.538226386128134
20,Belize,BLZ,24.698684073967
21,Bolivia,BOL,31.076757070360415
22,Brazil,BRA,68.54193767782071
23,Barbados,BRB,1.2160602849523485
24,Brunei Darussalam,BRN,4.959056545740726
25,Bhutan,BTN,-3.2321509832269903
26,Botswana,BWA,30.67829368139506
27,Central African Republic,CAF,5.50254186572425
28,Canada,CAN,-8.330994839843044
29,Switzerland,CHE,0.8377930536424767
30,Chile,CHL,-7.828808674712684
31,China,CHN,11.356450314050782
32,Cote d'Ivoire,CIV,-10.145673738433658
33,Cameroon,CMR,-0.6568748240520392
34,"Congo, Dem. Rep.",COD,-5.047258806603384
35,"Congo, Rep.",COG,32.81578984628919
36,Colombia,COL,-6.358371681064625
37,Comoros,COM,-0.9674147589758881
38,Cabo Verde,CPV,0.22695613559189098
39,Costa Rica,CRI,5.553637865562727
40,Cyprus,CYP,-4.257059338953988
41,Czech Republic,CZE,18.740169764512704
42,Germany,DEU,0.837599599382818
43,Dominica,DMA,-6.748135232075054
44,Denmark,DNK,-6.12967186039389
45,Dominican Republic,DOM,-3.6417004697922586
46,Algeria,DZA,0.04262796067387953
47,Ecuador,ECU,31.6516934842438
48,"Egypt, Arab Rep.",EGY,-2.27640349163865
49,Spain,ESP,2.573395430069242
50,Estonia,EST,-9.654195796148322
51,Ethiopia,ETH,18.268745323395095
52,Finland,FIN,6.90893317580424
53,Fiji,FJI,39.578832298474694
54,France,FRA,-6.307285872722089
55,"Micronesia, Fed. Sts.",FSM,-1.1526752720603604
56,Gabon,GAB,30.34282940638356
57,United Kingdom,GBR,-5.65556991400536
58,Georgia,GEO,-16.55780094508606
59,Ghana,GHA,-3.2822431163051533
60,Guinea,GIN,-1.787470205313749
61,"Gambia, The",GMB,8.261354172512089
62,Guinea-Bissau,GNB,-8.20947676638556
63,Equatorial Guinea,GNQ,137.06910291172892
64,Greece,GRC,-0.9114440873861334
65,Grenada,GRD,-3.4357229026491396
66,Guatemala,GTM,8.384921107192909
67,Guyana,GUY,-0.06001643671474355
68,"Hong Kong SAR, China",HKG,-7.712721548628542
69,Honduras,HND,-4.397758213195786
70,Croatia,HRV,7.243440841987088
71,Haiti,HTI,80.23918796365274
72,Hungary,HUN,-7.117599810564139
73,Indonesia,IDN,28.98661448174183
74,India,IND,12.264922411712192
75,Ireland,IRL,-3.2560918602455455
76,"Iran, Islamic Rep.",IRN,55.7301028442062
77,Iraq,IRQ,17.053750271025482
78,Iceland,ISL,2.325344996207976
79,Israel,ISR,1.8028068469782053
80,Italy,ITA,-5.044630056040402
81,Jamaica,JAM,-15.323919670758759
82,Jordan,JOR,-5.924596848595538
83,Japan,JPN,0.9172142716930267
84,Kazakhstan,KAZ,-3.5359876753354786
85,Kenya,KEN,10.950647105932106
86,Kyrgyz Republic,KGZ,-7.144726792213824
87,Cambodia,KHM,69.84267980641499
88,Kiribati,KIR,14.165175253474303
89,St. Kitts and Nevis,KNA,4.8235012530323225
90,"Korea, Rep.",KOR,-7.34222394003443
91,Kuwait,KWT,22.025689335257745
92,Lao PDR,LAO,169.2653058306854
93,Lebanon,LBN,-3.185403640046122
94,Liberia,LBR,-10.651710338851519
95,Libya,LBY,17.59850687154384
96,St. Lucia,LCA,-7.707214959051477
97,Sri Lanka,LKA,-8.850579776613014
98,Lesotho,LSO,11.979620761333106
99,Lithuania,LTU,-7.578242433381606
100,Luxembourg,LUX,6.717780873929891
101,Latvia,LVA,-9.149152361961074
102,Morocco,MAR,-7.6161611161161815
103,Moldova,MDA,-11.49726550800835
104,Madagascar,MDG,-3.6919828186513293
105,Maldives,MDV,-5.918839035362485
106,Mexico,MEX,-8.473852768153643
107,Marshall Islands,MHL,-0.24527860601736862
108,"Macedonia, FYR",MKD,-4.325035436721983
109,Mali,MLI,-8.327284385188115
110,Malta,MLT,16.756687756058085
111,Myanmar,MMR,-1.5697309371024843
112,Montenegro,MNE,-5.1960660205480025
113,Mongolia,MNG,-7.825805957585207
114,Mozambique,MOZ,4.373886300983749
115,Mauritania,MRT,-9.230348286621386
116,Mauritius,MUS,-9.541857556362451
117,Malawi,MWI,21.38144797293732
118,Malaysia,MYS,-6.434508725708108
119,Namibia,NAM,47.24523781989473
120,Niger,NER,-1.5720780462028578
121,Nigeria,NGA,12.582128426259619
122,Nicaragua,NIC,-3.5463394381221924
123,Netherlands,NLD,-6.097235252594372
124,Norway,NOR,-5.145296541524939
125,Nepal,NPL,0.07611842489978216
126,New Zealand,NZL,-10.304485061440923
127,Oman,OMN,-1.7436588251078717
128,Pakistan,PAK,2.5146460941367756
129,Panama,PAN,-9.517186127063512
130,Peru,PER,22.738398636655017
131,Philippines,PHL,10.991159860658797
132,Palau,PLW,10.318972745287017
133,Papua New Guinea,PNG,35.71747771788509
134,Poland,POL,23.04293860175133
135,Puerto Rico,PRI,-4.854633664252761
136,Portugal,PRT,-6.864556360429733
137,Paraguay,PRY,16.152747374350305
138,West Bank and Gaza,PSE,26.01049640692184
139,Qatar,QAT,-1.4066899309754675
140,Romania,ROU,-7.666447860917463
141,Russian Federation,RUS,-3.8438883144773843
142,Rwanda,RWA,-10.781610305827073
143,Saudi Arabia,SAU,13.92153899445698
144,Sudan,SDN,19.10901214511301
145,Senegal,SEN,-11.06986806066158
146,Singapore,SGP,-7.149828785036878
147,Solomon Islands,SLB,-7.883710187434033
148,Sierra Leone,SLE,-6.676059959403368
149,El Salvador,SLV,-1.5454656309806047
150,San Marino,SMR,3.3537421731004375
151,Serbia,SRB,-6.7517958388757116
152,South Sudan,SSD,-2.8164635483070555
153,Sao Tome and Principe,STP,-10.075953439459276
154,Suriname,SUR,67.01451532427959
155,Slovak Republic,SVK,13.632008451802886
156,Slovenia,SVN,-6.272180013902048
157,Sweden,SWE,-2.6592918317600116
158,Eswatini,SWZ,11.764808507136372
159,Seychelles,SYC,18.005049190424476
