,country,country_code,ease_doing_business_resid
0,Afghanistan,AFG,20.515642595755708
1,Angola,AGO,54.52236803897718
2,Albania,ALB,-35.80390912760909
3,United Arab Emirates,ARE,-20.493522801749293
4,Argentina,ARG,45.97188099839731
5,Armenia,ARM,-69.36280334112114
6,Antigua and Barbuda,ATG,41.13255719254464
7,Australia,AUS,-18.593444164033023
8,Austria,AUT,-9.084339453467294
9,Azerbaijan,AZE,-54.879082576342796
10,Burundi,BDI,14.780433759517507
11,Belgium,BEL,8.019917204483214
12,Benin,BEN,7.6446390590960505
13,Burkina Faso,BFA,3.255464073656327
14,Bangladesh,BGD,37.52968464033759
15,Bulgaria,BGR,-19.69110773918834
16,Bahrain,BHR,25.664498166083483
17,"Bahamas, The",BHS,64.0805563312262
18,Bosnia and Herzegovina,BIH,-9.835985332398948
19,Belarus,BLR,-41.25849610964646
20,Belize,BLZ,13.701770179844516
21,Bolivia,BOL,36.87678122416227
22,Brazil,BRA,22.178081468254774
23,Barbados,BRB,48.34924536183915
24,Brunei Darussalam,BRN,19.289754812820263
25,Bhutan,BTN,-31.675576945682167
26,Botswana,BWA,0.3610135114236215
27,Central African Republic,CAF,29.2095605469423
28,Canada,CAN,-15.387184027231172
29,Switzerland,CHE,6.92791719315964
30,Chile,CHL,-11.934890596644138
31,China,CHN,-45.00153461877298
32,Cote d'Ivoire,CIV,-15.82397396433393
33,Cameroon,CMR,28.45679027048166
34,"Congo, Dem. Rep.",COD,31.402582392925382
35,"Congo, Rep.",COG,55.430640172475336
36,Colombia,COL,-28.12763984499199
37,Comoros,COM,21.714435391139688
38,Cabo Verde,CPV,8.500630258452787
39,Costa Rica,CRI,-19.70172430820503
40,Cyprus,CYP,5.204451158287199
41,Czech Republic,CZE,-13.796481162732185
42,Germany,DEU,-11.902789097353256
43,Dominica,DMA,0.9545037150572568
44,Denmark,DNK,-32.55909146058198
45,Dominican Republic,DOM,10.392129361242851
46,Algeria,DZA,66.55358830697486
47,Ecuador,ECU,23.59483643046721
48,"Egypt, Arab Rep.",EGY,18.408548879226856
49,Spain,ESP,-16.749024795604434
50,Estonia,EST,-40.51350993786264
51,Ethiopia,ETH,10.867013121290938
52,Finland,FIN,-22.104513871007093
53,Fiji,FJI,-7.929738804687986
54,France,FRA,-8.346796744046166
55,"Micronesia, Fed. Sts.",FSM,22.35152257927092
56,Gabon,GAB,89.5561671782127
57,United Kingdom,GBR,-30.48689064670964
58,Georgia,GEO,-100.17908466754115
59,Ghana,GHA,-20.4019853511725
60,Guinea,GIN,5.248208702299934
61,"Gambia, The",GMB,1.048179225346047
62,Guinea-Bissau,GNB,26.333993482036817
63,Equatorial Guinea,GNQ,121.55580921678924
64,Greece,GRC,11.941765858263444
65,Grenada,GRD,53.3864766344998
66,Guatemala,GTM,-17.05143172678089
67,Guyana,GUY,17.805647252703324
68,"Hong Kong SAR, China",HKG,-28.040024704571145
69,Honduras,HND,-10.52223128447747
70,Croatia,HRV,-9.483804985541823
71,Haiti,HTI,34.592287921241876
72,Hungary,HUN,-8.198355376800407
73,Indonesia,IDN,-27.71443811441135
74,India,IND,-46.377822090517455
75,Ireland,IRL,-8.098377341984733
76,"Iran, Islamic Rep.",IRN,47.482510655069674
77,Iraq,IRQ,84.2991806779451
78,Iceland,ISL,-15.029718100521023
79,Israel,ISR,3.6372094807507125
80,Italy,ITA,6.53829015734798
81,Jamaica,JAM,-35.85084982547369
82,Jordan,JOR,-4.8618552552814975
83,Japan,JPN,-1.2107966083085984
84,Kazakhstan,KAZ,-35.361103929282955
85,Kenya,KEN,-79.23689110064214
86,Kyrgyz Republic,KGZ,-67.84770884062925
87,Cambodia,KHM,0.4679542371647756
88,Kiribati,KIR,12.4174427986122
89,St. Kitts and Nevis,KNA,81.0465680274612
90,"Korea, Rep.",KOR,-41.235384716487125
91,Kuwait,KWT,64.77655901395174
92,Lao PDR,LAO,30.61325789063541
93,Lebanon,LBN,50.00084981629941
94,Liberia,LBR,23.926103019144307
95,Libya,LBY,99.68647930657063
96,St. Lucia,LCA,-2.8786208973215395
97,Sri Lanka,LKA,1.5864510393985398
98,Lesotho,LSO,-34.96189717052246
99,Lithuania,LTU,-42.156677184929464
100,Luxembourg,LUX,20.100069798553136
101,Latvia,LVA,-45.07581411318867
102,Morocco,MAR,-55.02915046862411
103,Moldova,MDA,-82.06873871739015
104,Madagascar,MDG,11.906703039432244
105,Maldives,MDV,48.79761031095693
106,Mexico,MEX,-27.510147002385978
107,Marshall Islands,MHL,14.672516336824543
108,"Macedonia, FYR",MKD,-82.92137149433144
109,Mali,MLI,-0.7690728360929882
110,Malta,MLT,38.36128396540061
111,Myanmar,MMR,43.695050953164355
112,Montenegro,MNE,-34.52721139421541
113,Mongolia,MNG,-23.416346319442795
114,Mozambique,MOZ,-15.694931107659784
115,Mauritania,MRT,12.298442445781347
116,Mauritius,MUS,-53.63013983029553
117,Malawi,MWI,-39.8780695556965
118,Malaysia,MYS,-45.16301018501229
119,Namibia,NAM,5.051603318991084
120,Niger,NER,-9.000381896906703
121,Nigeria,NGA,22.220955954242754
122,Nicaragua,NIC,4.1281261238853375
123,Netherlands,NLD,0.7755695692350031
124,Norway,NOR,-24.17643001906537
125,Nepal,NPL,-33.371221626221114
126,New Zealand,NZL,-42.08196102049251
127,Oman,OMN,39.18498453602854
