country,country_code,energy_use_per_capita_resid
Angola,AGO,-254.39323900154704
Albania,ALB,-432.47620103696045
Arab World,ARB,296.3730789072006
United Arab Emirates,ARE,-23.353731333917494
Argentina,ARG,53.35508841633509
Armenia,ARM,61.68804833329261
Australia,AUS,663.7502137239671
Austria,AUT,-1376.4812964508183
Azerbaijan,AZE,-256.82169200926455
Belgium,BEL,147.29914479597028
Benin,BEN,83.76479327007797
Bangladesh,BGD,-224.15783440516245
Bulgaria,BGR,689.162176399414
Bahrain,BHR,5857.656245475079
Bosnia and Herzegovina,BIH,954.2706021410704
Belarus,BLR,1128.84266803853
Bolivia,BOL,1.4447124711289234
Brazil,BRA,-119.3923261516727
Brunei Darussalam,BRN,-246.27523800932067
Botswana,BWA,-377.3994856652987
Canada,CAN,3413.0103296488014
Central Europe and the Baltics,CEB,62.87926519384018
Switzerland,CHE,-3816.1292003247167
Chile,CHL,-108.08536648369318
China,CHN,725.047583554571
Cote d'Ivoire,CIV,158.58921406369063
Cameroon,CMR,-120.06900169634059
"Congo, Dem. Rep.",COD,171.88880405306813
"Congo, Rep.",COG,-148.0319335668787
Colombia,COL,-737.1012924591338
Costa Rica,CRI,-576.1405011717427
Cyprus,CYP,-1257.0747816594223
Czech Republic,CZE,747.917039202372
Germany,DEU,-1091.047868070239
Denmark,DNK,-2110.2322329734816
Dominican Republic,DOM,-759.8299682696043
Algeria,DZA,-206.34414227782668
East Asia & Pacific (excluding high income),EAP,504.80322917245553
Early-demographic dividend,EAR,-62.214386654667464
East Asia & Pacific,EAS,498.02945928725535
Europe & Central Asia (excluding high income),ECA,1258.4373224429498
Europe & Central Asia,ECS,280.6459335854902
Ecuador,ECU,-327.9429042246493
"Egypt, Arab Rep.",EGY,-336.67048143974694
Euro area,EMU,-742.7293306800034
Spain,ESP,-851.8536075488728
Estonia,EST,1924.4886945530761
Ethiopia,ETH,208.4748064098132
European Union,EUU,-654.349064329866
Fragile and conflict affected situations,FCS,66.50989989485845
Finland,FIN,2064.679661818569
France,FRA,-315.2271537604797
Gabon,GAB,936.2985960515723
United Kingdom,GBR,-1314.5396794484386
Georgia,GEO,136.67845102285605
Ghana,GHA,-180.1170084488415
Greece,GRC,-356.6009714260276
Guatemala,GTM,-34.3983344152839
High income,HIC,165.08389311040082
"Hong Kong SAR, China",HKG,-4078.6779205976054
Honduras,HND,43.14013909956816
Croatia,HRV,-277.1397546173921
Haiti,HTI,92.84771456384914
Hungary,HUN,-116.46640330871514
IBRD only,IBD,263.6183877942151
IDA & IBRD total,IBT,253.73651598845254
IDA total,IDA,-2.369760720990712
IDA blend,IDB,-12.469622218486165
Indonesia,IDN,-295.8928365385947
IDA only,IDX,-13.29632697345437
India,IND,-71.67601952112273
Ireland,IRL,-4755.790538804837
"Iran, Islamic Rep.",IRN,1279.6493579596931
Iraq,IRQ,-193.80395690355545
Iceland,ISL,13085.939638088683
Israel,ISR,-675.7672689979299
Italy,ITA,-1108.4455530956548
Jamaica,JAM,34.65250503845584
Jordan,JOR,-57.99062727003843
Japan,JPN,-520.9238672399224
Kazakhstan,KAZ,2094.596400936453
Kenya,KEN,96.48784732989083
Kyrgyz Republic,KGZ,193.58591456079654
Cambodia,KHM,-45.179732812463214
"Korea, Rep.",KOR,1929.0487116905906
Kuwait,KWT,906.8306626839967
Latin America & Caribbean (excluding high income),LAC,-278.53396943275266
Lebanon,LBN,-146.11761614682655
Libya,LBY,1264.1957195526595
Latin America & Caribbean,LCN,-239.17432136945217
Least developed countries: UN classification,LDC,-12.307729434290252
Sri Lanka,LKA,-738.8035269616927
Lower middle income,LMC,-93.20865368388547
Low & middle income,LMY,255.99702911037866
Late-demographic dividend,LTE,681.010072304894
Lithuania,LTU,-300.6873360200625
Luxembourg,LUX,-4946.564760250813
Latvia,LVA,-136.47744343216573
Morocco,MAR,-311.8175877780785
Moldova,MDA,320.7956393955154
Middle East & North Africa,MEA,510.702065493354
Mexico,MEX,-206.40899812881048
Middle income,MIC,228.3741734970056
"Macedonia, FYR",MKD,-193.1035763476284
Malta,MLT,-1631.3624553423972
Myanmar,MMR,-266.8004837966324
Middle East & North Africa (excluding high income),MNA,167.82420459610375
Montenegro,MNE,-116.89146915039146
Mongolia,MNG,546.9813628579004
Mozambique,MOZ,179.97698393709064
Mauritius,MUS,-829.3516152363031
Malaysia,MYS,492.4578850762532
North America,NAC,1227.1403540357787
Namibia,NAM,-377.25693654373674
Niger,NER,-76.31495093402529
Nigeria,NGA,61.557330013237106
Nicaragua,NIC,-19.623379820750984
Netherlands,NLD,-768.6110739640517
Norway,NOR,-1038.1845912341068
Nepal,NPL,47.409189300666355
New Zealand,NZL,895.111662008981
OECD members,OED,125.9462545327824
Oman,OMN,1947.241158779033
Pakistan,PAK,-117.970113190944
Panama,PAN,-1029.8447228962043
Peru,PER,-562.6126913576927
Philippines,PHL,-345.8467569781965
Poland,POL,4.075663852297112
Pre-demographic dividend,PRE,94.8248479031376
Portugal,PRT,-721.8827506138387
Paraguay,PRY,-472.07432560490804
Post-demographic dividend,PST,233.0398103131247
Qatar,QAT,3578.5469173154743
Romania,ROU,-473.9958082611097
Russian Federation,RUS,2628.3839539755177
South Asia,SAS,-90.27443012922208
Saudi Arabia,SAU,1273.1558010283316
Sudan,SDN,-180.93899622646342
Senegal,SEN,-153.39012035284696
Singapore,SGP,-4723.263921998765
El Salvador,SLV,-189.47805254325874
Serbia,SRB,389.26744908108094
Sub-Saharan Africa (excluding high income),SSA,200.7566296992809
South Sudan,SSD,-261.2912937450417
Sub-Saharan Africa,SSF,200.5593875204686
Suriname,SUR,-340.088747378828
Slovak Republic,SVK,187.92232849926904
Slovenia,SVN,272.7067385681853
Sweden,SWE,85.50762420019782
East Asia & Pacific (IDA & IBRD countries),TEA,509.73370909358414
Europe & Central Asia (IDA & IBRD countries),TEC,1133.8609940010183
Togo,TGO,176.6257546381848
Thailand,THA,321.6632879697279
Tajikistan,TJK,-62.206988420784455
Turkmenistan,TKM,3266.4018821826594
Latin America & the Caribbean (IDA & IBRD countries),TLA,-229.76266317338923
Middle East & North Africa (IDA & IBRD countries),TMN,158.64228463838458
South Asia (IDA & IBRD),TSA,-90.27443012922208
Sub-Saharan Africa (IDA & IBRD countries),TSS,200.5593875204686
Trinidad and Tobago,TTO,11268.650843050833
Tunisia,TUN,-277.7822760662723
Turkey,TUR,-745.4827732960027
Tanzania,TZA,92.6459779410742
Ukraine,UKR,1452.425581537645
Upper middle income,UMC,575.7909328979299
Uruguay,URY,-646.1145449482763
United States,USA,986.0416706700844
World,WLD,311.65116162184154
Kosovo,XKX,158.04375144222627
South Africa,ZAF,1300.8221769943123
