,country,country_code,external_debt_pct_GNI_resid
0,Afghanistan,AFG,-21.60417977842632
1,Angola,AGO,-18.75946380287297
2,Albania,ALB,25.032637651735392
3,Armenia,ARM,32.18201977864083
4,Azerbaijan,AZE,-19.142956903489143
5,Burundi,BDI,-10.850790325050372
6,Benin,BEN,-8.73330034031585
7,Burkina Faso,BFA,-7.711086514851001
8,Bangladesh,BGD,-20.912886700866395
9,Bulgaria,BGR,35.28056301181461
10,Bosnia and Herzegovina,BIH,38.202805581213994
11,Belarus,BLR,24.519360199523916
12,Belize,BLZ,30.113702860816062
13,Bolivia,BOL,-16.487946728558658
14,Brazil,BRA,-14.237137407867731
15,Bhutan,BTN,58.53712173554522
16,Botswana,BWA,-29.557654171586957
17,Central African Republic,CAF,11.908567277645155
18,China,CHN,-32.73145885535289
19,Cote d'Ivoire,CIV,-3.2980203426702275
20,Cameroon,CMR,-15.025150206392077
21,"Congo, Dem. Rep.",COD,-16.24604236929909
22,"Congo, Rep.",COG,2.540103146241286
23,Colombia,COL,-5.323630708308819
24,Comoros,COM,-13.685677212767562
25,Cabo Verde,CPV,53.86682101871876
26,Costa Rica,CRI,-0.055957360957947344
27,Dominica,DMA,12.765147296571492
28,Dominican Republic,DOM,-3.8978201343666967
29,Algeria,DZA,-41.858208994020856
30,Ecuador,ECU,-18.52140080285205
31,"Egypt, Arab Rep.",EGY,-32.95131746799224
32,Ethiopia,ETH,-1.0560481386694889
33,Fiji,FJI,-28.73412627361251
34,Gabon,GAB,-7.798106177878601
35,Georgia,GEO,56.470587000426356
36,Ghana,GHA,15.955671353138342
37,Guinea,GIN,-17.89457829594743
38,"Gambia, The",GMB,26.984433018111034
39,Guinea-Bissau,GNB,-4.201164538930531
40,Grenada,GRD,17.100437995795865
41,Guatemala,GTM,-15.602080757064066
42,Guyana,GUY,3.885778500629101
43,Honduras,HND,-2.8650991577067657
44,Haiti,HTI,-10.171819439945825
45,Indonesia,IDN,-10.447332987668716
46,India,IND,-23.01651946384662
47,"Iran, Islamic Rep.",IRN,-44.35396809955662
48,Jamaica,JAM,53.670254880039025
49,Jordan,JOR,20.305601570149072
50,Kazakhstan,KAZ,38.14155415003077
51,Kenya,KEN,-6.3572668424395715
52,Kyrgyz Republic,KGZ,78.90212158767207
53,Cambodia,KHM,18.406401012531035
54,Lao PDR,LAO,38.767754217505725
55,Lebanon,LBN,93.52275481079151
56,Liberia,LBR,14.87015181214727
57,St. Lucia,LCA,-10.746749618401218
58,Sri Lanka,LKA,9.858359912640253
59,Lesotho,LSO,-5.333591215132216
60,Morocco,MAR,-4.984547449547577
61,Moldova,MDA,44.653219936597175
62,Madagascar,MDG,-1.2306165080563929
63,Maldives,MDV,-18.452089982230596
64,Mexico,MEX,-8.53136721842062
65,"Macedonia, FYR",MKD,24.607811441284063
66,Mali,MLI,-6.127719901200873
67,Myanmar,MMR,-17.882945690179387
68,Montenegro,MNE,18.613002551084165
69,Mongolia,MNG,157.7528672969417
70,Mozambique,MOZ,38.80258040109078
71,Mauritania,MRT,41.83987369064627
72,Mauritius,MUS,30.611089099328794
73,Malawi,MWI,-4.332838097523673
74,Niger,NER,5.484183104763648
75,Nigeria,NGA,-39.67521181885377
76,Nicaragua,NIC,38.81245908622322
77,Nepal,NPL,-17.017788191263822
78,Pakistan,PAK,-19.84010821157224
79,Peru,PER,-8.713318312375549
80,Philippines,PHL,-26.37052758773458
81,Papua New Guinea,PNG,63.767770046094086
82,Paraguay,PRY,16.548642383229996
83,Romania,ROU,7.572683040249522
84,Russian Federation,RUS,-14.946086585497476
85,Rwanda,RWA,-7.412674800447164
86,Sudan,SDN,-17.336955995519027
87,Senegal,SEN,6.671843120373147
88,Solomon Islands,SLB,-17.11558059436791
89,Sierra Leone,SLE,4.136464203954446
90,El Salvador,SLV,14.202812666092221
91,Serbia,SRB,43.68126930629064
92,Sao Tome and Principe,STP,41.41038335769439
93,Eswatini,SWZ,-39.48535854416418
94,Chad,TCD,-7.477492356374693
95,Togo,TGO,-8.606306612566733
96,Thailand,THA,-11.280360963730509
97,Tajikistan,TJK,18.506926543179517
98,Turkmenistan,TKM,-43.99302740611416
99,Timor-Leste,TLS,-45.27296458434113
100,Tonga,TON,-4.790748552071641
101,Tunisia,TUN,18.50657483972465
102,Turkey,TUR,-3.133728058613798
103,Tanzania,TZA,-2.16329773981181
104,Uganda,UGA,1.7765451218542267
105,Ukraine,UKR,81.81183608992718
106,Uzbekistan,UZB,-24.24833961819319
107,St. Vincent and the Grenadines,VCT,-1.3452338150250327
108,Vietnam,VNM,-3.0147340340220055
109,Vanuatu,VUT,-0.39221511658134744
110,Samoa,WSM,10.039278151550555
111,Kosovo,XKX,-16.023776179628996
112,"Yemen, Rep.",YEM,-18.13915292469313
113,South Africa,ZAF,-0.46268813356441285
114,Zambia,ZMB,16.74447668412524
115,Zimbabwe,ZWE,25.25072120563574
116,Aruba,ABW,
117,Andorra,AND,
118,United Arab Emirates,ARE,
119,Argentina,ARG,
120,American Samoa,ASM,
121,Antigua and Barbuda,ATG,
122,Australia,AUS,
123,Austria,AUT,
124,Belgium,BEL,
125,Bahrain,BHR,
126,"Bahamas, The",BHS,
127,Bermuda,BMU,
128,Barbados,BRB,
129,Brunei Darussalam,BRN,
130,Canada,CAN,
131,Switzerland,CHE,
132,Channel Islands,CHI,
133,Chile,CHL,
134,Cuba,CUB,
135,Curacao,CUW,
136,Cayman Islands,CYM,
137,Cyprus,CYP,
138,Czech Republic,CZE,
139,Germany,DEU,
140,Djibouti,DJI,
141,Denmark,DNK,
142,Eritrea,ERI,
143,Spain,ESP,
144,Estonia,EST,
145,Finland,FIN,
146,France,FRA,
147,Faroe Islands,FRO,
148,"Micronesia, Fed. Sts.",FSM,
149,United Kingdom,GBR,
150,Gibraltar,GIB,
151,Equatorial Guinea,GNQ,
152,Greece,GRC,
153,Greenland,GRL,
154,Guam,GUM,
155,"Hong Kong SAR, China",HKG,
156,Croatia,HRV,
157,Hungary,HUN,
158,Isle of Man,IMN,
159,Ireland,IRL,
160,Iraq,IRQ,
161,Iceland,ISL,
162,Israel,ISR,
163,Italy,ITA,
164,Japan,JPN,
165,Kiribati,KIR,
166,St. Kitts and Nevis,KNA,
167,"Korea, Rep.",KOR,
168,Kuwait,KWT,
169,Libya,LBY,
170,Liechtenstein,LIE,
171,Lithuania,LTU,
172,Luxembourg,LUX,
173,Latvia,LVA,
174,"Macao SAR, China",MAC,
175,St. Martin (French part),MAF,
176,Monaco,MCO,
177,Marshall Islands,MHL,
178,Malta,MLT,
179,Northern Mariana Islands,MNP,
180,Malaysia,MYS,
181,Namibia,NAM,
182,New Caledonia,NCL,
183,Netherlands,NLD,
184,Norway,NOR,
185,Nauru,NRU,
186,New Zealand,NZL,
187,Oman,OMN,
188,Panama,PAN,
189,Palau,PLW,
190,Poland,POL,
191,Puerto Rico,PRI,
192,"Korea, Dem. People’s Rep.",PRK,
193,Portugal,PRT,
194,West Bank and Gaza,PSE,
195,French Polynesia,PYF,
196,Qatar,QAT,
197,Saudi Arabia,SAU,
198,Singapore,SGP,
199,San Marino,SMR,
200,Somalia,SOM,
201,South Sudan,SSD,
202,Suriname,SUR,
203,Slovak Republic,SVK,
204,Slovenia,SVN,
205,Sweden,SWE,
206,Sint Maarten (Dutch part),SXM,
207,Seychelles,SYC,
208,Syrian Arab Republic,SYR,
209,Turks and Caicos Islands,TCA,
210,Trinidad and Tobago,TTO,
211,Tuvalu,TUV,
212,Uruguay,URY,
213,United States,USA,
214,"Venezuela, RB",VEN,
215,British Virgin Islands,VGB,
216,Virgin Islands (U.S.),VIR,
