,country,country_code,fdi_net_current_usd
0,Aruba,ABW,-28775856.424581
1,Afghanistan,AFG,169146608.0
2,Angola,AGO,9282167512.38257
3,Albania,ALB,989278987.84631
4,Andorra,AND,
5,Arab World,ARB,37104037008.9551
6,United Arab Emirates,ARE,8550901846.585391
7,Argentina,ARG,11758994011.286001
8,Armenia,ARM,178295867.11618
9,American Samoa,ASM,
10,Antigua and Barbuda,ATG,107460503.54774
11,Australia,AUS,45051418215.3716
12,Austria,AUT,-7972751912.9417
13,Azerbaijan,AZE,4047630000.0
14,Burundi,BDI,49622865.770581104
15,Belgium,BEL,-24266120892.832
16,Benin,BEN,149642289.651405
17,Burkina Faso,BFA,231726245.403083
18,Bangladesh,BGD,2831152765.15515
19,Bulgaria,BGR,2609370000.0
20,Bahrain,BHR,64893617.0212766
21,"Bahamas, The",BHS,76075924.75
22,Bosnia and Herzegovina,BIH,383089615.729344
23,Belarus,BLR,1652300000.0
24,Belize,BLZ,59119223.8981489
25,Bermuda,BMU,-143094386.12
26,Bolivia,BOL,554643532.297183
27,Brazil,BRA,74718044773.96
28,Barbados,BRB,69489165.7721804
29,Brunei Darussalam,BRN,171289167.823995
30,Bhutan,BTN,6450953.8497443
31,Botswana,BWA,679446475.856951
32,Central African Republic,CAF,3000000.0
33,Canada,CAN,61642188665.8004
34,Central Europe and the Baltics,CEB,22677378175.1534
35,Switzerland,CHE,115891596415.604
36,Channel Islands,CHI,
37,Chile,CHL,21050769694.5994
38,China,CHN,242489331627.399
39,Cote d'Ivoire,CIV,494209964.321162
40,Cameroon,CMR,694057556.5515679
41,"Congo, Dem. Rep.",COD,1265374483.88029
42,"Congo, Rep.",COG,4278118364.9803295
43,Colombia,COL,11723216758.3177
44,Comoros,COM,5146839.5062
45,Cabo Verde,CPV,96071472.8368678
46,Costa Rica,CRI,2955521680.8396697
47,Caribbean small states,CSS,2189776814.58921
48,Cuba,CUB,
49,Curacao,CUW,146435754.189944
50,Cayman Islands,CYM,52430528000.0
51,Cyprus,CYP,8106710245.6904
52,Czech Republic,CZE,1699914616.6024199
53,Germany,DEU,54117739829.4413
54,Djibouti,DJI,123998424.48795901
55,Dominica,DMA,11051185.7333333
56,Denmark,DNK,1850770714.86075
57,Dominican Republic,DOM,2227300000.0
58,Algeria,DZA,-537792920.9218559
59,East Asia & Pacific (excluding high income),EAP,306306693297.118
60,Early-demographic dividend,EAR,218529833381.504
61,East Asia & Pacific,EAS,616477347729.831
62,Europe & Central Asia (excluding high income),ECA,58701719779.7824
63,Europe & Central Asia,ECS,811340900223.5591
64,Ecuador,ECU,1322490337.30748
65,"Egypt, Arab Rep.",EGY,6925200000.0
66,Euro area,EMU,566829420552.4829
67,Eritrea,ERI,49323061.48
68,Spain,ESP,25350485004.861
69,Estonia,EST,-714370930.343786
70,Ethiopia,ETH,2626520129.68937
71,European Union,EUU,641053557941.474
72,Fragile and conflict affected situations,FCS,25177858888.9262
73,Finland,FIN,16843228522.129
74,Fiji,FJI,307878423.719429
75,France,FRA,42803255076.3836
76,Faroe Islands,FRO,
77,"Micronesia, Fed. Sts.",FSM,800000.0
78,Gabon,GAB,990434781.195208
79,United Kingdom,GBR,45333483122.0899
80,Georgia,GEO,1659056485.19
81,Ghana,GHA,3192320530.7897
82,Gibraltar,GIB,-2174517000.0
83,Guinea,GIN,53272458.4212994
84,"Gambia, The",GMB,-1692732.88803125
85,Guinea-Bissau,GNB,18575499.4478127
86,Equatorial Guinea,GNQ,233242320.486243
87,Greece,GRC,1268311157.9330301
88,Grenada,GRD,150889495.24726698
89,Greenland,GRL,
90,Guatemala,GTM,1175523400.0
91,Guam,GUM,
92,Guyana,GUY,137700000.0
93,High income,HIC,1782811970085.44
94,"Hong Kong SAR, China",HKG,181047431127.246
95,Honduras,HND,1316679827.33597
96,Heavily indebted poor countries (HIPC),HPC,30280485974.3575
97,Croatia,HRV,158968737.615967
98,Haiti,HTI,105680000.0
99,Hungary,HUN,-5517128093.46639
100,IBRD only,IBD,635526488181.158
101,IDA & IBRD total,IBT,684489504400.903
102,IDA total,IDA,48963016219.7456
103,IDA blend,IDB,11802887077.5077
104,Indonesia,IDN,19779127976.9576
105,IDA only,IDX,37160129142.238
106,Isle of Man,IMN,
107,India,IND,44009492129.5319
108,Not classified,INX,
109,Ireland,IRL,235355989626.205
110,"Iran, Islamic Rep.",IRN,2050000000.0
111,Iraq,IRQ,3316300000.0
112,Iceland,ISL,1145767444.82301
113,Israel,ISR,11336200000.0
114,Italy,ITA,13299083868.094
115,Jamaica,JAM,924977863.7100381
116,Jordan,JOR,1600281690.14085
117,Japan,JPN,5252218412.391721
118,Kazakhstan,KAZ,6379438049.679
119,Kenya,KEN,619724470.476665
120,Kyrgyz Republic,KGZ,1144054000.0
121,Cambodia,KHM,1822804151.25712
122,Kiribati,KIR,837637.744801765
123,St. Kitts and Nevis,KNA,120490678.318178
124,"Korea, Rep.",KOR,4104100000.0
125,Kuwait,KWT,284647623.805362
126,Latin America & Caribbean (excluding high income),LAC,147666709895.634
127,Lao PDR,LAO,1077759914.58895
128,Lebanon,LBN,2159289951.7381396
129,Liberia,LBR,232679832.473779
130,Libya,LBY,725667000.0
131,St. Lucia,LCA,114384196.477899
132,Latin America & Caribbean,LCN,266751195838.895
133,Least developed countries: UN classification,LDC,38148227045.5683
134,Low income,LIC,15766177084.683998
135,Liechtenstein,LIE,
136,Sri Lanka,LKA,679655644.244789
137,Lower middle income,LMC,140707850060.433
138,Low & middle income,LMY,628545590629.343
139,Lesotho,LSO,113220010.39759299
140,Late-demographic dividend,LTE,694852731785.571
141,Lithuania,LTU,970017858.992647
142,Luxembourg,LUX,11320244609.3591
143,Latvia,LVA,838627741.071643
144,"Macao SAR, China",MAC,367365411.60770696
145,St. Martin (French part),MAF,
146,Morocco,MAR,3252913902.3566604
147,Monaco,MCO,
148,Moldova,MDA,216150000.0
149,Madagascar,MDG,328059305.56932
150,Maldives,MDV,297975993.392527
151,Middle East & North Africa,MEA,50901534243.6466
152,Mexico,MEX,36775634407.5071
153,Marshall Islands,MHL,-5393638.49927042
154,Middle income,MIC,612779413544.6589
155,"Macedonia, FYR",MKD,296604200.381223
156,Mali,MLI,275317071.69493103
157,Malta,MLT,2949544243.36216
158,Myanmar,MMR,4083839111.71186
159,Middle East & North Africa (excluding high income),MNA,20675872854.8454
160,Montenegro,MNE,699736511.121924
161,Mongolia,MNG,94319767.4741563
162,Northern Mariana Islands,MNP,
163,Mozambique,MOZ,3868353884.95
164,Mauritania,MRT,501726765.73381907
165,Mauritius,MUS,208290139.453356
166,Malawi,MWI,516092796.535975
167,Malaysia,MYS,9857162232.86717
168,North America,NAC,570586094279.68
169,Namibia,NAM,1169185078.59637
170,New Caledonia,NCL,1203895440.08717
171,Niger,NER,529263979.477229
172,Nigeria,NGA,3137318699.77873
173,Nicaragua,NIC,949900000.0
174,Netherlands,NLD,180803671741.028
175,Norway,NOR,6599421357.544539
176,Nepal,NPL,51895699.9282915
177,Nauru,NRU,0.0
178,New Zealand,NZL,-74038516.2862588
179,OECD members,OED,1458775509339.85
180,Oman,OMN,-2172431729.5188603
181,Other small states,OSS,17643105927.7106
182,Pakistan,PAK,1621000000.0
183,Panama,PAN,5119300000.0
184,Peru,PER,8271633513.74415
185,Philippines,PHL,5639155961.87389
186,Palau,PLW,34583158.147185
187,Papua New Guinea,PNG,203474073.882316
188,Poland,POL,15065000000.0
189,Pre-demographic dividend,PRE,37777681745.3893
190,Puerto Rico,PRI,
191,"Korea, Dem. People’s Rep.",PRK,82063000.0
192,Portugal,PRT,2506507991.67442
193,Paraguay,PRY,480469114.4
194,West Bank and Gaza,PSE,104937726.65803
195,Pacific island small states,PSS,441663956.352966
196,Post-demographic dividend,PST,1381390485900.87
197,French Polynesia,PYF,26007149.1590192
198,Qatar,QAT,1070879120.8791199
199,Romania,ROU,4317731472.30633
200,Russian Federation,RUS,6852970000.0
201,Rwanda,RWA,223334652.84
202,South Asia,SAS,49666769794.1024
203,Saudi Arabia,SAU,8141026666.66667
204,Sudan,SDN,1728373403.43067
205,Senegal,SEN,408856548.16261
206,Singapore,SGP,70595384867.1649
207,Solomon Islands,SLB,32222728.563543897
208,Sierra Leone,SLE,252435829.4339
209,El Salvador,SLV,494541718.09229803
210,San Marino,SMR,
211,Somalia,SOM,303000000.0
212,Serbia,SRB,2345152814.6035104
213,Sub-Saharan Africa (excluding high income),SSA,45527825007.8605
214,South Sudan,SSD,150000.0
215,Sub-Saharan Africa,SSF,45633718605.0638
216,Small states,SST,20274546698.6528
217,Sao Tome and Principe,STP,27924059.1401315
218,Suriname,SUR,183665852.69756
219,Slovak Republic,SVK,1519809127.1637099
220,Slovenia,SVN,1729437645.21085
221,Sweden,SWE,8706026818.98218
222,Eswatini,SWZ,31498094.370293
223,Sint Maarten (Dutch part),SXM,27770949.7206704
224,Seychelles,SYC,105893597.203315
225,Syrian Arab Republic,SYR,
226,Turks and Caicos Islands,TCA,-83617000.0
227,Chad,TCD,559443536.818454
228,East Asia & Pacific (IDA & IBRD countries),TEA,306259213455.265
229,Europe & Central Asia (IDA & IBRD countries),TEC,73925688517.3983
230,Togo,TGO,257756356.31864598
231,Thailand,THA,8927579180.9
232,Tajikistan,TJK,426147890.0
233,Turkmenistan,TKM,3042968465.0
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,188433178900.88602
235,Timor-Leste,TLS,42995500.0
236,Middle East & North Africa (IDA & IBRD countries),TMN,20570935128.1874
237,Tonga,TON,12546868.5796588
238,South Asia (IDA & IBRD),TSA,49666769794.1024
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,45633718605.0638
240,Trinidad and Tobago,TTO,176829710.36834198
241,Tunisia,TUN,970521888.7402029
242,Turkey,TUR,18002000000.0
243,Tuvalu,TUV,300000.0
244,Tanzania,TZA,1604581620.32199
245,Uganda,UGA,737652140.151428
246,Ukraine,UKR,3050000000.0
247,Upper middle income,UMC,472071563484.226
248,Uruguay,URY,2432624407.13237
249,United States,USA,509087000000.0
250,Uzbekistan,UZB,66489280.0
251,St. Vincent and the Grenadines,VCT,57643014.068518505
252,"Venezuela, RB",VEN,2956000000.0
253,British Virgin Islands,VGB,25680110000.0
254,Virgin Islands (U.S.),VIR,
255,Vietnam,VNM,11800000000.0
256,Vanuatu,VUT,31021245.773703497
257,World,WLD,2411357560714.78
258,Samoa,WSM,26867532.323914103
259,Kosovo,XKX,343256140.80856496
260,"Yemen, Rep.",YEM,-15444808.3545508
261,South Africa,ZAF,1521139945.30532
262,Zambia,ZMB,1582666666.6666698
263,Zimbabwe,ZWE,399200000.0
