,country,country_code,fdi_net_current_usd_resid
0,Aruba,ABW,-9874691991.963724
1,Afghanistan,AFG,-448267672.90653276
2,Angola,AGO,8377481455.101352
3,Albania,ALB,-179533316.52250206
4,United Arab Emirates,ARE,-38105311370.30305
5,Argentina,ARG,9498840900.94679
6,Armenia,ARM,-811784450.9520957
7,Antigua and Barbuda,ATG,-2378456166.818618
8,Australia,AUS,31045597399.942825
9,Austria,AUT,-25374272112.54917
10,Azerbaijan,AZE,2134145993.0316944
11,Burundi,BDI,-492070805.98581195
12,Belgium,BEL,-37838845990.734886
13,Benin,BEN,-480155550.5784453
14,Burkina Faso,BFA,-371750996.6368154
15,Bangladesh,BGD,2128005256.5079646
16,Bulgaria,BGR,645373394.9764829
17,Bahrain,BHR,-14289295209.822412
18,"Bahamas, The",BHS,-6146134873.896804
19,Bosnia and Herzegovina,BIH,-784964818.3254699
20,Belarus,BLR,-329933047.7723825
21,Belize,BLZ,-920864860.1199136
22,Bolivia,BOL,-343460411.8077955
23,Brazil,BRA,73106095228.23038
24,Barbados,BRB,-1813476320.9144485
25,Brunei Darussalam,BRN,-56082186988.11402
26,Bhutan,BTN,-958771210.202923
27,Botswana,BWA,-988525330.135786
28,Central African Republic,CAF,-532149292.6555447
29,Canada,CAN,48478270550.122604
30,Switzerland,CHE,77701439287.0545
31,Chile,CHL,18119016430.386612
32,China,CHN,241069273694.6924
33,Cote d'Ivoire,CIV,-215641177.91443396
34,Cameroon,CMR,-18696974.871152043
35,"Congo, Dem. Rep.",COD,716569304.714919
36,"Congo, Rep.",COG,3434799354.2400436
37,Colombia,COL,10385131943.327124
38,Comoros,COM,-657812663.8159542
39,Cabo Verde,CPV,-767947794.3318474
40,Costa Rica,CRI,1337282808.3255124
41,Cayman Islands,CYM,27347680889.72766
42,Cyprus,CYP,1297158625.657548
43,Czech Republic,CZE,-5981487953.715425
44,Germany,DEU,39088749947.7303
45,Dominica,DMA,-1088109859.1346624
46,Denmark,DNK,-13987017545.760376
47,Dominican Republic,DOM,832316420.9832356
48,Algeria,DZA,-1980660840.3225698
49,East Asia & Pacific,EAS,614791430108.4755
50,Ecuador,ECU,167868078.65247798
51,"Egypt, Arab Rep.",EGY,5814529620.888808
52,Spain,ESP,17043476679.310019
53,Estonia,EST,-6212462667.43603
54,Ethiopia,ETH,2027362375.0020099
55,Finland,FIN,5020844374.1052685
56,Fiji,FJI,-697715933.8695439
