,country,country_code,female_employment_pct_of_total_resid
0,Afghanistan,AFG,-29.745355758414124
1,Angola,AGO,6.714065324905093
2,Albania,ALB,-0.23263917379597387
3,United Arab Emirates,ARE,-34.06531338723812
4,Argentina,ARG,-2.8054616955289475
5,Armenia,ARM,4.1941309267627815
6,Australia,AUS,-0.10390674854939164
7,Austria,AUT,0.6496957775671035
8,Azerbaijan,AZE,5.8294198950088685
9,Burundi,BDI,5.07326593439506
10,Belgium,BEL,0.10918542609908855
11,Benin,BEN,2.773637128498038
12,Burkina Faso,BFA,-1.9442540278371325
13,Bangladesh,BGD,-17.02241736362971
14,Bulgaria,BGR,3.241547620934803
15,Bahrain,BHR,-24.25122816699805
16,"Bahamas, The",BHS,3.0000556313050595
17,Bosnia and Herzegovina,BIH,-3.126932989265562
18,Belarus,BLR,6.337922439356767
19,Belize,BLZ,-2.9149134715924916
20,Bolivia,BOL,-2.52026022736829
21,Brazil,BRA,0.004555720201615543
22,Barbados,BRB,6.657459697771479
23,Brunei Darussalam,BRN,-3.6367704677413712
24,Bhutan,BTN,-2.9034186159930755
25,Botswana,BWA,3.6080031556354086
26,Central African Republic,CAF,-2.208969114118979
27,Canada,CAN,1.1151698038922362
28,Switzerland,CHE,0.5337542734621223
29,Chile,CHL,-3.0183618178348866
30,China,CHN,1.253630209400697
31,Cote d'Ivoire,CIV,-4.973479751746986
32,Cameroon,CMR,1.446588234982542
33,"Congo, Dem. Rep.",COD,2.642189977484655
34,"Congo, Rep.",COG,4.578645721317706
35,Colombia,COL,0.41198623740945806
36,Comoros,COM,-4.599501058090347
37,Cabo Verde,CPV,-2.888196368769627
38,Costa Rica,CRI,-3.29985108684091
39,Cyprus,CYP,1.638142475866502
40,Czech Republic,CZE,-0.797821602838134
41,Germany,DEU,0.3219160092083939
42,Denmark,DNK,1.0514133920340853
43,Dominican Republic,DOM,-1.5844703794197628
44,Algeria,DZA,-24.335904630079106
45,East Asia & Pacific,EAS,0.3561911818136636
46,Ecuador,ECU,-2.7073201563542355
47,"Egypt, Arab Rep.",EGY,-19.11074271744521
