,country,country_code,female_literacy_pct_resid
0,Argentina,ARG,3.4230980779483957
1,Antigua and Barbuda,ATG,3.3899551603611258
2,Azerbaijan,AZE,4.648322473611941
3,Bangladesh,BGD,-3.8143431837169004
4,Bolivia,BOL,8.368390379289494
5,Brazil,BRA,-1.9797354824721367
6,Chile,CHL,0.49230335014061666
7,Colombia,COL,1.1857215513619934
8,Cabo Verde,CPV,4.411650569148321
9,Dominican Republic,DOM,-1.2056670554982674
10,Ecuador,ECU,2.4080529932809185
11,Spain,ESP,4.702792858442891
12,Honduras,HND,16.82109257236891
13,Indonesia,IDN,3.1196615601066355
14,Cambodia,KHM,8.28863103567791
15,Kuwait,KWT,0.35306277476369985
16,Lao PDR,LAO,2.4196521454748847
17,Mexico,MEX,-1.4238595169482977
18,Mali,MLI,-38.56103408915343
19,Mozambique,MOZ,-14.063460413389869
20,Mauritius,MUS,-5.068074847558648
21,Malawi,MWI,-1.7859667698199146
22,Oman,OMN,-5.658438794922674
23,Peru,PER,-0.8606861787419859
24,Palau,PLW,2.270959136137378
25,Paraguay,PRY,3.57977478911792
26,West Bank and Gaza,PSE,22.152563439177854
27,Singapore,SGP,0.7952818905112906
28,El Salvador,SLV,3.8658708841225007
29,Chad,TCD,-47.48234657406144
30,Togo,TGO,-7.395118332339685
31,Thailand,THA,-3.374259375114889
32,Turkey,TUR,-3.8639973921811617
33,Tanzania,TZA,9.80797597789065
34,Uruguay,URY,2.8898102595726556
35,Uzbekistan,UZB,23.22956577664543
36,South Africa,ZAF,0.7976085507528552
37,Aruba,ABW,
38,Afghanistan,AFG,
39,Angola,AGO,
40,Albania,ALB,
41,Andorra,AND,
42,United Arab Emirates,ARE,
43,Armenia,ARM,
44,American Samoa,ASM,
45,Australia,AUS,
46,Austria,AUT,
47,Burundi,BDI,
48,Belgium,BEL,
49,Benin,BEN,
50,Burkina Faso,BFA,
51,Bulgaria,BGR,
52,Bahrain,BHR,
53,"Bahamas, The",BHS,
54,Bosnia and Herzegovina,BIH,
55,Belarus,BLR,
56,Belize,BLZ,
57,Bermuda,BMU,
58,Barbados,BRB,
59,Brunei Darussalam,BRN,
60,Bhutan,BTN,
61,Botswana,BWA,
62,Central African Republic,CAF,
63,Canada,CAN,
64,Switzerland,CHE,
65,Channel Islands,CHI,
66,China,CHN,
