,country,country_code,fertility_rate_resid
0,Aruba,ABW,0.05291310929044846
1,Afghanistan,AFG,0.2708663616655347
2,Angola,AGO,2.483710099162497
3,Albania,ALB,-0.7110016345341963
5,Arab World,ARB,1.2544775328465159
6,United Arab Emirates,ARE,0.11237824871850988
7,Argentina,ARG,0.3352547749135657
8,Armenia,ARM,-1.2776799251900648
10,Antigua and Barbuda,ATG,0.12427622199394728
11,Australia,AUS,0.0871873688857765
12,Austria,AUT,-0.23061898214616994
13,Azerbaijan,AZE,-0.12770320631459464
14,Burundi,BDI,0.9505918643822895
15,Belgium,BEL,-0.0222343682909123
16,Benin,BEN,0.5670742356281302
17,Burkina Faso,BFA,0.8488366668335461
18,Bangladesh,BGD,-2.0416536745367475
19,Bulgaria,BGR,-0.5226463278361992
20,Bahrain,BHR,0.33433908873289275
21,"Bahamas, The",BHS,-0.024505648065551
22,Bosnia and Herzegovina,BIH,-1.0811524378534825
23,Belarus,BLR,-0.3228470334769378
24,Belize,BLZ,-0.401921859612135
26,Bolivia,BOL,-0.3906136848640802
27,Brazil,BRA,-0.4080906650736684
28,Barbados,BRB,-0.28084508782377005
29,Brunei Darussalam,BRN,0.2444050330515284
30,Bhutan,BTN,-0.9266149666505341
31,Botswana,BWA,0.6411358922505213
32,Central African Republic,CAF,0.08424772798343394
33,Canada,CAN,-0.12293530095029515
34,Central Europe and the Baltics,CEB,-0.3859444973951882
35,Switzerland,CHE,-0.14362633358126353
37,Chile,CHL,-0.1126512091457994
38,China,CHN,-0.5820914450017525
39,Cote d'Ivoire,CIV,0.8300944970769839
40,Cameroon,CMR,0.6445817372467646
41,"Congo, Dem. Rep.",COD,1.3992167435557654
42,"Congo, Rep.",COG,1.164632190770968
43,Colombia,COL,-0.3698894437231055
44,Comoros,COM,0.07562618123020659
45,Cabo Verde,CPV,-1.0897663578836783
46,Costa Rica,CRI,-0.34669736655252525
47,Caribbean small states,CSS,-0.09169023821934896
51,Cyprus,CYP,-0.4426377289680763
52,Czech Republic,CZE,-0.20978301569379565
53,Germany,DEU,-0.2215045907818558
56,Denmark,DNK,-0.011289576600048479
57,Dominican Republic,DOM,0.23908827515093822
