country,country_code,gdp_per_capita
Aruba,ABW,38137.3335784175
Afghanistan,AFG,1918.9384591395603
Angola,AGO,7082.24117532182
Albania,ALB,11661.981184261002
Andorra,AND,
Arab World,ARB,16362.5312099859
United Arab Emirates,ARE,70887.3907270642
Argentina,ARG,20356.9155095569
Armenia,ARM,8727.55832503575
American Samoa,ASM,
Antigua and Barbuda,ATG,21364.5928083161
Australia,AUS,46220.251264230705
Austria,AUT,49883.0412977321
Azerbaijan,AZE,17782.026152714097
Burundi,BDI,759.0321026471901
Belgium,BEL,45414.8905975223
Benin,BEN,2116.03677458311
Burkina Faso,BFA,1699.8799348657801
Bangladesh,BGD,3335.7597906534397
Bulgaria,BGR,18186.4030157048
Bahrain,BHR,46775.7403335698
"Bahamas, The",BHS,30249.738225930498
Bosnia and Herzegovina,BIH,11650.4113549145
Belarus,BLR,18336.02932771
Belize,BLZ,8533.20785294117
Bermuda,BMU,
Bolivia,BOL,6955.182769733511
Brazil,BRA,15656.2666699696
Barbados,BRB,17527.8328511429
Brunei Darussalam,BRN,79439.06244608799
Bhutan,BTN,8249.24984064663
Botswana,BWA,16007.7859421625
Central African Republic,CAF,661.8876249303501
Canada,CAN,44647.3642265863
Central Europe and the Baltics,CEB,25871.8894815627
Switzerland,CHE,63648.2880177144
Channel Islands,CHI,
Chile,CHL,22785.818030461804
China,CHN,14450.094990196001
Cote d'Ivoire,CIV,3451.8774181240697
Cameroon,CMR,3502.40788727502
"Congo, Dem. Rep.",COD,865.099462665287
"Congo, Rep.",COG,5902.42965114336
Colombia,COL,13760.223901136298
Comoros,COM,2656.06386542406
Cabo Verde,CPV,6298.80377048147
Costa Rica,CRI,15694.6253300721
Caribbean small states,CSS,15810.459652740401
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,54377.465439880194
Cyprus,CYP,31523.9268785245
Czech Republic,CZE,33468.7264974291
Germany,DEU,47810.8360109883
Djibouti,DJI,
Dominica,DMA,10583.6714948779
Denmark,DNK,48674.840749488605
Dominican Republic,DOM,14264.8354918036
Algeria,DZA,14614.9704290449
East Asia & Pacific (excluding high income),EAP,12958.7700118637
Early-demographic dividend,EAR,8776.542388474909
East Asia & Pacific,EAS,16114.7011605406
Europe & Central Asia (excluding high income),ECA,19193.9621444824
Europe & Central Asia,ECS,30660.7444926836
Ecuador,ECU,11446.365137373601
"Egypt, Arab Rep.",EGY,10751.570206742299
Euro area,EMU,40866.9907255102
Eritrea,ERI,
Spain,ESP,34818.1205072534
Estonia,EST,28688.9687744908
Ethiopia,ETH,1632.5518055232099
European Union,EUU,38463.495798855096
Fragile and conflict affected situations,FCS,4180.69374413755
Finland,FIN,42071.1912691938
Fiji,FJI,9027.542438172479
France,FRA,40564.4607069076
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3483.45593668339
Gabon,GAB,17928.7016345027
United Kingdom,GBR,41579.8634115553
Georgia,GEO,9610.5433655937
Ghana,GHA,4071.54534280421
Gibraltar,GIB,
Guinea,GIN,1872.3677716469101
"Gambia, The",GMB,1663.9409261616502
Guinea-Bissau,GNB,1540.31513212913
Equatorial Guinea,GNQ,29334.7151262779
Greece,GRC,26697.2485044179
Grenada,GRD,13586.3137835699
Greenland,GRL,
Guatemala,GTM,7765.7485862270805
Guam,GUM,
Guyana,GUY,7535.97617836468
High income,HIC,44720.726203063896
"Hong Kong SAR, China",HKG,57068.0404312648
Honduras,HND,4599.650144127079
Heavily indebted poor countries (HIPC),HPC,2223.71102065326
Croatia,HRV,23008.0843815694
Haiti,HTI,1758.33445984911
Hungary,HUN,26147.5373739471
IBRD only,IBD,12354.518080413101
IDA & IBRD total,IBT,10159.3467056299
IDA total,IDA,3564.0083868437
IDA blend,IDB,5158.903737573521
Indonesia,IDN,11040.1972130228
IDA only,IDX,2757.43933180021
Isle of Man,IMN,
India,IND,6130.06758514482
Not classified,INX,
Ireland,IRL,68576.7443262317
"Iran, Islamic Rep.",IRN,17571.2222428648
Iraq,IRQ,15694.886454264299
Iceland,ISL,47499.6253846535
Israel,ISR,35888.8758935766
Italy,ITA,36640.115577948396
Jamaica,JAM,8626.0104285205
Jordan,JOR,9041.81756496415
Japan,JPN,40717.324377928504
Kazakhstan,KAZ,25049.935536405497
Kenya,KEN,3019.8430106579804
Kyrgyz Republic,KGZ,3447.60825022898
Cambodia,KHM,3504.41825365613
Kiribati,KIR,2076.30842216355
St. Kitts and Nevis,KNA,27297.1365469529
"Korea, Rep.",KOR,35203.734140356
Kuwait,KWT,72918.00376344059
Latin America & Caribbean (excluding high income),LAC,14378.5658691146
Lao PDR,LAO,6128.35823784803
Lebanon,LBN,14135.055430588302
Liberia,LBR,1297.49856234944
Libya,LBY,15810.252247479199
St. Lucia,LCA,12731.2638580954
Latin America & Caribbean,LCN,15330.684768788999
Least developed countries: UN classification,LDC,2590.77068484361
Low income,LIC,2034.5613961349802
Liechtenstein,LIE,
Sri Lanka,LKA,11798.3901132541
Lower middle income,LMC,6450.82259748434
Low & middle income,LMY,9896.91307581735
Lesotho,LSO,2890.7921573206895
Late-demographic dividend,LTE,15950.055087801798
Lithuania,LTU,28904.5931449275
Luxembourg,LUX,102517.13822993901
Latvia,LVA,24723.4345593913
"Macao SAR, China",MAC,106959.87630553199
St. Martin (French part),MAF,
Morocco,MAR,7770.24599129646
Monaco,MCO,
Moldova,MDA,5054.682473216961
Madagascar,MDG,1466.4974625376
Maldives,MDV,14685.1290109456
Middle East & North Africa,MEA,18696.703981608898
Mexico,MEX,17253.204224440102
Marshall Islands,MHL,3903.1279071799895
Middle income,MIC,10913.2837846632
"Macedonia, FYR",MKD,13831.2597547107
Mali,MLI,2043.71810510617
Malta,MLT,35667.786513072
Myanmar,MMR,5384.86938870138
Middle East & North Africa (excluding high income),MNA,12325.8763144467
Montenegro,MNE,16337.1548429103
Mongolia,MNG,12152.1713808006
Northern Mariana Islands,MNP,
Mozambique,MOZ,1190.75574711627
Mauritania,MRT,3835.2310604266
Mauritius,MUS,20104.1327614058
Malawi,MWI,1159.31984189185
Malaysia,MYS,26639.427225107996
North America,NAC,55259.5928556006
Namibia,NAM,10620.1186694325
New Caledonia,NCL,
Niger,NER,967.082049649338
Nigeria,NGA,6053.25996950656
Nicaragua,NIC,5278.4492396162705
Netherlands,NLD,49527.669663724904
Norway,NOR,61722.239910673
Nepal,NPL,2464.3890334779503
Nauru,NRU,13066.2036179405
New Zealand,NZL,37864.999542975
OECD members,OED,40920.3211766479
Oman,OMN,42459.750575585094
Other small states,OSS,24998.732541154903
Pakistan,PAK,5000.283838837229
Panama,PAN,22167.8757756696
Peru,PER,12533.491183758999
Philippines,PHL,7320.4985385933305
Palau,PLW,15138.6901780722
Papua New Guinea,PNG,4072.8187941610604
Poland,POL,26577.5541038047
Pre-demographic dividend,PRE,3758.90998492766
Puerto Rico,PRI,37605.0803236473
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,29532.3811616848
Paraguay,PRY,11861.287940088701
West Bank and Gaza,PSE,5019.23811469627
Pacific island small states,PSS,5618.41752099693
Post-demographic dividend,PST,43711.8902835302
French Polynesia,PYF,
Qatar,QAT,127648.05031322
Romania,ROU,21631.7016011448
Russian Federation,RUS,24737.6894390573
Rwanda,RWA,1847.2533616689898
South Asia,SAS,5678.61289770869
Saudi Arabia,SAU,54013.878042631106
Sudan,SDN,4568.66485825461
Senegal,SEN,3111.47734338228
Singapore,SGP,87043.1877067208
Solomon Islands,SLB,2288.62971374708
Sierra Leone,SLE,1399.5233617845402
El Salvador,SLV,7474.913715302859
San Marino,SMR,60086.5203102137
Somalia,SOM,
Serbia,SRB,13992.6569979246
Sub-Saharan Africa (excluding high income),SSA,3753.66577221565
South Sudan,SSD,1997.02555049947
Sub-Saharan Africa,SSF,3755.7748624533706
Small states,SST,22125.320869588
Sao Tome and Principe,STP,3138.6996304313698
Suriname,SUR,15593.1690330498
Slovak Republic,SVK,29522.044770048902
Slovenia,SVN,31468.363171496698
Sweden,SWE,47891.2778399445
Eswatini,SWZ,8261.74606049962
Sint Maarten (Dutch part),SXM,34948.9445498145
Seychelles,SYC,26468.8668313773
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,2201.18269886883
East Asia & Pacific (IDA & IBRD countries),TEA,13096.47804604
Europe & Central Asia (IDA & IBRD countries),TEC,19848.5645001731
Togo,TGO,1542.69023477936
Thailand,THA,16241.555552206399
Tajikistan,TJK,2811.9072292877504
Turkmenistan,TKM,15964.791835579399
Latin America & the Caribbean (IDA & IBRD countries),TLA,15244.413559628101
Timor-Leste,TLS,7878.523640753559
Middle East & North Africa (IDA & IBRD countries),TMN,12415.905253571398
Tonga,TON,5526.478696433879
South Asia (IDA & IBRD),TSA,5678.61289770869
Sub-Saharan Africa (IDA & IBRD countries),TSS,3755.7748624533706
Trinidad and Tobago,TTO,33569.4135268285
Tunisia,TUN,11464.209468425901
Turkey,TUR,24844.8903034771
Tuvalu,TUV,3640.98819885017
Tanzania,TZA,2652.53021864932
Uganda,UGA,1774.0108189898
Ukraine,UKR,7949.149002334771
Upper middle income,UMC,15983.344491503998
Uruguay,URY,21117.801602319298
United States,USA,56443.81724225821
Uzbekistan,UZB,6069.978665909261
St. Vincent and the Grenadines,VCT,11120.3766616955
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,5915.1708326498
Vanuatu,VUT,2988.85053762441
World,WLD,15718.2331730844
Samoa,WSM,5920.37340936445
Kosovo,XKX,9756.27227848832
"Yemen, Rep.",YEM,3258.9637312150103
South Africa,ZAF,13180.530936263402
Zambia,ZMB,3862.4784831131
Zimbabwe,ZWE,2339.36927913982
