,country_code,country,happiness
1,,"China, Macao SAR",
2,,"China, Hong Kong SAR",
3,ABW,Aruba,
4,AFG,Afghanistan,3.9828546
5,AGO,Angola,
6,ALB,Albania,4.606650800000001
7,ANG,Anguilla,
8,ARG,Argentina,6.6971307
9,ARM,Armenia,4.3483195
10,ATG,Antigua and Barbuda,
11,AUS,Australia,7.3090606
12,AUT,Austria,7.076447
13,AZE,Azerbaijan,5.1467748
14,BDI,Burundi,
15,BEL,Belgium,6.904219199999999
16,BEN,Benin,3.6246642999999996
17,BFA,Burkina Faso,4.4189301
18,BGD,Bangladesh,4.6334739
19,BGR,Bulgaria,4.8654013
20,BHR,Bahrain,6.0073752
21,BHS,Bahamas,
22,BIH,Bosnia and Herzegovina,5.117178
23,BLR,Belarus,5.7189078
24,BLZ,Belize,
25,BOL,Bolivia (Plurinational State of),5.8343291
26,BRA,Brazil,6.5468969
27,BRN,Brunei Darussalam,
28,BTN,Bhutan,5.0821285000000005
29,BWA,Botswana,3.7619648
30,CAF,Central African Rep.,
31,CAN,Canada,7.4127727
32,CHE,Switzerland,7.5721369
33,CHL,Chile,6.5327497
34,CHN,China,5.3038777999999995
35,CIV,Cote d'Ivoire,4.4450388
36,CMR,Cameroon,5.0379648
37,COD,Dem. Rep. of the Congo,3.9027417
38,COG,Congo,4.690830200000001
39,COL,Colombia,6.3875718
40,CPV,Cabo Verde,
41,CRI,Costa Rica,6.854004400000001
42,CUB,Cuba,
43,CUW,Cura<e7>ao,
44,CYM,Cayman Islands,
45,CYP,Cyprus,5.439161299999999
46,CZE,Czech Rep.,6.6080174
47,DEU,Germany,7.0371375
48,DJI,Djibouti,
49,DNK,Denmark,7.5144248
50,DOM,Dominican Rep.,5.0618625
51,DZA,Algeria,
52,ECU,Ecuador,5.9640751
53,EGY,Egypt,4.7625384
54,ERI,Eritrea,
55,ESP,Spain,6.3806634
56,EST,Estonia,5.6289086
57,ETH,Ethiopia,4.5731549000000005
58,FIN,Finland,7.4479256
59,FJI,Fiji,
60,FRA,France,6.357625
61,FSM,Micronesia (Federated States of),
62,GAB,Gabon,4.661012599999999
63,GBR,United Kingdom,6.5154452
64,GEO,Georgia,4.1219406
65,GHA,Ghana,3.9859161
66,GIN,Guinea,3.5046934999999997
67,GMB,Gambia,
68,GNB,Guinea-Bissau,
69,GRC,Greece,5.6225190000000005
70,GRD,Grenada,
71,GTM,Guatemala,6.464986799999999
72,GUY,Guyana,
73,HND,Honduras,4.845436599999999
74,HRV,Croatia,5.205438099999999
75,HTI,Haiti,3.5697625
76,HUN,Hungary,5.3443832
77,IDN,Indonesia,5.0427999
78,IND,India,4.3420792
79,IRL,Ireland,6.8301253
80,IRN,Iran (Islamic Rep. of),4.7499557
81,IRQ,Iraq,4.4933772
82,ISL,Iceland,7.4980706999999995
83,ISR,Israel,7.079411
84,ITA,Italy,5.847683900000001
85,JAM,Jamaica,
86,JOR,Jordan,5.4045935
87,JPN,Japan,5.8796844
88,KAZ,Kazakhstan,5.9499949999999995
89,KEN,Kenya,4.3576179
90,KGZ,Kyrgyzstan,4.905376
91,KHM,Cambodia,4.162164700000001
92,KOR,Rep. of Korea,5.7802114
93,KWT,Kuwait,6.1460319000000005
94,LAO,Lao People's Dem. Rep.,
95,LBN,Lebanon,5.1719713
96,LBR,Liberia,2.7015912999999996
97,LBY,Libya,5.6154046
98,LCA,Saint Lucia,
99,LIE,Liechtenstein,
100,LKA,Sri Lanka,4.6116066
101,LSO,Lesotho,
102,LTU,Lithuania,5.711378099999999
103,LUX,Luxembourg,6.7015715
104,LVA,Latvia,5.8805976
105,MAR,Morocco,5.163157
106,MCO,Monaco,
107,MDA,Rep. of Moldova,6.0174723
108,MDG,Madagascar,3.592514
109,MEX,Mexico,6.2362871
110,MKD,The former Yugoslav Republic of Macedonia,4.9755898
111,MLI,Mali,4.5820985
112,MLT,Malta,6.6133942999999995
113,MMR,Myanmar,4.223846400000001
114,MNE,Montenegro,5.1249213
115,MNG,Mongolia,4.9827199
116,MOZ,Mozambique,4.549767500000001
117,MRT,Mauritania,3.9226642
118,MWI,Malawi,3.8676383000000003
119,MYS,Malaysia,6.3221210999999995
120,NAM,Namibia,
121,NER,Niger,3.6714537000000003
122,NGA,Nigeria,4.9329147
123,NIC,Nicaragua,5.9241128
124,NLD,Netherlands,7.3244371
125,NOR,Norway,7.6034336
126,NPL,Nepal,4.8124366
127,NRU,Nauru,
128,NZL,New Zealand,7.4181209
129,OMN,Oman,
130,ORT,Portugal,
131,PAK,Pakistan,4.823195
132,PAN,Panama,6.6055503
133,PER,Peru,5.5772634000000005
134,PHL,Philippines,5.5474892
135,PNG,Papua New Guinea,
136,POL,Poland,6.007021900000001
137,PRK,Dem. People's Rep. of Korea,
138,PRY,Paraguay,5.559724299999999
139,QAT,Qatar,6.3745294
140,ROU,Romania,5.777491099999999
141,RUS,Russian Federation,5.9955387
142,RWA,Rwanda,3.483109
143,SAU,Saudi Arabia,6.3454919
144,SDN,Sudan,
145,SEN,Senegal,4.617000599999999
146,SGP,Singapore,6.619525
147,SLB,Solomon Islands,
148,SLE,Sierra Leone,4.908618
149,SLV,El Salvador,6.018496
150,SOM,Somalia,5.3536448
151,SRB,Serbia and Kosovo (S/RES/1244 (1999)),5.317685099999999
