,country_code,happiness,country,happiness_resid
0,AFG,3.9828546,Afghanistan,-0.2500282361944346
1,ALB,4.606650800000001,Albania,-0.5532032568283318
2,ARG,6.6971307,Argentina,1.093547912868753
3,ARM,4.3483195,Armenia,-0.5447561162315075
4,AUS,7.3090606,Australia,0.5749138430615153
5,AUT,7.076447,Austria,0.2637690097567056
6,AZE,5.1467748,Azerbaijan,-0.36408114958904303
7,BHR,6.0073752,Bahrain,-0.7399563973997374
8,BGD,4.6334739,Bangladesh,0.2585832769878298
9,BLR,5.7189078,Belarus,0.1893089345861929
10,BEL,6.904219199999999,Belgium,0.18865307987188729
11,BEN,3.6246642999999996,Benin,-0.6282002946223977
12,BTN,5.0821285000000005,Bhutan,0.23410764639672887
13,BOL,5.8343291,Bolivia,1.1090889465153113
14,BIH,5.117178,Bosnia and Herzegovina,-0.04175223380515192
15,BWA,3.7619648,Botswana,-1.6745482165302001
16,BRA,6.5468969,Brazil,1.1286334970110792
17,BGR,4.8654013,Bulgaria,-0.6592022229565542
18,BFA,4.4189301,Burkina Faso,0.2083475195252369
19,KHM,4.162164700000001,Cambodia,-0.22939750768408462
20,CMR,5.0379648,Cameroon,0.6466010502356907
21,CAN,7.4127727,Canada,0.7150454220472522
22,TCD,4.3226752,Chad,0.06120247141230628
23,CHL,6.5327497,Chile,0.8238927434894414
24,CHN,5.3038777999999995,China,-0.043866716049287824
25,COL,6.3875718,Colombia,1.0857527409206087
26,COG,4.690830200000001,"Congo, Rep.",0.06624228671048193
27,CRI,6.854004400000001,Costa Rica,1.4335089911495746
28,CIV,4.4450388,Cote d'Ivoire,0.05866534962421266
29,HRV,5.205438099999999,Croatia,-0.5139110401032925
30,CYP,5.439161299999999,Cyprus,-0.7304668433033621
31,CZE,6.6080174,Czech Republic,0.33974975023016896
32,COD,3.9027417,"Congo, Dem. Rep.",-0.22196854400465327
33,DNK,7.5144248,Denmark,0.7252889165309995
34,DOM,5.0618625,Dominican Republic,-0.27359725608851004
35,ECU,5.9640751,Ecuador,0.8220038569900492
36,EGY,4.7625384,"Egypt, Arab Rep.",-0.3178824824088009
37,SLV,6.018496,El Salvador,1.2438171190143184
38,EST,5.6289086,Estonia,-0.38129431055035745
39,ETH,4.5731549000000005,Ethiopia,0.3694459685114264
40,FIN,7.4479256,Finland,0.8155402744385674
41,FRA,6.357625,France,-0.22658847643639568
42,GAB,4.661012599999999,Gabon,-0.8548920351997378
43,GEO,4.1219406,Georgia,-0.8536114493281346
44,DEU,7.0371375,Germany,0.26637264654992165
45,GHA,3.9859161,Ghana,-0.46138946861694574
46,GRC,5.6225190000000005,Greece,-0.27834872969473157
47,GTM,6.464986799999999,Guatemala,1.6627123369916195
48,GIN,3.5046934999999997,Guinea,-0.7234565880515782
49,HTI,3.5697625,Haiti,-0.646780330115956
50,HND,4.845436599999999,Honduras,0.34662267349332243
51,HUN,5.3443832,Hungary,-0.5288831009611537
52,ISL,7.4980706999999995,Iceland,0.7342207626913577
53,IND,4.3420792,India,-0.30433623808512156
54,IDN,5.0427999,Indonesia,-0.06367259675012704
55,IRN,4.7499557,"Iran, Islamic Rep.",-0.753060736153687
56,IRQ,4.4933772,Iraq,-0.9271336054205275
57,IRL,6.8301253,Ireland,-0.15298714301850413
58,ISR,7.079411,Israel,0.6966622928898447
59,ITA,5.847683900000001,Italy,-0.5693697806234193
60,JPN,5.8796844,Japan,-0.7099314728718538
61,JOR,5.4045935,Jordan,0.48204990161008965
62,KAZ,5.9499949999999995,Kazakhstan,0.13182474783247944
63,KEN,4.3576179,Kenya,0.014079612884264847
64,KWT,6.1460319000000005,Kuwait,-0.8338900690425586
