,country,country_code,highest_ten_income_share_resid
0,Armenia,ARM,-3.729906605392273
1,Austria,AUT,-0.24315883997129006
2,Belgium,BEL,-2.0269537975604592
3,Benin,BEN,7.278563482976995
4,Bosnia and Herzegovina,BIH,-5.265575120447757
5,Belarus,BLR,-7.073458992849538
6,Bolivia,BOL,4.3809104673200565
7,Brazil,BRA,10.594919882866566
8,Switzerland,CHE,1.4539854600437785
9,Chile,CHL,9.997117682753121
10,Cote d'Ivoire,CIV,1.5487598760614567
11,Colombia,COL,9.721502866598108
12,Costa Rica,CRI,6.996133422097849
13,Cyprus,CYP,1.6775382806441783
14,Czech Republic,CZE,-3.3463694874848855
15,Germany,DEU,0.6671141193374304
16,Denmark,DNK,-0.2963915507111601
17,Dominican Republic,DOM,4.284705787881883
18,Ecuador,ECU,4.526342677692199
19,"Egypt, Arab Rep.",EGY,-2.59770178186616
20,Spain,ESP,0.9517195755523815
21,Estonia,EST,-1.9168883458318255
22,Ethiopia,ETH,1.0887642788120537
23,Finland,FIN,-1.968069307074412
24,France,FRA,2.1236437349685424
25,United Kingdom,GBR,1.0020136358997185
26,Georgia,GEO,-2.6228654197752377
27,"Gambia, The",GMB,-1.611883341158606
28,Greece,GRC,-0.6465785984098638
29,Honduras,HND,6.623297860663435
30,Croatia,HRV,-4.732816153242727
31,Hungary,HUN,-3.2078555330308056
32,Indonesia,IDN,-30.38843616335953
33,Ireland,IRL,1.439882324641463
34,Italy,ITA,0.7259190242301017
35,Kazakhstan,KAZ,-4.72635354309185
36,Kenya,KEN,1.258516932056878
37,Kyrgyz Republic,KGZ,-5.551143757371975
38,Lithuania,LTU,2.349633228234044
39,Luxembourg,LUX,0.8148183204683832
40,Latvia,LVA,-1.3317181205502706
41,Moldova,MDA,-7.886309331026791
42,Malta,MLT,-1.5216001027826564
43,Myanmar,MMR,1.3070369590087552
44,Malaysia,MYS,4.438455305241142
45,Namibia,NAM,16.89845225009771
46,Netherlands,NLD,-1.0590605561589754
47,Norway,NOR,-1.366182296866409
48,Pakistan,PAK,-1.4851848783059012
49,Panama,PAN,10.793350314406307
50,Peru,PER,2.4725299856994525
51,Portugal,PRT,1.200118656641699
52,Paraguay,PRY,6.343158515679825
53,Romania,ROU,-3.6867986504754846
54,Russian Federation,RUS,2.2729884148198956
55,El Salvador,SLV,1.3750655313117512
56,Slovak Republic,SVK,-5.201876099976438
57,Slovenia,SVN,-4.730442516985992
58,Sweden,SWE,-1.2295478049940343
59,Togo,TGO,1.2906063825303242
60,Thailand,THA,-1.3696457624771305
61,Tajikistan,TJK,-3.9368041338109308
62,Turkey,TUR,6.108077503373284
63,Ukraine,UKR,-8.828546320986874
64,Uruguay,URY,1.3379136672804819
65,Kosovo,XKX,-8.920695404222144
66,Zambia,ZMB,14.039526350187156
67,Aruba,ABW,
68,Afghanistan,AFG,
69,Angola,AGO,
70,Albania,ALB,
71,Andorra,AND,
72,United Arab Emirates,ARE,
73,Argentina,ARG,
74,American Samoa,ASM,
75,Antigua and Barbuda,ATG,
76,Australia,AUS,
77,Azerbaijan,AZE,
78,Burundi,BDI,
79,Burkina Faso,BFA,
80,Bangladesh,BGD,
81,Bulgaria,BGR,
82,Bahrain,BHR,
83,"Bahamas, The",BHS,
84,Belize,BLZ,
85,Bermuda,BMU,
86,Barbados,BRB,
87,Brunei Darussalam,BRN,
88,Bhutan,BTN,
89,Botswana,BWA,
90,Central African Republic,CAF,
91,Canada,CAN,
92,Channel Islands,CHI,
93,China,CHN,
94,Cameroon,CMR,
95,"Congo, Dem. Rep.",COD,
96,"Congo, Rep.",COG,
97,Comoros,COM,
98,Cabo Verde,CPV,
99,Cuba,CUB,
100,Curacao,CUW,
101,Cayman Islands,CYM,
102,Djibouti,DJI,
103,Dominica,DMA,
104,Algeria,DZA,
105,Eritrea,ERI,
106,Fiji,FJI,
107,Faroe Islands,FRO,
108,"Micronesia, Fed. Sts.",FSM,
109,Gabon,GAB,
110,Ghana,GHA,
111,Gibraltar,GIB,
112,Guinea,GIN,
113,Guinea-Bissau,GNB,
114,Equatorial Guinea,GNQ,
115,Grenada,GRD,
116,Greenland,GRL,
117,Guatemala,GTM,
118,Guam,GUM,
119,Guyana,GUY,
120,"Hong Kong SAR, China",HKG,
121,Haiti,HTI,
122,Isle of Man,IMN,
123,India,IND,
124,"Iran, Islamic Rep.",IRN,
125,Iraq,IRQ,
126,Iceland,ISL,
127,Israel,ISR,
128,Jamaica,JAM,
129,Jordan,JOR,
130,Japan,JPN,
131,Cambodia,KHM,
132,Kiribati,KIR,
133,St. Kitts and Nevis,KNA,
134,"Korea, Rep.",KOR,
135,Kuwait,KWT,
136,Lao PDR,LAO,
137,Lebanon,LBN,
138,Liberia,LBR,
139,Libya,LBY,
140,St. Lucia,LCA,
141,Liechtenstein,LIE,
142,Sri Lanka,LKA,
143,Lesotho,LSO,
144,"Macao SAR, China",MAC,
145,St. Martin (French part),MAF,
146,Morocco,MAR,
147,Monaco,MCO,
148,Madagascar,MDG,
149,Maldives,MDV,
150,Mexico,MEX,
151,Marshall Islands,MHL,
152,"Macedonia, FYR",MKD,
153,Mali,MLI,
154,Montenegro,MNE,
155,Mongolia,MNG,
156,Northern Mariana Islands,MNP,
157,Mozambique,MOZ,
158,Mauritania,MRT,
159,Mauritius,MUS,
160,Malawi,MWI,
161,New Caledonia,NCL,
162,Niger,NER,
163,Nigeria,NGA,
164,Nicaragua,NIC,
165,Nepal,NPL,
166,Nauru,NRU,
167,New Zealand,NZL,
168,Oman,OMN,
169,Philippines,PHL,
170,Palau,PLW,
171,Papua New Guinea,PNG,
172,Poland,POL,
173,Puerto Rico,PRI,
174,"Korea, Dem. People’s Rep.",PRK,
175,West Bank and Gaza,PSE,
176,French Polynesia,PYF,
177,Qatar,QAT,
178,Rwanda,RWA,
179,Saudi Arabia,SAU,
180,Sudan,SDN,
181,Senegal,SEN,
182,Singapore,SGP,
183,Solomon Islands,SLB,
184,Sierra Leone,SLE,
185,San Marino,SMR,
186,Somalia,SOM,
187,Serbia,SRB,
188,South Sudan,SSD,
189,Sao Tome and Principe,STP,
190,Suriname,SUR,
191,Eswatini,SWZ,
192,Sint Maarten (Dutch part),SXM,
193,Seychelles,SYC,
194,Syrian Arab Republic,SYR,
195,Turks and Caicos Islands,TCA,
196,Chad,TCD,
197,Turkmenistan,TKM,
198,Timor-Leste,TLS,
199,Tonga,TON,
200,Trinidad and Tobago,TTO,
