,country,country_code,hiv_prevalence_resid
0,Angola,AGO,1.297088985907985
1,Albania,ALB,-0.3513880224429401
2,Argentina,ARG,-0.015050825979227023
3,Armenia,ARM,-0.28338695198434055
4,Australia,AUS,-0.11730676872363588
5,Austria,AUT,-0.09763420420909871
6,Azerbaijan,AZE,-0.3246765922221665
7,Burundi,BDI,-0.06995670487458572
8,Benin,BEN,-0.040541986557222964
9,Burkina Faso,BFA,-0.2794421049155893
10,Bangladesh,BGD,-0.8299571401711837
11,Bulgaria,BGR,-0.32300398737889247
12,Bahrain,BHR,-0.11392227018208431
13,"Bahamas, The",BHS,1.6511021132005996
14,Belarus,BLR,-0.022334405780394972
15,Belize,BLZ,1.3109895679452388
16,Bolivia,BOL,-0.31385890806444233
17,Brazil,BRA,0.16789578241205178
18,Barbados,BRB,1.0744797570093323
19,Botswana,BWA,22.669450328897476
20,Central African Republic,CAF,3.0205118866169047
21,Chile,CHL,0.09281208935920082
22,Cote d'Ivoire,CIV,1.9803708711596757
23,Cameroon,CMR,2.9848569249485934
24,"Congo, Dem. Rep.",COD,-0.35958713033510303
25,"Congo, Rep.",COG,2.494706654356029
26,Colombia,COL,0.06533605704854867
27,Comoros,COM,-0.8910409678865221
28,Cabo Verde,CPV,-0.07079893764588441
29,Costa Rica,CRI,-0.031999781216259904
30,Cyprus,CYP,-0.23531640848503824
31,Czech Republic,CZE,-0.2163521188576942
32,Germany,DEU,-0.007925491520503147
33,Denmark,DNK,-0.10336093845505046
34,Dominican Republic,DOM,0.5664412246519945
35,Algeria,DZA,-0.33349849097598094
36,Ecuador,ECU,-0.15346288422199283
37,"Egypt, Arab Rep.",EGY,-0.3592080249238637
38,Spain,ESP,0.09679189670365979
39,Estonia,EST,0.23367386859256523
40,Ethiopia,ETH,-0.08580307199671444
41,France,FRA,0.2471056627149127
42,Gabon,GAB,3.875865607454272
43,Georgia,GEO,-0.06379349892172409
44,Ghana,GHA,0.8350775606725267
45,Guinea,GIN,0.5367676875701564
46,"Gambia, The",GMB,0.7171648320432022
47,Guinea-Bissau,GNB,2.505452123005007
48,Equatorial Guinea,GNQ,6.140921669454562
49,Greece,GRC,-0.1852061792439194
50,Guatemala,GTM,-0.045084296659254064
51,Guyana,GUY,1.1357565420526554
52,Honduras,HND,-0.4187160401796385
53,Haiti,HTI,0.8260651696600163
54,Hungary,HUN,-0.2891323255194972
55,Indonesia,IDN,-0.057114428298977504
56,India,IND,-0.48548200291784577
57,Ireland,IRL,0.04496629789139733
58,"Iran, Islamic Rep.",IRN,-0.32538426942528187
59,Italy,ITA,-0.08604987306352746
60,Jamaica,JAM,1.313894473317791
61,Japan,JPN,-0.15180488859130778
62,Kazakhstan,KAZ,-0.19529321857429083
63,Kenya,KEN,4.141795802048703
64,Kyrgyz Republic,KGZ,-0.7200083694157333
65,Cambodia,KHM,-0.31496469794889626
66,Kuwait,KWT,-0.05119332069546437
67,Lao PDR,LAO,-0.38563076522185374
68,Lebanon,LBN,-0.3340564518483403
69,Liberia,LBR,0.3822654813076698
70,Sri Lanka,LKA,-0.3500192650924202
71,Lesotho,LSO,22.83018789689889
72,Lithuania,LTU,-0.2639153731746281
73,Luxembourg,LUX,0.08780263543934552
74,Morocco,MAR,-0.4447136431557579
75,Moldova,MDA,-0.27906753811621443
76,Madagascar,MDG,-0.9015716200028985
77,Mexico,MEX,-0.12632656215597288
78,"Macedonia, FYR",MKD,-0.33450679102119585
79,Mali,MLI,0.25274866023825626
80,Myanmar,MMR,-0.050331591748596916
81,Montenegro,MNE,-0.329536607298217
82,Mongolia,MNG,-0.3460323741397412
83,Mozambique,MOZ,11.771998741515983
84,Mauritania,MRT,-0.4857111687823701
85,Malawi,MWI,8.968966827588075
86,Malaysia,MYS,0.01435556406565458
87,Namibia,NAM,12.040264327761406
88,Niger,NER,-0.7496542357474102
89,Nigeria,NGA,2.2078334302040306
90,Nicaragua,NIC,-0.5595922158633551
91,Netherlands,NLD,0.0007521966858158313
92,Norway,NOR,-0.06455822609057374
93,Nepal,NPL,-0.8084974091569859
94,New Zealand,NZL,-0.17492934624259096
95,Pakistan,PAK,-0.6838033532462411
96,Panama,PAN,0.4902450293625628
97,Peru,PER,-0.1422336087517675
98,Philippines,PHL,-0.48250488663258084
99,Papua New Guinea,PNG,0.0351893681648795
100,Portugal,PRT,0.24314185586210646
101,Paraguay,PRY,0.050669665233729067
102,Qatar,QAT,0.025246438227103707
103,Romania,ROU,-0.311606616434418
104,Russian Federation,RUS,0.6030254780960312
105,Rwanda,RWA,1.7344152495783995
106,Sudan,SDN,-0.6214198973782987
107,Senegal,SEN,-0.4499871625177755
108,Singapore,SGP,0.06312876814784824
109,Sierra Leone,SLE,0.2920366894033677
110,El Salvador,SLV,0.030605110482375686
111,Serbia,SRB,-0.3341625992566788
112,South Sudan,SSD,1.4484057242713406
113,Suriname,SUR,0.8677896579552262
114,Slovak Republic,SVK,-0.25697406162671965
115,Slovenia,SVN,-0.23589349833478543
116,Eswatini,SWZ,27.793870184730192
117,Chad,TCD,0.36733143259609036
118,Togo,TGO,1.20567774328312
119,Thailand,THA,0.7700166455832114
120,Tajikistan,TJK,-0.7769292789547848
121,Trinidad and Tobago,TTO,0.8846439994544351
122,Tunisia,TUN,-0.35329750599610177
123,Tanzania,TZA,3.708638239104199
124,Uganda,UGA,5.227539683382338
125,Ukraine,UKR,0.36984319888742545
126,Uruguay,URY,0.18689882696985988
127,Uzbekistan,UZB,-0.4907115303903083
128,Vietnam,VNM,-0.3041845002168726
129,South Africa,ZAF,18.362374242439916
130,Zambia,ZMB,11.116690096918903
131,Zimbabwe,ZWE,12.980052045276457
132,Aruba,ABW,
133,Afghanistan,AFG,
134,Andorra,AND,
135,United Arab Emirates,ARE,
136,American Samoa,ASM,
137,Antigua and Barbuda,ATG,
138,Belgium,BEL,
139,Bosnia and Herzegovina,BIH,
140,Bermuda,BMU,
141,Brunei Darussalam,BRN,
142,Bhutan,BTN,
143,Canada,CAN,
144,Switzerland,CHE,
145,Channel Islands,CHI,
146,China,CHN,
147,Cuba,CUB,
148,Curacao,CUW,
149,Cayman Islands,CYM,
150,Djibouti,DJI,
151,Dominica,DMA,
152,Eritrea,ERI,
153,Finland,FIN,
154,Fiji,FJI,
155,Faroe Islands,FRO,
156,"Micronesia, Fed. Sts.",FSM,
157,United Kingdom,GBR,
158,Gibraltar,GIB,
159,Grenada,GRD,
160,Greenland,GRL,
161,Guam,GUM,
162,"Hong Kong SAR, China",HKG,
163,Croatia,HRV,
164,Isle of Man,IMN,
165,Iraq,IRQ,
166,Iceland,ISL,
167,Israel,ISR,
168,Jordan,JOR,
169,Kiribati,KIR,
170,St. Kitts and Nevis,KNA,
171,"Korea, Rep.",KOR,
172,Libya,LBY,
173,St. Lucia,LCA,
174,Liechtenstein,LIE,
175,Latvia,LVA,
176,"Macao SAR, China",MAC,
177,St. Martin (French part),MAF,
178,Monaco,MCO,
179,Maldives,MDV,
180,Marshall Islands,MHL,
181,Malta,MLT,
182,Northern Mariana Islands,MNP,
183,Mauritius,MUS,
184,New Caledonia,NCL,
185,Nauru,NRU,
186,Oman,OMN,
187,Palau,PLW,
188,Poland,POL,
189,Puerto Rico,PRI,
190,"Korea, Dem. People’s Rep.",PRK,
191,West Bank and Gaza,PSE,
192,French Polynesia,PYF,
193,Saudi Arabia,SAU,
194,Solomon Islands,SLB,
195,San Marino,SMR,
196,Somalia,SOM,
197,Sao Tome and Principe,STP,
198,Sweden,SWE,
199,Sint Maarten (Dutch part),SXM,
200,Seychelles,SYC,
201,Syrian Arab Republic,SYR,
202,Turks and Caicos Islands,TCA,
203,Turkmenistan,TKM,
204,Timor-Leste,TLS,
205,Tonga,TON,
206,Turkey,TUR,
207,Tuvalu,TUV,
208,United States,USA,
209,St. Vincent and the Grenadines,VCT,
210,"Venezuela, RB",VEN,
211,British Virgin Islands,VGB,
212,Virgin Islands (U.S.),VIR,
213,Vanuatu,VUT,
214,Samoa,WSM,
215,Kosovo,XKX,
216,"Yemen, Rep.",YEM,
