,Unnamed: 0,idps,country_code,country
0,0,1174306.0,AFG,Afghanistan
1,1,0.0,ALB,Albania
2,2,0.0,DZA,Algeria
3,3,0.0,AGO,Angola
4,5,0.0,ATG,Antigua and Barbuda
5,6,0.0,ARG,Argentina
6,7,0.0,ARM,Armenia
7,8,0.0,ABW,Aruba
8,9,0.0,AUS,Australia
9,10,0.0,AUT,Austria
10,11,618220.0,AZE,Azerbaijan
11,12,0.0,BHS,"Bahamas, The"
12,13,0.0,BHR,Bahrain
13,14,0.0,BGD,Bangladesh
14,15,0.0,BLR,Belarus
15,16,0.0,BEL,Belgium
16,17,0.0,BLZ,Belize
17,18,0.0,BEN,Benin
18,19,0.0,BOL,Bolivia
19,20,98324.0,BIH,Bosnia and Herzegovina
20,22,0.0,BRA,Brazil
21,23,0.0,BRN,Brunei Darussalam
22,24,0.0,BGR,Bulgaria
23,25,0.0,BFA,Burkina Faso
24,26,25000.0,BDI,Burundi
25,27,0.0,CPV,Cabo Verde
26,28,0.0,KHM,Cambodia
27,29,92657.0,CMR,Cameroon
28,30,0.0,CAN,Canada
29,31,0.0,CYM,Cayman Islands
30,32,216392.0,CAF,Central African Republic
31,33,51999.0,TCD,Chad
32,34,0.0,CHL,Chile
33,35,0.0,CHN,China
34,36,0.0,HKG,"Hong Kong SAR, China"
35,37,0.0,MAC,"Macao SAR, China"
36,38,6939067.0,COL,Colombia
37,39,0.0,COG,"Congo, Rep."
38,40,0.0,CRI,Costa Rica
39,41,0.0,HRV,Croatia
40,42,308272.0,CIV,Cote d'Ivoire
41,43,0.0,CUB,Cuba
42,45,0.0,CYP,Cyprus
43,46,0.0,CZE,Czech Republic
44,47,0.0,PRK,"Korea, Dem. People’s Rep."
45,48,1555112.0,COD,"Congo, Dem. Rep."
46,49,0.0,DNK,Denmark
47,50,0.0,DJI,Djibouti
48,51,0.0,DOM,Dominican Republic
49,52,0.0,ECU,Ecuador
50,53,0.0,EGY,"Egypt, Arab Rep."
51,54,0.0,SLV,El Salvador
52,55,0.0,ERI,Eritrea
53,56,0.0,EST,Estonia
54,57,0.0,ETH,Ethiopia
55,58,0.0,FJI,Fiji
56,59,0.0,FIN,Finland
57,60,0.0,FRA,France
58,61,0.0,GAB,Gabon
59,62,0.0,GMB,"Gambia, The"
60,63,268416.0,GEO,Georgia
61,64,0.0,DEU,Germany
62,65,0.0,GHA,Ghana
63,66,0.0,GRC,Greece
64,67,0.0,GRD,Grenada
65,68,0.0,GTM,Guatemala
66,69,0.0,GIN,Guinea
67,70,0.0,GNB,Guinea-Bissau
68,71,0.0,GUY,Guyana
69,72,0.0,HTI,Haiti
70,73,174000.0,HND,Honduras
71,74,0.0,HUN,Hungary
72,75,0.0,ISL,Iceland
73,76,0.0,IND,India
74,77,0.0,IDN,Indonesia
75,78,0.0,IRN,"Iran, Islamic Rep."
76,79,4403287.0,IRQ,Iraq
77,80,0.0,IRL,Ireland
78,81,0.0,ISR,Israel
79,82,0.0,ITA,Italy
80,83,0.0,JAM,Jamaica
81,84,0.0,JPN,Japan
82,85,0.0,JOR,Jordan
83,86,0.0,KAZ,Kazakhstan
84,87,0.0,KEN,Kenya
85,88,0.0,KWT,Kuwait
86,89,0.0,KGZ,Kyrgyz Republic
87,90,0.0,LVA,Latvia
88,91,0.0,LBN,Lebanon
89,92,0.0,LSO,Lesotho
90,93,0.0,LBR,Liberia
91,94,434869.0,LBY,Libya
92,95,0.0,LIE,Liechtenstein
93,96,0.0,LTU,Lithuania
94,97,0.0,LUX,Luxembourg
95,98,0.0,MDG,Madagascar
96,99,0.0,MWI,Malawi
97,100,0.0,MYS,Malaysia
98,101,61920.0,MLI,Mali
99,102,0.0,MLT,Malta
100,103,0.0,MRT,Mauritania
101,104,0.0,MEX,Mexico
102,105,0.0,FSM,"Micronesia, Fed. Sts."
103,106,0.0,MCO,Monaco
104,107,0.0,MNG,Mongolia
105,108,0.0,MNE,Montenegro
106,109,0.0,MAR,Morocco
107,110,0.0,MOZ,Mozambique
108,111,451089.0,MMR,Myanmar
109,112,0.0,NAM,Namibia
110,113,0.0,NRU,Nauru
111,114,0.0,NPL,Nepal
112,115,0.0,NLD,Netherlands
113,116,0.0,NZL,New Zealand
114,117,0.0,NIC,Nicaragua
115,118,137337.0,NER,Niger
116,119,2172532.0,NGA,Nigeria
117,120,0.0,NOR,Norway
118,121,0.0,OMN,Oman
119,122,1146108.0,PAK,Pakistan
120,123,0.0,PAN,Panama
121,124,0.0,PNG,Papua New Guinea
122,125,0.0,PRY,Paraguay
123,126,0.0,PER,Peru
124,127,63174.0,PHL,Philippines
125,128,0.0,POL,Poland
126,129,0.0,PRT,Portugal
127,130,0.0,QAT,Qatar
128,131,0.0,KOR,"Korea, Rep."
129,132,0.0,MDA,Moldova
130,133,0.0,ROU,Romania
131,134,0.0,RUS,Russian Federation
132,135,0.0,RWA,Rwanda
133,136,0.0,LCA,St. Lucia
134,137,0.0,WSM,Samoa
135,138,0.0,SAU,Saudi Arabia
136,139,0.0,SEN,Senegal
137,140,220002.0,SRB,Serbia
138,141,0.0,SLE,Sierra Leone
139,142,0.0,SGP,Singapore
140,144,0.0,SVK,Slovak Republic
141,145,0.0,SVN,Slovenia
142,146,0.0,SLB,Solomon Islands
143,147,1133000.0,SOM,Somalia
144,148,0.0,ZAF,South Africa
145,149,1790427.0,SSD,South Sudan
146,150,0.0,ESP,Spain
147,151,44934.0,LKA,Sri Lanka
148,152,3218234.0,SDN,Sudan
149,153,0.0,SUR,Suriname
150,154,0.0,SWZ,Eswatini
151,155,0.0,SWE,Sweden
152,156,0.0,CHE,Switzerland
153,157,6563462.0,SYR,Syrian Arab Republic
154,158,0.0,TJK,Tajikistan
155,159,0.0,THA,Thailand
156,160,0.0,MKD,"Macedonia, FYR"
157,161,0.0,TLS,Timor-Leste
158,162,0.0,TGO,Togo
159,163,0.0,TTO,Trinidad and Tobago
160,164,0.0,TUN,Tunisia
161,165,0.0,TUR,Turkey
162,166,0.0,TKM,Turkmenistan
163,167,0.0,TCA,Turks and Caicos Islands
164,168,0.0,UGA,Uganda
165,169,1600000.0,UKR,Ukraine
166,170,0.0,ARE,United Arab Emirates
167,171,0.0,GBR,United Kingdom
168,172,0.0,TZA,Tanzania
169,173,0.0,USA,United States
170,174,0.0,URY,Uruguay
171,175,0.0,UZB,Uzbekistan
172,176,0.0,VUT,Vanuatu
173,177,0.0,VEN,"Venezuela, RB"
174,178,0.0,VNM,Vietnam
175,179,2532032.0,YEM,"Yemen, Rep."
176,180,0.0,ZMB,Zambia
177,181,0.0,ZWE,Zimbabwe
