,Unnamed: 0,idps,country_code,country,idps_resid
0,0,1174306.0,AFG,Afghanistan,1173675.171580054
1,1,0.0,ALB,Albania,0.0
2,2,0.0,DZA,Algeria,0.0
3,3,0.0,AGO,Angola,-209.08694483650916
4,5,0.0,ATG,Antigua and Barbuda,0.0
5,6,0.0,ARG,Argentina,0.0
6,7,0.0,ARM,Armenia,-94.86968612337562
7,8,0.0,ABW,Aruba,0.0
8,9,0.0,AUS,Australia,0.0
9,10,0.0,AUT,Austria,0.0
10,11,618220.0,AZE,Azerbaijan,618220.0
11,12,0.0,BHS,"Bahamas, The",0.0
12,13,0.0,BHR,Bahrain,0.0
13,14,0.0,BGD,Bangladesh,-508.9730214499478
14,15,0.0,BLR,Belarus,0.0
15,16,0.0,BEL,Belgium,0.0
16,17,0.0,BLZ,Belize,-107.24770785655639
17,18,0.0,BEN,Benin,-613.5094315708269
18,19,0.0,BOL,Bolivia,-218.59746088558467
19,20,98324.0,BIH,Bosnia and Herzegovina,98324.0
20,22,0.0,BRA,Brazil,0.0
21,23,0.0,BRN,Brunei Darussalam,0.0
22,24,0.0,BGR,Bulgaria,0.0
23,25,0.0,BFA,Burkina Faso,-650.2477836791103
24,26,25000.0,BDI,Burundi,24263.849802125227
25,27,0.0,CPV,Cabo Verde,-268.76052334777603
26,28,0.0,KHM,Cambodia,-494.8126993031316
27,29,92657.0,CMR,Cameroon,92162.01887462617
28,30,0.0,CAN,Canada,0.0
29,31,0.0,CYM,Cayman Islands,0.0
30,32,216392.0,CAF,Central African Republic,215646.70220538674
31,33,51999.0,TCD,Chad,51392.93011107476
32,34,0.0,CHL,Chile,0.0
33,35,0.0,CHN,China,0.0
34,36,0.0,HKG,"Hong Kong SAR, China",0.0
35,37,0.0,MAC,"Macao SAR, China",0.0
36,38,6939067.0,COL,Colombia,6939067.0
37,39,0.0,COG,"Congo, Rep.",-299.74366685675295
38,40,0.0,CRI,Costa Rica,0.0
39,41,0.0,HRV,Croatia,0.0
40,42,308272.0,CIV,Cote d'Ivoire,307772.7826577923
41,43,0.0,CUB,Cuba,
42,45,0.0,CYP,Cyprus,0.0
43,46,0.0,CZE,Czech Republic,0.0
44,47,0.0,PRK,"Korea, Dem. People’s Rep.",
45,48,1555112.0,COD,"Congo, Dem. Rep.",1554385.7713512648
46,49,0.0,DNK,Denmark,0.0
47,50,0.0,DJI,Djibouti,
48,51,0.0,DOM,Dominican Republic,0.0
49,52,0.0,ECU,Ecuador,-0.00021349342091117919
50,53,0.0,EGY,"Egypt, Arab Rep.",-2.748698872092477
51,54,0.0,SLV,El Salvador,-180.19309805397864
52,55,0.0,ERI,Eritrea,
53,56,0.0,EST,Estonia,0.0
54,57,0.0,ETH,Ethiopia,-656.2548147637481
55,58,0.0,FJI,Fiji,-76.55334429640011
56,59,0.0,FIN,Finland,0.0
57,60,0.0,FRA,France,0.0
58,61,0.0,GAB,Gabon,0.0
59,62,0.0,GMB,"Gambia, The",-653.4519403684301
60,63,268416.0,GEO,Georgia,268371.7227201609
61,64,0.0,DEU,Germany,0.0
62,65,0.0,GHA,Ghana,-447.6312249946394
63,66,0.0,GRC,Greece,0.0
64,67,0.0,GRD,Grenada,0.0
65,68,0.0,GTM,Guatemala,-159.34941793791293
66,69,0.0,GIN,Guinea,-634.9413668191718
67,70,0.0,GNB,Guinea-Bissau,-664.5151570327951
68,71,0.0,GUY,Guyana,-175.77454803680567
69,72,0.0,HTI,Haiti,-645.0474402113082
70,73,174000.0,HND,Honduras,173595.73325429234
71,74,0.0,HUN,Hungary,0.0
72,75,0.0,ISL,Iceland,0.0
73,76,0.0,IND,India,-281.894589271684
74,77,0.0,IDN,Indonesia,-0.16083486667932717
75,78,0.0,IRN,"Iran, Islamic Rep.",0.0
76,79,4403287.0,IRQ,Iraq,4403287.0
77,80,0.0,IRL,Ireland,0.0
78,81,0.0,ISR,Israel,0.0
79,82,0.0,ITA,Italy,0.0
80,83,0.0,JAM,Jamaica,-101.29023519716527
81,84,0.0,JPN,Japan,0.0
82,85,0.0,JOR,Jordan,-75.70770008320018
83,86,0.0,KAZ,Kazakhstan,0.0
84,87,0.0,KEN,Kenya,-535.6699278216814
85,88,0.0,KWT,Kuwait,0.0
86,89,0.0,KGZ,Kyrgyz Republic,-499.5754984469033
87,90,0.0,LVA,Latvia,0.0
88,91,0.0,LBN,Lebanon,0.0
89,92,0.0,LSO,Lesotho,-546.6445848028422
90,93,0.0,LBR,Liberia,-686.4429442520067
91,94,434869.0,LBY,Libya,434869.0
92,95,0.0,LIE,Liechtenstein,
93,96,0.0,LTU,Lithuania,0.0
94,97,0.0,LUX,Luxembourg,0.0
95,98,0.0,MDG,Madagascar,-671.1526826871126
96,99,0.0,MWI,Malawi,-699.0482185407647
97,100,0.0,MYS,Malaysia,0.0
98,101,61920.0,MLI,Mali,61300.15211842951
99,102,0.0,MLT,Malta,0.0
100,103,0.0,MRT,Mauritania,-467.2122910837041
101,104,0.0,MEX,Mexico,0.0
102,105,0.0,FSM,"Micronesia, Fed. Sts.",-496.5693201286531
103,106,0.0,MCO,Monaco,
104,107,0.0,MNG,Mongolia,0.0
105,108,0.0,MNE,Montenegro,0.0
106,109,0.0,MAR,Morocco,-159.03125939507615
107,110,0.0,MOZ,Mozambique,-696.1719616691762
108,111,451089.0,MMR,Myanmar,450748.1807176911
109,112,0.0,NAM,Namibia,-5.210777398288086
110,113,0.0,NRU,Nauru,0.0
111,114,0.0,NPL,Nepal,-583.2224651599083
112,115,0.0,NLD,Netherlands,0.0
113,116,0.0,NZL,New Zealand,0.0
114,117,0.0,NIC,Nicaragua,-349.3425567142121
115,118,137337.0,NER,Niger,136620.2477216234
116,119,2172532.0,NGA,Nigeria,2172244.099042468
117,120,0.0,NOR,Norway,0.0
118,121,0.0,OMN,Oman,0.0
119,122,1146108.0,PAK,Pakistan,1145736.2641649367
120,123,0.0,PAN,Panama,0.0
