,country,country_code,life_expectancy
0,Aruba,ABW,75.725
1,Afghanistan,AFG,63.288000000000004
2,Angola,AGO,61.24100000000001
3,Albania,ALB,78.17399999999999
4,Andorra,AND,
5,Arab World,ARB,70.99454147250891
6,United Arab Emirates,ARE,77.101
7,Argentina,ARG,76.415
8,Armenia,ARM,74.445
9,American Samoa,ASM,
10,Antigua and Barbuda,ATG,76.207
11,Australia,AUS,82.4
12,Austria,AUT,81.19024390243901
13,Azerbaijan,AZE,71.921
14,Burundi,BDI,57.093999999999994
15,Belgium,BEL,80.9926829268293
16,Benin,BEN,60.638999999999996
17,Burkina Faso,BFA,59.927
18,Bangladesh,BGD,72.155
19,Bulgaria,BGR,74.6146341463415
20,Bahrain,BHR,76.76100000000001
21,"Bahamas, The",BHS,75.527
22,Bosnia and Herzegovina,BIH,76.735
23,Belarus,BLR,73.6243902439025
24,Belize,BLZ,70.192
25,Bermuda,BMU,81.0121951219512
26,Bolivia,BOL,68.756
27,Brazil,BRA,75.28399999999999
28,Barbados,BRB,75.755
29,Brunei Darussalam,BRN,77.046
30,Bhutan,BTN,69.817
31,Botswana,BWA,65.846
32,Central African Republic,CAF,51.41
33,Canada,CAN,82.1290243902439
34,Central Europe and the Baltics,CEB,76.5910702431929
35,Switzerland,CHE,82.89756097560979
36,Channel Islands,CHI,80.958
37,Chile,CHL,79.315
38,China,CHN,76.092
39,Cote d'Ivoire,CIV,53.053000000000004
40,Cameroon,CMR,57.582
41,"Congo, Dem. Rep.",COD,59.205
42,"Congo, Rep.",COG,64.112
43,Colombia,COL,74.2
44,Comoros,COM,63.473
45,Cabo Verde,CPV,72.59899999999999
46,Costa Rica,CRI,79.634
47,Caribbean small states,CSS,73.0627324010547
48,Cuba,CUB,79.57
49,Curacao,CUW,
50,Cayman Islands,CYM,
51,Cyprus,CYP,80.344
52,Czech Republic,CZE,78.57804878048779
53,Germany,DEU,80.64146341463409
54,Djibouti,DJI,62.26
55,Dominica,DMA,
56,Denmark,DNK,80.7024390243902
57,Dominican Republic,DOM,73.673
58,Algeria,DZA,75.86
59,East Asia & Pacific (excluding high income),EAP,74.33497356951291
60,Early-demographic dividend,EAR,69.5169409710616
61,East Asia & Pacific,EAS,75.2489157797136
62,Europe & Central Asia (excluding high income),ECA,72.5357946123156
63,Europe & Central Asia,ECS,77.1566342219048
64,Ecuador,ECU,76.102
65,"Egypt, Arab Rep.",EGY,71.304
66,Euro area,EMU,81.5596100692018
67,Eritrea,ERI,64.63600000000001
68,Spain,ESP,82.8317073170732
69,Estonia,EST,77.590243902439
70,Ethiopia,ETH,65.03699999999999
71,European Union,EUU,80.6141187762953
72,Fragile and conflict affected situations,FCS,62.240542096497705
73,Finland,FIN,81.4804878048781
74,Fiji,FJI,70.117
75,France,FRA,82.2731707317073
76,Faroe Islands,FRO,81.990243902439
77,"Micronesia, Fed. Sts.",FSM,69.078
78,Gabon,GAB,65.685
79,United Kingdom,GBR,80.95609756097559
80,Georgia,GEO,73.096
81,Ghana,GHA,62.448
82,Gibraltar,GIB,
83,Guinea,GIN,59.419
84,"Gambia, The",GMB,60.95399999999999
85,Guinea-Bissau,GNB,57.0
86,Equatorial Guinea,GNQ,57.434
87,Greece,GRC,81.0365853658537
88,Grenada,GRD,73.531
89,Greenland,GRL,
90,Guatemala,GTM,73.15
91,Guam,GUM,79.37899999999999
92,Guyana,GUY,66.536
93,High income,HIC,80.3320324337584
94,"Hong Kong SAR, China",HKG,84.2780487804878
95,Honduras,HND,73.376
96,Heavily indebted poor countries (HIPC),HPC,61.65997345313661
97,Croatia,HRV,77.2756097560976
98,Haiti,HTI,63.055
99,Hungary,HUN,75.56829268292691
100,IBRD only,IBD,72.5557524246454
101,IDA & IBRD total,IBT,70.2530754050824
102,IDA total,IDA,63.289701819636896
103,IDA blend,IDB,61.3700717491241
104,Indonesia,IDN,69.025
105,IDA only,IDX,64.23904035659929
106,Isle of Man,IMN,
107,India,IND,68.30199999999999
108,Not classified,INX,
109,Ireland,IRL,81.45365853658541
110,"Iran, Islamic Rep.",IRN,75.73
111,Iraq,IRQ,69.672
112,Iceland,ISL,82.4682926829268
113,Israel,ISR,82.05121951219509
114,Italy,ITA,82.54390243902441
115,Jamaica,JAM,75.836
116,Jordan,JOR,74.182
117,Japan,JPN,83.79390243902441
118,Kazakhstan,KAZ,72.0
119,Kenya,KEN,66.695
120,Kyrgyz Republic,KGZ,70.6512195121951
121,Cambodia,KHM,68.62
122,Kiribati,KIR,66.13
123,St. Kitts and Nevis,KNA,
124,"Korea, Rep.",KOR,82.0243902439024
