country,country_code,lowest_ten_income_share_resid
Armenia,ARM,1.0424946003603694
Austria,AUT,-0.21593164179469593
Belgium,BEL,0.2527809844349309
Benin,BEN,-1.58491309022736
Bosnia and Herzegovina,BIH,0.7314914823988432
Belarus,BLR,1.7688420585778344
Bolivia,BOL,-1.3162124270584576
Brazil,BRA,-1.0078334318256277
Switzerland,CHE,-0.13657712283739087
Chile,CHL,-0.6954671774933876
Cote d'Ivoire,CIV,-0.4386366507022337
Colombia,COL,-0.8942242839814958
Costa Rica,CRI,-0.7064056351926182
Cyprus,CYP,0.4306654687528373
Czech Republic,CZE,1.0646521720783633
Germany,DEU,-0.08304757512194128
Denmark,DNK,0.5034385201568523
Dominican Republic,DOM,-0.2803095779786968
Ecuador,ECU,-0.6746780681079745
"Egypt, Arab Rep.",EGY,1.604577915769268
Spain,ESP,-0.9820995858683066
Estonia,EST,0.05277663108992936
Ethiopia,ETH,-0.001326162370073991
Finland,FIN,0.8031384976254752
France,FRA,0.033488759491231423
United Kingdom,GBR,-0.18793797992315442
Georgia,GEO,0.2701818990536684
"Gambia, The",GMB,0.39973302914489395
Greece,GRC,-0.6550783654843992
Honduras,HND,-1.198234323532897
Croatia,HRV,0.29517013058121
Hungary,HUN,0.46905403810808943
Indonesia,IDN,-2.286829764698119
Ireland,IRL,-0.1763241986036972
Italy,ITA,-1.1465908430235607
Kazakhstan,KAZ,1.818588125485392
Kenya,KEN,-0.15372363778222597
Kyrgyz Republic,KGZ,1.5612138365248818
Lithuania,LTU,-0.5578100906793253
Luxembourg,LUX,-0.32875477803000486
Latvia,LVA,0.03372728348623211
Moldova,MDA,1.617810839377451
Malta,MLT,0.5880487806129437
Myanmar,MMR,0.5294157189205526
Malaysia,MYS,-0.25245252227917314
Namibia,NAM,-1.2993376891601924
Netherlands,NLD,0.2898168705555779
Norway,NOR,0.1421352919311505
Pakistan,PAK,1.4158950889661397
Panama,PAN,-1.267013694371065
Peru,PER,-0.6406536826852833
Portugal,PRT,-0.2869730460672679
Paraguay,PRY,-0.6620587637294721
Romania,ROU,-0.640929862703713
Russian Federation,RUS,0.3330588593738715
El Salvador,SLV,0.0013749883229885462
Slovak Republic,SVK,0.41347749724322824
Slovenia,SVN,1.1326019917131767
Sweden,SWE,-0.18429275028934855
Togo,TGO,-0.7043534269176024
Thailand,THA,1.009220712931083
Tajikistan,TJK,0.4390510572729047
Turkey,TUR,-0.37194434766052886
Ukraine,UKR,1.8171775247214121
Uruguay,URY,-0.21487915785863
Kosovo,XKX,1.6746483558127343
Zambia,ZMB,-1.524223442709102
