,country,country_code,lowest_twenty_income_share_resid
0,Armenia,ARM,2.055918814673328
1,Austria,AUT,-0.3478254974700441
2,Belgium,BEL,0.4863681577718708
3,Benin,BEN,-3.352972110323944
4,Bosnia and Herzegovina,BIH,1.7148592037406267
5,Belarus,BLR,3.4957697907462473
6,Bolivia,BOL,-2.350560158511906
7,Brazil,BRA,-2.311400992941452
8,Switzerland,CHE,-0.6697292586358907
9,Chile,CHL,-1.623720558394898
10,Cote d'Ivoire,CIV,-0.7709963380373059
11,Colombia,COL,-2.053330000784526
12,Costa Rica,CRI,-1.6087852314774391
13,Cyprus,CYP,0.6014512761874791
14,Czech Republic,CZE,2.255738257757508
15,Germany,DEU,-0.3829559128343041
16,Denmark,DNK,1.190503024485496
17,Dominican Republic,DOM,-0.7306940541621829
18,Ecuador,ECU,-1.3959779718585956
19,"Egypt, Arab Rep.",EGY,3.0673802783996775
20,Spain,ESP,-1.7488108330757397
21,Estonia,EST,0.4734076099831288
22,Ethiopia,ETH,0.018200465930995335
23,Finland,FIN,1.3827225187704446
24,France,FRA,-0.05596773744074213
25,United Kingdom,GBR,-0.49961956273274577
26,Georgia,GEO,0.7058963581247015
27,"Gambia, The",GMB,0.8200565212562507
28,Greece,GRC,-0.9148915171110445
29,Honduras,HND,-2.7987178949924423
30,Croatia,HRV,0.8529522675933192
31,Hungary,HUN,1.0426992052370254
32,Indonesia,IDN,-6.01739991957392
33,Ireland,IRL,-0.3236251823739966
34,Italy,ITA,-1.7930961129052152
35,Kazakhstan,KAZ,3.36064430882839
36,Kenya,KEN,-0.29782546666785503
37,Kyrgyz Republic,KGZ,3.0287373322206035
38,Lithuania,LTU,-0.9518028374146104
39,Luxembourg,LUX,-0.7035536732207124
40,Latvia,LVA,0.4977383438786571
41,Moldova,MDA,3.3301407994797794
42,Malta,MLT,0.8843874611277753
43,Myanmar,MMR,0.9510577142970229
44,Malaysia,MYS,-1.0088566689148442
45,Namibia,NAM,-3.239575663971226
46,Netherlands,NLD,0.6635795163915539
47,Norway,NOR,0.4780146951201303
48,Pakistan,PAK,2.52669121270483
49,Panama,PAN,-2.953446195163647
50,Peru,PER,-1.2363389052928522
51,Portugal,PRT,-0.41736581971494147
52,Paraguay,PRY,-1.6738321721127676
53,Romania,ROU,-1.1894126407336385
54,Russian Federation,RUS,0.29609321898206
55,El Salvador,SLV,-0.11865003601204549
56,Slovak Republic,SVK,1.3836025617579377
57,Slovenia,SVN,2.3056455663502904
58,Sweden,SWE,0.01460657720326175
59,Togo,TGO,-1.5871009881179639
60,Thailand,THA,1.6186780594330745
61,Tajikistan,TJK,0.8893597102067314
62,Turkey,TUR,-1.0162018838920428
63,Ukraine,UKR,3.8100277002350778
64,Uruguay,URY,-0.6255737817491536
65,Kosovo,XKX,3.4139248121748107
66,Zambia,ZMB,-3.545280977475182
67,Aruba,ABW,
68,Afghanistan,AFG,
69,Angola,AGO,
70,Albania,ALB,
71,Andorra,AND,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,United Arab Emirates,ARE,
116,Argentina,ARG,
117,American Samoa,ASM,
118,Antigua and Barbuda,ATG,
119,Australia,AUS,
120,Azerbaijan,AZE,
121,Burundi,BDI,
122,Burkina Faso,BFA,
123,Bangladesh,BGD,
124,Bulgaria,BGR,
125,Bahrain,BHR,
126,"Bahamas, The",BHS,
127,Belize,BLZ,
128,Bermuda,BMU,
129,Barbados,BRB,
130,Brunei Darussalam,BRN,
131,Bhutan,BTN,
132,Botswana,BWA,
133,Central African Republic,CAF,
134,Canada,CAN,
135,Channel Islands,CHI,
136,China,CHN,
137,Cameroon,CMR,
138,"Congo, Dem. Rep.",COD,
139,"Congo, Rep.",COG,
140,Comoros,COM,
141,Cabo Verde,CPV,
142,Cuba,CUB,
143,Curacao,CUW,
144,Cayman Islands,CYM,
145,Djibouti,DJI,
146,Dominica,DMA,
147,Algeria,DZA,
148,East Asia & Pacific,EAS,
149,Eritrea,ERI,
150,Fiji,FJI,
151,Faroe Islands,FRO,
152,"Micronesia, Fed. Sts.",FSM,
153,Gabon,GAB,
154,Ghana,GHA,
155,Gibraltar,GIB,
156,Guinea,GIN,
157,Guinea-Bissau,GNB,
158,Equatorial Guinea,GNQ,
159,Grenada,GRD,
160,Greenland,GRL,
161,Guatemala,GTM,
162,Guam,GUM,
163,Guyana,GUY,
164,"Hong Kong SAR, China",HKG,
165,Haiti,HTI,
166,Isle of Man,IMN,
167,India,IND,
168,"Iran, Islamic Rep.",IRN,
169,Iraq,IRQ,
170,Iceland,ISL,
171,Israel,ISR,
172,Jamaica,JAM,
173,Jordan,JOR,
174,Japan,JPN,
175,Cambodia,KHM,
176,Kiribati,KIR,
177,St. Kitts and Nevis,KNA,
178,"Korea, Rep.",KOR,
179,Kuwait,KWT,
180,Lao PDR,LAO,
181,Lebanon,LBN,
182,Liberia,LBR,
183,Libya,LBY,
184,St. Lucia,LCA,
185,Liechtenstein,LIE,
186,Sri Lanka,LKA,
187,Lesotho,LSO,
188,"Macao SAR, China",MAC,
189,St. Martin (French part),MAF,
190,Morocco,MAR,
191,Monaco,MCO,
192,Madagascar,MDG,
193,Maldives,MDV,
194,Mexico,MEX,
195,Marshall Islands,MHL,
196,"Macedonia, FYR",MKD,
197,Mali,MLI,
198,Montenegro,MNE,
199,Mongolia,MNG,
200,Northern Mariana Islands,MNP,
201,Mozambique,MOZ,
202,Mauritania,MRT,
203,Mauritius,MUS,
204,Malawi,MWI,
205,New Caledonia,NCL,
206,Niger,NER,
