,Unnamed: 0_x,country_x,country_code,gdp_per_capita,population,migrant_stock,maternal_mortality_rate,life_expectancy,hiv_prevalence,urbpop,lowest_twenty_income_share,oda_pct_of_gni,net_migration,poverty_headcount_ratio_190_2011_ppp,access_to_electricity_pct_of_population,co2_tons_per_capita,mortality_under_5_per_1000_live_births,energy_use_per_capita,remittances,revenue_pct_gdp,govt_exp_educ_pct_gdp,female_literacy_pct,external_debt_pct_GNI,fdi_net_current_usd,strength_legal_rights_0_12,adolescent_fertility_rate,fertility_rate,female_employment_pct_of_total,lowest_ten_income_share,highest_ten_income_share,trade_pct_gdp,use_internet_pct_pop,mobile_phone_subscriptions_pct_pop,days_required_to_start_business,ease_doing_business,tax_revenue_pct_gdp,net_lending_borrowing_pct_gdp,central_govt_debt_pct_gdp,risk_premium,biodiversity_protected_areas,renewable_freshwater_per_capita,slum_population_pct_urban_population,pm25_pct_population,net_fdi,literacy_rate,gini_coefficient,Unnamed: 0_x,migrant_stock_resid,Unnamed: 0_y,maternal_mortality_rate_resid,Unnamed: 0_x.1,life_expectancy_resid,Unnamed: 0_y.1,hiv_prevalence_resid,Unnamed: 0_x.2,urbpop_resid,Unnamed: 0_y.2,lowest_twenty_income_share_resid,Unnamed: 0_x.3,oda_pct_of_gni_resid,Unnamed: 0_y.3,net_migration_resid,Unnamed: 0_x.4,poverty_headcount_ratio_190_2011_ppp_resid,Unnamed: 0_y.4,access_to_electricity_pct_of_population_resid,Unnamed: 0_x.5,co2_tons_per_capita_resid,Unnamed: 0_y.5,mortality_under_5_per_1000_live_births_resid,Unnamed: 0_x.6,energy_use_per_capita_resid,Unnamed: 0_y.6,remittances_resid,Unnamed: 0_x.7,revenue_pct_gdp_resid,Unnamed: 0_y.7,govt_exp_educ_pct_gdp_resid,Unnamed: 0_x.8,female_literacy_pct_resid,Unnamed: 0_y.8,external_debt_pct_GNI_resid,Unnamed: 0_x.9,fdi_net_current_usd_resid,Unnamed: 0_y.9,strength_legal_rights_0_12_resid,Unnamed: 0_x.10,adolescent_fertility_rate_resid,Unnamed: 0_y.10,fertility_rate_resid,Unnamed: 0_x.11,female_employment_pct_of_total_resid,Unnamed: 0_y.11,lowest_ten_income_share_resid,Unnamed: 0_x.12,highest_ten_income_share_resid,Unnamed: 0_y.12,trade_pct_gdp_resid,Unnamed: 0_x.13,use_internet_pct_pop_resid,Unnamed: 0_y.13,mobile_phone_subscriptions_pct_pop_resid,Unnamed: 0_x.14,days_required_to_start_business_resid,Unnamed: 0_y.14,ease_doing_business_resid,Unnamed: 0_x.15,tax_revenue_pct_gdp_resid,Unnamed: 0_y.15,net_lending_borrowing_pct_gdp_resid,Unnamed: 0_x.16,central_govt_debt_pct_gdp_resid,Unnamed: 0_y.16,risk_premium_resid,Unnamed: 0_x.17,biodiversity_protected_areas_resid,Unnamed: 0_y.17,renewable_freshwater_per_capita_resid,Unnamed: 0_x.18,slum_population_pct_urban_population_resid,Unnamed: 0_y.18,pm25_pct_population_resid,Unnamed: 0_x.19,net_fdi_resid,Unnamed: 0_y.19,literacy_rate_resid,Unnamed: 0.1,gini_coefficient_resid,asylum_seekers,country_y,asylum_seekers_pct_pop,refugees,country,refugees_pct_pop,Unnamed: 0_y,idps,recognition_rate,happiness,Region,ti_cpi,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
0,1,Afghanistan,AFG,1918.9384591395608,33736494.0,1.17554692684705,396.0,63.288000000000004,,24.803,,21.243960938697604,-299999.0,,71.5,0.29944499087551696,73.1,,341311420.486348,10.1311181683697,3.24202,,12.9987650001512,169146608.0,9.0,73.1264,4.802,16.7519165613063,,,55.1255265979591,8.26,58.420528226792,8.5,167.0,7.58538233129798,-1.2804403846416201,,,0.104707040342723,1439.3421824640195,62.7,100.0,-170481690.268359,,,1,-0.7268084501280054,0,56.545665332934036,1,0.07812820487472294,133,,1,-9.28102222018924,68,,0,14.285006353021474,1,-249804.0619395825,69,,1,20.472734814447122,1,-0.008446369527960296,0,12.426352563265574,131,,1,-291112346.8442776,0,-9.44235073685734,1,-1.127055472362831,38,,0,-21.604179778426317,1,-442347993.1196306,0,3.6616572442488833,1,-10.763556261971829,1,0.39251430360064177,0,-29.62093686716206,68,,68,,1,-14.3286999049353,1,-5.279529484324991,1,-10.968450036157307,0,-8.29831976420278,0,20.515642595755708,0,-8.246325181292747,0,0.9584408102436808,47,,70,,1,-10.03947605863643,0,-2392.094193464139,0,-1.4557304543373704,0,0.0002124432477472737,1,387398179.46870214,38,,67,,82.0,Afghanistan,0.00024306023026577687,257554.0,Afghanistan,0.7634284700716085,0,1174306.0,85.08771929824562,3.9828546,Err:507,11,4,3.49,2,19,5,17,12.0,,19.0,,,,2.0,,,11.0,,
1,2,Angola,AGO,7082.24117532182,27859305.0,0.427004679966497,477.0,61.24100000000001,1.9,63.44600000000001,,0.344612753685719,0.0,,42.0,1.29132831504477,88.9,545.040490755249,11114711.6,18.7766451748876,,,28.942173217023,9282167512.38257,1.0,157.3554,5.766,50.0786951160007,,,62.888520784974396,12.4,49.838041544826794,36.0,173.0,11.002019136671601,-6.1165150063357325,,9.67804295543776,5.00471334206571,5497.67600605428,55.5,100.0,-8235471070.507879,,,2,-2.194532439133035,1,293.12954137034706,2,-7.467729295728795,0,1.297088985907985,2,16.257565825510813,69,,1,-2.06358095473203,2,43026.580109516966,70,,2,-30.97648318464742,2,-0.09728105705963452,1,51.18164171475119,0,-192.4675929025459,2,-902488869.3414428,1,-2.8361745368697378,105,,39,,1,-18.75946380287297,2,8426883472.189399,1,-3.9024986869344103,2,96.92094944644907,2,2.5016978190116506,1,6.416013943086313,69,,69,,2,-14.14545489520632,2,-18.54899613978505,2,-41.75785789616712,1,18.047158016190178,1,54.522368038977184,1,-4.857589997494854,1,-3.713687726323384,48,,0,3.1078738315989645,2,-3.6843556067343,1,1781.4663804773706,1,22.007916639250244,1,0.005751532426842232,2,-7540983293.852884,39,,68,,30143.0,Angola,0.10819724325499147,15555.0,Angola,0.055834127951145944,3,0.0,70.3030303030303,,Err:507,15,5,1.8,11,21,12,18,,17.0,15.0,,,,,12.0,21.0,11.0,,
2,3,Albania,ALB,11661.981184261002,2880703.0,1.98903641031678,29.0,78.17399999999998,0.1,57.434,,2.8950340706142,-40000.0,,100.0,1.97876331208568,9.4,808.4558395959441,1290350891.31656,24.738150200759,3.4379699999999995,,71.2313001644357,989278987.84631,6.0,20.6922,1.714,42.072863803276,,,71.8010161004583,63.252932696931,116.337512554082,5.0,63.0,18.51578985530989,-3.02836282608953,79.8644181475793,5.985732146559348,13.147749461773401,9310.84516168334,,100.0,-910000289.950418,,,3,-1.5024741474674606,2,-52.990500542552034,3,5.588644354157848,1,-0.3513880224429401,3,-0.8446606868658506,70,,2,1.4316821805544893,3,-8474.855262234109,71,,3,8.322229409488287,3,-0.4244995319496497,2,-12.809408302014115,1,-301.3498333528087,3,261181489.40123612,2,1.2932627499674645,2,-1.1144614601027194,40,,2,25.032637651735392,3,-99912943.94354856,2,1.4544223420189573,3,-23.256414758049328,3,-0.6810953391785199,2,-0.2304985922617817,70,,70,,3,-10.585842186565074,3,18.373273650694152,3,6.628644914232112,2,-13.852518090994543,2,-35.803909127609096,2,2.624991683328089,2,-0.5194104085473099,0,29.576979134974714,1,1.085276181478343,3,5.297346386037665,2,5938.20482238188,81,,2,0.008383744641093926,3,-78618846.00367343,40,,69,,830.0,Albania,0.028812411414852555,104.0,Albania,0.003610229864029718,1,0.0,18.672199170124482,4.606650800000001,Err:507,36,7,3.58,18,49,30,42,,49.0,36.0,,,,18.0,41.0,38.0,32.0,,37.0
3,6,Argentina,ARG,20356.9155095569,43417765.0,4.80529233472193,52.0,76.415,0.4,91.50299999999999,,-0.00323329341821504,24002.0,,99.99520874023442,4.74679745467325,11.4,2015.1870402892998,494433532.139966,22.1490803040164,5.77611,99.20877,,11758994011.286001,3.0,63.2644,2.3080000000000003,40.90243773897721,,,22.4862260889792,68.0430641088122,142.434809806539,24.5,119.0,12.3365069418291,-3.3901103471953498,,,7.52859334896618,6793.61814026332,16.7,98.322282,-10883760783.9318,99.17995999999992,,5,-1.2159524033169982,4,15.702334068975894,5,1.2575325211309265,2,-0.015050825979227024,5,26.010057181096805,73,,3,-0.35626892631329393,5,29965.840701211484,74,,5,1.4044226732671348,5,0.7715336985752912,4,-0.9872053434607544,3,203.6157642580322,4,-490302437.9851873,4,-5.645830248789888,3,1.2297993726784309,0,3.423098077948396,119,,5,9306218448.490402,4,-2.0090756850687974,5,31.17959788929632,5,0.3718746129387121,4,-2.7796011145302657,73,,73,,5,-68.33622776644069,5,7.643865828827338,5,17.342985590024398,4,8.520298290132487,4,45.97188099839731,4,-4.5276327166198875,4,-1.0035291899994363,51,,73,,5,-1.209850172212282,4,3040.8186095674473,2,-4.770962256531603,4,-1.673617393340109,4,-9979094463.273077,0,2.7419302447645038,72,,1077.0,Argentina,0.0024805514516926426,3207.0,Argentina,0.0073863774425053895,6,0.0,10.973282442748092,6.6971307,Err:507,32,7,1.84,25,38,29,35,,28.0,36.0,,25.0,,37.0,31.0,38.0,32.0,,
4,7,Armenia,ARM,8727.55832503575,2916950.0,6.33589288838696,25.0,74.445,0.2,63.085,8.2,3.1599943559622403,-24989.0,1.9,100.0,1.9027589101995,14.0,1018.0712403052803,1491475903.47047,23.0924926716717,2.80591,,81.21899350625179,178295867.11618,4.0,24.785,1.6219999999999999,46.71852583971379,3.4,26.7,71.5932653468932,59.102377714878905,118.770976533708,4.5,41.0,20.931220827140997,-4.70036885380563,,4.6945428177529,23.1090030789546,2360.1103839351504,14.4,100.0,-161524903.881975,,32.4,6,3.4480463186086534,5,-110.17400574135591,6,4.101128091501252,3,-0.2833869519843405,6,11.784146257746794,0,2.055918814673328,4,1.1756073553838016,6,15207.613716736378,0,-5.321463603048446,6,20.196171222112863,6,0.16218364606621916,5,-16.598594244402964,4,147.4200654611594,5,497495018.9032773,5,0.8257141163384318,4,-1.6993710863788234,43,,3,32.18201977864083,6,-756541075.6438115,5,-0.760475467097379,6,-28.644174094234184,6,-1.296295496787396,5,3.7940194833919207,0,1.0424946003603694,0,-3.729906605392273,6,-7.647339205883384,6,22.835306619449486,6,20.364818885588306,5,-13.848620733641136,5,-69.36280334112114,5,5.070873674461425,5,-2.254617847215647,52,,2,-1.1896315931948207,6,14.83142205463948,5,-1275.9190511174804,3,-15.530816896128073,5,0.007500758841700872,5,580243657.3526659,43,,0,-6.948154965805316,66.0,Armenia,0.002262637343800888,19319.0,Armenia,0.6623013764377175,7,0.0,58.95953757225434,4.3483195,Err:507,35,5,2.98,28,45,30,40,,45.0,28.0,,,,,31.0,,32.0,,37.0
5,10,Australia,AUS,46220.25126423071,23850784.0,28.2184096915625,6.0,82.4,0.1,85.70100000000002,,,849966.0,,100.0,15.370137760423301,3.8,5328.22399187752,2173205676.4563,24.5092524750155,5.32175,,,45051418215.3716,11.0,13.6616,1.8090000000000002,45.863656696867,,,41.5473873260458,84.560519347399,108.279330925333,2.5,18.0,22.042809811743396,-2.64499162454268,47.0405895137794,,28.591841723667606,20932.484314038702,,0.026909100000000002,-38225918290.8143,,,8,13.936265301117963,6,-3.5331741075341068,8,2.2092372172054695,4,-0.11730676872363588,8,3.7317834964289887,76,,137,,8,748801.1262908521,77,,8,0.10045495254345838,8,7.172313704419321,7,-1.3731085993070762,5,708.5827738471162,7,893305568.6250463,6,-8.302425319649181,5,-0.1239115834224398,45,,122,,8,31759172938.02392,7,5.7308527875484225,8,2.0071221338219534,8,0.0794041616468073,6,-0.0950074620845669,76,,76,,8,-54.36318997859055,8,2.139889714623408,8,-19.174095445668694,7,-7.234648013131245,7,-18.593444164033023,6,2.245341941887933,6,-1.2465060677300106,1,-15.473487333369016,75,,8,16.88885683723251,7,16953.757030825556,86,,7,-100.02428754920513,7,-38240826024.63274,45,,75,,20677.0,Australia,0.08669316698352557,36917.0,Australia,0.15478317190747273,9,0.0,34.079438226903655,7.3090606,Err:507,79,8,1.5,71,83,77,81,,81.0,,,82.0,81.0,81.0,79.0,71.0,83.0,74.0,
6,11,Austria,AUT,49883.0412977321,8642699.0,17.465726250517,4.0,81.19024390243901,0.1,57.715,7.9,,99999.0,0.7,100.0,6.8698679296766905,3.7,3763.3279025587,2862546684.4218802,45.0711577242591,5.4530400000000006,,,-7972751912.9417,4.0,7.522,1.49,46.6745007772089,3.0,23.8,102.13601041785499,83.9401419315026,155.215524706184,22.0,26.0,26.7793872371983,-1.09823367470536,,,28.4439825865815,6435.49133689259,,99.9421494,5837277052.77135,,30.5,9,1.6648291798379358,7,-4.591256486086781,9,0.8497606181909559,5,-0.09763420420909873,9,-25.49547819248967,1,-0.3478254974700441,138,,9,-10233.183595584152,1,0.4666691391059102,9,0.05163188253303018,9,-1.888969603709814,8,-1.3698909046943388,6,-1340.058803584363,8,1588984017.1546345,7,12.32477905657916,6,-0.037275218209721565,46,,123,,9,-23040922101.567688,8,-1.1547669927109645,9,-3.2409410863034283,9,-0.2430381906093204,7,0.6646695856111862,1,-0.215931641794696,1,-0.2431588399712901,9,4.922857952144383,9,0.4176063876730609,9,27.39445066745952,8,12.416783628834686,8,-9.084339453467292,7,7.244654070473183,7,0.14155576341697573,55,,76,,9,16.84002850389176,8,2349.697709142093,87,,8,-0.11657405028570622,8,5860254999.917482,46,,1,0.24154206599479625,80075.0,Austria,0.926504556042042,72216.0,Austria,0.8355723136950621,10,0.0,37.877115526122154,7.076447,Err:507,76,7,1.76,70,81,73,79,,77.0,,,70.0,81.0,81.0,79.0,71.0,73.0,,
7,12,Azerbaijan,AZE,17782.026152714097,9649341.0,2.7090615839625496,25.0,71.921,0.1,54.714,,0.13638530619112402,0.0,,100.0,3.93156060898919,26.4,1502.07816841371,1269964000.0,34.1837072453108,2.95168,99.71714,26.952521606115603,4047630000.0,2.0,51.7,1.94,49.0220005753662,,,72.6015079073189,77.0,111.225888184477,3.5,25.0,15.603162927546899,-2.7236116219198196,,,5.51874580872895,851.0679355671831,,100.0,-838252000.0,99.78806,,10,-2.4476992911002533,8,-18.66456173310319,10,-2.583087474783909,6,-0.3246765922221665,10,-9.730116477645351,77,,6,-0.4495231731801569,10,12751.048497246391,78,,10,2.126179521465588,10,0.3891880255678064,9,11.961146261274777,7,-88.20905163725638,9,273768249.623384,8,7.863318780727742,7,-1.5472485749448883,2,4.648322473611941,4,-19.142956903489143,10,2106159099.9917781,9,-2.8523675698595383,10,15.638819641635024,10,-0.09593718964554963,8,5.850499794818879,77,,77,,10,-13.399046032501431,10,20.579584649849533,10,-11.843364671028853,9,-13.20202103428262,9,-54.87908257634279,8,-0.8458114906461542,8,-0.2899045045433759,56,,77,,10,-2.944410024152484,9,-2723.8607241209343,88,,9,0.007079287940356949,9,153586695.07307065,2,4.074258637924174,76,,220.0,Azerbaijan,0.0022799484441476366,1278.0,Azerbaijan,0.013244427780093998,11,618220.0,17.726657645466847,5.1467748,Err:507,29,6,3.25,21,38,24,34,,37.0,23.0,,,,,21.0,38.0,32.0,,21.0
8,13,Burundi,BDI,759.0321026471901,10199270.0,2.5656322287276203,712.0,57.093999999999994,1.1,12.078,,11.813426347532301,20000.0,,7.25208950042725,0.0444853762564713,67.1,,51041087.26285321,,6.44881,,20.4234426171714,49622865.770581104,2.0,28.0212,5.7810000000000015,52.3760107341481,,,22.85071108549069,4.86622446359511,49.0005265082697,4.0,168.0,,,,,7.592545634286258,1017.0050112264801,57.9,100.0,-49470693.07917511,,,11,0.8039630063969403,9,335.0325427158218,11,-4.801187866735512,7,-0.06995670487458573,11,-19.00843056114716,78,,7,3.4956409935897312,11,71516.94388664361,79,,11,-38.608994595248646,11,-0.02395041463002296,10,0.9954056317025533,135,,10,-513985322.5107896,125,,8,2.1052044074668594,47,,5,-10.850790325050372,11,-502058987.7332189,10,-3.44096161586698,11,-61.43563220542099,11,1.0981095461524006,9,5.31123537547341,78,,78,,11,-44.70226312146281,11,-4.636058144126088,11,-15.2353097690593,10,-12.521322606399586,10,14.780433759517507,125,,120,,57,,78,,11,-2.9230288484205698,10,-2824.923561428757,4,-14.488037905195362,10,-0.0009874280434161165,10,476793831.19560057,47,,77,,2931.0,Burundi,0.028737350810401137,53363.0,Burundi,0.5232041116668154,26,25000.0,78.8560254216573,,Err:507,21,5,2.94,11,28,16,26,23.0,28.0,19.0,25.0,,,,,,11.0,,
9,14,Belgium,BEL,45414.8905975223,11274196.0,12.283533194231902,7.0,80.9926829268293,,97.876,8.6,,240000.0,0.0,100.0,8.32815989783976,4.0,4708.221217895491,9966431485.808659,40.6949466292785,6.55238,,,-24266120892.832,4.0,5.3384,1.7,46.0490790676097,3.4,22.2,160.229325319499,85.0529,113.16582122158701,4.0,45.0,24.6673759202321,-1.14923450579528,,,24.5781622457406,1070.56284931016,,100.0,16338968915.7905,,27.7,12,-1.7019491032790697,10,-2.797023999411204,12,0.8457289133425832,138,,12,16.193997319133107,2,0.4863681577718708,139,,12,140970.93581923965,2,-0.2821388491069138,12,0.11255141221008104,12,0.2535225414695734,11,-1.2076348978977318,8,195.0812436941241,11,8684606206.461283,9,7.867149596781089,9,1.1161923057491352,48,,124,,12,-37175080389.90002,11,-1.2957354420258982,12,-6.536538121410812,12,-0.028762841981282868,10,0.11681500805873668,2,0.2527809844349309,2,-2.0269537975604592,12,64.65822589854197,12,2.919134228758182,12,-14.209543985340517,11,-5.779321643489572,11,8.019917204483214,9,4.8120744694816535,9,0.2826463191031077,58,,79,,12,12.860217674369087,11,-2887.810967612835,89,,11,-0.04970955801280752,11,16323096645.082045,48,,2,-2.96717731814067,36009.0,Belgium,0.31939306359406916,35314.0,Belgium,0.3132285441906456,16,0.0,37.70228486527728,6.904219199999999,Err:507,77,7,1.34,71,81,75,79,,79.0,,,77.0,81.0,76.0,79.0,71.0,73.0,,
