,0
0,Unnamed: 0
1,country_x
2,country_code
3,gdp_per_capita
4,population
5,migrant_stock
6,maternal_mortality_rate
7,life_expectancy
8,hiv_prevalence
9,urbpop
10,lowest_twenty_income_share
11,oda_pct_of_gni
12,net_migration
13,poverty_headcount_ratio_190_2011_ppp
14,access_to_electricity_pct_of_population
15,co2_tons_per_capita
16,mortality_under_5_per_1000_live_births
17,energy_use_per_capita
18,remittances
19,revenue_pct_gdp
20,govt_exp_educ_pct_gdp
21,female_literacy_pct
22,external_debt_pct_GNI
23,fdi_net_current_usd
24,strength_legal_rights_0_12
25,adolescent_fertility_rate
26,fertility_rate
27,female_employment_pct_of_total
28,lowest_ten_income_share
29,highest_ten_income_share
30,trade_pct_gdp
31,use_internet_pct_pop
32,mobile_phone_subscriptions_pct_pop
33,days_required_to_start_business
34,ease_doing_business
35,tax_revenue_pct_gdp
36,net_lending_borrowing_pct_gdp
37,central_govt_debt_pct_gdp
38,risk_premium
39,biodiversity_protected_areas
40,renewable_freshwater_per_capita
41,slum_population_pct_urban_population
42,pm25_pct_population
43,net_fdi
44,literacy_rate
45,gini_coefficient
46,Unnamed: 0_x
47,migrant_stock_resid
48,Unnamed: 0_y
49,maternal_mortality_rate_resid
50,Unnamed: 0_x.1
51,life_expectancy_resid
52,Unnamed: 0_y.1
53,hiv_prevalence_resid
54,Unnamed: 0_x.2
55,urbpop_resid
56,Unnamed: 0_y.2
57,lowest_twenty_income_share_resid
58,Unnamed: 0_x.3
59,oda_pct_of_gni_resid
60,Unnamed: 0_y.3
61,net_migration_resid
62,Unnamed: 0_x.4
63,poverty_headcount_ratio_190_2011_ppp_resid
64,Unnamed: 0_y.4
65,access_to_electricity_pct_of_population_resid
66,Unnamed: 0_x.5
67,co2_tons_per_capita_resid
68,Unnamed: 0_y.5
69,mortality_under_5_per_1000_live_births_resid
70,Unnamed: 0_x.6
71,energy_use_per_capita_resid
72,Unnamed: 0_y.6
73,remittances_resid
74,Unnamed: 0_x.7
75,revenue_pct_gdp_resid
76,Unnamed: 0_y.7
77,govt_exp_educ_pct_gdp_resid
78,Unnamed: 0_x.8
79,female_literacy_pct_resid
80,Unnamed: 0_y.8
81,external_debt_pct_GNI_resid
82,Unnamed: 0_x.9
83,fdi_net_current_usd_resid
84,Unnamed: 0_y.9
85,strength_legal_rights_0_12_resid
86,Unnamed: 0_x.10
87,adolescent_fertility_rate_resid
88,Unnamed: 0_y.10
89,fertility_rate_resid
90,Unnamed: 0_x.11
91,female_employment_pct_of_total_resid
92,Unnamed: 0_y.11
93,lowest_ten_income_share_resid
94,Unnamed: 0_x.12
95,highest_ten_income_share_resid
96,Unnamed: 0_y.12
97,trade_pct_gdp_resid
98,Unnamed: 0_x.13
99,use_internet_pct_pop_resid
100,Unnamed: 0_y.13
101,mobile_phone_subscriptions_pct_pop_resid
102,Unnamed: 0_x.14
103,days_required_to_start_business_resid
104,Unnamed: 0_y.14
105,ease_doing_business_resid
106,Unnamed: 0_x.15
107,tax_revenue_pct_gdp_resid
108,Unnamed: 0_y.15
109,net_lending_borrowing_pct_gdp_resid
110,Unnamed: 0_x.16
111,central_govt_debt_pct_gdp_resid
112,Unnamed: 0_y.16
113,risk_premium_resid
114,Unnamed: 0_x.17
115,biodiversity_protected_areas_resid
116,Unnamed: 0_y.17
117,renewable_freshwater_per_capita_resid
118,Unnamed: 0_x.18
119,slum_population_pct_urban_population_resid
120,Unnamed: 0_y.18
121,pm25_pct_population_resid
122,Unnamed: 0_x.19
123,net_fdi_resid
124,Unnamed: 0_y.19
125,literacy_rate_resid
126,Unnamed: 0.1
127,gini_coefficient_resid
128,asylum_seekers
129,iso_3_x
130,iso_2_x
131,country_y
132,asylum_seekers_pct_pop
133,refugees
134,iso_3_y
135,iso_2_y
136,country_x
137,refugees_pct_pop
138,idps
139,iso_3_x
140,iso_2_x
141,recognition_rate
142,iso_3_y
143,iso_2_y
144,country_y
145,happiness
146,Region
147,ti_cpi
148,Number of Surveys Used
149,Std Error
150,Min
151,Max
152,90% Lower CI
153,90%Upper CI
154,World Bank CPIA
155,World  Economic Forum EOS
156,Bertelsmann  Foundation TI
157,Arican Development Bank
158,IMD World Competitiveness Year Book
159,Bertelsmann Foundation SGI
160,World Justice Project ROL
161,PRS Internationl Country Risk Guide
162,Economist Intelligence Unit
163,IHS Global Insight
164,PERC Asia Risk Guide
165,Freedom House NIT
