,country,country_code,maternal_mortality_rate_resid
0,Afghanistan,AFG,58.792859275516264
1,Angola,AGO,297.87085428811025
2,Albania,ALB,-52.2579893170292
3,United Arab Emirates,ARE,-0.1367690360052789
4,Argentina,ARG,15.480961358056526
5,Armenia,ARM,-105.1798862374308
6,Australia,AUS,-3.5362023814715187
7,Austria,AUT,-4.567660047410133
8,Azerbaijan,AZE,-18.905193439780724
9,Burundi,BDI,336.3625032715625
10,Belgium,BEL,-2.8059679351126086
11,Benin,BEN,74.20676479817911
12,Burkina Faso,BFA,26.62357394881792
13,Bangladesh,BGD,-115.88032565012332
14,Bulgaria,BGR,-31.34996768684269
15,Bahrain,BHR,5.639853567841898
16,"Bahamas, The",BHS,58.74173869064202
17,Bosnia and Herzegovina,BIH,-70.37980497729139
18,Belarus,BLR,-37.91350551054904
19,Belize,BLZ,-108.11028750648339
20,Bolivia,BOL,23.147023581674233
21,Brazil,BRA,-8.075748784390385
22,Barbados,BRB,-17.702185849424865
23,Brunei Darussalam,BRN,16.456109646170336
24,Bhutan,BTN,3.317076919129363
25,Botswana,BWA,78.54776550758226
26,Central African Republic,CAF,503.0936218762313
27,Canada,CAN,-3.085565146371133
28,Switzerland,CHE,-1.595592361601943
29,Chile,CHL,-9.834069424178761
30,China,CHN,-30.873822914528738
31,Cote d'Ivoire,CIV,356.7558422795719
32,Cameroon,CMR,309.3346379850506
33,"Congo, Dem. Rep.",COD,320.9232391753368
34,"Congo, Rep.",COG,228.15826454474094
35,Colombia,COL,1.7058535035085498
36,Comoros,COM,21.600043477738495
37,Cabo Verde,CPV,-160.13324313812544
38,Costa Rica,CRI,-26.841112381609655
39,Cyprus,CYP,-12.943783817193975
40,Czech Republic,CZE,-13.957530591720033
41,Germany,DEU,-3.059461824477669
42,Denmark,DNK,-2.838568810234829
43,Dominican Republic,DOM,33.062601349279454
44,Algeria,DZA,82.98164080543485
45,East Asia & Pacific,EAS,8.973770757267147
46,Ecuador,ECU,-19.705229773978132
47,"Egypt, Arab Rep.",EGY,-59.04580448736422
48,Spain,ESP,-11.620197081964754
49,Estonia,EST,-13.843204450520261
50,Ethiopia,ETH,6.411548013331242
51,Finland,FIN,-8.256068312182471
52,Fiji,FJI,-90.98829866179689
53,France,FRA,-4.073094180796799
54,"Micronesia, Fed. Sts.",FSM,-187.25725484537037
55,Gabon,GAB,247.60032674012902
56,United Kingdom,GBR,-2.508254311303242
57,Georgia,GEO,-71.39394199906931
58,Ghana,GHA,49.97314519634267
59,Guinea,GIN,340.2722795096323
60,"Gambia, The",GMB,360.4433150652882
61,Guinea-Bissau,GNB,199.37471710308773
62,Equatorial Guinea,GNQ,319.8065794262579
63,Greece,GRC,-22.30049476468265
64,Grenada,GRD,-36.44273992407948
65,Guatemala,GTM,-71.0549533841625
66,Guyana,GUY,63.17977356670713
67,Honduras,HND,-123.88437707849417
68,Croatia,HRV,-23.431246833659547
69,Haiti,HTI,16.54082197107283
70,Hungary,HUN,-9.263759746896124
71,Indonesia,IDN,37.33347394918661
72,India,IND,-33.10998538621956
73,Ireland,IRL,1.7790902664534762
74,"Iran, Islamic Rep.",IRN,-19.564487110104196
75,Iraq,IRQ,-1.840026326688232
76,Iceland,ISL,-6.1457138225941925
77,Israel,ISR,-10.649174384553051
78,Italy,ITA,-11.001919615041354
79,Jamaica,JAM,-44.28417971589644
80,Jordan,JOR,-62.552990260490105
81,Japan,JPN,-6.983530524400445
82,Kazakhstan,KAZ,-16.009002491438753
83,Kenya,KEN,208.16828123506838
84,Kyrgyz Republic,KGZ,-212.37764334795025
85,Cambodia,KHM,-125.60259335629866
86,Kiribati,KIR,-242.08324577792092
87,"Korea, Rep.",KOR,-5.263786221365983
88,Kuwait,KWT,-2.1696031239710702
89,Lao PDR,LAO,-10.160455875217991
90,Lebanon,LBN,-44.86816806175994
91,Liberia,LBR,367.34494988906755
92,Libya,LBY,-42.294784686415674
93,St. Lucia,LCA,-22.312814203115096
94,Sri Lanka,LKA,-49.46548260847014
95,Lesotho,LSO,181.07798957938593
96,Lithuania,LTU,-12.625530537682419
97,Luxembourg,LUX,2.917391084291472
98,Latvia,LVA,-10.63625985887673
99,Morocco,MAR,-37.922230446471445
100,Moldova,MDA,-216.1332664429692
101,Madagascar,MDG,0.9389847305957346
102,Maldives,MDV,11.333337178904266
103,Mexico,MEX,-7.5934521340782055
104,"Macedonia, FYR",MKD,-53.84093282391623
105,Mali,MLI,253.8574574682376
106,Malta,MLT,-6.8448452944755225
107,Myanmar,MMR,-51.23644521827944
108,Montenegro,MNE,-42.04086657144159
109,Mongolia,MNG,-31.728804533646382
110,Mozambique,MOZ,127.79916181223098
111,Mauritania,MRT,325.6809428212546
112,Mauritius,MUS,15.877137138035437
113,Malawi,MWI,271.7530996285368
114,Malaysia,MYS,14.624407290655839
115,Namibia,NAM,170.44560354498645
116,Niger,NER,184.33842589012272
117,Nigeria,NGA,604.6210399055215
118,Nicaragua,NIC,-82.41927432491025
119,Netherlands,NLD,-1.6436059625129502
120,Norway,NOR,-1.7586115502497703
121,Nepal,NPL,-61.54319703199843
122,New Zealand,NZL,-2.9752278338976215
123,Oman,OMN,5.936424357874074
124,Pakistan,PAK,-62.77007823416329
125,Panama,PAN,61.008318837239734
126,Peru,PER,-4.001507205052121
127,Philippines,PHL,-58.145232557701206
128,Papua New Guinea,PNG,-53.987676962493765
129,Poland,POL,-22.496710361947603
130,Puerto Rico,PRI,-0.18145662412158714
131,Portugal,PRT,-11.98574169810027
132,Paraguay,PRY,53.17536791505866
133,West Bank and Gaza,PSE,-195.19954866313387
134,Pacific island small states,PSS,-147.27303199741658
135,Qatar,QAT,5.693919059766245
136,Romania,ROU,-3.0858929668574646
137,Russian Federation,RUS,-3.6142133084159767
138,Rwanda,RWA,-49.548534592061515
139,South Asia,SAS,-38.48281751542683
140,Saudi Arabia,SAU,4.226868196186977
141,Sudan,SDN,57.17413037872109
142,Senegal,SEN,16.063711394239704
143,Singapore,SGP,3.116480563037623
144,Solomon Islands,SLB,-211.20559093091958
145,Sierra Leone,SLE,1005.7249968245044
146,El Salvador,SLV,-113.61403435330774
147,Serbia,SRB,-43.7118721788207
148,South Sudan,SSD,454.33812232045966
149,Sub-Saharan Africa,SSF,268.21912022820004
150,Sao Tome and Principe,STP,-142.0775463104094
151,Suriname,SUR,102.65889389552216
152,Slovak Republic,SVK,-15.996164480670107
153,Slovenia,SVN,-11.000219871962145
154,Sweden,SWE,-5.0377616631053925
155,Eswatini,SWZ,244.69198152437724
156,Chad,TCD,527.9667106789295
157,Togo,TGO,18.453008891115303
158,Thailand,THA,-29.410095154471662
159,Tajikistan,TJK,-276.4295953617789
160,Turkmenistan,TKM,-8.62498844429846
161,Timor-Leste,TLS,59.27757378953959
162,Tonga,TON,-101.010833039202
163,Trinidad and Tobago,TTO,45.15896269921234
164,Tunisia,TUN,-21.367643461248832
165,Turkey,TUR,-12.448938864955771
166,Tanzania,TZA,84.48708975335012
167,Uganda,UGA,1.0544763821070546
168,Ukraine,UKR,-129.63022498451093
169,Uruguay,URY,-20.018264895501133
170,United States,USA,6.659833313848257
171,Uzbekistan,UZB,-172.88487201993274
172,St. Vincent and the Grenadines,VCT,-42.75736030133247
173,Vietnam,VNM,-159.46437044592264
174,Vanuatu,VUT,-224.81268288102694
175,Samoa,WSM,-162.31030241355052
176,"Yemen, Rep.",YEM,90.70854426336541
177,South Africa,ZAF,71.4654270041438
178,Zambia,ZMB,-51.47600416304715
179,Zimbabwe,ZWE,119.4319506723466
180,Aruba,ABW,
181,Andorra,AND,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,American Samoa,ASM,
226,Antigua and Barbuda,ATG,
227,Bermuda,BMU,
228,Channel Islands,CHI,
229,Cuba,CUB,
230,Curacao,CUW,
231,Cayman Islands,CYM,
232,Djibouti,DJI,
233,Dominica,DMA,
234,Eritrea,ERI,
235,Faroe Islands,FRO,
236,Gibraltar,GIB,
237,Greenland,GRL,
238,Guam,GUM,
239,"Hong Kong SAR, China",HKG,
240,Isle of Man,IMN,
241,St. Kitts and Nevis,KNA,
242,Liechtenstein,LIE,
243,"Macao SAR, China",MAC,
244,St. Martin (French part),MAF,
245,Monaco,MCO,
246,Marshall Islands,MHL,
247,Northern Mariana Islands,MNP,
248,New Caledonia,NCL,
249,Nauru,NRU,
250,Palau,PLW,
