,country,country_code,migrant_stock_resid
0,Aruba,ABW,23.421540206472116
1,Afghanistan,AFG,-0.7268084501280054
2,Angola,AGO,-2.194532439133035
3,Albania,ALB,-1.5024741474674606
4,United Arab Emirates,ARE,58.42597008983892
5,Argentina,ARG,-1.2159524033169982
6,Armenia,ARM,3.448046318608653
7,Antigua and Barbuda,ATG,24.271588179111667
8,Australia,AUS,13.936265301117965
9,Austria,AUT,1.6648291798379358
10,Azerbaijan,AZE,-2.4476992911002533
11,Burundi,BDI,0.8039630063969403
12,Belgium,BEL,-1.7019491032790697
13,Benin,BEN,0.32860597381270984
14,Burkina Faso,BFA,2.016759639366917
15,Bangladesh,BGD,-1.200023860720595
16,Bulgaria,BGR,-3.870444029300213
17,Bahrain,BHR,36.640282270770854
18,"Bahamas, The",BHS,6.429193131828551
19,Bosnia and Herzegovina,BIH,-2.575037270813974
20,Belarus,BLR,6.051520997288318
21,Belize,BLZ,12.135589518542012
22,Bolivia,BOL,-1.2685379247163813
23,Brazil,BRA,-4.083365258858916
24,Barbados,BRB,7.063578266281652
25,Brunei Darussalam,BRN,-12.327274417050223
26,Bhutan,BTN,3.787617516390619
27,Botswana,BWA,2.5578147834649068
28,Central African Republic,CAF,-0.08499196539396059
29,Canada,CAN,8.099295254395251
30,Switzerland,CHE,4.757620092872024
31,Chile,CHL,-4.087407930653178
32,China,CHN,-4.012817113934336
33,Cote d'Ivoire,CIV,7.483455001221162
34,Cameroon,CMR,-0.46954120317348425
35,"Congo, Dem. Rep.",COD,-1.068030351746374
36,"Congo, Rep.",COG,6.063324747049465
37,Colombia,COL,-3.6554485593815484
38,Comoros,COM,-0.4030469428286916
39,Cabo Verde,CPV,0.36563086827110247
40,Costa Rica,CRI,4.331425676467902
41,Cayman Islands,CYM,21.22919021190071
42,Cyprus,CYP,7.577362772643292
43,Czech Republic,CZE,-6.024983319462974
44,Germany,DEU,-0.0005305292952471063
45,Dominica,DMA,6.027867540094821
46,Denmark,DNK,-5.139519730570786
47,Dominican Republic,DOM,-0.09401334530340666
48,Algeria,DZA,-3.512843315502579
49,Ecuador,ECU,-1.0347893541841384
50,"Egypt, Arab Rep.",EGY,-2.7128546657611725
51,Spain,ESP,2.4100148436506803
52,Estonia,EST,7.048663065021842
53,Ethiopia,ETH,-0.7874828911953082
54,Finland,FIN,-7.012638900583559
55,Fiji,FJI,-1.3975854525932163
56,France,FRA,-0.11216725617099499
57,"Micronesia, Fed. Sts.",FSM,0.5349944213173186
58,Gabon,GAB,10.348863472522584
59,United Kingdom,GBR,0.6292018028865929
60,Georgia,GEO,1.1795397573927153
61,Ghana,GHA,-0.725087595833916
62,Guinea,GIN,-0.08501158246571983
63,"Gambia, The",GMB,7.800024308166636
64,Guinea-Bissau,GNB,-0.6448113818300791
65,Equatorial Guinea,GNQ,-7.2888676025121875
66,Greece,GRC,3.5815035095087584
67,Grenada,GRD,2.7091864689406284
68,Guatemala,GTM,-2.2624129967530835
69,Guyana,GUY,-0.6873898150007527
70,"Hong Kong SAR, China",HKG,18.975778521854558
71,Honduras,HND,-1.9077128442687301
72,Croatia,HRV,6.8424022339480315
73,Haiti,HTI,-1.513432228634404
74,Hungary,HUN,-3.0388519326980576
75,Indonesia,IDN,-3.1933532243909584
76,India,IND,-2.0765521267980165
77,Ireland,IRL,-12.345207290331173
78,"Iran, Islamic Rep.",IRN,-1.6352745424960613
79,Iraq,IRQ,-3.468096304627249
80,Iceland,ISL,-3.3679541976525
81,Israel,ISR,14.341381088899455
82,Italy,ITA,-1.1612665538630953
83,Jamaica,JAM,-2.0413837216974406
84,Jordan,JOR,38.03573232293238
85,Japan,JPN,-10.641514540868615
86,Kazakhstan,KAZ,12.826442800844728
87,Kenya,KEN,0.3123611692860737
88,Kyrgyz Republic,KGZ,1.342219100109498
