,country,country_code,mortality_under_5_per_1000_live_births_resid
0,Afghanistan,AFG,12.426352563265574
1,Angola,AGO,51.18164171475119
2,Albania,ALB,-12.809408302014115
3,United Arab Emirates,ARE,4.25874266288769
4,Argentina,ARG,-0.9872053434607544
5,Armenia,ARM,-16.598594244402964
6,Antigua and Barbuda,ATG,-3.715373687676207
7,Australia,AUS,-1.3731085993070762
8,Austria,AUT,-1.3698909046943388
9,Azerbaijan,AZE,11.961146261274775
10,Burundi,BDI,0.9954056317025533
11,Belgium,BEL,-1.2076348978977318
12,Benin,BEN,43.93789726826417
13,Burkina Faso,BFA,26.709406638776798
14,Bangladesh,BGD,-17.789262651891413
15,Bulgaria,BGR,-5.7860839363971905
16,Bahrain,BHR,2.447901048996024
17,"Bahamas, The",BHS,0.09504230227323074
18,Bosnia and Herzegovina,BIH,-16.231896499609448
19,Belarus,BLR,-9.864214358553907
20,Belize,BLZ,-15.85294566525195
21,Bolivia,BOL,-0.7642386736688351
22,Brazil,BRA,-0.6693798954597128
23,Barbados,BRB,-1.543829073455381
24,Brunei Darussalam,BRN,5.897625076572252
25,Bhutan,BTN,0.707734258167342
26,Botswana,BWA,24.606075687912444
27,Central African Republic,CAF,63.63551897924593
28,Canada,CAN,0.05228882277541125
29,Switzerland,CHE,-0.35585477508061736
30,Chile,CHL,-2.9388416835790743
31,China,CHN,-6.851993938680284
32,Cote d'Ivoire,CIV,41.23554189675446
33,Cameroon,CMR,36.66362170976763
34,"Congo, Dem. Rep.",COD,31.996683408417113
35,"Congo, Rep.",COG,8.48868816707725
36,Colombia,COL,-2.9024065020568415
37,Comoros,COM,15.919271021428678
38,Cabo Verde,CPV,-21.393001153867477
39,Costa Rica,CRI,-6.934579437169601
40,Cyprus,CYP,-4.675624958153724
41,Czech Republic,CZE,-3.9698499411448123
42,Germany,DEU,-1.2195971098903695
43,Dominica,DMA,6.482956938224895
44,Denmark,DNK,-0.8972655859440692
45,Dominican Republic,DOM,13.709547389133306
46,Algeria,DZA,7.442886638788462
47,Ecuador,ECU,-7.553734160819284
48,"Egypt, Arab Rep.",EGY,-0.5799768363065567
49,Spain,ESP,-3.533425298551373
50,Estonia,EST,-5.192042837816745
51,Ethiopia,ETH,2.196023082872223
52,Finland,FIN,-3.058999430924079
53,Fiji,FJI,-4.675298750704652
54,France,FRA,-1.4353810267629807
55,"Micronesia, Fed. Sts.",FSM,-19.321900773097475
56,Gabon,GAB,38.179596073469845
57,United Kingdom,GBR,-1.0108214571497367
58,Georgia,GEO,-14.926305036465402
59,Ghana,GHA,3.8200199923405975
60,Guinea,GIN,30.810496011780863
61,"Gambia, The",GMB,6.042174352628194
62,Guinea-Bissau,GNB,28.266069632296414
63,Equatorial Guinea,GNQ,87.86457397689067
64,Greece,GRC,-4.115212196397725
65,Grenada,GRD,-2.543654113160226
66,Guatemala,GTM,-5.182189971232418
67,Guyana,GUY,-2.470107440069036
68,Honduras,HND,-28.928698594177213
69,Croatia,HRV,-5.9103263806420925
70,Haiti,HTI,13.58117240533317
71,Hungary,HUN,-4.076490667826226
72,Indonesia,IDN,3.5389536654542013
73,India,IND,2.276582612541759
