,country,country_code,net_lending_borrowing_pct_gdp_resid
0,Afghanistan,AFG,0.958440810243681
1,Angola,AGO,-3.7136877263233834
2,Albania,ALB,-0.5194104085473099
3,United Arab Emirates,ARE,-0.17668620292299353
4,Argentina,ARG,-1.0035291899994365
5,Armenia,ARM,-2.254617847215647
6,Australia,AUS,-1.2465060677300106
7,Austria,AUT,0.14155576341697573
8,Azerbaijan,AZE,-0.2899045045433759
9,Belgium,BEL,0.28264631910310767
10,Burkina Faso,BFA,-0.14538412900501108
11,Bangladesh,BGD,0.9485950814584061
12,Bulgaria,BGR,1.7684840915898046
13,"Bahamas, The",BHS,-0.3874349857034618
14,Bosnia and Herzegovina,BIH,2.873529413824756
15,Belarus,BLR,4.681994668385913
16,Brazil,BRA,-5.042246131581212
17,Barbados,BRB,-6.5283104561168
18,Botswana,BWA,-0.6602620659688752
19,Canada,CAN,2.3545854280438427
20,Switzerland,CHE,0.8996613850306052
21,Chile,CHL,0.16136248475311765
22,China,CHN,2.123891850549586
23,Cote d'Ivoire,CIV,-1.064013795653671
24,Colombia,COL,-1.4120984055765087
25,Cyprus,CYP,0.8181360017137358
26,Czech Republic,CZE,0.7291001075962551
27,Germany,DEU,1.7408717087262218
28,Denmark,DNK,-0.39517217356836043
29,Dominican Republic,DOM,2.8206656794427127
30,"Egypt, Arab Rep.",EGY,-8.237201013605082
31,Spain,ESP,-0.8932070388927056
32,Estonia,EST,1.9237560157332942
33,Ethiopia,ETH,-0.8942464461606012
34,Finland,FIN,-0.5313765230773764
35,Fiji,FJI,0.33279751332447516
36,France,FRA,-1.9293043484039947
37,"Micronesia, Fed. Sts.",FSM,13.516452992537069
38,United Kingdom,GBR,-2.589320089279904
39,Georgia,GEO,1.2685777728369798
40,Equatorial Guinea,GNQ,-1.0909626520385762
41,Greece,GRC,-3.817092883622345
42,Guatemala,GTM,0.9846131866535077
43,Honduras,HND,1.4686556459495264
44,Hungary,HUN,0.028020039417546716
45,Indonesia,IDN,-0.09728340258919665
46,Ireland,IRL,-2.156955407808345
47,Iraq,IRQ,-3.1597891479116083
48,Iceland,ISL,1.1293578839628713
49,Israel,ISR,-0.4615923117187408
50,Italy,ITA,-1.263264714625943
51,Jamaica,JAM,2.1489875958894777
52,Japan,JPN,-2.8255592636318063
53,Kazakhstan,KAZ,-0.1988865249544376
54,Kenya,KEN,-6.431961295069307
55,Kyrgyz Republic,KGZ,1.2435315671504348
56,Cambodia,KHM,1.5203572684072388
57,Kiribati,KIR,58.12858251211717
58,"Korea, Rep.",KOR,2.666429345955987
59,Kuwait,KWT,-21.232132505316557
60,Lao PDR,LAO,-1.3651683892753401
61,Lebanon,LBN,-4.388175292780861
62,Sri Lanka,LKA,-5.058039000159743
63,Lesotho,LSO,0.9730630139591694
64,Lithuania,LTU,1.5510667172566515
65,Luxembourg,LUX,-1.068172695609161
66,Latvia,LVA,0.01794115272437624
67,Moldova,MDA,0.402107714030179
68,Mexico,MEX,-0.7883232964968645
69,Marshall Islands,MHL,5.179922651094937
70,"Macedonia, FYR",MKD,-1.006820500797701
71,Mali,MLI,-0.35326053172261673
72,Malta,MLT,0.6871435564784305
73,Myanmar,MMR,-1.9231300770133077
74,Mongolia,MNG,-2.1921991731005663
75,Mauritius,MUS,1.5410951564158806
76,Malawi,MWI,-2.2341389352919214
77,Malaysia,MYS,-0.9669983490632119
78,Namibia,NAM,-5.734215794818679
79,Nicaragua,NIC,1.7178150926476945
80,Netherlands,NLD,-0.6041543289191662
81,Norway,NOR,6.750069765806728
82,Nepal,NPL,3.3149590956028083
83,New Zealand,NZL,2.0153501671385405
84,Peru,PER,-0.3995430738074517
85,Philippines,PHL,1.0751237004749745
86,Palau,PLW,7.430046025683897
87,Papua New Guinea,PNG,-3.0627796259988287
88,Poland,POL,-0.46737555998567615
89,Portugal,PRT,-2.730518669606744
90,Paraguay,PRY,1.8881681050104826
91,Romania,ROU,0.83356108406542
92,Russian Federation,RUS,-0.03496728662834814
93,Rwanda,RWA,-0.14072050458194196
94,Senegal,SEN,-1.4030167486825764
95,Singapore,SGP,3.162250264766371
96,Solomon Islands,SLB,3.1671742055957774
97,El Salvador,SLV,1.0928780744220146
98,Slovak Republic,SVK,-0.7886825078109925
99,Slovenia,SVN,-1.170882029351386
100,Sweden,SWE,1.8186847251734743
101,Seychelles,SYC,3.256491369117198
102,Togo,TGO,-4.051531055307455
103,Thailand,THA,2.39034455596132
104,Timor-Leste,TLS,6.569762123958196
105,Trinidad and Tobago,TTO,0.47208733124556246
106,Turkey,TUR,2.7260974405803102
107,Uganda,UGA,-0.2947098655332132
108,Ukraine,UKR,0.9328812088332015
109,Uruguay,URY,-0.40678089432363285
110,United States,USA,-2.439049383573287
111,Uzbekistan,UZB,5.7551134570876314
112,Vanuatu,VUT,9.993024754133105
113,Samoa,WSM,-1.512459251718345
114,South Africa,ZAF,-2.228387384560075
115,Zambia,ZMB,-5.590029477591101
116,Aruba,ABW,
117,Andorra,AND,
118,American Samoa,ASM,
119,Antigua and Barbuda,ATG,
120,Burundi,BDI,
121,Benin,BEN,
122,Bahrain,BHR,
123,Belize,BLZ,
124,Bermuda,BMU,
125,Bolivia,BOL,
126,Brunei Darussalam,BRN,
127,Bhutan,BTN,
128,Central African Republic,CAF,
129,Channel Islands,CHI,
130,Cameroon,CMR,
131,"Congo, Dem. Rep.",COD,
132,"Congo, Rep.",COG,
133,Comoros,COM,
134,Cabo Verde,CPV,
135,Costa Rica,CRI,
136,Cuba,CUB,
137,Curacao,CUW,
138,Cayman Islands,CYM,
139,Djibouti,DJI,
140,Dominica,DMA,
141,Algeria,DZA,
142,Ecuador,ECU,
143,Eritrea,ERI,
144,Faroe Islands,FRO,
145,Gabon,GAB,
146,Ghana,GHA,
147,Gibraltar,GIB,
148,Guinea,GIN,
149,"Gambia, The",GMB,
150,Guinea-Bissau,GNB,
151,Grenada,GRD,
152,Greenland,GRL,
153,Guam,GUM,
154,Guyana,GUY,
155,"Hong Kong SAR, China",HKG,
156,Croatia,HRV,
157,Haiti,HTI,
158,Isle of Man,IMN,
159,India,IND,
160,"Iran, Islamic Rep.",IRN,
161,Jordan,JOR,
162,St. Kitts and Nevis,KNA,
