country,country_code,net_migration_resid
Aruba,ABW,-114737.59552620731
Afghanistan,AFG,-239166.33552895702
Angola,AGO,64919.98108221054
Albania,ALB,22086.64554314295
Arab World,ARB,-501986.903552591
United Arab Emirates,ARE,138165.76898971063
Argentina,ARG,45992.06943793458
Armenia,ARM,40173.911485884564
Antigua and Barbuda,ATG,15883.56248324584
Australia,AUS,702959.2284088328
Austria,AUT,-54352.790511102095
Azerbaijan,AZE,34616.50412394294
Burundi,BDI,79338.65971950779
Belgium,BEL,94834.86705681306
Benin,BEN,51064.45538088144
Burkina Faso,BFA,-64431.92791068749
Bangladesh,BGD,-2287628.00962118
Bulgaria,BGR,8569.543137687018
Bahrain,BHR,86719.22500654179
"Bahamas, The",BHS,-54469.17049823392
Bosnia and Herzegovina,BIH,59591.884807268354
Belarus,BLR,41845.73564113023
Belize,BLZ,72004.2524719034
Bolivia,BOL,14870.143103647795
Brazil,BRA,76637.1040473246
Barbados,BRB,38040.34863100412
Brunei Darussalam,BRN,-156209.31459003847
Bhutan,BTN,65164.01524690136
Botswana,BWA,59732.35865460496
Central African Republic,CAF,-90797.37747435784
Canada,CAN,956773.8367817955
Central Europe and the Baltics,CEB,-262452.07684419607
Switzerland,CHE,79455.64545444414
Chile,CHL,91713.769042152
China,CHN,-1571053.1822655401
Cote d'Ivoire,CIV,92486.2014156667
Cameroon,CMR,38534.82415310606
"Congo, Dem. Rep.",COD,178788.24271066787
"Congo, Rep.",COG,44374.500365429914
Colombia,COL,-90312.87903018645
Comoros,COM,51670.157993778135
Cabo Verde,CPV,57197.73056301088
Costa Rica,CRI,62783.39180195523
Caribbean small states,CSS,-73899.20607899877
Cyprus,CYP,-44107.485977929726
Czech Republic,CZE,-23647.006908908486
Germany,DEU,1699627.144552719
Denmark,DNK,-76039.31484486189
Dominican Republic,DOM,-96924.1133852392
Algeria,DZA,2651.841078280071
East Asia & Pacific (excluding high income),EAP,-3349242.822484941
Early-demographic dividend,EAR,-9150312.70161511
East Asia & Pacific,EAS,-1366089.98366502
Europe & Central Asia (excluding high income),ECA,1630250.4500610286
Europe & Central Asia,ECS,6425907.188973103
Ecuador,ECU,31512.32205265259
"Egypt, Arab Rep.",EGY,-212124.26876083555
Euro area,EMU,3188848.4193979665
Spain,ESP,106350.60382801667
Estonia,EST,-51694.85881187403
Ethiopia,ETH,484.2295198464344
European Union,EUU,4203305.423225527
Fragile and conflict affected situations,FCS,-2855600.1346906982
Finland,FIN,-64927.39847480765
Fiji,FJI,45116.52121824992
France,FRA,271191.79760335933
"Micronesia, Fed. Sts.",FSM,56516.63367225955
Gabon,GAB,38857.89083715559
United Kingdom,GBR,766928.6103493602
Georgia,GEO,14607.692145145687
Ghana,GHA,-36945.03715960832
Guinea,GIN,10777.03384504481
"Gambia, The",GMB,47523.943208569304
Guinea-Bissau,GNB,50375.524757944266
Equatorial Guinea,GNQ,27742.440615807704
Greece,GRC,22807.817757617395
Grenada,GRD,53970.43640289665
Guatemala,GTM,19027.45260038916
Guyana,GUY,40499.21546722742
High income,HIC,14485448.959917642
"Hong Kong SAR, China",HKG,-23891.378458994586
Honduras,HND,49490.892979349526
