,country,country_code,oda_pct_of_gni_resid
1,Afghanistan,AFG,15.394908411148366
2,Angola,AGO,-1.647536965610629
3,Albania,ALB,1.8335050518459521
5,Arab World,ARB,0.24989106164105868
7,Argentina,ARG,-0.3182541383930497
8,Armenia,ARM,1.6059950604034752
10,Antigua and Barbuda,ATG,-0.145242704863559
13,Azerbaijan,AZE,-0.32062360194208284
14,Burundi,BDI,4.892016604757184
16,Benin,BEN,-0.44373877561157293
17,Burkina Faso,BFA,3.8419080378410264
18,Bangladesh,BGD,-3.3861967068942476
22,Bosnia and Herzegovina,BIH,1.1132438157663354
23,Belarus,BLR,-0.23081610280482073
24,Belize,BLZ,0.10101564556803977
26,Bolivia,BOL,0.4264023897151805
27,Brazil,BRA,-0.5522075126452336
30,Bhutan,BTN,3.4213053955909425
31,Botswana,BWA,-0.11900484600878258
32,Central African Republic,CAF,23.583699563616257
37,Chile,CHL,-0.1622033619812474
38,China,CHN,-0.7278841043361969
39,Cote d'Ivoire,CIV,-2.8274035350707414
40,Cameroon,CMR,-2.3094516506930476
41,"Congo, Dem. Rep.",COD,0.5781606274861799
42,"Congo, Rep.",COG,-1.5885841440589978
43,Colombia,COL,-0.32812192346667146
44,Comoros,COM,1.4309160278422013
45,Cabo Verde,CPV,7.570881833051525
46,Costa Rica,CRI,-0.39333473086464366
47,Caribbean small states,CSS,-0.3073363146574253
55,Dominica,DMA,1.0444729520511533
57,Dominican Republic,DOM,-0.3194225205735363
58,Algeria,DZA,-0.6535913928565229
59,East Asia & Pacific (excluding high income),EAP,-0.8295901452965871
60,Early-demographic dividend,EAR,-1.0970729747704298
61,East Asia & Pacific,EAS,-0.5338933260642705
62,Europe & Central Asia (excluding high income),ECA,-0.09314323972872462
63,Europe & Central Asia,ECS,-0.027085335175412444
64,Ecuador,ECU,-0.7646509315275625
65,"Egypt, Arab Rep.",EGY,-0.42361212738465326
70,Ethiopia,ETH,-1.0685713736514506
72,Fragile and conflict affected situations,FCS,0.49891873296909806
74,Fiji,FJI,0.9702839163291259
77,"Micronesia, Fed. Sts.",FSM,17.229921081795226
78,Gabon,GAB,0.30109940405819113
80,Georgia,GEO,1.941736941170974
81,Ghana,GHA,-0.3415967829669877
83,Guinea,GIN,0.4129608007629164
84,"Gambia, The",GMB,1.8317529070996077
85,Guinea-Bissau,GNB,2.661950561645332
86,Equatorial Guinea,GNQ,-0.007550754535768547
88,Grenada,GRD,1.9028774603640952
90,Guatemala,GTM,-1.1183315917858176
92,Guyana,GUY,-0.8455926436639101
93,High income,HIC,0.08706193185968646
95,Honduras,HND,-0.8373725394086464
96,Heavily indebted poor countries (HIPC),HPC,0.223173788671283
98,Haiti,HTI,5.945433465735399
100,IBRD only,IBD,-0.8523288065769904
101,IDA & IBRD total,IBT,-0.931563647980854
102,IDA total,IDA,-1.2916923591466691
103,IDA blend,IDB,-1.9586618101046784
104,Indonesia,IDN,-1.1508773465146853
105,IDA only,IDX,-0.1352057780436633
107,India,IND,-2.327836012834547
110,"Iran, Islamic Rep.",IRN,-0.44135833535763386
111,Iraq,IRQ,0.2405940412706703
115,Jamaica,JAM,-1.137631561969586
116,Jordan,JOR,4.326681456857408
118,Kazakhstan,KAZ,-0.052156932320707894
119,Kenya,KEN,-0.9975611352646427
120,Kyrgyz Republic,KGZ,7.463002879464613
121,Cambodia,KHM,-0.4759099692189741
122,Kiribati,KIR,12.80798569317854
126,Latin America & Caribbean (excluding high income),LAC,-0.494715491323844
127,Lao PDR,LAO,0.9442410214199
128,Lebanon,LBN,1.2151236988141307
129,Liberia,LBR,31.362041022601495
130,Libya,LBY,-0.05434280153649873
131,St. Lucia,LCA,-0.00432306820428896
132,Latin America & Caribbean,LCN,-0.4454971793169562
133,Least developed countries: UN classification,LDC,-0.6704179756533266
134,Low income,LIC,1.8122195059424886
136,Sri Lanka,LKA,-0.4994831921086036
137,Lower middle income,LMC,-1.5181983049409356
138,Low & middle income,LMY,-0.7346347243658696
139,Lesotho,LSO,-2.018465613336284
140,Late-demographic dividend,LTE,-0.5167498200379619
