,country,country_code,poverty_headcount_ratio_190_2011_ppp_resid
0,Armenia,ARM,-5.321463603048446
1,Austria,AUT,0.46666913910591024
2,Belgium,BEL,-0.2821388491069138
3,Benin,BEN,36.45209622476101
4,Bosnia and Herzegovina,BIH,-4.720968732550883
5,Belarus,BLR,-1.9595175966916238
6,Bolivia,BOL,-2.299263421572208
7,Brazil,BRA,0.7065618065042116
8,Switzerland,CHE,-0.1270945406830321
9,Chile,CHL,0.12186047457760263
10,China,CHN,-2.3828434693555423
11,Cote d'Ivoire,CIV,16.343639479810765
12,Colombia,COL,1.0781021899460685
13,Costa Rica,CRI,-1.1766929837942817
14,Cyprus,CYP,-0.4977056625321361
15,Czech Republic,CZE,-0.45924822752297945
16,Germany,DEU,-0.25629174063920535
17,Denmark,DNK,-0.04677049573768802
18,Dominican Republic,DOM,-1.2478954873923325
19,Ecuador,ECU,-1.6758043160716434
20,"Egypt, Arab Rep.",EGY,-4.310327773034057
21,Spain,ESP,0.5665788588793402
22,Estonia,EST,-0.112115026079186
23,Ethiopia,ETH,13.074891325370826
24,Finland,FIN,-0.3178124478729793
25,France,FRA,-0.3360297988555978
26,United Kingdom,GBR,-0.12346461553088456
27,Georgia,GEO,-2.50922754414617
28,"Gambia, The",GMB,-3.493983359155367
29,Greece,GRC,0.7558890266595286
30,Honduras,HND,5.416740055327869
31,Croatia,HRV,-0.4498264168723083
32,Hungary,HUN,-0.29541661732451796
33,Indonesia,IDN,1.8130177845513806
34,Ireland,IRL,0.06698474942137125
35,Italy,ITA,1.6016816279785329
36,Kazakhstan,KAZ,-0.8757624873615047
37,Kenya,KEN,24.53056275683369
38,Kyrgyz Republic,KGZ,-9.360419248263538
39,Lithuania,LTU,0.10411614592948171
40,Luxembourg,LUX,0.1451840757293872
41,Latvia,LVA,-0.20303109554735266
42,Moldova,MDA,-10.368523259914
43,Malta,MLT,-0.4171963587222653
44,Myanmar,MMR,-3.6714087229878647
45,Malaysia,MYS,-0.7475797101374337
46,Namibia,NAM,7.687382237959649
47,Netherlands,NLD,-0.2372959866685698
48,Norway,NOR,0.07440134868472353
49,Pakistan,PAK,-6.41777882037678
50,Panama,PAN,0.743560830521248
51,Peru,PER,-0.6653200788276998
52,Portugal,PRT,-0.06500529427606994
53,Paraguay,PRY,-2.8621105652393264
54,Romania,ROU,4.3701114030315695
55,Russian Federation,RUS,-0.9018040701964307
56,El Salvador,SLV,-6.358717473618174
57,Slovak Republic,SVK,0.13463118120300255
58,Slovenia,SVN,-0.4989205889386364
59,Sweden,SWE,0.24459085910164147
60,Togo,TGO,35.4856775540283
61,Thailand,THA,-2.4642044428980725
62,Tajikistan,TJK,-7.66988096856747
63,Turkey,TUR,-0.5926828484604723
64,Ukraine,UKR,-7.762093139687833
65,Uruguay,URY,-1.3060415303527102
66,Kosovo,XKX,-5.993073944303854
67,Zambia,ZMB,46.031754086865085
68,Aruba,ABW,
69,Afghanistan,AFG,
70,Angola,AGO,
71,Albania,ALB,
72,Andorra,AND,
73,United Arab Emirates,ARE,
74,Argentina,ARG,
75,American Samoa,ASM,
76,Antigua and Barbuda,ATG,
77,Australia,AUS,
78,Azerbaijan,AZE,
79,Burundi,BDI,
80,Burkina Faso,BFA,
81,Bangladesh,BGD,
82,Bulgaria,BGR,
83,Bahrain,BHR,
84,"Bahamas, The",BHS,
85,Belize,BLZ,
86,Bermuda,BMU,
87,Barbados,BRB,
88,Brunei Darussalam,BRN,
89,Bhutan,BTN,
90,Botswana,BWA,
91,Central African Republic,CAF,
92,Canada,CAN,
93,Channel Islands,CHI,
94,Cameroon,CMR,
95,"Congo, Dem. Rep.",COD,
96,"Congo, Rep.",COG,
97,Comoros,COM,
98,Cabo Verde,CPV,
99,Cuba,CUB,
100,Curacao,CUW,
101,Cayman Islands,CYM,
102,Djibouti,DJI,
103,Dominica,DMA,
104,Algeria,DZA,
105,Eritrea,ERI,
106,Fiji,FJI,
107,Faroe Islands,FRO,
108,"Micronesia, Fed. Sts.",FSM,
109,Gabon,GAB,
110,Ghana,GHA,
111,Gibraltar,GIB,
112,Guinea,GIN,
113,Guinea-Bissau,GNB,
114,Equatorial Guinea,GNQ,
115,Grenada,GRD,
116,Greenland,GRL,
117,Guatemala,GTM,
118,Guam,GUM,
119,Guyana,GUY,
120,"Hong Kong SAR, China",HKG,
121,Haiti,HTI,
122,Isle of Man,IMN,
123,India,IND,
124,"Iran, Islamic Rep.",IRN,
125,Iraq,IRQ,
126,Iceland,ISL,
127,Israel,ISR,
128,Jamaica,JAM,
129,Jordan,JOR,
130,Japan,JPN,
131,Cambodia,KHM,
132,Kiribati,KIR,
133,St. Kitts and Nevis,KNA,
134,"Korea, Rep.",KOR,
135,Kuwait,KWT,
136,Lao PDR,LAO,
137,Lebanon,LBN,
138,Liberia,LBR,
139,Libya,LBY,
140,St. Lucia,LCA,
141,Liechtenstein,LIE,
142,Sri Lanka,LKA,
143,Lesotho,LSO,
144,"Macao SAR, China",MAC,
145,St. Martin (French part),MAF,
146,Morocco,MAR,
147,Monaco,MCO,
148,Madagascar,MDG,
149,Maldives,MDV,
150,Mexico,MEX,
151,Marshall Islands,MHL,
152,"Macedonia, FYR",MKD,
153,Mali,MLI,
154,Montenegro,MNE,
155,Mongolia,MNG,
156,Northern Mariana Islands,MNP,
157,Mozambique,MOZ,
158,Mauritania,MRT,
159,Mauritius,MUS,
160,Malawi,MWI,
161,New Caledonia,NCL,
162,Niger,NER,
163,Nigeria,NGA,
164,Nicaragua,NIC,
165,Nepal,NPL,
166,Nauru,NRU,
167,New Zealand,NZL,
168,Oman,OMN,
169,Philippines,PHL,
170,Palau,PLW,
171,Papua New Guinea,PNG,
172,Poland,POL,
173,Puerto Rico,PRI,
174,"Korea, Dem. People’s Rep.",PRK,
175,West Bank and Gaza,PSE,
176,French Polynesia,PYF,
177,Qatar,QAT,
178,Rwanda,RWA,
179,Saudi Arabia,SAU,
180,Sudan,SDN,
181,Senegal,SEN,
182,Singapore,SGP,
183,Solomon Islands,SLB,
184,Sierra Leone,SLE,
185,San Marino,SMR,
186,Somalia,SOM,
187,Serbia,SRB,
188,South Sudan,SSD,
189,Sao Tome and Principe,STP,
190,Suriname,SUR,
191,Eswatini,SWZ,
192,Sint Maarten (Dutch part),SXM,
193,Seychelles,SYC,
194,Syrian Arab Republic,SYR,
195,Turks and Caicos Islands,TCA,
196,Chad,TCD,
197,Turkmenistan,TKM,
198,Timor-Leste,TLS,
199,Tonga,TON,
200,Trinidad and Tobago,TTO,
201,Tunisia,TUN,
202,Tuvalu,TUV,
203,Tanzania,TZA,
204,Uganda,UGA,
205,United States,USA,
206,Uzbekistan,UZB,
207,St. Vincent and the Grenadines,VCT,
208,"Venezuela, RB",VEN,
209,British Virgin Islands,VGB,
210,Virgin Islands (U.S.),VIR,
211,Vietnam,VNM,
212,Vanuatu,VUT,
213,Samoa,WSM,
214,"Yemen, Rep.",YEM,
215,South Africa,ZAF,
216,Zimbabwe,ZWE,
