country,recognized,total_decisions,recognition_rate
Afghanistan,97.0,114.0,85.08771929824562
Albania,45.0,241.0,18.672199170124482
Algeria,75.0,1107.0,6.775067750677507
Angola,116.0,165.0,70.3030303030303
Anguilla,1.0,1.0,100.0
Antigua and Barbuda,15.0,15.0,100.0
Argentina,115.0,1048.0,10.973282442748092
Armenia,204.0,346.0,58.959537572254334
Aruba,2.0,6.0,33.333333333333336
Australia,3106.0,9114.0,34.07943822690366
Austria,14413.0,38052.0,37.87711552612215
Azerbaijan,131.0,739.0,17.726657645466847
Bahamas,0.0,1.0,0.0
Bahrain,0.0,0.0,
Bangladesh,1.0,16.0,6.25
Belarus,23.0,1278.0,1.7996870109546166
Belgium,9389.0,24903.0,37.70228486527728
Belize,35.0,35.0,100.0
Benin,122.0,122.0,100.0
Bolivia (Plurinational State of),8.0,50.0,16.0
Bosnia and Herzegovina,0.0,38.0,0.0
Botswana,17.0,537.0,3.165735567970205
Brazil,1217.0,5171.0,23.535099593888997
Bulgaria,4708.0,23154.0,20.333419711496934
Burkina Faso,124.0,127.0,97.63779527559055
Burundi,3226.0,4091.0,78.8560254216573
Cambodia,13.0,20.0,65.0
Cameroon,6005.0,12404.0,48.41180264430829
Canada,9171.0,16083.0,57.0229434806939
Cayman Islands,6.0,78.0,7.6923076923076925
Central African Rep.,2.0,95.0,2.1052631578947367
Chad,1090.0,1107.0,98.4643179765131
Chile,76.0,138.0,55.072463768115945
China,52.0,342.0,15.2046783625731
China HK,7.0,25.0,28.0
China Macao,0.0,0.0,
Colombia,18.0,504.0,3.5714285714285716
Congo,75.0,2007.0,3.7369207772795217
Costa Rica,261.0,978.0,26.687116564417177
Croatia,36.0,379.0,9.49868073878628
Cuba,93.0,115.0,80.8695652173913
Curaçao,10.0,15.0,66.66666666666667
Cyprus,226.0,1432.0,15.782122905027933
Czech Rep.,71.0,1387.0,5.118961788031723
Côte d'Ivoire,107.0,148.0,72.29729729729729
Dem. Rep. of the Congo,337.0,410.0,82.1951219512195
Denmark,7810.0,12984.0,60.150955021565004
Djibouti,6482.0,7751.0,83.62791897819636
Dominican Rep.,5.0,24.0,20.833333333333332
Ecuador,0.0,0.0,
Egypt,6887.0,10578.0,65.10682548685952
El Salvador,13.0,24.0,54.166666666666664
Eritrea,0.0,0.0,
Estonia,21.0,199.0,10.552763819095478
Ethiopia,127.0,258.0,49.224806201550386
Fiji,0.0,6.0,0.0
Finland,1060.0,6950.0,15.251798561151078
France,21287.0,122684.0,17.351080825535522
Gabon,0.0,26.0,0.0
Gambia,1.0,2.0,50.0
Georgia,71.0,2070.0,3.429951690821256
Germany,138666.0,345318.0,40.156030094000315
Ghana,228.0,1932.0,11.801242236024844
Greece,5016.0,23483.0,21.360132862070433
Grenada,1.0,1.0,100.0
Guatemala,63.0,141.0,44.680851063829785
Guinea,111.0,130.0,85.38461538461539
Guinea-Bissau,0.0,0.0,
Guyana,0.0,0.0,
Haiti,2.0,6.0,33.333333333333336
Honduras,10.0,23.0,43.47826086956522
Hungary,146.0,155671.0,0.09378753910490714
Iceland,47.0,276.0,17.028985507246375
India,2663.0,5809.0,45.84265794456877
Indonesia,2416.0,4049.0,59.669054087429
Iran (Islamic Rep. of),4.0,4.0,100.0
Iraq,10.0,1365.0,0.7326007326007326
Ireland,423.0,2828.0,14.957567185289957
Israel,170.0,913.0,18.619934282584886
Italy,3573.0,71410.0,5.003500910236662
Jamaica,0.0,0.0,
Japan,27.0,6173.0,0.43738862789567473
Jordan,13322.0,13481.0,98.82056227282843
Kazakhstan,139.0,428.0,32.47663551401869
Kenya,4327.0,10026.0,43.157789746658686
Kuwait,342.0,361.0,94.73684210526316
Kyrgyzstan,39.0,277.0,14.07942238267148
Latvia,6.0,376.0,1.5957446808510638
Lebanon,11020.0,13478.0,81.7628728297967
Lesotho,0.0,0.0,
Liberia,3.0,37.0,8.108108108108109
Libya,7.0,79.0,8.860759493670885
Liechtenstein,0.0,104.0,0.0
Lithuania,17.0,351.0,4.843304843304844
Luxembourg,240.0,2001.0,11.994002998500749
Madagascar,2.0,2.0,100.0
Malawi,3357.0,3912.0,85.81288343558282
Malaysia,8505.0,13481.0,63.0887916326682
Mali,477.0,693.0,68.83116883116882
Malta,316.0,1969.0,16.048755713560183
Mauritania,491.0,872.0,56.30733944954128
Mexico,929.0,3421.0,27.155802396959952
Micronesia (Federated States of),3.0,44.0,6.818181818181818
Mongolia,9.0,10.0,90.0
Montenegro,14.0,1660.0,0.8433734939759037
Morocco,304.0,1925.0,15.792207792207792
Mozambique,0.0,2816.0,0.0
Myanmar,0.0,0.0,
Namibia,184.0,189.0,97.35449735449735
Nauru,397.0,632.0,62.81645569620253
Nepal,200.0,295.0,67.79661016949153
Netherlands,15548.0,22911.0,67.86259875169132
New Zealand,198.0,462.0,42.857142857142854
Nicaragua,63.0,65.0,96.92307692307692
Niger,18.0,33.0,54.54545454545455
Nigeria,162.0,977.0,16.581371545547594
Norway,5610.0,17610.0,31.856899488926746
Oman,133.0,145.0,91.72413793103448
Pakistan,2496.0,7945.0,31.415984896161106
Panama,45.0,297.0,15.151515151515152
Papua New Guinea,310.0,326.0,95.0920245398773
Paraguay,28.0,45.0,62.22222222222222
Peru,199.0,486.0,40.946502057613166
Philippines,52.0,68.0,76.47058823529412
Poland,348.0,12118.0,2.871761016669417
Portugal,33.0,660.0,5.0
Qatar,2.0,2.0,100.0
Rep. of Korea,40.0,3312.0,1.2077294685990339
Rep. of Moldova,24.0,364.0,6.593406593406593
Romania,248.0,1530.0,16.209150326797385
Russian Federation,112.0,153487.0,0.07297034928039509
Rwanda,51.0,51.0,100.0
Saint Kitts and Nevis,0.0,1.0,0.0
Saint Lucia,0.0,1.0,0.0
Samoa,0.0,0.0,
Saudi Arabia,7.0,76.0,9.210526315789474
Senegal,139.0,139.0,100.0
Serbia and Kosovo (S/RES/1244 (1999)),16.0,578317.0,0.002766648741088365
Sierra Leone,0.0,0.0,
Sint Maarten (Dutch part),0.0,0.0,
Slovakia,8.0,230.0,3.4782608695652173
Slovenia,34.0,260.0,13.076923076923077
Somalia,174.0,415.0,41.9277108433735
South Africa,2511.0,69725.0,3.6012907852276803
South Sudan,37.0,88.0,42.04545454545455
Spain,218.0,2143.0,10.172655156322913
Sri Lanka,555.0,1055.0,52.60663507109005
Sudan,4548.0,4744.0,95.86846543001687
