,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,refugees,country_code,country_x,refugees_pct_pop,country_y,refugees_pct_pop_resid,country
0,0,0,0,257554.0,AFG,Afghanistan,0.7634284700716085,Afghanistan,0.6328431041770963,Afghanistan
1,1,1,1,104.0,ALB,Albania,0.003610229864029718,Albania,-0.057257038133953365,Albania
2,2,2,2,94182.0,DZA,Algeria,0.23621367106873856,Algeria,0.16887591329235674,Algeria
3,3,3,3,15555.0,AGO,Angola,0.05583412795114594,Angola,-0.027070336602159826,Angola
4,4,4,5,15.0,ATG,Antigua and Barbuda,0.015011558900353272,Antigua and Barbuda,-0.06063845369414313,Antigua and Barbuda
5,5,5,6,3207.0,ARG,Argentina,0.0073863774425053895,Argentina,-0.0676148835746233,Argentina
6,6,6,7,19319.0,ARM,Armenia,0.6623013764377175,Armenia,0.5918669753871638,Armenia
7,7,7,8,2.0,ABW,Aruba,0.0019167920568137168,Aruba,-0.13494864277799168,Aruba
8,8,8,9,36917.0,AUS,Australia,0.15478317190747273,Australia,0.015473837491506104,Australia
9,9,9,10,72216.0,AUT,Austria,0.8355723136950621,Austria,0.7019683874435446,Austria
10,10,10,11,1278.0,AZE,Azerbaijan,0.013244427780093998,Azerbaijan,-0.06021523952492148,Azerbaijan
11,11,11,12,8.0,BHS,"Bahamas, The",0.0020680491575284744,"Bahamas, The",-0.1064255455646224,"Bahamas, The"
12,12,12,13,247.0,BHR,Bahrain,0.01800481829347854,Bahrain,-0.12060590517605932,Bahrain
13,13,13,14,231958.0,BGD,Bangladesh,0.14389375006288738,Bangladesh,0.02782117445501581,Bangladesh
14,14,14,15,1809.0,BLR,Belarus,0.01906294206214456,Belarus,-0.05487181831509109,Belarus
15,15,15,16,35314.0,BEL,Belgium,0.3132285441906456,Belgium,0.17294611314283273,Belgium
16,16,16,17,35.0,BLZ,Belize,0.009741488722139344,Belize,-0.06207221347631189,Belize
17,17,17,18,530.0,BEN,Benin,0.005011369189270148,Benin,-0.1234715838980602,Benin
18,18,18,19,775.0,BOL,Bolivia,0.007226305991633336,Bolivia,-0.07670192522637433,Bolivia
19,19,19,20,6798.0,BIH,Bosnia and Herzegovina,0.19225325166199514,Bosnia and Herzegovina,0.13142412107732204,Bosnia and Herzegovina
20,20,20,22,8707.0,BRA,Brazil,0.004227476638566935,Brazil,-0.0655110950576405,Brazil
21,21,21,23,0.0,BRN,Brunei Darussalam,0.0,Brunei Darussalam,-0.092619499347877,Brunei Darussalam
22,22,22,24,16557.0,BGR,Bulgaria,0.2306634265771579,Bulgaria,0.1568339935906684,Bulgaria
23,23,23,25,34017.0,BFA,Burkina Faso,0.18782897817325345,Burkina Faso,0.05487214893253087,Burkina Faso
24,24,24,26,53363.0,BDI,Burundi,0.5232041116668154,Burundi,0.3796239328384976,Burundi
25,25,25,27,0.0,CPV,Cabo Verde,0.0,Cabo Verde,-0.08932834037095294,Cabo Verde
26,26,26,28,76.0,KHM,Cambodia,0.0004897653540632963,Cambodia,-0.11394064053945988,Cambodia
27,27,27,29,342973.0,CMR,Cameroon,1.5019933414853175,Cameroon,1.3875434580868258,Cameroon
28,28,28,30,135888.0,CAN,Canada,0.3792310073256654,Canada,0.2381568265324369,Canada
29,29,29,31,12.0,CYM,Cayman Islands,0.020012340943581883,Cayman Islands,-0.10515939787974413,Cayman Islands
30,30,30,32,7330.0,CAF,Central African Republic,0.16123710433118496,Central African Republic,0.016518846286133843,Central African Republic
31,31,31,33,369540.0,TCD,Chad,2.637797886321147,Chad,2.5102142692666334,Chad
32,32,32,34,1849.0,CHL,Chile,0.0104094646523236,Chile,-0.06661848811755315,Chile
33,33,33,35,301052.0,CHN,China,0.021955047330114788,China,-0.0451444760652553,China
34,34,34,36,133.0,HKG,"Hong Kong SAR, China",0.001824091725755352,"Hong Kong SAR, China",-0.11889703272752325,"Hong Kong SAR, China"
35,35,35,37,0.0,MAC,"Macao SAR, China",0.0,"Macao SAR, China",-0.05121722781830114,"Macao SAR, China"
36,36,36,38,226.0,COL,Colombia,0.00046860067565167687,Colombia,-0.06542720102859031,Colombia
37,37,37,39,44955.0,COG,"Congo, Rep.",0.899883258388101,"Congo, Rep.",0.8072076669708674,"Congo, Rep."
38,38,38,40,3616.0,CRI,Costa Rica,0.07521030181461492,Costa Rica,0.005366335967751629,Costa Rica
39,39,39,41,522.0,HRV,Croatia,0.012417915674264271,Croatia,-0.06491131584155424,Croatia
40,40,40,42,1980.0,CIV,Cote d'Ivoire,0.008568286124673238,Cote d'Ivoire,-0.10637192485787894,Cote d'Ivoire
41,41,41,43,303.0,CUB,Cuba,0.0026436487168444572,Cuba,,Cuba
42,42,42,45,7067.0,CYP,Cyprus,0.6087072615063933,Cyprus,0.4929663070231611,Cyprus
43,43,43,46,3644.0,CZE,Czech Republic,0.03455319186058033,Czech Republic,-0.09004386606402967,Czech Republic
44,44,44,47,0.0,PRK,"Korea, Dem. People’s Rep.",0.0,"Korea, Dem. People’s Rep.",,"Korea, Dem. People’s Rep."
45,45,45,48,383095.0,COD,"Congo, Dem. Rep.",0.5027716518498019,"Congo, Dem. Rep.",0.3604252599387325,"Congo, Dem. Rep."
46,46,46,49,27326.0,DNK,Denmark,0.480796722713871,Denmark,0.3450451363180217,Denmark
47,47,47,50,19365.0,DJI,Djibouti,2.088064230214338,Djibouti,,Djibouti
48,48,48,51,615.0,DOM,Dominican Republic,0.0058413467429125464,Dominican Republic,-0.06101502019835331,Dominican Republic
49,49,49,52,121535.0,ECU,Ecuador,0.7528012245508774,Ecuador,0.6926533752505935,Ecuador
50,50,50,53,212500.0,EGY,"Egypt, Arab Rep.",0.2265985734932005,"Egypt, Arab Rep.",0.1672166165734862,"Egypt, Arab Rep."
51,51,51,54,48.0,SLV,El Salvador,0.0007603986897063245,El Salvador,-0.07902764945062468,El Salvador
52,52,52,55,2549.0,ERI,Eritrea,,Eritrea,,Eritrea
53,53,53,56,168.0,EST,Estonia,0.012771712481384088,Estonia,-0.08628545060641225,Estonia
54,54,54,57,736086.0,ETH,Ethiopia,0.7370217744363486,Ethiopia,0.6033285074700748,Ethiopia
55,55,55,58,12.0,FJI,Fiji,0.0013450667993799242,Fiji,-0.0670270888586583,Fiji
56,56,56,59,12703.0,FIN,Finland,0.2318264099609985,Finland,0.08990040262504376,Finland
57,57,57,60,273126.0,FRA,France,0.4101399529797007,France,0.2690601015318459,France
58,58,58,61,943.0,GAB,Gabon,0.048855673708342505,Gabon,-0.02477270985862829,Gabon
59,59,59,62,7854.0,GMB,"Gambia, The",0.3971500664950773,"Gambia, The",0.26380058373058324,"Gambia, The"
60,60,60,63,1979.0,GEO,Georgia,0.05324042936697963,Georgia,-0.011407661827025364,Georgia
61,61,61,64,316115.0,DEU,Germany,0.3869850837611564,Germany,0.2498429498899813,Germany
62,62,62,65,17406.0,GHA,Ghana,0.06310449536688073,Ghana,-0.0459215006209848,Ghana
63,63,63,66,24838.0,GRC,Greece,0.2295376449408057,Greece,0.14145278981615395,Greece
64,64,64,67,1.0,GRD,Grenada,0.0009361279874184398,Grenada,-0.06468477332249405,Grenada
65,65,65,68,226.0,GTM,Guatemala,0.0013905613739337054,Guatemala,-0.07613898356287911,Guatemala
66,66,66,69,8839.0,GIN,Guinea,0.07310073917012838,Guinea,-0.0579856779768228,Guinea
67,67,67,70,8684.0,GNB,Guinea-Bissau,0.4904757117376418,Guinea-Bissau,0.35576767462074294,Guinea-Bissau
68,68,68,71,11.0,GUY,Guyana,0.0014313337167572743,Guyana,-0.07787886139889359,Guyana
69,69,69,72,3.0,HTI,Haiti,2.8008429790475484e-05,Haiti,-0.1322923528734271,Haiti
70,70,70,73,30.0,HND,Honduras,0.0003347904529815266,Honduras,-0.10381258310297746,Honduras
71,71,71,74,4393.0,HUN,Hungary,0.044630575062876994,Hungary,-0.04106837554796556,Hungary
72,72,72,75,179.0,ISL,Iceland,0.0541087919229781,Iceland,-0.08349702782560584,Iceland
73,73,73,76,201381.0,IND,India,0.015383704803372584,India,-0.07536178263565305,India
74,74,74,77,5957.0,IDN,Indonesia,0.002307464844773718,Indonesia,-0.056696648231119376,Indonesia
75,75,75,78,979437.0,IRN,"Iran, Islamic Rep.",1.2341620333050627,"Iran, Islamic Rep.",1.1609626710807055,"Iran, Islamic Rep."
76,76,76,79,277701.0,IRQ,Iraq,0.7689215276181247,Iraq,0.6990768435651442,Iraq
77,77,77,80,6125.0,IRL,Ireland,0.13026490884540204,Ireland,0.022602441808992485,Ireland
78,78,78,81,32946.0,ISR,Israel,0.3931456665194926,Israel,0.2616055260552046,Israel
79,79,79,82,118047.0,ITA,Italy,0.19437818000822052,Italy,0.061092646340955535,Italy
80,80,80,83,12.0,JAM,Jamaica,0.00041783690015160515,Jamaica,-0.07073330071759969,Jamaica
81,81,81,84,2474.0,JPN,Japan,0.0019458711194657895,Japan,-0.13928743554477785,Japan
82,82,82,85,664118.0,JOR,Jordan,7.250749019958071,Jordan,7.182472795010033,Jordan
83,83,83,86,708.0,KAZ,Kazakhstan,0.004035842384621935,Kazakhstan,-0.07792429508975438,Kazakhstan
84,84,84,87,553912.0,KEN,Kenya,1.1726415506359211,Kenya,1.0534474138403287,Kenya
85,85,85,88,741.0,KWT,Kuwait,0.018827204879117147,Kuwait,-0.08357043721862148,Kuwait
86,86,86,89,354.0,KGZ,Kyrgyz Republic,0.0059426883110342615,Kyrgyz Republic,-0.10903901626890078,Kyrgyz Republic
87,87,87,90,208.0,LVA,Latvia,0.010518187615137493,Latvia,-0.07044626433448382,Latvia
88,88,88,91,1070854.0,LBN,Lebanon,18.300569821749338,Lebanon,18.233950601225086,Lebanon
89,89,89,92,31.0,LSO,Lesotho,0.0014255200274067722,Lesotho,-0.11906151674547355,Lesotho
90,90,90,93,36505.0,LBR,Liberia,0.8112905509152882,Liberia,0.6738783271279195,Liberia
91,91,91,94,9305.0,LBY,Libya,0.14923924871951766,Libya,0.07907808336078426,Libya
92,92,92,95,150.0,LIE,Liechtenstein,0.4010373499451916,Liechtenstein,,Liechtenstein
93,93,93,96,1093.0,LTU,Lithuania,0.037625950545800035,Lithuania,-0.06284499490783081,Lithuania
94,94,94,97,1332.0,LUX,Luxembourg,0.2338466724250532,Luxembourg,0.17631539984418887,Luxembourg
95,95,95,98,10.0,MDG,Madagascar,4.126418951684916e-05,Madagascar,-0.1354838298069205,Madagascar
96,96,96,99,9019.0,MWI,Malawi,0.0513212796894798,Malawi,-0.0876511177849447,Malawi
97,97,97,100,94166.0,MYS,Malaysia,0.3064984699650801,Malaysia,0.2186751451448471,Malaysia
98,98,98,101,15917.0,MLI,Mali,0.09112140236622536,Mali,-0.0381295861735086,Mali
99,99,99,102,7075.0,MLT,Malta,1.5896983055950638,Malta,1.4586907372538715,Malta
100,100,100,103,77394.0,MRT,Mauritania,1.8504947348865144,Mauritania,1.739238341514008,Mauritania
101,101,101,104,2923.0,MEX,Mexico,0.002321850794849437,Mexico,-0.07058686248105142,Mexico
102,102,102,105,3.0,FSM,"Micronesia, Fed. Sts.",0.002872655195196921,"Micronesia, Fed. Sts.",-0.11176095859007512,"Micronesia, Fed. Sts."
103,103,103,106,32.0,MCO,Monaco,0.08353564622653822,Monaco,,Monaco
104,104,104,107,9.0,MNG,Mongolia,0.0003023302608740637,Mongolia,-0.0619897592548568,Mongolia
105,105,105,108,1771.0,MNE,Montenegro,0.2846539228718061,Montenegro,0.2131471235229666,Montenegro
106,106,106,109,3908.0,MAR,Morocco,0.011228813157548579,Morocco,-0.06626616357515623,Morocco
107,107,107,110,5622.0,MOZ,Mozambique,0.02007090792583446,Mozambique,-0.11854518371335455,Mozambique
108,108,108,111,0.0,MMR,Myanmar,0.0,Myanmar,-0.09714349154678537,Myanmar
109,109,109,112,1737.0,NAM,Namibia,0.0716122991753248,Namibia,0.011871305368103892,Namibia
110,110,110,113,506.0,NRU,Nauru,4.056112224448897,Nauru,3.991529813081931,Nauru
111,111,111,114,32667.0,NPL,Nepal,0.11399594685730688,Nepal,-0.010840489033192374,Nepal
112,112,112,115,88536.0,NLD,Netherlands,0.5226470037673725,Netherlands,0.3883926969505482,Netherlands
113,113,113,116,1337.0,NZL,New Zealand,0.029092412472528667,New Zealand,-0.10718628176315433,New Zealand
114,114,114,117,330.0,NIC,Nicaragua,0.005425815537069418,Nicaragua,-0.09265050682658577,Nicaragua
115,115,115,118,124721.0,NER,Niger,0.6268342935719091,Niger,0.4856654447726821,Niger
116,116,116,119,1395.0,NGA,Nigeria,0.0007699451220648367,Nigeria,-0.09062443697147243,Nigeria
117,117,117,120,50389.0,NOR,Norway,0.970841612496072,Norway,0.8557771316558213,Norway
118,118,118,121,245.0,OMN,Oman,0.005833597234160593,Oman,-0.13610747378616725,Oman
119,119,119,122,1561162.0,PAK,Pakistan,0.8243519754326571,Pakistan,0.7238136361523579,Pakistan
120,120,120,123,17322.0,PAN,Panama,0.4364049723259992,Panama,0.3600636361319517,Panama
121,121,121,124,9510.0,PNG,Papua New Guinea,0.12007841082347147,Papua New Guinea,0.011064352731569402,Papua New Guinea
122,122,122,125,172.0,PRY,Paraguay,0.002590705182419535,Paraguay,-0.05885438636765152,Paraguay
123,123,123,126,1488.0,PER,Peru,0.004742376907990016,Peru,-0.058524080603135735,Peru
124,124,124,127,269.0,PHL,Philippines,0.0002644609015153601,Philippines,-0.08074027921748493,Philippines
125,125,125,128,14065.0,POL,Poland,0.03702639775507095,Poland,-0.05051431786954752,Poland
126,126,126,129,853.0,PRT,Portugal,0.008235120113040298,Portugal,-0.09544304454042876,Portugal
127,127,127,130,120.0,QAT,Qatar,0.004835708808122701,Qatar,-0.018210819268112632,Qatar
128,128,128,131,1463.0,KOR,"Korea, Rep.",0.0028677869644753327,"Korea, Rep.",-0.1269800275410792,"Korea, Rep."
129,129,129,132,446.0,MDA,Moldova,0.01254885895420173,Moldova,-0.08750525172893117,Moldova
130,130,130,133,2598.0,ROU,Romania,0.01311096107129572,Romania,-0.06273740778742698,Romania
131,131,131,134,314507.0,RUS,Russian Federation,0.21826081302112946,Russian Federation,0.13725537355026596,Russian Federation
132,132,132,135,144737.0,RWA,Rwanda,1.2445620222892488,Rwanda,1.1132047093606023,Rwanda
133,133,133,136,1.0,LCA,St. Lucia,0.0005643149780481474,St. Lucia,-0.06313490280339976,St. Lucia
134,134,134,137,0.0,WSM,Samoa,0.0,Samoa,-0.09252268630013682,Samoa
135,135,135,138,125.0,SAU,Saudi Arabia,0.0003961068213270504,Saudi Arabia,-0.12541384795036972,Saudi Arabia
136,136,136,139,14392.0,SEN,Senegal,0.09609404931323334,Senegal,-0.02218838209137325,Senegal
137,137,137,140,35332.0,SRB,Serbia,0.4979576155367512,Serbia,0.4316503941635099,Serbia
138,138,138,141,760.0,SLE,Sierra Leone,0.010501552778938859,Sierra Leone,-0.12576864903989587,Sierra Leone
139,139,139,142,0.0,SGP,Singapore,0.0,Singapore,-0.08075842984611753,Singapore
140,140,140,144,820.0,SVK,Slovak Republic,0.01511854878156481,Slovak Republic,-0.08848945004695148,Slovak Republic
141,141,141,145,292.0,SVN,Slovenia,0.014150502221677309,Slovenia,-0.10127098936165817,Slovenia
142,142,142,146,3.0,SLB,Solomon Islands,0.0005106539434399692,Solomon Islands,-0.1261547890133821,Solomon Islands
143,143,143,147,8081.0,SOM,Somalia,0.05810271101166808,Somalia,,Somalia
144,144,144,148,121645.0,ZAF,South Africa,0.2200077860456157,South Africa,0.15518603515727286,South Africa
145,145,145,149,263016.0,SSD,South Sudan,2.213541403666816,South Sudan,2.0837924649790995,South Sudan
