country,country_code,remittances_resid
Aruba,ABW,-2495088608.72423
Afghanistan,AFG,-715738743.438904
Angola,AGO,-1994829945.3309712
Albania,ALB,-921008658.5486133
Arab World,ARB,48976488897.441574
Argentina,ARG,-1418656879.218651
Armenia,ARM,-767156956.824029
Antigua and Barbuda,ATG,-1858559663.2851512
Australia,AUS,-415327343.90752506
Austria,AUT,281333357.96383524
Azerbaijan,AZE,-733757159.9448614
Burundi,BDI,-760469375.5903531
Belgium,BEL,7375463216.5217
Benin,BEN,-883255742.8366852
Burkina Faso,BFA,-626929444.4595208
Bangladesh,BGD,13955084535.16376
Bulgaria,BGR,-500643578.9450815
Bosnia and Herzegovina,BIH,-411390731.7684822
Belarus,BLR,-1059475999.6017883
Belize,BLZ,-2145106800.2537518
Bolivia,BOL,-794545025.7857645
Brazil,BRA,905345758.9021297
Barbados,BRB,-1898313135.5823412
Bhutan,BTN,-2167484526.6832914
Botswana,BWA,-1969600916.597808
Canada,CAN,-1319032941.3123813
Central Europe and the Baltics,CEB,24534646269.600033
Switzerland,CHE,73555544.88429737
Chile,CHL,-1824648368.058682
China,CHN,42452182651.37961
Cote d'Ivoire,CIV,-1026661150.0846031
Cameroon,CMR,-1131034618.3032863
"Congo, Dem. Rep.",COD,332102639.6279925
"Congo, Rep.",COG,-1780144021.2308996
Colombia,COL,2654466817.869974
Comoros,COM,-1077900401.1716785
Cabo Verde,CPV,-1676394588.9658418
Costa Rica,CRI,-1439567270.2237225
Caribbean small states,CSS,1254338903.426533
Cyprus,CYP,-1909572254.4502072
Czech Republic,CZE,402360056.918221
Germany,DEU,13227389901.547615
Dominica,DMA,-2226509232.8947253
Denmark,DNK,-1324195167.8005733
Dominican Republic,DOM,3195250563.5467515
Algeria,DZA,11250359.017703295
East Asia & Pacific (excluding high income),EAP,106914794907.4728
Early-demographic dividend,EAR,260356121810.71033
East Asia & Pacific,EAS,120832575639.50742
Europe & Central Asia (excluding high income),ECA,41512098502.51155
Europe & Central Asia,ECS,147789377199.8376
Ecuador,ECU,162331388.5261407
"Egypt, Arab Rep.",EGY,16050512535.193857
Euro area,EMU,74776833157.40045
Spain,ESP,324558386.987123
Estonia,EST,-1555857040.88488
