country,country_code,renewable_freshwater_per_capita_resid
Afghanistan,AFG,-2292.203904080885
Angola,AGO,1589.3690879196342
Albania,ALB,5348.141859958302
Arab World,ARB,-4133.289440517487
United Arab Emirates,ARE,-4433.74383713844
Argentina,ARG,2103.015981250908
Armenia,ARM,-1591.198375130551
Antigua and Barbuda,ATG,-4116.410280929832
Australia,AUS,16139.661196101957
Austria,AUT,1577.0144317379782
Azerbaijan,AZE,-3709.832074036309
Burundi,BDI,-2686.8753176518876
Belgium,BEL,-3710.1939463455915
Benin,BEN,-2735.4895405719226
Burkina Faso,BFA,-3015.108950518812
Bangladesh,BGD,-3114.0236049287064
Bulgaria,BGR,-1686.068505653318
Bahrain,BHR,-4799.9676392533975
"Bahamas, The",BHS,-2527.4190549315294
Bosnia and Herzegovina,BIH,5992.827346358748
Belarus,BLR,-1016.1632406815224
Belize,BLZ,39442.21270178982
Bolivia,BOL,24830.569350084028
Brazil,BRA,23375.075949600126
Barbados,BRB,-4256.891775504263
Brunei Darussalam,BRN,16693.116212400866
Bhutan,BTN,96515.77423338703
Botswana,BWA,-3278.8465133636314
Central African Republic,CAF,27524.71337860542
Canada,CAN,75429.9651512413
Central Europe and the Baltics,CEB,-1898.1368512580611
Switzerland,CHE,242.51792904212925
Chile,CHL,45724.75471692184
China,CHN,-2122.693188420254
Cote d'Ivoire,CIV,-366.12866195033394
Cameroon,CMR,8497.085968753461
"Congo, Dem. Rep.",COD,8501.700325612599
"Congo, Rep.",COG,41708.63446012605
Colombia,COL,40775.69187973963
Comoros,COM,-2171.682878584458
Cabo Verde,CPV,-3311.1487437890223
Costa Rica,CRI,19400.98284344489
Caribbean small states,CSS,47512.278240208725
Cyprus,CYP,-3703.1339496346054
Czech Republic,CZE,-3176.2136611543347
Germany,DEU,-3502.842770097637
Dominica,DMA,-1205.3140552595482
Denmark,DNK,-3777.4782568809483
Dominican Republic,DOM,-1906.094826934027
Algeria,DZA,-3919.834414630357
East Asia & Pacific (excluding high income),EAP,304.340224532526
Early-demographic dividend,EAR,-33.692037978451026
East Asia & Pacific,EAS,125.42150626467628
Europe & Central Asia (excluding high income),ECA,7751.6151861843255
Europe & Central Asia,ECS,3488.1580164889538
Ecuador,ECU,23862.383074809353
"Egypt, Arab Rep.",EGY,-3931.2027761594286
Euro area,EMU,-1724.9772697907238
Spain,ESP,-2077.780533212812
Estonia,EST,5346.355268208685
Ethiopia,ETH,-2471.2110140753366
European Union,EUU,-1645.818773066082
Fragile and conflict affected situations,FCS,4230.45098554478
Finland,FIN,14851.995121239586
Fiji,FJI,28274.920708596717
