,country,country_code,revenue_pct_gdp_resid
0,Afghanistan,AFG,-9.442350736857342
1,Angola,AGO,-2.8361745368697378
2,Albania,ALB,1.2932627499674645
3,United Arab Emirates,ARE,-28.28962675605448
4,Argentina,ARG,-5.645830248789888
5,Armenia,ARM,0.8257141163384318
6,Australia,AUS,-8.302425319649181
7,Austria,AUT,12.32477905657916
8,Azerbaijan,AZE,7.863318780727742
9,Belgium,BEL,7.86714959678109
10,Burkina Faso,BFA,-2.4867399499231304
11,Bangladesh,BGD,-10.28740758828926
12,Bulgaria,BGR,7.629025927648264
13,"Bahamas, The",BHS,-16.916855695704164
14,Bosnia and Herzegovina,BIH,15.15299953770408
15,Belarus,BLR,3.0512755061692403
16,Brazil,BRA,3.4167472713763907
17,Barbados,BRB,1.3103997132479677
18,Bhutan,BTN,-3.0502734401079934
19,Botswana,BWA,7.888159873945316
20,Canada,CAN,-15.107624833019987
21,Switzerland,CHE,-13.748460874272382
22,Chile,CHL,-7.8932639306663965
23,China,CHN,-8.497630092281923
24,Cote d'Ivoire,CIV,-3.3634203296603715
25,Colombia,COL,-1.3226446440758117
26,Costa Rica,CRI,-0.9522791153382428
27,Cyprus,CYP,6.372046752293269
28,Czech Republic,CZE,-0.7278152988782374
29,Germany,DEU,-4.641661518060932
30,Denmark,DNK,6.777180578020278
31,Dominican Republic,DOM,-6.283389608218343
32,"Egypt, Arab Rep.",EGY,-2.089933442368217
33,Spain,ESP,-15.847272574885146
34,Estonia,EST,5.003911810308125
35,Finland,FIN,4.596934922088799
36,Fiji,FJI,5.213569313091373
37,France,FRA,11.907702296081375
38,"Micronesia, Fed. Sts.",FSM,8.301640904097557
39,United Kingdom,GBR,2.0014931763071857
40,Georgia,GEO,2.1156104952573784
41,Equatorial Guinea,GNQ,-4.4726081810302745
42,Greece,GRC,16.27603842191181
43,Guatemala,GTM,-11.078088902356244
44,Honduras,HND,2.732553210135677
45,Hungary,HUN,10.225403645159528
46,Indonesia,IDN,-10.228090008753497
47,Ireland,IRL,-6.089878502601454
48,Iraq,IRQ,3.6242053917744173
49,Iceland,ISL,-2.177549862289645
50,Israel,ISR,0.12034824268226885
51,Italy,ITA,5.889210773245111
52,Jamaica,JAM,5.2435504182932
53,Japan,JPN,-20.26427280583256
54,Kazakhstan,KAZ,-16.161660766142212
55,Kenya,KEN,1.1922371570110748
56,Kyrgyz Republic,KGZ,9.890021678143057
57,Cambodia,KHM,-4.262396780163719
58,Kiribati,KIR,100.8578999479731
59,"Korea, Rep.",KOR,-5.925548072831347
60,Kuwait,KWT,6.766131927921208
61,Lao PDR,LAO,-5.427608039436302
62,Lebanon,LBN,-7.282715906656655
63,Sri Lanka,LKA,-10.21472091063133
64,Lesotho,LSO,24.796175438039835
65,Lithuania,LTU,0.11774095176021149
66,Luxembourg,LUX,9.11045240165106
67,Latvia,LVA,13.535936087698897
68,"Macao SAR, China",MAC,-0.1562226652233889
69,Moldova,MDA,10.549897891309023
70,Mexico,MEX,-6.961350565028507
71,Marshall Islands,MHL,7.363610195334619
72,"Macedonia, FYR",MKD,2.657932139960149
73,Mali,MLI,-4.759093148911051
74,Malta,MLT,6.223434793122749
75,Myanmar,MMR,-2.4506570935946606
76,Mongolia,MNG,-1.078135291194279
77,Mozambique,MOZ,7.061450171978262
78,Mauritius,MUS,-16.198963694374044
79,Malawi,MWI,-2.6226032880387464
80,Malaysia,MYS,-11.507100488479178
81,Namibia,NAM,11.664099346940421
82,Nicaragua,NIC,-3.977583576380468
83,Netherlands,NLD,5.3616180207542214
84,Norway,NOR,13.685214654086547
85,Nepal,NPL,-0.45462753138928846
86,New Zealand,NZL,0.1812628484150025
87,Peru,PER,-4.347850292253899
88,Philippines,PHL,-6.3448641432405335
89,Palau,PLW,0.05054239191916565
90,Papua New Guinea,PNG,-2.599258848347585
91,Poland,POL,2.1587395185976135
92,Portugal,PRT,6.58528609637483
93,Paraguay,PRY,-5.845289285215621
94,West Bank and Gaza,PSE,-14.83579287837473
95,Romania,ROU,3.621603663256227
96,Russian Federation,RUS,-5.3224690724302555
97,Rwanda,RWA,-0.02352393457858426
98,Senegal,SEN,-2.3302621876229033
99,Singapore,SGP,-13.649845701054911
100,Solomon Islands,SLB,15.295800449201675
101,El Salvador,SLV,-0.7089426366936387
102,San Marino,SMR,8.37749948177698
103,Slovak Republic,SVK,9.003563786235404
104,Slovenia,SVN,8.19166184001503
105,Sweden,SWE,-0.45112719997801065
106,Seychelles,SYC,3.599822433530992
107,Togo,TGO,1.010386984985665
108,Thailand,THA,-5.011376383786903
109,Timor-Leste,TLS,25.72214074086826
110,Trinidad and Tobago,TTO,7.517522723821557
