,country,country_code,risk_premium_resid
0,Angola,AGO,3.1078738315989645
1,Albania,ALB,1.085276181478343
2,Armenia,ARM,-1.1896315931948207
3,Antigua and Barbuda,ATG,0.9380944342393995
4,Bangladesh,BGD,-2.444488197221447
5,Bulgaria,BGR,3.007653411064484
6,"Bahamas, The",BHS,0.27265450490016363
7,Belize,BLZ,4.2397372798047215
8,Bolivia,BOL,0.8674298804033596
9,Brazil,BRA,25.360726136127074
10,Barbados,BRB,1.0696055841427583
11,Canada,CAN,-0.7951395661331904
12,Switzerland,CHE,1.0600407260730487
13,Cabo Verde,CPV,2.3043621766746325
14,Czech Republic,CZE,1.1451728291817167
15,Dominica,DMA,0.24398394041308524
16,Algeria,DZA,2.956344754800943
17,"Egypt, Arab Rep.",EGY,-4.741043119220601
18,Fiji,FJI,-1.1681518912082796
19,Georgia,GEO,-1.8203094875741415
20,Grenada,GRD,-1.5403546698190982
21,Guyana,GUY,4.640618277961906
22,Hungary,HUN,-2.191755612140224
23,Iceland,ISL,-1.327331151252824
24,Israel,ISR,0.12369113518183283
25,Italy,ITA,0.8923936124118677
26,Jamaica,JAM,4.4582599761194075
27,Japan,JPN,-1.9629452236850138
28,Kenya,KEN,-3.3803538063029244
29,Kyrgyz Republic,KGZ,2.52698417799545
30,Lebanon,LBN,-1.5826327284584973
31,St. Lucia,LCA,0.6004981136642362
32,Sri Lanka,LKA,-4.55250023183157
33,Lesotho,LSO,-4.3154477848951815
34,Moldova,MDA,-14.004954921659781
35,Madagascar,MDG,38.50342431115793
36,Maldives,MDV,-0.27224339832050237
37,Mexico,MEX,-3.7665964983929165
38,Montenegro,MNE,3.8232074890868333
39,Mongolia,MNG,0.27643474838586
40,Mozambique,MOZ,-0.3792131209123131
41,Mauritania,MRT,5.185081145282119
42,Mauritius,MUS,2.4594005564786716
43,Malaysia,MYS,-2.4266433208882954
44,Namibia,NAM,-2.3061391239040603
45,Nigeria,NGA,0.3780135966322318
46,New Zealand,NZL,-0.38538563443404383
47,Pakistan,PAK,-4.56066938267114
48,Philippines,PHL,-2.6229817852674793
49,Papua New Guinea,PNG,-4.578110227970839
50,Romania,ROU,0.4027023365724727
51,Rwanda,RWA,4.938101258054541
52,Solomon Islands,SLB,1.1366751827563117
53,Sierra Leone,SLE,7.389594623341047
54,Serbia,SRB,-5.437465140071837
55,South Sudan,SSD,1.770181467170742
56,Eswatini,SWZ,-3.467692376434621
57,Seychelles,SYC,-0.6403992792468891
58,Thailand,THA,-1.2398887603112576
59,Tajikistan,TJK,16.44005102122253
60,Trinidad and Tobago,TTO,4.368378960946368
61,Tanzania,TZA,-5.475487660424699
62,Uganda,UGA,-2.3383155269988993
63,Uruguay,URY,-1.5150910994035742
64,United States,USA,0.39951971715758816
65,St. Vincent and the Grenadines,VCT,1.3442197937549567
66,Kosovo,XKX,0.8734216333673004
67,South Africa,ZAF,-1.2979787127400049
68,Zambia,ZMB,-13.910728194214965
69,Aruba,ABW,
70,Afghanistan,AFG,
71,Andorra,AND,
72,United Arab Emirates,ARE,
73,Argentina,ARG,
74,American Samoa,ASM,
75,Australia,AUS,
76,Austria,AUT,
77,Azerbaijan,AZE,
78,Burundi,BDI,
79,Belgium,BEL,
80,Benin,BEN,
81,Burkina Faso,BFA,
82,Bahrain,BHR,
83,Bosnia and Herzegovina,BIH,
84,Belarus,BLR,
85,Bermuda,BMU,
86,Brunei Darussalam,BRN,
87,Bhutan,BTN,
88,Botswana,BWA,
89,Central African Republic,CAF,
90,Channel Islands,CHI,
91,Chile,CHL,
92,China,CHN,
93,Cote d'Ivoire,CIV,
94,Cameroon,CMR,
95,"Congo, Dem. Rep.",COD,
96,"Congo, Rep.",COG,
97,Colombia,COL,
98,Comoros,COM,
99,Costa Rica,CRI,
100,Cuba,CUB,
101,Curacao,CUW,
102,Cayman Islands,CYM,
103,Cyprus,CYP,
104,Germany,DEU,
105,Djibouti,DJI,
106,Denmark,DNK,
107,Dominican Republic,DOM,
108,Ecuador,ECU,
109,Eritrea,ERI,
110,Spain,ESP,
111,Estonia,EST,
112,Ethiopia,ETH,
113,Finland,FIN,
114,France,FRA,
115,Faroe Islands,FRO,
116,"Micronesia, Fed. Sts.",FSM,
117,Gabon,GAB,
118,United Kingdom,GBR,
119,Ghana,GHA,
120,Gibraltar,GIB,
121,Guinea,GIN,
122,"Gambia, The",GMB,
123,Guinea-Bissau,GNB,
124,Equatorial Guinea,GNQ,
125,Greece,GRC,
126,Greenland,GRL,
127,Guatemala,GTM,
128,Guam,GUM,
129,"Hong Kong SAR, China",HKG,
130,Honduras,HND,
