,country,country_code,strength_legal_rights_0_12_resid
0,Afghanistan,AFG,3.635698030512841
1,Angola,AGO,-3.9281775439294515
2,Albania,ALB,1.4021959617395359
3,United Arab Emirates,ARE,-2.711148901845264
4,Argentina,ARG,-2.0327975146599497
5,Armenia,ARM,-0.7775727852607419
6,Antigua and Barbuda,ATG,-0.07889644991859424
7,Australia,AUS,5.742441398642254
8,Austria,AUT,-1.144480307924578
9,Azerbaijan,AZE,-2.879787296126616
10,Burundi,BDI,-3.4658035868876746
11,Belgium,BEL,-1.2840303095526142
12,Benin,BEN,0.6529597921918722
13,Burkina Faso,BFA,0.6164974452528975
14,Bangladesh,BGD,-0.24112395760094074
15,Bulgaria,BGR,3.096794658888901
16,Bahrain,BHR,-4.239711478784253
17,"Bahamas, The",BHS,0.6297054028895142
18,Bosnia and Herzegovina,BIH,2.401984189169222
19,Belarus,BLR,-2.9125833161592167
20,Belize,BLZ,-0.7968371462853572
21,Bolivia,BOL,-4.938959720774969
22,Brazil,BRA,-2.737076354921949
23,Barbados,BRB,1.1371437019200696
24,Brunei Darussalam,BRN,-0.31631719834681515
25,Bhutan,BTN,-0.8240881593229465
26,Botswana,BWA,0.2413214688321652
27,Central African Republic,CAF,0.5257322913953324
28,Canada,CAN,3.6920739985395574
29,Switzerland,CHE,1.0959155746323956
30,Chile,CHL,-1.144341678468539
31,China,CHN,-0.6568787584660942
32,Cote d'Ivoire,CIV,0.7688366464103771
33,Cameroon,CMR,0.773162289974838
34,"Congo, Dem. Rep.",COD,0.5434470556020043
35,"Congo, Rep.",COG,0.9735681807499263
36,Colombia,COL,7.375783901530883
37,Comoros,COM,0.7000950576618106
38,Cabo Verde,CPV,-3.9937325298086197
39,Costa Rica,CRI,5.260436015603048
40,Cyprus,CYP,1.6225100544326674
41,Czech Republic,CZE,1.6156818882101254
42,Germany,DEU,0.7951313986450614
43,Dominica,DMA,1.3625291650829299
44,Denmark,DNK,2.822198670552601
45,Dominican Republic,DOM,-3.646164913333326
46,Algeria,DZA,-2.666254062420556
47,East Asia & Pacific,EAS,1.578290570556887
48,Ecuador,ECU,-3.602255678609933
49,"Egypt, Arab Rep.",EGY,-2.6302962002147323
50,Spain,ESP,-0.39310824987639315
51,Estonia,EST,1.6455868617382778
52,Ethiopia,ETH,-2.38940440024185
53,Finland,FIN,1.6292349888765711
54,Fiji,FJI,0.25338390840828406
55,France,FRA,-1.3899365890590625
56,"Micronesia, Fed. Sts.",FSM,4.771540564401171
57,Gabon,GAB,1.1107316448325344
58,United Kingdom,GBR,1.621241789293415
59,Georgia,GEO,4.31339135650375
60,Ghana,GHA,0.8215037584686966
61,Guinea,GIN,0.6316169398989819
62,"Gambia, The",GMB,-1.3866529534136829
63,Guinea-Bissau,GNB,0.6025115103015999
64,Equatorial Guinea,GNQ,0.6376032668197844
65,Greece,GRC,-2.302123684775048
66,Grenada,GRD,1.3841833831549728
67,Guatemala,GTM,4.13147930724917
68,Guyana,GUY,-1.88892962133428
69,"Hong Kong SAR, China",HKG,2.9729196898196797
70,Honduras,HND,3.8657839947970825
71,Croatia,HRV,-0.15468654532882375
72,Haiti,HTI,-3.378378366425249
73,Hungary,HUN,3.7201740370317253
74,Indonesia,IDN,0.3810767894837719
75,India,IND,0.9923342484273086
76,Ireland,IRL,2.214888960459792
77,"Iran, Islamic Rep.",IRN,-2.865792274176143
78,Iraq,IRQ,-4.739569335734974
79,Iceland,ISL,-0.2151534459538773
80,Israel,ISR,0.6051461099106339
81,Italy,ITA,-3.3946452731341825
82,Jamaica,JAM,4.212293344928387
83,Jordan,JOR,-4.745099821879569
84,Japan,JPN,-0.38873607609693295
85,Kazakhstan,KAZ,-1.2395132151414252
86,Kenya,KEN,1.7316480923982143
87,Kyrgyz Republic,KGZ,2.768470933147362
88,Cambodia,KHM,4.773334271774561
89,Kiribati,KIR,-1.3505179568253523
90,St. Kitts and Nevis,KNA,-0.3210737648240114
91,"Korea, Rep.",KOR,-0.3940786550897757
92,Kuwait,KWT,-3.629774772399431
93,Lao PDR,LAO,0.9921932394283317
94,Lebanon,LBN,-2.641348908969281
95,Liberia,LBR,3.5812426776501693
96,Libya,LBY,-4.746810365108374
97,St. Lucia,LCA,0.40764891298015815
98,Sri Lanka,LKA,-2.5926573337378827
99,Lesotho,LSO,-0.27952324561955955
100,Lithuania,LTU,0.642614415346852
101,Luxembourg,LUX,-0.2899275303405924
102,Latvia,LVA,3.7729555254137823
103,Morocco,MAR,-2.868117109577793
104,Moldova,MDA,2.9035873687811735
105,Madagascar,MDG,-3.403956685391325
106,Maldives,MDV,-2.6710194406388723
107,Mexico,MEX,5.156156144939558
108,Marshall Islands,MHL,4.807270176264064
109,"Macedonia, FYR",MKD,1.372161739821454
110,Mali,MLI,0.64662845396336
111,Malta,MLT,-3.394724031982128
112,Myanmar,MMR,-3.0691109830729193
113,Montenegro,MNE,7.219126046740114
114,Mongolia,MNG,0.41290526565168406
115,Mozambique,MOZ,-4.428098751536825
116,Mauritania,MRT,-3.1984848062446227
117,Mauritius,MUS,0.9809564272220639
118,Malawi,MWI,-0.4308485632889312
119,Malaysia,MYS,1.6996633215848478
120,Namibia,NAM,0.3654592360080784
121,Niger,NER,0.552349760170233
122,Nigeria,NGA,0.9860000007103187
123,Nicaragua,NIC,-4.077901950572576
124,Netherlands,NLD,-3.153702943805331
125,Norway,NOR,0.054469685165988935
126,Nepal,NPL,0.6833996054689191
127,New Zealand,NZL,6.606251233763474
128,Oman,OMN,-4.363397536110007
129,Pakistan,PAK,-3.1009192076149272
130,Panama,PAN,1.8846185126174388
131,Peru,PER,2.41174211881619
132,Philippines,PHL,-3.907726941927093
133,Palau,PLW,5.2968006071781115
134,Papua New Guinea,PNG,-2.178388837632686
135,Poland,POL,1.7024738115648184
136,Puerto Rico,PRI,5.605956603521995
137,Portugal,PRT,-3.3647075513310076
138,Paraguay,PRY,-3.591826094561182
139,West Bank and Gaza,PSE,-5.099348645683796
140,Pacific island small states,PSS,3.1723819994984837
141,Qatar,QAT,-1.2596076419977145
142,Romania,ROU,3.9094151934494166
143,Russian Federation,RUS,1.7724316771052484
144,Rwanda,RWA,4.629415829676814
145,South Asia,SAS,-0.5448774053199177
146,Saudi Arabia,SAU,-4.0671790805588275
147,Sudan,SDN,-2.1368006377865623
148,Senegal,SEN,0.7395638375532911
149,Singapore,SGP,4.049308399172322
150,Solomon Islands,SLB,4.668055074952535
151,Sierra Leone,SLE,-0.4098235816973457
152,El Salvador,SLV,4.105711984092583
153,San Marino,SMR,-3.9776964762527687
154,Serbia,SRB,1.364755874457689
155,South Sudan,SSD,-3.3574608905524324
156,Sub-Saharan Africa,SSF,-0.5177319817757144
157,Sao Tome and Principe,STP,-5.258087348501468
158,Suriname,SUR,-2.7325255848016488
159,Slovak Republic,SVK,1.6353930880916483
160,Slovenia,SVN,-2.3774971657430086
161,Sweden,SWE,0.7977498142999861
162,Eswatini,SWZ,-0.8229088891319671
163,Seychelles,SYC,-3.2919944932442737
164,Chad,TCD,0.6604097337558059
165,Togo,TGO,0.6027196524512952
166,Thailand,THA,-1.77511000430452
167,Tajikistan,TJK,-4.286364442119377
168,Timor-Leste,TLS,-4.858349489233997
169,Tonga,TON,4.9425769312837975
170,Trinidad and Tobago,TTO,1.614765237604292
171,Tunisia,TUN,-1.6018548188005388
172,Turkey,TUR,-3.2314875698605565
173,Tanzania,TZA,-0.30021233236919986
174,Uganda,UGA,-0.37700417723477386
175,Ukraine,UKR,3.148076461077972
176,Uruguay,URY,-1.0682126783825154
177,United States,USA,5.96436177666595
178,Uzbekistan,UZB,0.9873784882480194
179,St. Vincent and the Grenadines,VCT,0.38336786425976754
