,country,country_code,tax_revenue_pct_gdp_resid
1,Afghanistan,AFG,-8.450692542448826
2,Angola,AGO,-4.511732712821027
3,Albania,ALB,3.3925571691644656
6,United Arab Emirates,ARE,-18.336852362062583
7,Argentina,ARG,-3.8386376313228467
8,Armenia,ARM,5.572348224922706
11,Australia,AUS,3.155518179624085
12,Austria,AUT,8.218660300907214
13,Azerbaijan,AZE,0.06227504615202406
15,Belgium,BEL,5.711355013961235
17,Burkina Faso,BFA,-0.9833338396082905
18,Bangladesh,BGD,-7.393770873053354
19,Bulgaria,BGR,4.552366955849843
21,"Bahamas, The",BHS,-5.578522871333989
22,Bosnia and Herzegovina,BIH,4.812407854675156
23,Belarus,BLR,-1.5076382269206245
27,Brazil,BRA,-2.2763400718800373
28,Barbados,BRB,10.644798254759465
30,Bhutan,BTN,-1.6364452206690192
31,Botswana,BWA,9.54899274917302
33,Canada,CAN,-6.703252474378351
34,Central Europe and the Baltics,CEB,-0.14357530094290638
35,Switzerland,CHE,-7.620982609359077
37,Chile,CHL,0.6624571445478118
38,China,CHN,-5.574549466248664
39,Cote d'Ivoire,CIV,-0.43225353122114285
43,Colombia,COL,0.026783214271747013
46,Costa Rica,CRI,-1.4522678707127579
47,Caribbean small states,CSS,8.837529709659172
51,Cyprus,CYP,5.600082525653477
52,Czech Republic,CZE,-4.26278195188975
53,Germany,DEU,-7.380166253940539
56,Denmark,DNK,15.273596859951645
57,Dominican Republic,DOM,-1.6913654182813254
59,East Asia & Pacific (excluding high income),EAP,-4.935993186839953
61,East Asia & Pacific,EAS,-3.3183611956709154
62,Europe & Central Asia (excluding high income),ECA,-1.7524260070028301
63,Europe & Central Asia,ECS,0.8083795249357948
65,"Egypt, Arab Rep.",EGY,-2.6716078351773067
66,Euro area,EMU,-0.335530962311978
68,Spain,ESP,-4.574986793378605
69,Estonia,EST,3.88126701254507
71,European Union,EUU,0.9562115571136331
73,Finland,FIN,1.4817860846909134
74,Fiji,FJI,10.150246854746259
75,France,FRA,3.939196095965766
77,"Micronesia, Fed. Sts.",FSM,-10.436293904498072
79,United Kingdom,GBR,5.942426635601418
80,Georgia,GEO,8.491931497141266
86,Equatorial Guinea,GNQ,-6.724343130025737
87,Greece,GRC,7.180006567037413
90,Guatemala,GTM,-5.234798332787474
93,High income,HIC,-3.668936676253038
95,Honduras,HND,1.5813896330722237
99,Hungary,HUN,5.799340167598636
100,IBRD only,IBD,-2.8632694833640464
101,IDA & IBRD total,IBT,-3.004796387569151
104,Indonesia,IDN,-4.4154752387766365
109,Ireland,IRL,0.7646391542591857
111,Iraq,IRQ,-13.868047339170795
112,Iceland,ISL,4.683779813689146
113,Israel,ISR,4.243317483671159
114,Italy,ITA,4.227634445277143
115,Jamaica,JAM,9.451352967596167
117,Japan,JPN,-7.843211056439852
118,Kazakhstan,KAZ,-7.538403186635497
119,Kenya,KEN,0.3323457437405004
120,Kyrgyz Republic,KGZ,0.9209508691440043
121,Cambodia,KHM,-1.7066849522221883
122,Kiribati,KIR,6.067347943320822
124,"Korea, Rep.",KOR,-5.098110988343377
125,Kuwait,KWT,-17.242304496550766
126,Latin America & Caribbean (excluding high income),LAC,-1.835213151709688
127,Lao PDR,LAO,-2.1019593871438804
128,Lebanon,LBN,-1.4753601602535102
132,Latin America & Caribbean,LCN,-1.7047399014819131
136,Sri Lanka,LKA,-2.7334484574199323
138,Low & middle income,LMY,-3.248157084015128
139,Lesotho,LSO,24.57825731648802
140,Late-demographic dividend,LTE,-3.960519909604864
141,Lithuania,LTU,-1.4623622322072478
142,Luxembourg,LUX,4.458949967140271
143,Latvia,LVA,5.47329583786831
144,"Macao SAR, China",MAC,8.09027279201543
148,Moldova,MDA,3.787921981738293
152,Mexico,MEX,-2.600049375775754
153,Marshall Islands,MHL,1.6646522974401439
154,Middle income,MIC,-3.187216361723742
155,"Macedonia, FYR",MKD,1.8553870751074797
156,Mali,MLI,-1.9283167214417531
157,Malta,MLT,6.548517648242871
158,Myanmar,MMR,-9.677114671466683
161,Mongolia,MNG,-3.325279781961747
163,Mozambique,MOZ,5.80370577238741
165,Mauritius,MUS,-7.119483823006416
166,Malawi,MWI,-0.8707479116376575
167,Malaysia,MYS,-3.4661883172287276
168,North America,NAC,-6.6134865716583615
169,Namibia,NAM,17.316447596009514
173,Nicaragua,NIC,0.07565313162838017
174,Netherlands,NLD,2.8597976729675025
175,Norway,NOR,4.742989923843126
176,Nepal,NPL,0.7290198788100781
178,New Zealand,NZL,8.15185632788577
179,OECD members,OED,-3.763611375233115
184,Peru,PER,-0.15073449986641307
185,Philippines,PHL,-1.8629908848513157
186,Palau,PLW,4.284716603172656
187,Papua New Guinea,PNG,0.21084292994508402
188,Poland,POL,-2.11148549572985
192,Portugal,PRT,4.648861305417427
193,Paraguay,PRY,-5.3594292802800645
194,West Bank and Gaza,PSE,-10.123704342898048
195,Pacific island small states,PSS,7.244425319523833
196,Post-demographic dividend,PST,-3.6499008422112666
199,Romania,ROU,2.395420682136244
200,Russian Federation,RUS,-6.693388152813549
201,Rwanda,RWA,-2.343240495355353
205,Senegal,SEN,-0.07949855453490606
206,Singapore,SGP,-6.372355330473052
207,Solomon Islands,SLB,13.156944659578873
209,El Salvador,SLV,1.4738406862674243
210,San Marino,SMR,-0.7103656542054715
219,Slovak Republic,SVK,-0.612881173326425
220,Slovenia,SVN,0.01732618903690053
221,Sweden,SWE,8.244549731566426
224,Seychelles,SYC,11.896317043426208
228,East Asia & Pacific (IDA & IBRD countries),TEA,-4.925571007788177
229,Europe & Central Asia (IDA & IBRD countries),TEC,-1.6972936430014833
230,Togo,TGO,2.880100014890484
231,Thailand,THA,0.9218703248190927
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,-1.7017290186914078
235,Timor-Leste,TLS,3.0895116815995145
240,Trinidad and Tobago,TTO,8.346182307539284
242,Turkey,TUR,0.9141510607424941
245,Uganda,UGA,-3.1222265980254917
246,Ukraine,UKR,5.020822478580378
247,Upper middle income,UMC,-3.256794397324125
248,Uruguay,URY,2.1580195878890684
249,United States,USA,-6.5637750846100715
250,Uzbekistan,UZB,1.8532662709976808
256,Vanuatu,VUT,0.817819382531658
257,World,WLD,-0.6024925320942103
258,Samoa,WSM,7.047854984780249
261,South Africa,ZAF,12.322595661707469
262,Zambia,ZMB,0.9924432717716254
