,Country Rank,country_code,ti_cpi,country,ti_cpi_resid
0,1,DNK,91,Denmark,17.352072876957806
1,1,NZL,91,New Zealand,26.313554669180405
2,3,FIN,90,Finland,21.436008897517823
3,4,SWE,89,Sweden,15.926596152520105
4,5,NOR,88,Norway,7.404293411456408
5,6,CHE,86,Switzerland,4.757321846571529
6,7,LUX,85,Luxembourg,-2.476003137416839
7,7,SGP,85,Singapore,-0.2887377960436055
8,9,NLD,84,Netherlands,9.752183597217865
9,10,CAN,83,Canada,12.428294515720296
10,11,DEU,81,Germany,7.986779524988165
11,11,GBR,81,United Kingdom,12.833668596601001
12,13,AUS,79,Australia,7.216898899076298
13,13,ISL,79,Iceland,6.22148054719942
14,15,BEL,77,Belgium,5.837869848072941
15,16,AUT,76,Austria,1.5097937865260889
16,16,USA,76,United States,-2.4681574255337324
17,18,HKG,75,"Hong Kong SAR, China",-3.777456418735909
18,18,IRL,75,Ireland,-7.9027906017921765
19,18,JPN,75,Japan,7.555485174741577
20,21,URY,74,Uruguay,29.80907891641273
21,22,QAT,71,Qatar,-20.17913337405578
22,23,CHL,70,Chile,24.032185431321693
23,23,EST,70,Estonia,16.47102747892295
24,23,FRA,70,France,2.687340557508307
25,23,ARE,70,United Arab Emirates,-13.524303323849438
26,27,BTN,65,Bhutan,32.40587814715079
27,28,PRT,64,Portugal,9.330287066364974
28,29,BWA,63,Botswana,25.083359336322786
29,29,POL,63,Poland,12.391724861615252
30,32,CYP,61,Cyprus,3.6201698134782845
31,32,ISR,61,Israel,-1.5924518941237906
32,34,MLT,60,Malta,-2.3517611270901853
33,34,SVN,60,Slovenia,2.694200196044285
34,36,LTU,59,Lithuania,5.16758125131728
35,37,ESP,58,Spain,-3.4069308884213925
36,38,CZE,56,Czech Republic,-3.8271375362825495
37,38,LVA,56,Latvia,7.764615237932318
38,40,CPV,55,Cabo Verde,23.794712306452805
39,40,CRI,55,Costa Rica,17.444587177843445
40,40,SYC,55,Seychelles,4.538761697580277
41,43,KOR,54,"Korea, Rep.",-7.839868291128148
42,43,RWA,54,Rwanda,26.249492859272422
43,45,JOR,53,Jordan,19.866550561096624
44,45,MUS,53,Mauritius,9.955948789170293
45,45,NAM,53,Namibia,18.791465985419208
46,48,GEO,52,Georgia,18.483441008205304
47,48,SAU,52,Saudi Arabia,-25.088353112604253
48,50,BHR,51,Bahrain,-21.223857656124963
49,50,HRV,51,Croatia,4.787125234619495
50,50,HUN,51,Hungary,0.9671691860016765
51,50,SVK,51,Slovak Republic,-3.655192392563862
52,54,MYS,50,Malaysia,-0.6922551632353944
53,55,KWT,49,Kuwait,-34.89921652733136
54,56,CUB,47,Cuba,
55,56,GHA,47,Ghana,17.488929336418224
56,58,GRC,46,Greece,-4.770452267413944
57,60,OMN,45,Oman,-23.87338411523359
58,61,ITA,44,Italy,-19.39764854534375
59,61,LSO,44,Lesotho,15.418001368885921
60,61,SEN,44,Senegal,15.243266507344988
61,61,ZAF,44,South Africa,8.560040763380549
62,66,STP,42,Sao Tome and Principe,13.221742703666646
63,66,MKD,42,"Macedonia, FYR",6.118634323666278
64,66,TUR,42,Turkey,-6.377290223480628
65,69,BGR,41,Bulgaria,0.29036903809212333
66,69,JAM,41,Jamaica,8.148205725728253
67,72,SLV,39,El Salvador,6.945595385337953
68,72,MNG,39,Mongolia,4.1180679195860534
69,72,PAN,39,Panama,-6.309025998245417
70,72,TTO,39,Trinidad and Tobago,-20.947126105799278
71,76,BIH,38,Bosnia and Herzegovina,3.341758074327167
72,76,BRA,38,Brazil,0.473139455954005
73,76,BFA,38,Burkina Faso,10.367513101927205
74,76,IND,38,India,6.919400259395694
75,76,THA,38,Thailand,-0.20009790684775197
76,76,TUN,38,Tunisia,3.407495433303204
77,76,ZMB,38,Zambia,8.65228778148705
78,83,BEN,37,Benin,9.034582077784432
79,83,CHN,37,China,0.6585335243168231
80,83,COL,37,Colombia,1.1657904534355907
81,83,LBR,37,Liberia,9.690304575528913
82,83,LKA,37,Sri Lanka,2.2788801385878728
83,88,ALB,36,Albania,1.3375106406311374
84,88,DZA,36,Algeria,-0.4847024215273805
85,88,EGY,36,"Egypt, Arab Rep.",1.6982204848909248
86,88,IDN,36,Indonesia,1.5581129732350618
87,88,MAR,36,Morocco,3.737990245851236
88,88,PER,36,Peru,0.9387254160391976
89,88,SUR,36,Suriname,-1.4613514569382176
90,95,ARM,35,Armenia,2.0791976702195427
91,95,MLI,35,Mali,7.092360361780813
92,95,PHL,35,Philippines,3.0550356578271938
93,98,BOL,34,Bolivia,2.316424453110365
94,98,DJI,34,Djibouti,
95,98,GAB,34,Gabon,-6.3635346719383605
96,98,NER,34,Niger,6.955863997686031
97,102,DOM,33,Dominican Republic,-3.1914042849488666
98,102,ETH,33,Ethiopia,5.4214702612529315
99,102,MDA,33,Moldova,2.7293328776304087
100,106,ARG,32,Argentina,-11.339536465255108
101,106,BLR,32,Belarus,-8.908972348151174
102,106,CIV,32,Cote d'Ivoire,2.974643952171366
103,106,ECU,32,Ecuador,-2.5805612329204024
104,106,TGO,32,Togo,4.493521309140423
105,111,HND,31,Honduras,1.0789715724631854
106,111,MWI,31,Malawi,3.801311020070184
107,111,MRT,31,Mauritania,1.673618260572571
108,111,MEX,31,Mexico,-8.487157379644358
109,111,MOZ,31,Mozambique,3.7760504693978874
110,111,VNM,31,Vietnam,0.07919168473082294
