country,country_code,trade_pct_gdp
Aruba,ABW,145.24699045247
Afghanistan,AFG,55.1255265979591
Angola,AGO,62.888520784974396
Albania,ALB,71.8010161004583
Andorra,AND,
,,
United Arab Emirates,ARE,175.221307567909
Argentina,ARG,22.4862260889792
Armenia,ARM,71.5932653468932
American Samoa,ASM,163.993948562784
Antigua and Barbuda,ATG,93.6295425365057
Australia,AUS,41.5473873260458
Austria,AUT,102.13601041785499
Azerbaijan,AZE,72.6015079073189
Burundi,BDI,22.850711085490698
Belgium,BEL,160.229325319499
Benin,BEN,58.797884775072404
Burkina Faso,BFA,47.9479044078272
Bangladesh,BGD,42.0859963070382
Bulgaria,BGR,128.06101482130398
Bahrain,BHR,154.067392842373
"Bahamas, The",BHS,73.6870669843881
Bosnia and Herzegovina,BIH,88.08738013415122
Belarus,BLR,115.91482620194598
Belize,BLZ,122.330411319895
Bermuda,BMU,
Bolivia,BOL,67.9328449414657
Brazil,BRA,26.9536259376792
Barbados,BRB,79.0004690073405
Brunei Darussalam,BRN,84.8970637867027
Bhutan,BTN,96.4182116610232
Botswana,BWA,105.794545059157
Central African Republic,CAF,47.190622189673796
Canada,CAN,65.5277353225282
,,
Switzerland,CHE,112.76815948710501
Channel Islands,CHI,
Chile,CHL,58.9528438182819
China,CHN,39.453065524530004
Cote d'Ivoire,CIV,71.96487784544729
Cameroon,CMR,49.8692069982459
"Congo, Dem. Rep.",COD,59.3324309643087
"Congo, Rep.",COG,165.64586294781
Colombia,COL,38.360764118445296
Comoros,COM,36.9437708033427
Cabo Verde,CPV,104.06608898131701
Costa Rica,CRI,62.518296399044
,,
Cuba,CUB,31.6137399148428
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,128.823251636142
Czech Republic,CZE,156.099863722896
Germany,DEU,85.755786637754
Djibouti,DJI,107.516747251432
Dominica,DMA,107.713771983673
Denmark,DNK,104.058935192402
Dominican Republic,DOM,53.9379181016125
Algeria,DZA,59.695129120419395
,,
,,
East Asia & Pacific,EAS,57.7018681033012
,,
,,
Ecuador,ECU,45.243877148583
"Egypt, Arab Rep.",EGY,34.845942960022896
,,
Eritrea,ERI,
Spain,ESP,63.6103955748066
Estonia,EST,153.210232763911
Ethiopia,ETH,39.6561241449515
,,
,,
Finland,FIN,73.459953054331
Fiji,FJI,105.51147540983601
France,FRA,61.75169393458611
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,103.75944262907801
Gabon,GAB,73.9497814588281
United Kingdom,GBR,56.4764707844448
Georgia,GEO,107.00818348110901
Ghana,GHA,75.5863939908231
Gibraltar,GIB,
Guinea,GIN,72.4427259419684
"Gambia, The",GMB,48.07995630601479
Guinea-Bissau,GNB,59.781536752122896
Equatorial Guinea,GNQ,98.8780591680756
Greece,GRC,63.3936164816987
Grenada,GRD,114.72139936923901
Greenland,GRL,83.0652818816091
Guatemala,GTM,51.306263694826896
Guam,GUM,71.62872154115591
Guyana,GUY,100.267980958315
,,
"Hong Kong SAR, China",HKG,389.405949263639
Honduras,HND,107.26440535424
,,
Croatia,HRV,93.904974524731
Haiti,HTI,70.5516896261956
Hungary,HUN,171.565870171142
,,
,,
,,
,,
Indonesia,IDN,41.9376402415299
,,
Isle of Man,IMN,
India,IND,41.9466799113024
,,
Ireland,IRL,216.186706609052
"Iran, Islamic Rep.",IRN,39.017300702637
Iraq,IRQ,76.7579150579151
Iceland,ISL,99.04312439719959
Israel,ISR,59.5292132247128
Italy,ITA,56.9220625910712
Jamaica,JAM,76.10510996411371
Jordan,JOR,98.0769067392572
Japan,JPN,35.5964012573268
Kazakhstan,KAZ,53.049728807265204
Kenya,KEN,44.2113177762908
Kyrgyz Republic,KGZ,110.96157071463301
Cambodia,KHM,127.86406699658001
Kiribati,KIR,110.108659861706
St. Kitts and Nevis,KNA,112.09980106408001
"Korea, Rep.",KOR,83.7121215269455
Kuwait,KWT,98.6998633725231
,,
Lao PDR,LAO,85.79862603292409
Lebanon,LBN,72.39802241276399
Liberia,LBR,126.017689644319
Libya,LBY,114.245922122484
St. Lucia,LCA,81.9371119220288
,,
,,
,,
Liechtenstein,LIE,
Sri Lanka,LKA,49.5587965929996
,,
,,
Lesotho,LSO,121.939325118765
,,
Lithuania,LTU,152.153274530518
Luxembourg,LUX,410.17163709244596
Latvia,LVA,121.31792323161501
"Macao SAR, China",MAC,116.64959567988998
St. Martin (French part),MAF,
Morocco,MAR,77.1980363378713
Monaco,MCO,
Moldova,MDA,116.668180449161
Madagascar,MDG,67.5947805180729
Maldives,MDV,143.92012973644
,,
Mexico,MEX,71.1663144806972
Marshall Islands,MHL,142.641889816506
,,
"Macedonia, FYR",MKD,113.698443879103
Mali,MLI,63.6396414552076
Malta,MLT,272.398382205559
Myanmar,MMR,47.360003353383505
,,
Montenegro,MNE,102.68897735183201
Mongolia,MNG,90.2870128781809
Northern Mariana Islands,MNP,122.126745435016
Mozambique,MOZ,104.206039545833
Mauritania,MRT,109.36489199123301
Mauritius,MUS,107.636871085869
Malawi,MWI,64.9112746043301
Malaysia,MYS,133.459702221727
,,
Namibia,NAM,107.135039932925
New Caledonia,NCL,
Niger,NER,59.1238605074889
Nigeria,NGA,21.4469296745955
Nicaragua,NIC,99.47286260222059
Netherlands,NLD,156.296738492692
Norway,NOR,69.8096542912451
Nepal,NPL,53.0952668109502
Nauru,NRU,147.019930936272
New Zealand,NZL,54.3901941076701
,,
Oman,OMN,108.89635389144699
,,
Pakistan,PAK,27.6546730166962
Panama,PAN,99.9366829033362
Peru,PER,45.133944662881404
Philippines,PHL,62.690008771982
Palau,PLW,124.93742229122499
Papua New Guinea,PNG,
Poland,POL,96.0094604243733
,,
Puerto Rico,PRI,108.857788945156
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,80.2229566172975
Paraguay,PRY,65.638322694197
West Bank and Gaza,PSE,77.92708908703541
Pacific island small states,PSS,102.95171150553699
,,
French Polynesia,PYF,
Qatar,QAT,93.7076739370818
Romania,ROU,82.6575055031815
Russian Federation,RUS,49.177216762260706
Rwanda,RWA,52.548269063110894
South Asia,SAS,41.1154514440596
Saudi Arabia,SAU,72.07499600255291
Sudan,SDN,19.1008041102885
Senegal,SEN,58.11033767420171
Singapore,SGP,329.047899699957
Solomon Islands,SLB,98.39379170946128
Sierra Leone,SLE,66.8026117984293
El Salvador,SLV,76.1186085640292
San Marino,SMR,
Somalia,SOM,76.22766202027209
Serbia,SRB,103.10003952547899
,,
South Sudan,SSD,49.9226474742719
Sub-Saharan Africa,SSF,53.216248935580396
,,
Sao Tome and Principe,STP,
Suriname,SUR,
Slovak Republic,SVK,184.327740858989
Slovenia,SVN,145.39663702532
Sweden,SWE,86.2408032648707
Eswatini,SWZ,99.73879373572781
Sint Maarten (Dutch part),SXM,220.860181256221
Seychelles,SYC,172.046292878128
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,66.5641643497065
,,
,,
Togo,TGO,107.41585547563601
Thailand,THA,125.89192687542801
Tajikistan,TJK,52.73019106069779
Turkmenistan,TKM,81.2999305660859
,,
Timor-Leste,TLS,129.390542455869
,,
Tonga,TON,81.7447346649332
,,
,,
Trinidad and Tobago,TTO,
Tunisia,TUN,91.05897363198191
Turkey,TUR,49.299876167715794
Tuvalu,TUV,
Tanzania,TZA,46.395352940380604
Uganda,UGA,47.6644212960542
Ukraine,UKR,107.806616298156
,,
Uruguay,URY,45.328240807689504
United States,USA,27.890037887028104
Uzbekistan,UZB,49.3240984283064
St. Vincent and the Grenadines,VCT,92.08706988342341
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,82.09630220803409
Vietnam,VNM,178.76741471577202
Vanuatu,VUT,
,,
Samoa,WSM,76.4962149683623
Kosovo,XKX,72.32371932845459
"Yemen, Rep.",YEM,
South Africa,ZAF,61.600148412835104
Zambia,ZMB,79.8651551332171
Zimbabwe,ZWE,56.7488111052137
