country,country_code,urbpop
Aruba,ABW,43.108000000000004
Afghanistan,AFG,24.803
Angola,AGO,63.446000000000005
Albania,ALB,57.434
Andorra,AND,88.345
Arab World,ARB,57.8958709237364
United Arab Emirates,ARE,85.67399999999999
Argentina,ARG,91.50299999999999
Armenia,ARM,63.085
American Samoa,ASM,87.238
Antigua and Barbuda,ATG,25.0
Australia,AUS,85.70100000000001
Austria,AUT,57.715
Azerbaijan,AZE,54.714
Burundi,BDI,12.078
Belgium,BEL,97.876
Benin,BEN,45.695
Burkina Faso,BFA,27.53
Bangladesh,BGD,34.308
Bulgaria,BGR,73.99
Bahrain,BHR,88.999
"Bahamas, The",BHS,82.74600000000001
Bosnia and Herzegovina,BIH,47.173
Belarus,BLR,77.181
Belize,BLZ,45.406000000000006
Bermuda,BMU,100.0
Bolivia,BOL,68.393
Brazil,BRA,85.77
Barbados,BRB,31.249000000000002
Brunei Darussalam,BRN,76.663
Bhutan,BTN,38.678000000000004
Botswana,BWA,67.155
Central African Republic,CAF,40.277
Canada,CAN,81.259
Central Europe and the Baltics,CEB,62.14068324912479
Switzerland,CHE,73.718
Channel Islands,CHI,30.962
Chile,CHL,87.36
China,CHN,55.5
Cote d'Ivoire,CIV,49.443999999999996
Cameroon,CMR,54.578
"Congo, Dem. Rep.",COD,42.74
"Congo, Rep.",COG,65.543
Colombia,COL,79.764
Comoros,COM,28.47
Cabo Verde,CPV,64.3
Costa Rica,CRI,76.862
Caribbean small states,CSS,50.802560270525206
Cuba,CUB,76.896
Curacao,CUW,89.352
Cayman Islands,CYM,100.0
Cyprus,CYP,66.946
Czech Republic,CZE,73.477
Germany,DEU,77.2
Djibouti,DJI,77.417
Dominica,DMA,69.579
Denmark,DNK,87.52600000000001
Dominican Republic,DOM,78.566
Algeria,DZA,70.848
East Asia & Pacific (excluding high income),EAP,52.6905443283457
Early-demographic dividend,EAR,44.005468898988
East Asia & Pacific,EAS,56.44321924188829
Europe & Central Asia (excluding high income),ECA,66.4095516446744
Europe & Central Asia,ECS,71.6140913664285
Ecuador,ECU,63.398
"Egypt, Arab Rep.",EGY,42.785
Euro area,EMU,76.3397020364095
Eritrea,ERI,
Spain,ESP,79.602
Estonia,EST,68.416
Ethiopia,ETH,19.428
European Union,EUU,75.0226115695433
Fragile and conflict affected situations,FCS,40.235978068988
Finland,FIN,85.225
Fiji,FJI,54.726000000000006
France,FRA,79.655
Faroe Islands,FRO,41.638000000000005
"Micronesia, Fed. Sts.",FSM,22.456
Gabon,GAB,88.118
United Kingdom,GBR,82.626
Georgia,GEO,57.448
Ghana,GHA,54.086000000000006
Gibraltar,GIB,100.0
Guinea,GIN,35.141
"Gambia, The",GMB,59.228
Guinea-Bissau,GNB,42.123000000000005
Equatorial Guinea,GNQ,70.616
Greece,GRC,78.046
Grenada,GRD,35.997
Greenland,GRL,86.071
Guatemala,GTM,49.971000000000004
Guam,GUM,94.53399999999999
Guyana,GUY,26.441
High income,HIC,81.1773257823589
"Hong Kong SAR, China",HKG,100.0
Honduras,HND,55.165
Heavily indebted poor countries (HIPC),HPC,34.590777495862
Croatia,HRV,56.155
Haiti,HTI,52.427
Hungary,HUN,70.5
IBRD only,IBD,53.209596078892005
IDA & IBRD total,IBT,48.824849604999294
IDA total,IDA,35.5506204195392
IDA blend,IDB,41.0699494810626
Indonesia,IDN,53.313
IDA only,IDX,32.8160716734016
Isle of Man,IMN,52.245
India,IND,32.777
Not classified,INX,
Ireland,IRL,62.538000000000004
"Iran, Islamic Rep.",IRN,73.358
Iraq,IRQ,69.921
Iceland,ISL,93.7
Israel,ISR,92.179
Italy,ITA,69.565
Jamaica,JAM,54.833
Jordan,JOR,90.256
Japan,JPN,91.381
Kazakhstan,KAZ,57.191
Kenya,KEN,25.658
Kyrgyz Republic,KGZ,35.777
Cambodia,KHM,22.188000000000002
Kiribati,KIR,51.619
St. Kitts and Nevis,KNA,30.826999999999998
"Korea, Rep.",KOR,81.634
Kuwait,KWT,100.0
Latin America & Caribbean (excluding high income),LAC,78.7659326290066
Lao PDR,LAO,33.108000000000004
Lebanon,LBN,88.10600000000001
Liberia,LBR,49.82
Libya,LBY,79.27
St. Lucia,LCA,18.515
Latin America & Caribbean,LCN,79.89425201216491
Least developed countries: UN classification,LDC,31.982128954836398
Low income,LIC,31.6002741910039
Liechtenstein,LIE,14.302999999999999
Sri Lanka,LKA,18.256
Lower middle income,LMC,38.9964756832
Low & middle income,LMY,48.4194771651708
Lesotho,LSO,26.908
Late-demographic dividend,LTE,59.826854783489
Lithuania,LTU,67.23
Luxembourg,LUX,90.179
Latvia,LVA,67.98
"Macao SAR, China",MAC,100.0
St. Martin (French part),MAF,
Morocco,MAR,60.809
Monaco,MCO,100.0
Moldova,MDA,42.49
Madagascar,MDG,35.193000000000005
Maldives,MDV,38.529
Middle East & North Africa,MEA,64.2210928491451
Mexico,MEX,79.285
Marshall Islands,MHL,75.811
Middle income,MIC,50.5774827755536
"Macedonia, FYR",MKD,57.408
Mali,MLI,39.991
Malta,MLT,94.414
Myanmar,MMR,29.858
Middle East & North Africa (excluding high income),MNA,60.478209620583705
Montenegro,MNE,65.806
Mongolia,MNG,68.23
Northern Mariana Islands,MNP,91.35700000000001
Mozambique,MOZ,34.4
Mauritania,MRT,51.089
