,country,country_code,urbpop_resid
0,Aruba,ABW,-35.34176807927603
1,Afghanistan,AFG,-9.01390715990097
2,Angola,AGO,16.50935738834066
3,Albania,ALB,-0.4937417052217441
4,United Arab Emirates,ARE,-3.5859062999332423
5,Argentina,ARG,26.094761717214695
6,Armenia,ARM,12.038027357660638
7,Antigua and Barbuda,ATG,-41.00665848486642
8,Australia,AUS,3.6960259924644134
9,Austria,AUT,-25.54858478665699
10,Azerbaijan,AZE,-9.614135929336754
11,Burundi,BDI,-18.739800526877122
12,Belgium,BEL,16.160888333765712
13,Benin,BEN,11.370259422967145
14,Burkina Faso,BFA,-5.721829956884548
15,Bangladesh,BGD,-3.14577758838049
16,Bulgaria,BGR,9.472292285946736
17,Bahrain,BHR,6.787316475589165
18,"Bahamas, The",BHS,9.560479084129568
19,Bosnia and Herzegovina,BIH,-10.72780854544061
20,Belarus,BLR,12.61807765086904
21,Belize,BLZ,-5.156841340187363
22,Bolivia,BOL,21.774947464580883
23,Brazil,BRA,22.408593195083007
24,Barbados,BRB,-33.00006869107253
25,Brunei Darussalam,BRN,-14.361688036461132
26,Bhutan,BTN,-11.176911928451304
27,Botswana,BWA,3.5619254595072647
28,Central African Republic,CAF,9.711134560827293
29,Canada,CAN,-0.17031878420539215
30,Switzerland,CHE,-13.815377738919096
31,Chile,CHL,20.29055128949534
32,China,CHN,-6.8638810607611305
33,Cote d'Ivoire,CIV,11.69353542824176
34,Cameroon,CMR,16.698486391893624
35,"Congo, Dem. Rep.",COD,11.647251637142553
36,"Congo, Rep.",COG,21.572203735691403
37,Colombia,COL,18.283220079071576
38,Comoros,COM,-7.243049759946551
39,Cabo Verde,CPV,19.330770662450362
40,Costa Rica,CRI,13.470288716429728
41,Cayman Islands,CYM,15.187756540549941
42,Cyprus,CYP,-7.150774451055852
43,Czech Republic,CZE,-1.962945363512759
44,Germany,DEU,-5.367441146556715
45,Dominica,DMA,13.943283223003327
46,Denmark,DNK,4.66709925425458
47,Dominican Republic,DOM,16.400071849252996
48,Algeria,DZA,8.294710834714458
49,East Asia & Pacific,EAS,-7.201129137793814
50,Ecuador,ECU,5.933214708025723
51,"Egypt, Arab Rep.",EGY,-13.201621779789434
52,Spain,ESP,3.242279241274403
53,Estonia,EST,-3.586130492858274
54,Ethiopia,ETH,-13.650019078267643
55,Finland,FIN,4.837752712174819
56,Fiji,FJI,2.932159264734537
57,France,FRA,-0.06841181913239325
58,"Micronesia, Fed. Sts.",FSM,-15.375116646661933
59,Gabon,GAB,23.725103244936278
60,United Kingdom,GBR,2.4489418719401073
61,Georgia,GEO,4.202833943748679
62,Ghana,GHA,14.755299422637158
63,Guinea,GIN,1.4441681383642475
64,"Gambia, The",GMB,26.068940820437312
65,Guinea-Bissau,GNB,9.283191574060709
66,Equatorial Guinea,GNQ,-1.8915952350981513
67,Greece,GRC,7.693379680423163
68,Grenada,GRD,-25.252132524571003
69,Guatemala,GTM,1.323422606134237
70,Guyana,GUY,-21.631964090325805
71,"Hong Kong SAR, China",HKG,14.25726064157999
72,Honduras,HND,14.491414729351128
73,Croatia,HRV,-11.09280630603861
74,Haiti,HTI,19.024316548024395
75,Hungary,HUN,0.6224129992545073
76,Indonesia,IDN,-3.2879561640624075
77,India,IND,-11.767468177812574
78,Ireland,IRL,-26.19319382847985
79,"Iran, Islamic Rep.",IRN,9.095395077615507
80,Iraq,IRQ,6.529141523302904
81,Iceland,ISL,11.238589609766024
82,Israel,ISR,15.10850263527
83,Italy,ITA,-7.982690697706715
84,Jamaica,JAM,4.038951662099869
85,Jordan,JOR,38.4266254165146
86,Japan,JPN,11.587161108478199
87,Kazakhstan,KAZ,-11.766325589893839
88,Kenya,KEN,-10.987597059836482
89,Kyrgyz Republic,KGZ,-1.9625599782662135
90,Cambodia,KHM,-15.696647122422366
91,Kiribati,KIR,17.3965748744222
92,St. Kitts and Nevis,KNA,-40.00556250749975
93,"Korea, Rep.",KOR,5.014550495985546
94,Kuwait,KWT,10.306917077298266
95,Lao PDR,LAO,-11.432163196375512
96,Lebanon,LBN,26.115706837190004
97,Liberia,LBR,17.607807249251863
98,Libya,LBY,15.779308784515813
99,St. Lucia,LCA,-41.37695453142387
100,Sri Lanka,LKA,-39.93926219824368
101,Lesotho,LSO,-9.407019015977902
102,Lithuania,LTU,-4.944034097591171
103,Luxembourg,LUX,-5.91810719564495
104,Latvia,LVA,-0.705383065075111
105,"Macao SAR, China",MAC,2.898056291687695
106,Morocco,MAR,12.150181020034388
107,Moldova,MDA,0.6621779544590822
108,Madagascar,MDG,2.543912126593881
109,Maldives,MDV,-24.089023200865924
110,Mexico,MEX,15.122917485303148
111,Marshall Islands,MHL,36.909299062036176
112,"Macedonia, FYR",MKD,-4.163830162100744
113,Mali,MLI,5.8525248612642
114,Malta,MLT,17.48741941343681
115,Myanmar,MMR,-12.80568799750159
116,Montenegro,MNE,2.046247044125991
117,Mongolia,MNG,9.34036194687171
118,Mozambique,MOZ,2.4639404934656994
119,Mauritania,MRT,12.360349623607902
120,Mauritius,MUS,-24.280966301936246
121,Malawi,MWI,-15.541710998252235
122,Malaysia,MYS,3.910437728926695
123,Namibia,NAM,-8.812114577978555
124,Niger,NER,-15.109979975372482
125,Nigeria,NGA,3.487012272536532
126,Nicaragua,NIC,15.500553560996103
127,Netherlands,NLD,7.028441492654778
128,Norway,NOR,-5.968764748759867
129,Nepal,NPL,-16.66382680114889
130,Nauru,NRU,39.55127349234605
131,New Zealand,NZL,8.049105481890962
132,Oman,OMN,0.7992438677179052
133,Pakistan,PAK,-5.663973971140294
134,Panama,PAN,0.10741816827348316
135,Peru,PER,17.79356706780046
136,Philippines,PHL,-1.249596659178728
137,Palau,PLW,15.181617736960618
138,Papua New Guinea,PNG,-26.321943000278715
139,Poland,POL,-9.97100727106156
140,Puerto Rico,PRI,15.485603990401486
141,Portugal,PRT,-9.13353522852612
142,Paraguay,PRY,2.433490134624556
143,West Bank and Gaza,PSE,33.62999087685067
144,Pacific island small states,PSS,-4.915655992845977
145,Qatar,QAT,-2.8142116543782834
146,Romania,ROU,-12.306128444771232
147,Russian Federation,RUS,5.352459504976991
148,Rwanda,RWA,-16.628065230939033
149,South Asia,SAS,-10.693122885580287
150,Saudi Arabia,SAU,-1.5030719658540477
151,Sudan,SDN,-6.700892113790559
152,Senegal,SEN,8.98182955647409
153,Singapore,SGP,7.364904751314938
154,Solomon Islands,SLB,-12.408951302063883
155,Sierra Leone,SLE,8.353010689576394
156,El Salvador,SLV,21.779833723372917
157,San Marino,SMR,10.102134119816625
158,Serbia,SRB,-6.105174646746484
159,South Sudan,SSD,-15.166171360815486
160,Sub-Saharan Africa,SSF,-0.02748327629055325
161,Sao Tome and Principe,STP,33.22416824897415
162,Suriname,SUR,2.7572625111974958
163,Slovak Republic,SVK,-18.750600154039397
164,Slovenia,SVN,-20.276625273603464
165,Sweden,SWE,3.9582603413966524
166,Eswatini,SWZ,-26.586083044343088
167,Sint Maarten (Dutch part),SXM,23.55178500116834
168,Seychelles,SYC,-14.754974397444137
169,Chad,TCD,-12.028942551112166
170,Togo,TGO,7.2540562448205534
171,Thailand,THA,-16.025259791323883
172,Tajikistan,TJK,-9.370815439193908
173,Turkmenistan,TKM,-13.254607345545004
174,Timor-Leste,TLS,-19.439403186846082
175,Tonga,TON,-19.746711259051615
176,Trinidad and Tobago,TTO,-22.189658660790258
177,Tunisia,TUN,10.55532885544919
178,Turkey,TUR,4.822024933675422
179,Tuvalu,TUV,21.496747118506974
180,Tanzania,TZA,-4.086980743409722
181,Uganda,UGA,-11.38313140846542
182,Ukraine,UKR,19.955171240510005
183,Uruguay,URY,29.20048261706782
184,United States,USA,-3.864341711287082
185,Uzbekistan,UZB,6.356890289788332
186,St. Vincent and the Grenadines,VCT,-5.820156110775557
187,Vietnam,VNM,-10.193925141270029
188,Vanuatu,VUT,-11.605230436905906
189,Samoa,WSM,-25.102043571069913
190,"Yemen, Rep.",YEM,-2.48045324187666
191,South Africa,ZAF,4.173250631254291
192,Zambia,ZMB,3.1088963857721055
193,Zimbabwe,ZWE,-2.5144531366691396
194,Andorra,AND,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,American Samoa,ASM,
239,Bermuda,BMU,
240,Channel Islands,CHI,
241,Cuba,CUB,
242,Curacao,CUW,
243,Djibouti,DJI,
244,Eritrea,ERI,
245,Faroe Islands,FRO,
246,Gibraltar,GIB,
247,Greenland,GRL,
248,Guam,GUM,
249,Isle of Man,IMN,
250,Liechtenstein,LIE,
251,St. Martin (French part),MAF,
252,Monaco,MCO,
253,Northern Mariana Islands,MNP,
254,New Caledonia,NCL,
255,"Korea, Dem. People’s Rep.",PRK,
256,French Polynesia,PYF,
257,Somalia,SOM,
258,Syrian Arab Republic,SYR,
259,Turks and Caicos Islands,TCA,
260,"Venezuela, RB",VEN,
261,British Virgin Islands,VGB,
262,Virgin Islands (U.S.),VIR,
263,Kosovo,XKX,
