,0
0,population
1,migrant_stock
2,gdp_per_capita
3,maternal_mortality_rate
4,life_expectancy
5,hiv_prevalence
6,urbpop
7,lowest_twenty_income_share
8,oda_pct_of_gni
9,net_migration
10,poverty_headcount_ratio_190_2011_ppp
11,access_to_electricity_pct_of_population
12,co2_tons_per_capita
13,mortality_under_5_per_1000_live_births
14,energy_use_per_capita
15,remittances
16,revenue_pct_gdp
17,govt_exp_educ_pct_gdp
18,female_literacy_pct
19,external_debt_pct_GNI
20,fdi_net_current_usd
21,strength_legal_rights_0_12
22,adolescent_fertility_rate
23,fertility_rate
24,female_employment_pct_of_total
25,lowest_ten_income_share
26,highest_ten_income_share
27,trade_pct_gdp
28,use_internet_pct_pop
29,mobile_phone_subscriptions_pct_pop
30,days_required_to_start_business
31,ease_doing_business
32,tax_revenue_pct_gdp
33,net_lending_borrowing_pct_gdp
34,central_govt_debt_pct_gdp
35,risk_premium
36,biodiversity_protected_areas
37,renewable_freshwater_per_capita
38,slum_population_pct_urban_population
39,pm25_pct_population
40,net_fdi
41,literacy_rate
42,gini_coefficient
