,0
0,maternal_mortality_rate
1,life_expectancy
2,hiv_prevalence
3,urbpop
4,lowest_twenty_income_share
5,oda_pct_of_gni
6,net_migration
7,poverty_headcount_ratio_190_2011_ppp
8,access_to_electricity_pct_of_population
9,co2_tons_per_capita
10,mortality_under_5_per_1000_live_births
11,energy_use_per_capita
12,remittances
13,revenue_pct_gdp
14,govt_exp_educ_pct_gdp
15,female_literacy_pct
16,external_debt_pct_GNI
17,fdi_net_current_usd
18,strength_legal_rights_0_12
19,adolescent_fertility_rate
20,fertility_rate
21,female_employment_pct_of_total
22,lowest_ten_income_share
23,highest_ten_income_share
24,trade_pct_gdp
25,use_internet_pct_pop
26,mobile_phone_subscriptions_pct_pop
27,days_required_to_start_business
28,ease_doing_business
29,tax_revenue_pct_gdp
30,net_lending_borrowing_pct_gdp
31,central_govt_debt_pct_gdpll
32,risk_premium
33,biodiversity_protected_areas
34,renewable_freshwater_per_capita
35,slum_population_pct_urban_population
36,pm25_pct_population
