,country,country_code,gdp_per_capita,population,migrant_stock,maternal_mortality_rate,life_expectancy,hiv_prevalence,urbpop,lowest_twenty_income_share,oda_pct_of_gni,net_migration,poverty_headcount_ratio_190_2011_ppp,access_to_electricity_pct_of_population,co2_tons_per_capita,mortality_under_5_per_1000_live_births,energy_use_per_capita,remittances,revenue_pct_gdp,govt_exp_educ_pct_gdp,female_literacy_pct,external_debt_pct_GNI,fdi_net_current_usd,strength_legal_rights_0_12,adolescent_fertility_rate,fertility_rate,female_employment_pct_of_total,lowest_ten_income_share,highest_ten_income_share,trade_pct_gdp,use_internet_pct_pop,mobile_phone_subscriptions_pct_pop,days_required_to_start_business,ease_doing_business,tax_revenue_pct_gdp,net_lending_borrowing_pct_gdp,central_govt_debt_pct_gdp,risk_premium,biodiversity_protected_areas,renewable_freshwater_per_capita,slum_population_pct_urban_population,pm25_pct_population,net_fdi,literacy_rate,gini_coefficient,Unnamed: 0_x,migrant_stock_resid,Unnamed: 0_y,maternal_mortality_rate_resid,Unnamed: 0_x,life_expectancy_resid,Unnamed: 0_y,hiv_prevalence_resid,Unnamed: 0_x,urbpop_resid,Unnamed: 0_y,lowest_twenty_income_share_resid,Unnamed: 0_x,oda_pct_of_gni_resid,Unnamed: 0_y,net_migration_resid,Unnamed: 0_x,poverty_headcount_ratio_190_2011_ppp_resid,Unnamed: 0_y,access_to_electricity_pct_of_population_resid,Unnamed: 0_x,co2_tons_per_capita_resid,Unnamed: 0_y,mortality_under_5_per_1000_live_births_resid,Unnamed: 0_x,energy_use_per_capita_resid,Unnamed: 0_y,remittances_resid,Unnamed: 0_x,revenue_pct_gdp_resid,Unnamed: 0_y,govt_exp_educ_pct_gdp_resid,Unnamed: 0_x,female_literacy_pct_resid,Unnamed: 0_y,external_debt_pct_GNI_resid,Unnamed: 0_x,fdi_net_current_usd_resid,Unnamed: 0_y,strength_legal_rights_0_12_resid,Unnamed: 0_x,adolescent_fertility_rate_resid,Unnamed: 0_y,fertility_rate_resid,Unnamed: 0_x,female_employment_pct_of_total_resid,Unnamed: 0_y,lowest_ten_income_share_resid,Unnamed: 0_x,highest_ten_income_share_resid,Unnamed: 0_y,trade_pct_gdp_resid,Unnamed: 0_x,use_internet_pct_pop_resid,Unnamed: 0_y,mobile_phone_subscriptions_pct_pop_resid,Unnamed: 0_x,days_required_to_start_business_resid,Unnamed: 0_y,ease_doing_business_resid,Unnamed: 0_x,tax_revenue_pct_gdp_resid,Unnamed: 0_y,net_lending_borrowing_pct_gdp_resid,Unnamed: 0_x,central_govt_debt_pct_gdp_resid,Unnamed: 0_y,risk_premium_resid,Unnamed: 0_x,biodiversity_protected_areas_resid,Unnamed: 0_y,renewable_freshwater_per_capita_resid,Unnamed: 0_x,slum_population_pct_urban_population_resid,Unnamed: 0_y,pm25_pct_population_resid,Unnamed: 0_x,net_fdi_resid,Unnamed: 0_y,literacy_rate_resid,Unnamed: 0,gini_coefficient_resid
0,Aruba,ABW,38137.3335784175,104341.0,34.7621018587146,,75.725,,43.108,,,1004.0,,95.2381820678711,8.408362637892,,,8083713.40782122,,6.47906,,,-28775856.424581,,24.261,1.801,,,,145.24699045247,88.66122693249598,135.133840005367,,,,,,,0.527983104540655,,,,39290644.13407821,,,0,23.42154020647212,176,,0,-3.5999273019254048,132,,0,-35.326238879265205,67,,133,,0,-71709.15318775311,68,,0,-4.499367989842014,0,1.4399482717604757,184,,130,,0,-1247476443.6580331,121,,0,1.161809490052673,37,,116,,0,-9578573282.046064,184,,0,9.057633637517617,0,0.05961474109683995,175,,67,,67,,0,51.471179065810794,0,10.212262760608908,0,8.153954488568289,184,,184,,121,,116,,46,,69,,0,-10.97139558103727,174,,80,,180,,0,182224594.45502093,37,,66,
1,Afghanistan,AFG,1918.9384591395606,33736494.0,1.17554692684705,396.0,63.288,,24.803,,21.243960938697604,-299999.0,,71.5,0.29944499087551696,73.1,,341311420.486348,10.1311181683697,3.24202,,12.9987650001512,169146608.0,9.0,73.1264,4.802,16.7519165613063,,,55.1255265979591,8.26,58.420528226792,8.5,167.0,7.58538233129798,-1.28044038464162,,,0.104707040342723,1439.3421824640195,62.7,100.0,-170481690.268359,,,1,-0.7268084501280054,0,56.54566533293404,1,0.07812820487472294,133,,1,-9.28102222018924,68,,0,14.285006353021474,1,-249804.0619395825,69,,1,20.472734814447122,1,-0.008446369527960296,0,12.426352563265574,131,,1,-291112346.8442776,0,-9.44235073685734,1,-1.127055472362831,38,,0,-21.604179778426317,1,-442347993.11963063,0,3.6616572442488833,1,-10.763556261971829,1,0.39251430360064177,0,-29.62093686716206,68,,68,,1,-14.3286999049353,1,-5.279529484324991,1,-10.968450036157307,0,-8.29831976420278,0,20.515642595755708,0,-8.246325181292747,0,0.9584408102436809,47,,70,,1,-10.03947605863643,0,-2392.094193464139,0,-1.4557304543373704,0,0.00021244324774727372,1,387398179.4687021,38,,67,
2,Angola,AGO,7082.24117532182,27859305.0,0.427004679966497,477.0,61.24100000000001,1.9,63.44600000000001,,0.344612753685719,0.0,,42.0,1.29132831504477,88.9,545.040490755249,11114711.6,18.7766451748876,,,28.942173217023,9282167512.38257,1.0,157.3554,5.766,50.0786951160007,,,62.888520784974396,12.4,49.838041544826794,36.0,173.0,11.002019136671601,-6.116515006335732,,9.67804295543776,5.00471334206571,5497.67600605428,55.5,100.0,-8235471070.507879,,,2,-2.194532439133035,1,293.12954137034706,2,-7.467729295728795,0,1.297088985907985,2,16.257565825510813,69,,1,-2.06358095473203,2,43026.580109516966,70,,2,-30.97648318464742,2,-0.09728105705963452,1,51.18164171475119,0,-192.4675929025459,2,-902488869.3414428,1,-2.8361745368697378,105,,39,,1,-18.75946380287297,2,8426883472.189399,1,-3.9024986869344107,2,96.92094944644906,2,2.5016978190116506,1,6.416013943086313,69,,69,,2,-14.14545489520632,2,-18.54899613978505,2,-41.75785789616712,1,18.047158016190178,1,54.522368038977184,1,-4.857589997494854,1,-3.713687726323384,48,,0,3.1078738315989645,2,-3.6843556067342997,1,1781.4663804773706,1,22.007916639250244,1,0.005751532426842232,2,-7540983293.852884,39,,68,
3,Albania,ALB,11661.981184261002,2880703.0,1.98903641031678,29.0,78.17399999999998,0.1,57.434,,2.8950340706142,-40000.0,,100.0,1.97876331208568,9.4,808.4558395959441,1290350891.31656,24.738150200759,3.4379699999999995,,71.2313001644357,989278987.84631,6.0,20.6922,1.714,42.072863803276,,,71.8010161004583,63.252932696931,116.337512554082,5.0,63.0,18.515789855309894,-3.02836282608953,79.8644181475793,5.985732146559348,13.147749461773401,9310.84516168334,,100.0,-910000289.950418,,,3,-1.5024741474674606,2,-52.990500542552034,3,5.588644354157849,1,-0.3513880224429401,3,-0.8446606868658506,70,,2,1.4316821805544893,3,-8474.855262234109,71,,3,8.322229409488287,3,-0.42449953194964973,2,-12.809408302014115,1,-301.3498333528087,3,261181489.40123615,2,1.2932627499674645,2,-1.1144614601027194,40,,2,25.032637651735392,3,-99912943.94354856,2,1.4544223420189573,3,-23.256414758049328,3,-0.6810953391785199,2,-0.2304985922617817,70,,70,,3,-10.585842186565074,3,18.373273650694152,3,6.628644914232112,2,-13.852518090994543,2,-35.803909127609096,2,2.624991683328089,2,-0.5194104085473099,0,29.576979134974714,1,1.085276181478343,3,5.297346386037665,2,5938.20482238188,81,,2,0.008383744641093926,3,-78618846.00367343,40,,69,
4,Andorra,AND,,78014.0,59.713649198984,,,,88.345,,,,,100.0,5.8321699506456515,3.5,,,,3.25368,,,,,,,,,,,96.91,91.43999794908608,,,,,,,21.1909302818394,3983.69160471075,,100.0,,,,190,,177,,182,,134,,190,,71,,134,,181,,72,,191,,187,,185,,132,,176,,122,,106,,41,,117,,189,,185,,181,,183,,176,,71,,71,,182,,186,,189,,185,,185,,122,,117,,49,,71,,186,,175,,82,,181,,173,,41,,70,
5,United Arab Emirates,ARE,70887.3907270642,9154302.0,88.40404837280659,6.0,77.101,,85.67399999999998,,,301000.0,,100.0,23.302022507881603,8.7,7769.23473798039,,3.53040660735708,,,,8550901846.585391,2.0,28.0758,1.765,11.996614045630901,,,175.221307567909,90.5,196.001399123603,8.2,11.0,0.0577340241915802,-0.00687213863368971,,,9.235667522336973,16.536456768685902,,100.0,,,,4,58.42597008983893,3,-0.2698070319167485,4,-4.018535161407769,135,,4,-3.4717908718804296,72,,135,,4,164147.4596152415,73,,4,-0.0611793841540873,4,11.212892732253092,3,4.25874266288769,2,-0.4584893314740839,177,,3,-28.28962675605448,107,,42,,118,,4,-17344638485.209633,3,-2.721132714058164,4,20.758660817430798,4,0.101876301380059,3,-34.036596229042324,72,,72,,4,72.38034853655567,4,4.2488876827252255,4,63.70839007320382,3,-1.1149922945723691,3,-20.493522801749293,3,-19.36693192545442,3,-0.17668620292299353,50,,72,,4,-2.4579598115491135,3,-3864.1377678593535,83,,3,-0.09748847060591004,174,,42,,71,
6,Argentina,ARG,20356.9155095569,43417765.0,4.80529233472193,52.0,76.415,0.4,91.503,,-0.00323329341821504,24002.0,,99.99520874023442,4.74679745467325,11.4,2015.1870402892998,494433532.139966,22.1490803040164,5.77611,99.20877,,11758994011.286,3.0,63.2644,2.3080000000000003,40.90243773897721,,,22.4862260889792,68.0430641088122,142.434809806539,24.5,119.0,12.3365069418291,-3.3901103471953498,,,7.52859334896618,6793.61814026332,16.7,98.322282,-10883760783.9318,99.17995999999992,,5,-1.2159524033169982,4,15.702334068975894,5,1.2575325211309265,2,-0.015050825979227024,5,26.010057181096805,73,,3,-0.35626892631329393,5,29965.840701211484,74,,5,1.4044226732671348,5,0.7715336985752912,4,-0.9872053434607544,3,203.6157642580322,4,-490302437.9851873,4,-5.6458302487898875,3,1.2297993726784309,0,3.423098077948396,119,,5,9306218448.490402,4,-2.0090756850687974,5,31.17959788929632,5,0.3718746129387121,4,-2.7796011145302657,73,,73,,5,-68.33622776644069,5,7.643865828827338,5,17.342985590024398,4,8.520298290132487,4,45.97188099839731,4,-4.527632716619888,4,-1.0035291899994363,51,,73,,5,-1.209850172212282,4,3040.8186095674473,2,-4.770962256531603,4,-1.673617393340109,4,-9979094463.273077,0,2.741930244764504,72,
7,Armenia,ARM,8727.55832503575,2916950.0,6.33589288838696,25.0,74.445,0.2,63.085,8.2,3.1599943559622403,-24989.0,1.9,100.0,1.9027589101995,14.0,1018.0712403052803,1491475903.47047,23.0924926716717,2.80591,,81.21899350625179,178295867.11618,4.0,24.785,1.622,46.71852583971379,3.4,26.7,71.5932653468932,59.102377714878905,118.770976533708,4.5,41.0,20.931220827140997,-4.70036885380563,,4.6945428177529,23.1090030789546,2360.1103839351504,14.4,100.0,-161524903.881975,,32.4,6,3.4480463186086534,5,-110.17400574135591,6,4.101128091501252,3,-0.2833869519843405,6,11.784146257746796,0,2.055918814673328,4,1.1756073553838016,6,15207.613716736378,0,-5.321463603048446,6,20.196171222112863,6,0.16218364606621916,5,-16.598594244402964,4,147.4200654611594,5,497495018.90327734,5,0.8257141163384318,4,-1.6993710863788234,43,,3,32.18201977864083,6,-756541075.6438115,5,-0.760475467097379,6,-28.644174094234184,6,-1.2962954967873959,5,3.7940194833919207,0,1.0424946003603694,0,-3.729906605392273,6,-7.647339205883384,6,22.835306619449486,6,20.364818885588306,5,-13.848620733641136,5,-69.36280334112114,5,5.070873674461425,5,-2.254617847215647,52,,2,-1.1896315931948207,6,14.83142205463948,5,-1275.9190511174804,3,-15.530816896128073,5,0.007500758841700872,5,580243657.3526659,43,,0,-6.948154965805316
8,American Samoa,ASM,,55537.0,41.8020094349815,,,,87.238,,,,,,,,,,,,,,,,,,,,,163.993948562784,,,,,,,,,8.708521752632379,,,0.0,,,,191,,178,,183,,136,,191,,74,,136,,182,,75,,192,,188,,186,,133,,178,,123,,108,,44,,120,,190,,186,,182,,184,,177,,74,,74,,183,,187,,190,,186,,186,,123,,118,,53,,74,,187,,176,,84,,182,,175,,44,,73,
9,Antigua and Barbuda,ATG,21364.5928083161,99923.0,30.5855061099131,,76.207,,25.0,,0.115828377605863,-56.0,,96.8262939453125,5.377648546144121,8.0,,31244412.2632378,,,99.42,,107460503.54774,5.0,45.813,2.063,,,,93.6295425365057,70.0,176.135624430812,22.0,112.0,,,,4.84008333333333,0.271690243750207,525.916561314791,,100.0,-94066681.06625848,98.95,,7,24.27158817911167,179,,7,0.7516253431512183,137,,7,-41.08862772855547,75,,5,-0.14467280205126665,7,2313.645436541028,76,,7,-1.923610922557728,7,1.2360569880814871,6,-3.7153736876762067,134,,6,-952386163.1324136,124,,109,,1,3.3899551603611258,121,,7,-2632262799.442316,6,-0.056731532695381226,7,15.17335772280217,7,0.15942101245205453,178,,75,,75,,7,1.3616322492169814,7,8.257598349175732,7,50.73619861631517,6,6.263357858531933,6,41.13255719254464,124,,119,,54,,3,0.9380944342393996,7,-8.519879002418984,6,-3204.062730467855,85,,6,0.002973841802756283,6,762756347.4229691,1,2.2495686339855894,74,
