"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.07136","","","","","","","","","","96.71978","","","","","","","","",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.61206","","","","","","","",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.19449","","","","","","","","","","","","","53.40721","","","","",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.25227","","","","","","","94.68181","","","95.69148","96.13607","","","","","","",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","31.01895","31.57827","32.19625","32.85947","33.67137","34.13457","35.12616","36.00738","37.03605","37.81384","38.87402","39.90322","40.99125","42.16432","43.30986","43.58525","44.71131","45.78087","47.67156","48.52052","49.938","51.27002","52.76005","53.85793","55.26776","57.63776","58.95416","52.39496","58.70964","59.13446","60.5038","58.9337","60.22807","62.32558","63.69985","64.176","64.81879","65.35713","65.95265","","",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.12487","","","","","","","","","","68.66128","","","","","","","","","","","","","","","","","","","","91.47475","","","","","","","","","","","","","",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.58089","","","","","","","","","","","96.04136","","","","","","","","","","97.19341","","","","","98.5107699999999","","","99.00176","98.92807","98.99984","99.09995","99.09121","98.93282","99.20877","99.1431","","",
"Armenia","ARM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1501399999999","","","","","","","","","","","","99.16107","","","","","","","","","","99.69035","","","","","","","",
"American Samoa","ASM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","97.21991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.42","","","","","","","","","","","","","","99.42","","","",
"Australia","AUS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.17478","","","","","","","","99.39788","","99.6821499999999","99.6926299999999","99.70496","99.70286","99.71682","99.71966","99.71714","99.71955","","",
"Burundi","BDI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","11.98357","","","","","","","","","","","27.5293","","","","","","","","","","52.23776","","","","","","","","43.15719","","","","","","54.66303","","","","",
"Belgium","BEL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","9.53908","","","","","","","","","","","","","16.56524","","","","","","","","","","23.30014","","","","18.44291","","","","","","22.09388","","","","","","",
