country,country_code,access_to_electricity_pct_of_population
Aruba,ABW,95.2381820678711
Afghanistan,AFG,71.5
Angola,AGO,42.0
Albania,ALB,100.0
Andorra,AND,100.0
Arab World,ARB,88.5179673938546
United Arab Emirates,ARE,100.0
Argentina,ARG,99.99520874023442
Armenia,ARM,100.0
American Samoa,ASM,
Antigua and Barbuda,ATG,96.8262939453125
Australia,AUS,100.0
Austria,AUT,100.0
Azerbaijan,AZE,100.0
Burundi,BDI,7.25208950042725
Belgium,BEL,100.0
Benin,BEN,40.033477783203104
Burkina Faso,BFA,18.4700813293457
Bangladesh,BGD,68.20468139648439
Bulgaria,BGR,100.0
Bahrain,BHR,100.0
"Bahamas, The",BHS,100.0
Bosnia and Herzegovina,BIH,100.0
Belarus,BLR,100.0
Belize,BLZ,91.8
Bermuda,BMU,100.0
Bolivia,BOL,91.52282199999999
Brazil,BRA,99.710902
Barbados,BRB,100.0
Brunei Darussalam,BRN,100.0
Bhutan,BTN,98.42352294921879
Botswana,BWA,58.528751373290994
Central African Republic,CAF,13.384423255920401
Canada,CAN,100.0
Central Europe and the Baltics,CEB,100.0
Switzerland,CHE,100.0
Channel Islands,CHI,100.0
Chile,CHL,99.714844
China,CHN,100.0
Cote d'Ivoire,CIV,64.0861968994141
Cameroon,CMR,58.8651008605957
"Congo, Dem. Rep.",COD,16.4191646575928
"Congo, Rep.",COG,60.4
Colombia,COL,98.186898
Comoros,COM,75.3807144165039
Cabo Verde,CPV,90.24390411376949
Costa Rica,CRI,99.40980400000001
Caribbean small states,CSS,95.568684039554
Cuba,CUB,100.0
Curacao,CUW,100.0
Cayman Islands,CYM,100.0
Cyprus,CYP,100.0
Czech Republic,CZE,100.0
Germany,DEU,100.0
Djibouti,DJI,52.0257759094238
Dominica,DMA,99.9029693603516
Denmark,DNK,100.0
Dominican Republic,DOM,98.560364
Algeria,DZA,99.3367080688477
East Asia & Pacific (excluding high income),EAP,96.53323787988319
Early-demographic dividend,EAR,86.9726148651367
East Asia & Pacific,EAS,96.8726586624057
Europe & Central Asia (excluding high income),ECA,99.99823159955471
Europe & Central Asia,ECS,99.9991994861266
Ecuador,ECU,98.82588299999999
"Egypt, Arab Rep.",EGY,100.0
Euro area,EMU,100.0
Eritrea,ERI,45.5133209228516
Spain,ESP,100.0
Estonia,EST,100.0
Ethiopia,ETH,33.418590545654304
European Union,EUU,100.0
Fragile and conflict affected situations,FCS,48.0382826810157
Finland,FIN,100.0
Fiji,FJI,97.1194915771484
France,FRA,100.0
Faroe Islands,FRO,100.0
"Micronesia, Fed. Sts.",FSM,73.5542297363281
Gabon,GAB,90.3074722290039
United Kingdom,GBR,100.0
Georgia,GEO,99.99349975585942
Ghana,GHA,75.7152786254883
Gibraltar,GIB,100.0
Guinea,GIN,30.9631519317627
"Gambia, The",GMB,46.486663818359396
Guinea-Bissau,GNB,14.0046701431274
Equatorial Guinea,GNQ,67.473747253418
Greece,GRC,100.0
Grenada,GRD,91.8716888427734
Greenland,GRL,100.0
Guatemala,GTM,90.5062942504883
Guam,GUM,100.0
Guyana,GUY,83.5683517456055
High income,HIC,99.9688142637102
"Hong Kong SAR, China",HKG,100.0
Honduras,HND,89.98170999999999
Heavily indebted poor countries (HIPC),HPC,34.4606830339687
Croatia,HRV,100.0
Haiti,HTI,38.2211265563965
Hungary,HUN,100.0
IBRD only,IBD,95.43290453222771
IDA & IBRD total,IBT,84.92723523161371
IDA total,IDA,53.0596217061182
IDA blend,IDB,69.5750644432437
Indonesia,IDN,97.53736743698221
IDA only,IDX,44.852746959796804
Isle of Man,IMN,100.0
India,IND,88.0
Not classified,INX,
Ireland,IRL,100.0
"Iran, Islamic Rep.",IRN,99.9750518798828
Iraq,IRQ,99.8621826171875
Iceland,ISL,100.0
Israel,ISR,100.0
Italy,ITA,100.0
Jamaica,JAM,97.2788848876953
Jordan,JOR,99.99832153320308
Japan,JPN,100.0
Kazakhstan,KAZ,100.0
Kenya,KEN,41.6
Kyrgyz Republic,KGZ,99.90655517578129
Cambodia,KHM,47.565738677978494
Kiribati,KIR,90.5581814089579
St. Kitts and Nevis,KNA,99.9300155639648
"Korea, Rep.",KOR,100.0
Kuwait,KWT,100.0
Latin America & Caribbean (excluding high income),LAC,96.9512781330594
Lao PDR,LAO,89.7
Lebanon,LBN,100.0
Liberia,LBR,13.840091705322301
Libya,LBY,98.5287628173828
St. Lucia,LCA,97.16307830810551
Latin America & Caribbean,LCN,97.2527559213125
Least developed countries: UN classification,LDC,40.679390936781395
Low income,LIC,34.3925841090338
Liechtenstein,LIE,100.0
Sri Lanka,LKA,93.88990020751949
Lower middle income,LMC,83.5160467167243
Low & middle income,LMY,84.49944647853741
Lesotho,LSO,27.9232387542725
Late-demographic dividend,LTE,99.11703434120341
Lithuania,LTU,100.0
Luxembourg,LUX,100.0
Latvia,LVA,100.0
"Macao SAR, China",MAC,100.0
St. Martin (French part),MAF,70.75880432128909
Morocco,MAR,99.5860137939453
Monaco,MCO,100.0
Moldova,MDA,100.0
Madagascar,MDG,19.0350608825684
Maldives,MDV,99.99401092529301
Middle East & North Africa,MEA,97.87859213972759
Mexico,MEX,99.0
Marshall Islands,MHL,91.5148773193359
Middle income,MIC,90.881637833171
"Macedonia, FYR",MKD,100.0
Mali,MLI,37.6
Malta,MLT,100.0
Myanmar,MMR,60.5
Middle East & North Africa (excluding high income),MNA,97.5233842703631
Montenegro,MNE,99.9991607666016
Mongolia,MNG,81.1916275024414
Northern Mariana Islands,MNP,100.0
Mozambique,MOZ,24.0
Mauritania,MRT,39.5
Mauritius,MUS,98.7412567138672
Malawi,MWI,10.8
Malaysia,MYS,99.9985885620117
North America,NAC,100.0
Namibia,NAM,50.7034301757813
New Caledonia,NCL,100.0
Niger,NER,16.6
Nigeria,NGA,52.5
Nicaragua,NIC,81.1631393432617
Netherlands,NLD,100.0
Norway,NOR,100.0
Nepal,NPL,87.213623046875
Nauru,NRU,99.0
New Zealand,NZL,100.0
OECD members,OED,99.8980488141995
Oman,OMN,100.0
