country,country_code,adolescent_fertility_rate_resid
Aruba,ABW,8.112850365684299
Afghanistan,AFG,-16.46484340458639
Angola,AGO,95.32864856135822
Albania,ALB,-24.012795937693348
Arab World,ARB,9.388138022878458
United Arab Emirates,ARE,20.891619629896617
Argentina,ARG,30.25806895802191
Armenia,ARM,-28.980058200792367
Antigua and Barbuda,ATG,14.269622824408788
Australia,AUS,1.46796213105954
Austria,AUT,-3.5606735136976315
Azerbaijan,AZE,14.880557345127585
Burundi,BDI,-68.18801044725043
Belgium,BEL,-7.129025541838223
Benin,BEN,1.7199433461544373
Burkina Faso,BFA,17.93264971115562
Bangladesh,BGD,3.5722024608932657
Bulgaria,BGR,4.858537232479506
Bahrain,BHR,1.611181588060262
"Bahamas, The",BHS,6.754306597632713
Bosnia and Herzegovina,BIH,-33.89164536971931
Belarus,BLR,-17.21476212332375
Belize,BLZ,11.245256460972982
Bolivia,BOL,7.2450870220040215
Brazil,BRA,24.188110079350054
Barbados,BRB,3.9306614928155525
Brunei Darussalam,BRN,4.907673343674753
Bhutan,BTN,-32.32983016733033
Botswana,BWA,-5.694750539832235
Central African Republic,CAF,11.00199185327891
Canada,CAN,-2.568274441888313
Central Europe and the Baltics,CEB,-6.613786172237969
Switzerland,CHE,-4.8794482392793235
Chile,CHL,17.82528979618932
China,CHN,-34.18887419028613
Cote d'Ivoire,CIV,52.95870056981259
Cameroon,CMR,31.036301056879182
"Congo, Dem. Rep.",COD,30.672678923497017
"Congo, Rep.",COG,48.27281531724046
Colombia,COL,9.981359574695531
Comoros,COM,-16.48461596197845
Cabo Verde,CPV,9.677248803731388
Costa Rica,CRI,16.173745717244344
Caribbean small states,CSS,14.667811927945728
Cyprus,CYP,-16.422444906593107
Czech Republic,CZE,-9.19099026784161
Germany,DEU,-4.535372940992353
Denmark,DNK,-7.176430184524592
Dominican Republic,DOM,56.242720601043416
Algeria,DZA,-29.93164107895899
East Asia & Pacific (excluding high income),EAP,-19.954129680875837
Early-demographic dividend,EAR,-11.411368714651282
East Asia & Pacific,EAS,-17.97065442640325
Europe & Central Asia (excluding high income),ECA,-8.1703004047735
Europe & Central Asia,ECS,-4.207136753472401
Ecuador,ECU,30.122083854791086
"Egypt, Arab Rep.",EGY,5.150996538238736
Euro area,EMU,-6.5499125919028085
Spain,ESP,-9.77334126542057
Estonia,EST,-9.75970573634011
Ethiopia,ETH,-23.95747446732767
European Union,EUU,-5.043223590327358
Fragile and conflict affected situations,FCS,11.63571756853571
Finland,FIN,-6.795839635016064
Fiji,FJI,-8.747323735030179
France,FRA,-5.6379474534111065
"Micronesia, Fed. Sts.",FSM,-65.15360487541146
Gabon,GAB,65.0628237737574
United Kingdom,GBR,0.5324491249399284
Georgia,GEO,-1.5030025010522365
Ghana,GHA,-9.073895636302169
Guinea,GIN,49.67194519466864
"Gambia, The",GMB,-6.3444252890489565
