country,asylum_seekers,idps,refugees
Afghanistan,82.0,1174306.0,257554.0
Albania,830.0,0.0,104.0
Algeria,6593.0,0.0,94182.0
Angola,30143.0,0.0,15555.0
Anguilla,0.0,0.0,1.0
Antigua and Barbuda,0.0,0.0,15.0
Argentina,1077.0,0.0,3207.0
Armenia,66.0,0.0,19319.0
Aruba,0.0,0.0,2.0
Australia,20677.0,0.0,36917.0
Austria,80075.0,0.0,72216.0
Azerbaijan,220.0,618220.0,1278.0
Bahamas,21.0,0.0,8.0
Bahrain,113.0,0.0,247.0
Bangladesh,0.0,0.0,231958.0
Belarus,279.0,0.0,1809.0
Belgium,36009.0,0.0,35314.0
Belize,720.0,0.0,35.0
Benin,178.0,0.0,530.0
Bolivia (Plurinational State of),0.0,0.0,775.0
Bosnia and Herzegovina,23.0,98324.0,6798.0
Botswana,135.0,0.0,2130.0
Brazil,20815.0,0.0,8707.0
Brunei Darussalam,0.0,0.0,0.0
Bulgaria,9499.0,0.0,16557.0
Burkina Faso,143.0,0.0,34017.0
Burundi,2931.0,25000.0,53363.0
Cabo Verde,0.0,0.0,0.0
Cambodia,27.0,0.0,76.0
Cameroon,5373.0,92657.0,342973.0
Canada,19642.0,0.0,135888.0
Cayman Islands,4.0,0.0,12.0
Central African Rep.,334.0,216392.0,7330.0
Chad,2898.0,51999.0,369540.0
Chile,1064.0,0.0,1849.0
China,677.0,0.0,301052.0
China HK,2315.0,0.0,133.0
China Macao,7.0,0.0,0.0
Colombia,115.0,6939067.0,226.0
Congo,4342.0,0.0,44955.0
Costa Rica,3283.0,0.0,3616.0
Croatia,53.0,0.0,522.0
Cte d'Ivoire,649.0,308272.0,1980.0
Cuba,25.0,0.0,303.0
Curaao,30.0,0.0,48.0
Cyprus,2252.0,0.0,7067.0
Czech Rep.,659.0,0.0,3644.0
Dem. People's Rep. of Korea,0.0,0.0,0.0
Dem. Rep. of the Congo,983.0,1555112.0,383095.0
Denmark,2948.0,0.0,27326.0
Djibouti,2641.0,0.0,19365.0
Dominican Rep.,758.0,0.0,615.0
Ecuador,11583.0,0.0,121535.0
Egypt,38171.0,0.0,212500.0
El Salvador,1.0,0.0,48.0
Eritrea,1.0,0.0,2549.0
Estonia,86.0,0.0,168.0
Ethiopia,2131.0,0.0,736086.0
Fiji,8.0,0.0,12.0
Finland,24366.0,0.0,12703.0
France,63057.0,0.0,273126.0
Gabon,1941.0,0.0,943.0
Gambia,0.0,0.0,7854.0
Georgia,733.0,268416.0,1979.0
Germany,420625.0,0.0,316115.0
Ghana,1859.0,0.0,17406.0
Greece,26141.0,0.0,24838.0
Grenada,0.0,0.0,1.0
Guatemala,125.0,0.0,226.0
Guinea,198.0,0.0,8839.0
Guinea-Bissau,123.0,0.0,8684.0
Guyana,1.0,0.0,11.0
Haiti,11.0,0.0,3.0
Honduras,9.0,174000.0,30.0
Hungary,36693.0,0.0,4393.0
