country,country_code,central_govt_debt_pct_gdp_resid
Albania,ALB,31.072323061384814
Australia,AUS,-19.090727491603765
"Bahamas, The",BHS,-5.94377948307536
Belarus,BLR,-6.594246702698705
Brazil,BRA,22.76949195526752
Barbados,BRB,101.57360842925198
Bhutan,BTN,43.54112218904686
Botswana,BWA,-26.52122357379018
Switzerland,CHE,-57.7666575749266
Colombia,COL,18.53273070947828
Europe & Central Asia (excluding high income),ECA,-21.57502355857363
Spain,ESP,45.22907470626082
"Micronesia, Fed. Sts.",FSM,-15.357054181181304
United Kingdom,GBR,41.82346480071915
Georgia,GEO,-7.022156626862454
Guatemala,GTM,-24.700366513133805
Hungary,HUN,48.97382311103541
Indonesia,IDN,-18.364735281386547
Ireland,IRL,6.397052070480328
Iraq,IRQ,-18.983402120400804
Jamaica,JAM,76.67557930723831
Japan,JPN,132.2216417433699
Kazakhstan,KAZ,-27.384948889361826
Kyrgyz Republic,KGZ,27.057468812149637
"Korea, Rep.",KOR,-20.108226590222202
Sri Lanka,LKA,28.83746918127777
Moldova,MDA,-21.136787488921897
Marshall Islands,MHL,2.8280758735600813
Malawi,MWI,-3.9791520596008993
Malaysia,MYS,5.6477293459163675
North America,NAC,25.612345585901096
New Zealand,NZL,-19.94408742969223
Peru,PER,-26.30067244976312
Palau,PLW,15.029012930171305
Papua New Guinea,PNG,-14.382649965068364
Russian Federation,RUS,-32.87941810866942
Singapore,SGP,8.889291252132523
Solomon Islands,SLB,-36.876272796458785
El Salvador,SLV,4.3035852131673735
San Marino,SMR,-22.77556152416865
Seychelles,SYC,14.824894810611319
Europe & Central Asia (IDA & IBRD countries),TEC,-21.2947431233444
Thailand,THA,-9.080954285414165
Turkey,TUR,-17.274282790158477
Ukraine,UKR,22.502560065438708
Uruguay,URY,7.21858040587373
United States,USA,24.62402658523837
Samoa,WSM,10.880165139521274
Zambia,ZMB,3.7193037051085938
