country,country_code,co2_tons_per_capita_resid
Aruba,ABW,1.1594572617984245
Afghanistan,AFG,0.029849175760389035
Angola,AGO,-0.2817250944800638
Albania,ALB,-0.8260884504885209
Arab World,ARB,0.9794227869782106
United Arab Emirates,ARE,11.207949165671044
Argentina,ARG,0.23147904709872336
Armenia,ARM,-0.09266428421424422
Antigua and Barbuda,ATG,0.7113815093244789
Australia,AUS,6.9955943237223135
Austria,AUT,-2.021736196332764
Azerbaijan,AZE,-0.1840113462498305
Burundi,BDI,0.06255110574828562
Belgium,BEL,0.066944789103351
Benin,BEN,0.29557085397301014
Burkina Faso,BFA,-0.053123519833094685
Bangladesh,BGD,-0.16421149491761833
Bulgaria,BGR,1.6939335467943009
Bahrain,BHR,14.996933428583723
"Bahamas, The",BHS,0.23915477373655136
Bosnia and Herzegovina,BIH,3.433222989526654
Belarus,BLR,2.499633460123497
Belize,BLZ,-0.5378719595932089
Bolivia,BOL,0.39188860942065373
Brazil,BRA,-1.1507966167985306
Barbados,BRB,0.4129823014697802
Brunei Darussalam,BRN,8.702335024028192
Bhutan,BTN,-0.5831749906235086
Botswana,BWA,-0.5712571710849876
Central African Republic,CAF,0.10867937210017836
Canada,CAN,6.963700742683498
Central Europe and the Baltics,CEB,0.7902271675338195
Switzerland,CHE,-6.633145989812602
Chile,CHL,-0.1899062994340195
China,CHN,4.0353734837153095
Cote d'Ivoire,CIV,-0.1622695970833869
Cameroon,CMR,-0.35022707776326234
"Congo, Dem. Rep.",COD,0.055196015768825164
"Congo, Rep.",COG,-0.6364806224798358
Colombia,COL,-1.5940793081201343
Comoros,COM,-0.25047813282527265
Cabo Verde,CPV,-0.4394380545859625
Costa Rica,CRI,-2.121300071960141
Caribbean small states,CSS,5.110989929932824
Cayman Islands,CYM,-0.3515581942334638
Cyprus,CYP,-1.0231627153634468
Czech Republic,CZE,2.5882251692986955
Germany,DEU,0.29048377224889954
Dominica,DMA,-0.6311738648468952
Denmark,DNK,-2.7852044820292674
Dominican Republic,DOM,-1.3977896092867224
Algeria,DZA,0.17535249803461683
East Asia & Pacific (excluding high income),EAP,2.6167991718881023
Early-demographic dividend,EAR,0.2872902738944485
East Asia & Pacific,EAS,2.4569148024493708
Europe & Central Asia (excluding high income),ECA,3.0880437053882517
Europe & Central Asia,ECS,0.7668849986136177
Ecuador,ECU,0.018960415546364295
"Egypt, Arab Rep.",EGY,-0.343814791428497
Euro area,EMU,-1.152189386652351
Spain,ESP,-1.743881872807707
Estonia,EST,9.017759765212755
Ethiopia,ETH,-0.07929404706705154
European Union,EUU,-0.91527108177947
Fragile and conflict affected situations,FCS,0.05121827350199015
Finland,FIN,0.8666254137900928
Fiji,FJI,-0.751935437155232
France,FRA,-3.0120548419964592
"Micronesia, Fed. Sts.",FSM,0.7850366454583934
Gabon,GAB,-1.3691485538949126
United Kingdom,GBR,-1.2284532845865543
Georgia,GEO,0.18664112150100864
Ghana,GHA,-0.27170878670333687
Guinea,GIN,-0.050521573280286114
"Gambia, The",GMB,0.06147049451379824
Guinea-Bissau,GNB,-0.018274522742476818
Equatorial Guinea,GNQ,-1.203390461676114
Greece,GRC,0.6859107949789927
Grenada,GRD,-1.0382289819124915
Guatemala,GTM,-0.5973251879775918
Guyana,GUY,0.9430084891282289
High income,HIC,2.546637477958223
"Hong Kong SAR, China",HKG,-3.5110115072175816
Honduras,HND,0.13376101718236855
Heavily indebted poor countries (HIPC),HPC,-0.08011668813408768
Croatia,HRV,-0.9363070164161358
Haiti,HTI,0.04087158800376034
Hungary,HUN,-1.1379492375721378
IBRD only,IBD,1.5086406357256776
IDA & IBRD total,IBT,1.1529429941833333
IDA total,IDA,-0.15472636517343608
IDA blend,IDB,-0.20254648759920002
Indonesia,IDN,-0.8071167547717724
IDA only,IDX,-0.1301734366777545
India,IND,0.40017691160737634
Ireland,IRL,-4.415036781948663
"Iran, Islamic Rep.",IRN,4.199216170571192
Iraq,IRQ,1.059540469444459
Iceland,ISL,-2.4952940667136776
Israel,ISR,0.9306551397400851
Italy,ITA,-1.7684070283881574
Jamaica,JAM,0.623890543350083
Jordan,JOR,0.9263367502762914
Japan,JPN,1.9323143699817749
Kazakhstan,KAZ,9.13928037087134
Kenya,KEN,-0.23381037954307565
Kyrgyz Republic,KGZ,0.9949907672489494
Cambodia,KHM,-0.2278996866876446
Kiribati,KIR,0.25561568262221573
St. Kitts and Nevis,KNA,-1.2977593054540355
"Korea, Rep.",KOR,4.7364860472527175
