country,country_code,ease_doing_business_resid
Afghanistan,AFG,20.515642595755708
Angola,AGO,54.52236803897718
Albania,ALB,-35.80390912760909
United Arab Emirates,ARE,-20.493522801749293
Argentina,ARG,45.97188099839731
Armenia,ARM,-69.36280334112114
Antigua and Barbuda,ATG,41.13255719254464
Australia,AUS,-18.593444164033023
Austria,AUT,-9.084339453467294
Azerbaijan,AZE,-54.879082576342796
Burundi,BDI,14.780433759517507
Belgium,BEL,8.019917204483214
Benin,BEN,7.6446390590960505
Burkina Faso,BFA,3.255464073656327
Bangladesh,BGD,37.52968464033759
Bulgaria,BGR,-19.69110773918834
Bahrain,BHR,25.664498166083483
"Bahamas, The",BHS,64.0805563312262
Bosnia and Herzegovina,BIH,-9.835985332398948
Belarus,BLR,-41.25849610964646
Belize,BLZ,13.701770179844516
Bolivia,BOL,36.87678122416227
Brazil,BRA,22.178081468254774
Barbados,BRB,48.34924536183915
Brunei Darussalam,BRN,19.289754812820263
Bhutan,BTN,-31.675576945682167
Botswana,BWA,0.3610135114236215
Central African Republic,CAF,29.2095605469423
Canada,CAN,-15.387184027231172
Switzerland,CHE,6.92791719315964
Chile,CHL,-11.934890596644138
China,CHN,-45.00153461877298
Cote d'Ivoire,CIV,-15.82397396433393
Cameroon,CMR,28.45679027048166
"Congo, Dem. Rep.",COD,31.402582392925382
"Congo, Rep.",COG,55.430640172475336
Colombia,COL,-28.12763984499199
Comoros,COM,21.714435391139688
Cabo Verde,CPV,8.500630258452787
Costa Rica,CRI,-19.70172430820503
Cyprus,CYP,5.204451158287199
Czech Republic,CZE,-13.796481162732185
Germany,DEU,-11.902789097353256
Dominica,DMA,0.9545037150572568
Denmark,DNK,-32.55909146058198
Dominican Republic,DOM,10.392129361242851
Algeria,DZA,66.55358830697486
Ecuador,ECU,23.59483643046721
"Egypt, Arab Rep.",EGY,18.408548879226856
Spain,ESP,-16.749024795604434
Estonia,EST,-40.51350993786264
Ethiopia,ETH,10.867013121290938
Finland,FIN,-22.104513871007093
Fiji,FJI,-7.929738804687986
France,FRA,-8.346796744046166
"Micronesia, Fed. Sts.",FSM,22.35152257927092
Gabon,GAB,89.5561671782127
United Kingdom,GBR,-30.48689064670964
Georgia,GEO,-100.17908466754115
Ghana,GHA,-20.4019853511725
Guinea,GIN,5.248208702299934
"Gambia, The",GMB,1.048179225346047
Guinea-Bissau,GNB,26.333993482036817
Equatorial Guinea,GNQ,121.55580921678924
Greece,GRC,11.941765858263444
Grenada,GRD,53.3864766344998
Guatemala,GTM,-17.05143172678089
Guyana,GUY,17.805647252703324
"Hong Kong SAR, China",HKG,-28.040024704571145
Honduras,HND,-10.52223128447747
Croatia,HRV,-9.483804985541823
Haiti,HTI,34.592287921241876
Hungary,HUN,-8.198355376800407
Indonesia,IDN,-27.71443811441135
India,IND,-46.377822090517455
Ireland,IRL,-8.098377341984733
"Iran, Islamic Rep.",IRN,47.482510655069674
Iraq,IRQ,84.2991806779451
Iceland,ISL,-15.029718100521023
Israel,ISR,3.6372094807507125
Italy,ITA,6.53829015734798
Jamaica,JAM,-35.85084982547369
Jordan,JOR,-4.8618552552814975
Japan,JPN,-1.2107966083085984
Kazakhstan,KAZ,-35.361103929282955
Kenya,KEN,-79.23689110064214
Kyrgyz Republic,KGZ,-67.84770884062925
Cambodia,KHM,0.4679542371647756
Kiribati,KIR,12.4174427986122
St. Kitts and Nevis,KNA,81.0465680274612
"Korea, Rep.",KOR,-41.235384716487125
Kuwait,KWT,64.77655901395174
Lao PDR,LAO,30.61325789063541
Lebanon,LBN,50.00084981629941
Liberia,LBR,23.926103019144307
Libya,LBY,99.68647930657063
St. Lucia,LCA,-2.8786208973215395
Sri Lanka,LKA,1.5864510393985398
Lesotho,LSO,-34.96189717052246
Lithuania,LTU,-42.156677184929464
Luxembourg,LUX,20.100069798553136
