country,country_code,external_debt_pct_GNI_resid
Afghanistan,AFG,-20.851386710144205
Angola,AGO,-14.764179524522152
Albania,ALB,29.234214306066114
Armenia,ARM,36.88649782999082
Azerbaijan,AZE,-17.026172031545187
Burundi,BDI,-10.863370653802516
Benin,BEN,-7.856851918842779
Burkina Faso,BFA,-7.098210983888254
Bangladesh,BGD,-19.320072836879817
Bulgaria,BGR,37.25190070682261
Bosnia and Herzegovina,BIH,42.408611969561626
Belarus,BLR,26.43585668059579
Belize,BLZ,34.753857025274606
Bolivia,BOL,-12.55401403130509
Brazil,BRA,-11.447497365774996
Bhutan,BTN,63.044207096211224
Botswana,BWA,-26.869433001688716
Central African Republic,CAF,11.829560179306785
China,CHN,-29.546243285870368
Cote d'Ivoire,CIV,-1.6409637414016842
Cameroon,CMR,-13.340297092848587
"Congo, Dem. Rep.",COD,-16.18644306826809
"Congo, Rep.",COG,5.650042189926417
Colombia,COL,-1.8824516651947079
Comoros,COM,-12.481847067022716
Cabo Verde,CPV,57.29854536297255
Costa Rica,CRI,2.7226245087923715
Dominica,DMA,17.35186904688763
Dominican Republic,DOM,-0.5791022124752132
Algeria,DZA,-38.732545483503
East Asia & Pacific (excluding high income),EAP,-25.895549309215696
Europe & Central Asia (excluding high income),ECA,3.109721971242905
Ecuador,ECU,-14.242182211052786
"Egypt, Arab Rep.",EGY,-28.370031284690747
Ethiopia,ETH,-0.4866746357164047
Fiji,FJI,-23.966125940050652
Gabon,GAB,-5.7335703218784815
Georgia,GEO,61.34873655263466
Ghana,GHA,17.94953842701836
Guinea,GIN,-17.171316438499783
"Gambia, The",GMB,27.574115636895492
Guinea-Bissau,GNB,-3.69174537273204
Grenada,GRD,20.603413432000387
Guatemala,GTM,-11.324151008811562
Guyana,GUY,8.046133710065241
Honduras,HND,-0.5843448225974726
Haiti,HTI,-9.521360654967456
Indonesia,IDN,-6.0110938186926575
IDA only,IDX,-5.918165850819015
India,IND,-19.69763000004781
"Iran, Islamic Rep.",IRN,-42.16322693934656
Jamaica,JAM,58.34502092675251
Jordan,JOR,25.079410679320695
Kazakhstan,KAZ,37.46275996842087
Kenya,KEN,-4.942283172517584
Kyrgyz Republic,KGZ,80.55682553233157
Cambodia,KHM,20.09235816439834
Latin America & Caribbean (excluding high income),LAC,-6.860603390896209
Lao PDR,LAO,42.084731041637276
Lebanon,LBN,96.8253111932546
Liberia,LBR,15.21988798038521
St. Lucia,LCA,-6.929363571211908
Low income,LIC,-6.909888736825177
Sri Lanka,LKA,14.051998540005322
Lower middle income,LMC,-14.545718929547128
Low & middle income,LMY,-19.884022443331364
Lesotho,LSO,-3.9926881368259757
Morocco,MAR,-0.7052921578022833
Moldova,MDA,47.18882204194938
Madagascar,MDG,-0.7694669451789196
Maldives,MDV,-15.352612696674775
Mexico,MEX,-6.231871587766754
Middle income,MIC,-18.872909561029946
"Macedonia, FYR",MKD,28.023757521870756
Mali,MLI,-5.2963909550017725
Myanmar,MMR,-15.149462727995239
Middle East & North Africa (excluding high income),MNA,-21.912203077927373
Montenegro,MNE,21.20406902169308
Mongolia,MNG,161.79991488214833
Mozambique,MOZ,39.081340914247356
Mauritania,MRT,43.70600242297127
Mauritius,MUS,31.852729589125417
Malawi,MWI,-4.075064177574344
Niger,NER,5.6128226336759575
Nigeria,NGA,-36.43992922228419
Nicaragua,NIC,41.480348226294716
Nepal,NPL,-15.928215695629088
Pakistan,PAK,-17.335748175826314
Peru,PER,-4.818911711527129
Philippines,PHL,-22.285991851561384
Papua New Guinea,PNG,65.76232513973761
Paraguay,PRY,20.713704251769798
Romania,ROU,8.214426331968106
Russian Federation,RUS,-15.507240199095598
Rwanda,RWA,-6.705387322532779
South Asia,SAS,-18.282198078270316
Sudan,SDN,-15.073186053943019
Senegal,SEN,8.138902622549153
Solomon Islands,SLB,-16.13265917545134
Sierra Leone,SLE,4.553607132698637
El Salvador,SLV,18.34027791920412
Serbia,SRB,47.039771331297025
Sub-Saharan Africa (excluding high income),SSA,-9.885128707295024
Sao Tome and Principe,STP,42.89283254184652
Eswatini,SWZ,-34.96889192546356
Chad,TCD,-6.5483027402113585
Togo,TGO,-8.09533854236625
Thailand,THA,-8.660748618142662
Tajikistan,TJK,19.802104441187602
Turkmenistan,TKM,-41.292334691899086
Timor-Leste,TLS,-40.94451015184424
Tonga,TON,-1.967058029765468
Tunisia,TUN,22.77941440953343
Turkey,TUR,-3.735355765749098
Tanzania,TZA,-0.9615547807701006
Uganda,UGA,2.437053021866319
Ukraine,UKR,86.17458830766995
Upper middle income,UMC,-19.72886080310392
Uzbekistan,UZB,-20.99534448078308
St. Vincent and the Grenadines,VCT,3.0586068195668616
Vietnam,VNM,0.10536566834545624
Vanuatu,VUT,1.005058009189689
Samoa,WSM,13.163639471593896
Kosovo,XKX,-11.225431926952865
"Yemen, Rep.",YEM,-16.58913770476743
South Africa,ZAF,3.186161723338195
Zambia,ZMB,18.62535261947761
Zimbabwe,ZWE,26.264616095268522
